index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
10,Floyd,Glenwood,3635,0,2,1,0,3,2,4,5,0,11,183,360,103,0,646,3,5,2,0,10,15,20,6,0,41,3,3,0,0,6,9,25,2,0,36,13,16,26,0,55,4,10,6,0,20,10,13,4,0,27,7,8,4,0,19,14,33,16,0,63,248,580,130,1,959,2,8,3,0,13,6,10,2,0,18,3,5,2,0,10,2,0,3,0,5,12,25,2,0,39,77,171,128,2,378,4,3,2,0,9,2368,
11,Floyd,Howell,1492,1,1,1,0,3,1,0,0,0,1,160,130,49,1,340,3,0,1,0,4,7,6,4,0,17,0,2,0,0,2,5,10,0,0,15,1,7,5,0,13,0,2,1,0,3,1,2,0,0,3,0,3,0,0,3,7,8,1,0,16,232,246,69,0,547,0,0,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,10,8,1,0,19,18,40,19,0,77,0,1,1,0,2,1072,
12,Floyd,East Lindale,3398,1,3,3,0,7,2,4,0,0,6,148,429,115,0,692,2,4,2,0,8,7,22,2,0,31,5,1,1,0,7,11,13,3,0,27,22,31,14,0,67,3,13,6,0,22,5,9,1,0,15,8,11,9,0,28,10,32,8,0,50,238,588,140,2,968,2,5,1,0,8,6,11,1,0,18,1,1,1,0,3,0,0,0,0,0,10,24,3,0,37,60,189,129,0,378,1,2,2,0,5,2377,
13,Floyd,Mt Alto North,5096,5,9,4,0,18,4,7,6,1,18,74,430,139,3,646,6,7,3,0,16,6,21,6,0,33,3,6,0,0,9,6,26,6,0,38,51,122,53,0,226,15,26,12,0,53,4,17,1,0,22,16,39,15,1,71,24,58,18,0,100,110,626,150,3,889,11,19,4,0,34,12,7,2,0,21,1,5,5,0,11,3,3,7,0,13,8,21,7,0,36,130,465,292,8,895,3,7,2,0,12,3161,
14,Floyd,Mt Alto South,3923,4,1,1,0,6,2,5,5,0,12,106,324,111,1,542,5,1,2,0,8,6,11,4,0,21,5,7,0,0,12,7,12,2,0,21,39,67,20,0,126,15,23,9,0,47,5,4,3,0,12,18,23,3,0,44,25,42,12,0,79,144,492,126,4,766,3,8,2,0,13,3,15,6,0,24,4,2,2,0,8,1,1,0,0,2,10,15,0,0,25,142,361,235,4,742,1,3,8,0,12,2522,
15,Floyd,North Carolina,1865,1,1,0,0,2,3,0,0,0,3,92,209,59,1,361,2,1,0,0,3,3,18,2,0,23,0,3,0,0,3,9,8,1,0,18,8,8,6,0,22,2,6,1,0,9,7,9,0,0,16,1,2,5,0,8,7,9,4,0,20,146,296,65,0,507,0,0,1,0,1,3,3,0,0,6,0,1,0,0,1,1,2,0,0,3,6,8,1,0,15,19,85,46,2,152,0,3,0,0,3,1176,
16,Floyd,Riverside,826,1,0,0,0,1,0,1,3,0,4,52,77,13,1,143,1,0,0,0,1,4,4,1,0,9,2,1,0,0,3,0,5,0,0,5,3,8,2,0,13,0,5,1,0,6,2,4,1,0,7,1,3,0,0,4,4,10,3,0,17,80,111,26,3,220,1,4,0,0,5,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,2,0,9,32,39,22,0,93,0,1,0,0,1,546,
17,Floyd,East Rome,4238,2,4,2,0,8,3,5,3,0,11,99,289,104,1,493,7,5,7,0,19,1,15,6,0,22,2,6,1,0,9,11,18,7,0,36,16,89,27,0,132,5,22,19,0,46,6,7,2,0,15,13,27,9,0,49,12,50,19,2,83,129,436,133,1,699,3,6,1,0,10,6,18,4,0,28,1,6,1,0,8,3,6,0,0,9,9,11,3,0,23,124,478,282,0,884,3,7,2,0,12,2596,
18,Floyd,North Rome,3369,3,1,0,0,4,3,2,3,0,8,48,285,123,0,456,1,2,1,0,4,3,12,3,0,18,1,3,0,0,4,2,6,1,0,9,21,52,22,0,95,10,15,8,2,35,2,2,2,0,6,14,15,5,2,36,9,19,16,0,44,78,343,166,2,589,5,6,1,0,12,7,8,2,0,17,2,2,1,0,5,1,1,3,0,5,5,5,3,0,13,88,333,330,1,752,4,4,1,0,9,2121,
19,Floyd,South Rome,1600,3,2,2,0,7,1,3,1,0,5,13,46,21,0,80,0,0,1,0,1,3,3,1,0,7,2,1,1,0,4,4,9,0,0,13,16,29,24,0,69,6,9,8,0,23,0,1,0,0,1,10,14,8,0,32,5,9,4,0,18,19,59,20,1,99,2,7,1,0,10,3,6,0,0,9,0,1,1,0,2,0,3,1,0,4,2,4,0,0,6,110,186,146,2,444,1,2,2,0,5,839,
20,Floyd,Texas Valley,762,1,0,0,0,1,1,0,0,0,1,100,82,23,2,207,1,1,1,0,3,3,4,1,1,9,0,0,0,0,0,2,0,1,0,3,0,0,2,0,2,0,0,1,0,1,6,1,0,0,7,1,1,1,0,3,4,0,2,0,6,135,125,37,4,301,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,18,28,24,0,70,1,1,1,0,3,624,
21,Floyd,Vanns Valley,896,0,0,0,0,0,0,1,0,0,1,54,62,38,1,155,0,0,0,0,0,4,1,3,0,8,3,0,0,0,3,0,7,0,0,7,5,8,0,0,13,1,5,0,0,6,1,3,0,0,4,1,6,0,0,7,5,4,1,0,10,74,109,44,1,228,0,2,0,0,2,1,3,0,0,4,0,1,0,0,1,0,0,0,0,0,4,4,0,0,8,25,31,19,0,75,0,0,1,0,1,533,
22,Floyd,Watters,3566,3,4,2,0,9,2,6,2,0,10,248,487,125,2,862,2,0,4,0,6,13,17,4,1,35,5,5,2,0,12,16,11,2,0,29,9,21,9,0,39,2,8,2,0,12,15,13,5,0,33,5,9,4,0,18,9,30,10,0,49,310,618,129,3,1060,3,4,2,0,9,13,6,4,0,23,5,4,2,0,11,0,0,0,0,0,10,21,3,0,34,61,105,90,6,262,2,1,0,0,3,2516,
23,Floyd,West Lindale,2929,3,4,1,0,8,6,2,3,0,11,158,297,60,0,515,2,2,2,0,6,15,13,3,0,31,2,3,0,0,5,11,20,2,0,33,14,24,16,0,54,1,4,3,0,8,13,11,2,0,26,1,11,4,0,16,11,17,9,0,37,246,442,122,0,810,3,5,3,0,11,7,9,3,0,19,0,2,1,0,3,1,0,2,0,3,10,13,0,0,23,68,116,90,0,274,0,6,4,0,10,1903,
24,Floyd,Town Rome,3034,0,3,1,0,4,4,1,1,0,6,61,269,96,0,426,4,2,6,0,12,4,9,3,2,18,1,3,3,0,7,5,12,3,0,20,24,47,26,0,97,6,8,5,0,19,1,8,1,0,10,12,11,5,0,28,12,31,16,0,59,84,377,104,0,565,3,6,2,0,11,11,11,2,0,24,2,0,0,0,2,0,1,1,0,2,1,10,1,0,12,75,319,202,0,596,1,4,5,0,10,1928,
