Precinct,County,Registered Voters,"Michael """"Mike"""" Thurmond (I) (Dem)_Election Day Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Advanced Voting Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Absentee by Mail Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Provisional Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Choice Total",Total,
McLendon,DeKalb,3607,188,1050,888,10,2136,2136,
McWilliams,DeKalb,2517,151,983,556,4,1694,1694,
Medlock,DeKalb,2208,149,706,666,2,1523,1523,
Midvale Elem,DeKalb,2747,165,869,673,3,1710,1710,
Miller Grove,DeKalb,4747,348,1395,692,15,2450,2450,
Montclair Elem,DeKalb,2194,222,657,242,8,1129,1129,
Montreal,DeKalb,2586,202,830,521,2,1555,1555,
Meadowview,DeKalb,3511,229,997,768,11,2005,2005,
Memorial South,DeKalb,3138,245,712,379,19,1355,1355,
Midway,DeKalb,3139,183,759,628,7,1577,1577,
McNair Academy,DeKalb,1900,137,615,444,5,1201,1201,
Mount Vernon East,DeKalb,2651,177,911,479,3,1570,1570,
Mathis-Bob Mathis Elem,DeKalb,2789,224,958,716,5,1903,1903,
Mount Vernon West,DeKalb,2303,110,862,432,9,1413,1413,
Metropolitan,DeKalb,3405,179,1359,738,10,2286,2286,
Montgomery Elem,DeKalb,2446,166,817,538,5,1526,1526,
Miller Grove Road,DeKalb,2151,184,744,501,4,1433,1433,
Midvale Road,DeKalb,1832,153,649,333,2,1137,1137,
Miller Grove High,DeKalb,3470,283,976,453,10,1722,1722,
North Decatur,DeKalb,2166,121,632,515,12,1280,1280,
North Hairston,DeKalb,2329,231,644,421,8,1304,1304,
Northlake,DeKalb,1509,133,456,407,1,997,997,
North Peachtree,DeKalb,1916,156,525,304,5,990,990,
Oak Grove Elem,DeKalb,2253,172,689,594,0,1455,1455,
Oakcliff Elem,DeKalb,2125,274,464,292,9,1039,1039,
Oakhurst,DeKalb,2398,108,1044,691,2,1845,1845,
Oak View Elem,DeKalb,5011,356,1722,742,18,2838,2838,
Peachcrest,DeKalb,2458,181,634,441,4,1260,1260,
Peachtree Middle,DeKalb,3502,243,1203,598,6,2050,2050,
Princeton Elem,DeKalb,2376,168,866,456,5,1495,1495,
Pine Lake,DeKalb,632,243,137,70,0,450,450,
Pleasantdale Road,DeKalb,4538,434,1179,598,9,2220,2220,
Ponce de Leon,DeKalb,3766,123,903,830,13,1869,1869,
Panola,DeKalb,1586,140,478,326,2,946,946,
Panola Way Elem,DeKalb,2252,203,587,322,21,1133,1133,
Piney Grove,DeKalb,2018,165,533,342,7,1047,1047,
Panola Road,DeKalb,2884,192,1024,574,8,1798,1798,
Rainbow Elem,DeKalb,3768,262,1211,847,9,2329,2329,
Redan Elem,DeKalb,3020,204,1155,589,8,1956,1956,
Rehoboth,DeKalb,1813,103,493,559,3,1158,1158,
Rockbridge Elem,DeKalb,3595,315,947,518,17,1797,1797,
Rock Chapel Elem,DeKalb,2910,212,1111,512,7,1842,1842,
Rowland Elem,DeKalb,3765,289,916,592,9,1806,1806,
Redan-Trotti Library,DeKalb,3990,272,1272,751,21,2316,2316,
Rockbridge Road,DeKalb,3965,300,1485,972,6,2763,2763,
Rowland Road,DeKalb,2080,187,591,417,7,1202,1202,
Redan Road,DeKalb,2932,230,902,508,11,1651,1651,
Rock Chapel Road,DeKalb,4178,254,1610,812,19,2695,2695,
Redan Middle,DeKalb,2496,153,864,527,5,1549,1549,
Sagamore Hills Elem,DeKalb,2925,193,919,861,0,1973,1973,
Scott,DeKalb,2805,120,834,883,1,1838,1838,
Shaw-Robert Shaw Elem,DeKalb,2892,253,864,584,3,1704,1704,
Stone Mountain Elem,DeKalb,2338,158,528,593,3,1282,1282,
Silver Lake,DeKalb,4979,232,1554,945,3,2734,2734,
Skyland,DeKalb,2100,178,684,380,6,1248,1248,
Snapfinger Elem,DeKalb,1894,164,609,503,0,1276,1276,
Smoke Rise,DeKalb,2108,150,676,513,1,1340,1340,
Stone Mtn Middle,DeKalb,3247,290,613,325,16,1244,1244,
Stone Mill Elem,DeKalb,3714,344,676,458,14,1492,1492,
Shadow Rock Elem,DeKalb,4347,289,1569,1028,12,2898,2898,
Stoneview Elem,DeKalb,1988,164,490,250,10,914,914,
Salem Middle,DeKalb,3519,222,1399,842,6,2469,2469,
Shamrock,DeKalb,1600,147,477,479,4,1107,1107,
South Deshon,DeKalb,3470,257,1268,635,11,2171,2171,
Stone Mtn Champion,DeKalb,3098,303,775,472,10,1560,1560,
Stone Mtn,DeKalb,1711,182,381,313,2,878,878,
Snapfinger Road N,DeKalb,2705,240,694,474,6,1414,1414,
Snapfinger Road S,DeKalb,1960,161,721,437,3,1322,1322,
Stephenson Middle,DeKalb,3822,295,1405,786,2,2488,2488,
South Hairston,DeKalb,3814,355,1095,634,11,2095,2095,
Stephenson High,DeKalb,3555,261,1198,809,7,2275,2275,
Stonecrest Library,DeKalb,3720,214,1531,544,11,2300,2300,
Snapfinger Road,DeKalb,4872,216,2217,1070,9,3512,3512,
Terry Mill,DeKalb,2808,226,966,598,5,1795,1795,
Toney Elem,DeKalb,1729,154,466,360,6,986,986,
Tucker Library,DeKalb,3506,142,1242,731,4,2119,2119,
Tilly Mill Road,DeKalb,1552,122,499,295,0,916,916,
Tucker,DeKalb,2932,134,971,606,6,1717,1717,
Valley Brook,DeKalb,1037,121,305,248,6,680,680,
Wadsworth,DeKalb,3159,279,878,659,10,1826,1826,
Wesley Chapel Library,DeKalb,2922,196,1115,719,7,2037,2037,
Woodrow Road,DeKalb,3493,249,1100,493,12,1854,1854,
Winnona Park,DeKalb,2020,52,878,569,2,1501,1501,
Woodridge Elem,DeKalb,3851,324,1034,762,12,2132,2132,
Warren Tech,DeKalb,1364,174,362,215,4,755,755,
Woodward,DeKalb,3193,170,992,811,2,1975,1975,
White Oak,DeKalb,2951,314,729,424,7,1474,1474,
Winters Chapel,DeKalb,1434,109,443,328,2,882,882,
Wynbrooke Elem,DeKalb,3496,284,1324,817,13,2438,2438,
Young Road,DeKalb,1951,107,769,426,8,1310,1310,
