Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Mount Vernon East,DeKalb,2651,200,723,291,1,1215,76,559,363,3,1001,9,23,12,0,44,2260,
Mathis-Bob Mathis Elem,DeKalb,2789,12,42,37,0,91,217,931,674,6,1828,4,9,11,0,24,1943,
Mount Vernon West,DeKalb,2303,115,577,203,6,901,49,578,335,5,967,7,24,8,0,39,1907,
Metropolitan,DeKalb,3405,26,99,53,3,181,166,1343,737,8,2254,11,31,18,0,60,2495,
Montgomery Elem,DeKalb,2446,168,480,243,2,893,81,591,443,4,1119,8,22,15,1,46,2058,
Miller Grove Road,DeKalb,2151,14,35,15,0,64,175,725,479,4,1383,3,13,8,0,24,1471,
Midvale Road,DeKalb,1832,47,119,65,0,231,132,591,303,2,1028,0,17,8,0,25,1284,
Miller Grove High,DeKalb,3470,15,29,17,0,61,273,968,415,10,1666,8,15,19,0,42,1769,
North Decatur,DeKalb,2166,39,81,81,3,204,97,603,478,10,1188,14,11,9,0,34,1426,
North Hairston,DeKalb,2329,42,60,43,3,148,199,624,388,5,1216,8,10,9,0,27,1391,
Northlake,DeKalb,1509,106,140,123,0,369,79,409,371,2,861,8,9,8,0,25,1255,
North Peachtree,DeKalb,1916,79,186,94,3,362,112,435,270,3,820,11,15,5,0,31,1213,
Oak Grove Elem,DeKalb,2253,137,288,167,1,593,106,579,558,0,1243,6,12,17,0,35,1871,
Oakcliff Elem,DeKalb,2125,93,163,96,2,354,248,395,257,9,909,9,5,6,0,20,1283,
Oakhurst,DeKalb,2398,46,83,56,0,185,89,1026,713,3,1831,8,19,13,0,40,2056,
Oak View Elem,DeKalb,5011,14,44,21,2,81,351,1693,728,16,2788,8,37,12,2,59,2928,
Peachcrest,DeKalb,2458,28,55,28,0,111,161,599,421,5,1186,8,14,17,0,39,1336,
Peachtree Middle,DeKalb,3502,111,356,172,2,641,193,1025,534,6,1758,13,35,18,0,66,2465,
Princeton Elem,DeKalb,2376,10,34,16,0,60,168,845,434,6,1453,4,13,9,0,26,1539,
Pine Lake,DeKalb,632,33,5,6,0,44,220,134,71,0,425,6,3,2,0,11,480,
Pleasantdale Road,DeKalb,4538,91,202,90,1,384,392,1087,547,10,2036,12,32,25,0,69,2489,
Ponce de Leon,DeKalb,3766,49,111,143,1,304,97,876,1538,12,2523,11,11,14,1,37,2864,
Panola,DeKalb,1586,13,28,18,0,59,130,466,316,2,914,2,6,3,0,11,984,
Panola Way Elem,DeKalb,2252,11,22,20,0,53,195,574,302,21,1092,8,13,3,0,24,1169,
Piney Grove,DeKalb,2018,16,36,7,0,59,159,520,335,7,1021,4,9,8,0,21,1101,
Panola Road,DeKalb,2884,15,29,10,0,54,184,997,557,8,1746,3,16,9,0,28,1828,
Rainbow Elem,DeKalb,3768,17,45,41,1,104,247,1197,817,7,2268,8,14,8,1,31,2403,
Redan Elem,DeKalb,3020,16,38,15,0,69,203,1135,571,7,1916,2,18,11,1,32,2017,
Rehoboth,DeKalb,1813,110,164,174,1,449,56,422,491,3,972,12,13,18,0,43,1464,
Rockbridge Elem,DeKalb,3595,30,72,43,7,152,294,919,497,15,1725,12,23,8,0,43,1920,
Rock Chapel Elem,DeKalb,2910,11,36,18,1,66,211,1097,498,6,1812,8,19,4,0,31,1909,
Rowland Elem,DeKalb,3765,25,60,38,0,123,270,904,559,9,1742,17,19,15,0,51,1916,
Redan-Trotti Library,DeKalb,3990,16,42,24,0,82,252,1250,724,19,2245,12,26,9,1,48,2375,
Rockbridge Road,DeKalb,3965,32,61,32,2,127,277,1471,935,8,2691,11,12,19,0,42,2860,
Rowland Road,DeKalb,2080,24,32,44,0,100,167,590,397,9,1163,11,12,6,0,29,1292,
Redan Road,DeKalb,2932,16,29,27,1,73,224,873,495,12,1604,4,22,8,0,34,1711,
Rock Chapel Road,DeKalb,4178,29,106,80,1,216,239,1581,765,17,2602,5,25,14,2,46,2864,
Redan Middle,DeKalb,2496,13,49,21,1,84,147,844,503,4,1498,4,19,9,0,32,1614,
Sagamore Hills Elem,DeKalb,2925,166,351,307,0,824,123,766,768,0,1657,14,17,8,0,39,2520,
Scott,DeKalb,2805,69,168,111,1,349,90,754,864,1,1709,8,13,26,1,48,2106,
Shaw-Robert Shaw Elem,DeKalb,2892,46,71,47,0,164,221,828,542,3,1594,14,23,16,0,53,1811,
Stone Mountain Elem,DeKalb,2338,30,108,241,0,379,141,486,507,3,1137,11,18,11,0,40,1556,
Silver Lake,DeKalb,4979,213,1074,416,4,1707,130,1042,761,2,1935,10,40,29,0,79,3721,
Skyland,DeKalb,2100,157,407,164,3,731,88,493,321,5,907,8,18,9,0,35,1673,
Snapfinger Elem,DeKalb,1894,19,16,11,1,47,155,604,493,0,1252,5,13,7,0,25,1324,
Smoke Rise,DeKalb,2108,141,314,216,1,672,77,532,424,0,1033,7,20,8,0,35,1740,
Stone Mtn Middle,DeKalb,3247,33,46,51,1,131,279,597,297,16,1189,8,10,6,0,24,1344,
Stone Mill Elem,DeKalb,3714,33,51,39,0,123,317,656,426,12,1411,15,10,11,2,38,1572,
Shadow Rock Elem,DeKalb,4347,21,58,45,0,124,278,1546,1000,11,2835,15,14,11,0,40,2999,
Stoneview Elem,DeKalb,1988,13,32,19,0,64,152,479,235,10,876,8,11,8,0,27,967,
Salem Middle,DeKalb,3519,15,48,22,0,85,212,1386,814,5,2417,9,18,11,2,40,2542,
Shamrock,DeKalb,1600,81,137,94,0,312,113,416,451,6,986,4,15,7,0,26,1324,
South Deshon,DeKalb,3470,19,45,19,0,83,246,1256,621,13,2136,7,15,9,1,32,2251,
Stone Mtn Champion,DeKalb,3098,64,63,48,1,176,273,752,440,9,1474,15,15,13,0,43,1693,
Stone Mtn,DeKalb,1711,48,92,39,1,180,154,336,285,2,777,9,6,9,0,24,981,
Snapfinger Road N,DeKalb,2705,9,31,22,0,62,228,679,444,6,1357,9,13,15,0,37,1456,
Snapfinger Road S,DeKalb,1960,24,25,11,0,60,143,708,424,3,1278,5,11,8,0,24,1362,
Stephenson Middle,DeKalb,3822,43,68,35,0,146,276,1371,756,1,2404,10,16,8,1,35,2585,
South Hairston,DeKalb,3814,30,39,27,1,97,341,1067,604,13,2025,11,19,15,1,46,2168,
Stephenson High,DeKalb,3555,23,74,40,3,140,249,1172,769,3,2193,10,18,15,1,44,2377,
Stonecrest Library,DeKalb,3720,19,54,17,2,92,196,1509,524,11,2240,10,16,4,0,30,2362,
Snapfinger Road,DeKalb,4872,11,76,25,0,112,206,2172,1062,11,3451,9,29,11,0,49,3612,
Terry Mill,DeKalb,2808,19,47,14,1,81,218,946,589,5,1758,7,20,11,0,38,1877,
Toney Elem,DeKalb,1729,10,15,13,1,39,146,453,345,4,948,7,14,9,1,31,1018,
Tucker Library,DeKalb,3506,130,609,276,2,1017,89,964,626,3,1682,9,43,19,0,71,2770,
Tilly Mill Road,DeKalb,1552,124,371,150,1,646,53,337,229,0,619,8,9,14,0,31,1296,
Tucker,DeKalb,2932,66,359,216,2,643,94,832,521,6,1453,9,16,12,0,37,2133,
Valley Brook,DeKalb,1037,47,60,49,2,158,110,278,241,3,632,7,4,1,0,12,802,
Wadsworth,DeKalb,3159,17,25,27,1,70,266,864,641,10,1781,6,23,11,2,42,1893,
Wesley Chapel Library,DeKalb,2922,12,40,19,0,71,193,1099,698,6,1996,4,14,8,1,27,2094,
Woodrow Road,DeKalb,3493,24,52,41,0,117,231,1075,456,13,1775,8,22,9,0,39,1931,
Winnona Park,DeKalb,2020,29,104,64,0,197,39,847,576,2,1464,4,15,7,0,26,1687,
Woodridge Elem,DeKalb,3851,20,59,54,1,134,316,1019,715,12,2062,8,14,19,0,41,2237,
Warren Tech,DeKalb,1364,81,115,65,0,261,124,313,198,3,638,15,5,7,0,27,926,
Woodward,DeKalb,3193,76,303,189,2,570,131,861,727,2,1721,5,21,22,0,48,2339,
White Oak,DeKalb,2951,19,15,12,1,47,304,720,412,6,1442,8,15,13,0,36,1525,
Winters Chapel,DeKalb,1434,127,296,144,1,568,54,305,243,1,603,6,11,9,1,27,1198,
Wynbrooke Elem,DeKalb,3496,33,75,35,0,143,270,1295,786,12,2363,8,17,14,1,40,2546,
Young Road,DeKalb,1951,6,30,12,1,49,96,756,411,6,1269,10,8,11,1,30,1348,
