Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Briarcliff,DeKalb,3122,153,311,276,5,745,106,671,794,2,1573,7,12,11,0,30,2348,
Brockett,DeKalb,2681,155,249,158,3,565,164,702,490,5,1361,15,11,4,0,30,1956,
Brookhaven,DeKalb,3444,243,657,211,1,1112,151,884,594,2,1631,12,21,17,0,50,2793,
Browns Mill Elem,DeKalb,3829,24,49,34,0,107,295,1468,890,7,2660,7,3,7,0,17,2784,
Bouldercrest Road,DeKalb,2004,14,27,16,0,57,152,766,368,3,1289,2,5,1,0,8,1354,
Bethune Middle,DeKalb,4838,39,58,37,4,138,314,1372,995,17,2698,4,6,7,0,17,2853,
Burgess Elem,DeKalb,3493,41,88,50,1,180,180,1348,897,7,2432,5,8,11,0,24,2636,
Columbia Drive,DeKalb,2526,23,17,21,0,61,213,590,469,8,1280,3,2,5,0,10,1351,
Canby Lane Elem,DeKalb,2004,14,24,25,1,64,216,533,434,8,1191,4,4,6,0,14,1269,
Columbia Elem,DeKalb,1794,3,18,7,0,28,148,325,244,13,730,1,5,1,0,7,765,
Cedar Grove Elem,DeKalb,4097,31,43,20,2,96,275,1471,777,9,2532,9,16,9,0,34,2662,
Chamblee,DeKalb,2231,109,310,75,1,495,112,604,406,2,1124,12,15,6,0,33,1652,
Candler-Murphey Candler Elem,DeKalb,3712,35,90,56,0,181,269,1408,636,7,2320,9,6,2,0,17,2518,
Chapel Hill Elem,DeKalb,3349,22,34,22,1,79,245,1206,703,7,2161,5,8,7,0,20,2260,
Chesnut Elem,DeKalb,2363,107,236,75,2,420,178,711,373,0,1262,5,7,4,0,16,1698,
Clairemont West,DeKalb,3264,69,156,138,0,363,121,1178,1101,4,2404,7,11,10,0,28,2795,
Clairmont Road,DeKalb,3223,93,184,178,0,455,150,837,924,7,1918,6,8,6,0,20,2393,
Clarkston,DeKalb,3878,56,89,50,0,195,365,944,427,14,1750,10,11,4,0,25,1970,
Clifton,DeKalb,1731,8,26,13,1,48,129,525,341,5,1000,1,3,3,0,7,1055,
Columbia Middle,DeKalb,2178,21,30,6,0,57,143,599,353,7,1102,0,4,1,0,5,1164,
Coan Recreation Center,DeKalb,4230,34,134,67,1,236,189,1566,923,2,2680,5,25,17,0,47,2963,
Cross Keys High,DeKalb,2260,96,260,123,0,479,106,507,490,4,1107,12,10,19,0,41,1627,
Crossroads,DeKalb,2898,21,39,31,0,91,230,874,627,7,1738,6,6,5,0,17,1846,
Candler,DeKalb,3537,44,70,21,1,136,221,995,615,14,1845,6,11,4,0,21,2002,
Cedar Grove Middle,DeKalb,1896,17,20,14,0,51,123,493,265,3,884,3,1,0,1,5,940,
Cedar Grove South,DeKalb,3962,21,47,37,0,105,256,1569,755,6,2586,10,13,6,0,29,2720,
Covington Hwy,DeKalb,995,3,7,2,0,12,54,101,60,5,220,0,2,1,1,4,236,
Covington,DeKalb,2376,48,60,35,0,143,111,682,358,6,1157,6,10,9,0,25,1325,
Clairemont East,DeKalb,3226,52,169,109,2,332,87,1116,1165,2,2370,3,17,16,0,36,2738,
Coralwood,DeKalb,3153,104,359,233,3,699,108,903,948,2,1961,9,15,15,0,39,2699,
Candler Park,DeKalb,4018,52,154,94,0,300,98,1695,1328,2,3123,7,15,17,0,39,3462,
Clarkston Community Center,DeKalb,2495,62,99,49,3,213,194,610,389,9,1202,7,3,5,0,15,1430,
Chamblee 2,DeKalb,3137,132,513,186,0,831,101,948,603,0,1652,8,14,15,0,37,2520,
Doraville North,DeKalb,3065,138,210,121,4,473,262,716,415,5,1398,6,7,12,0,25,1896,
Doraville South,DeKalb,1255,79,104,56,1,240,90,290,206,3,589,1,6,5,0,12,841,
Dresden Elem,DeKalb,5141,188,463,209,6,866,322,1220,920,4,2466,10,25,15,0,50,3382,
Decatur,DeKalb,1937,32,71,34,0,137,73,885,521,1,1480,2,6,4,0,12,1629,
Dunaire Elem,DeKalb,2268,40,81,56,1,178,177,614,418,6,1215,3,5,3,0,11,1404,
Dunwoody,DeKalb,3003,109,423,172,1,705,122,808,560,7,1497,4,13,14,0,31,2233,
Dunwoody 2,DeKalb,2044,120,468,202,4,794,46,541,347,2,936,9,10,8,0,27,1757,
Druid Hills High,DeKalb,2725,79,101,103,2,285,115,645,669,2,1431,2,7,9,0,18,1734,
Dunwoody Library,DeKalb,2570,99,733,238,1,1071,44,632,451,2,1129,2,14,10,0,26,2226,
East Lake,DeKalb,4139,51,151,57,1,260,206,1516,950,7,2679,10,37,7,0,54,2993,
Embry Hills,DeKalb,1721,69,232,133,0,434,71,449,397,0,917,4,15,7,0,26,1377,
Evansdale Elem,DeKalb,3441,145,398,216,0,759,174,873,671,5,1723,11,16,13,0,40,2522,
Emory South,DeKalb,3241,100,216,120,0,436,151,964,909,7,2031,10,10,22,0,42,2509,
Emory Road,DeKalb,2290,34,55,59,0,148,119,636,444,7,1206,2,0,3,0,5,1359,
Fairington Elem,DeKalb,5455,24,47,32,0,103,437,1575,659,21,2692,4,9,7,0,20,2815,
Fernbank Elem,DeKalb,2125,77,144,117,2,340,95,652,774,2,1523,5,8,13,0,26,1889,
Flat Shoals Elem,DeKalb,2409,16,20,9,0,45,195,640,431,10,1276,5,4,0,0,9,1330,
Flat Shoals Parkway,DeKalb,3449,22,46,9,0,77,191,1309,777,6,2283,5,12,3,0,20,2380,
Flat Rock Elem,DeKalb,3142,24,49,21,1,95,237,1317,538,6,2098,5,8,1,1,15,2208,
Flat Shoals,DeKalb,2649,21,26,8,1,56,179,648,466,7,1300,1,4,3,0,8,1364,
Flakes Mill Fire Station,DeKalb,2103,10,34,26,1,71,112,741,433,6,1292,1,7,3,0,11,1374,
Flat Shoals Library,DeKalb,2788,17,26,11,1,55,226,736,427,2,1391,8,4,4,0,16,1462,
Freedom Middle,DeKalb,3227,55,75,63,0,193,265,850,557,11,1683,5,5,3,0,13,1889,
Glennwood,DeKalb,2715,43,104,78,2,227,72,865,823,4,1764,7,10,11,0,28,2019,
Glenhaven,DeKalb,1880,46,38,39,0,123,204,485,306,4,999,4,1,7,0,12,1134,
Gresham Road,DeKalb,3601,23,54,36,2,115,210,1168,787,16,2181,5,14,9,0,28,2324,
Georgetown Sq,DeKalb,4155,160,548,181,4,893,192,1142,598,7,1939,10,24,11,0,45,2877,
Glenwood Road,DeKalb,2293,25,41,35,0,101,188,533,396,5,1122,6,5,3,0,14,1237,
Hambrick Elem,DeKalb,3776,96,163,114,1,374,264,1067,605,11,1947,3,11,8,0,22,2343,
Hawthorne Elem,DeKalb,3884,135,336,151,2,624,237,1111,681,5,2034,10,24,6,0,40,2698,
Henderson Mill,DeKalb,3104,104,373,210,0,687,147,836,686,2,1671,8,16,17,0,41,2399,
Huntley Hills Elem,DeKalb,3508,146,326,122,1,595,252,1059,503,5,1819,15,21,13,0,49,2463,
Hugh Howell,DeKalb,1773,113,222,180,1,516,120,482,308,0,910,3,12,12,0,27,1453,
Harris-Narvie J Harris Elem,DeKalb,4031,20,47,24,0,91,161,1583,783,10,2537,3,14,9,0,26,2654,
Harris-Margaret Harris ED,DeKalb,1462,51,71,45,1,168,107,467,318,4,896,6,6,3,0,15,1079,
Idlewood Elem,DeKalb,2472,94,150,86,2,332,180,718,401,8,1307,6,2,5,0,13,1652,
Indian Creek,DeKalb,2318,51,90,69,5,215,147,496,352,10,1005,7,10,4,0,21,1241,
Johnson Estates,DeKalb,1600,50,124,95,0,269,38,519,565,0,1122,3,13,6,0,22,1413,
Jolly Elem,DeKalb,3679,107,186,129,5,427,233,905,602,13,1753,6,5,10,1,22,2202,
Kelley Lake Elem,DeKalb,3015,20,34,24,0,78,275,760,589,3,1627,5,6,6,0,17,1722,
Kingsley Elem,DeKalb,2490,191,569,305,2,1067,79,474,484,6,1043,11,8,6,1,26,2136,
Kelley Chapel Road,DeKalb,1337,17,15,9,0,41,110,460,326,1,897,0,2,3,0,5,943,
Knollwood,DeKalb,2546,48,41,15,1,105,230,669,477,11,1387,10,4,0,1,15,1507,
Kittredge Elem,DeKalb,2161,127,432,174,1,734,64,568,444,3,1079,10,10,12,0,32,1845,
Lakeside High,DeKalb,3216,156,397,263,3,819,151,942,672,0,1765,11,18,20,0,49,2633,
Lavista Road,DeKalb,2223,95,183,153,1,432,102,532,637,4,1275,5,3,14,0,22,1729,
Lavista,DeKalb,3223,110,230,170,4,514,170,823,626,7,1626,10,7,9,0,26,2166,
Lithonia,DeKalb,1730,25,30,18,1,74,225,381,220,2,828,5,6,4,0,15,917,
Lin-Mary Lin Elem,DeKalb,3009,68,153,87,2,310,109,1057,929,5,2100,6,13,14,0,33,2443,
Lithonia High,DeKalb,3610,28,30,22,0,80,320,1085,537,13,1955,11,9,5,0,25,2060,
Livsey Elem,DeKalb,1350,68,223,100,0,391,56,379,284,0,719,5,4,7,0,16,1126,
Miller-Eldridge L Miller Elem 3455,DeKalb,38,63,42,0,143,286,934,700,8,1928,2,7,9,0,18,2089,,
McNair High,DeKalb,4160,45,71,47,0,163,254,1419,988,6,2667,11,13,10,0,34,2864,
Marbut Elem,DeKalb,4234,21,38,19,3,81,315,1411,632,19,2377,9,9,3,0,21,2479,
McNair,DeKalb,2794,21,43,16,0,80,169,825,624,5,1623,5,5,8,2,20,1723,
McLendon,DeKalb,3607,69,233,121,0,423,157,973,885,10,2025,11,9,23,0,43,2491,
McWilliams,DeKalb,2517,21,27,15,0,63,137,969,562,5,1673,6,5,3,0,14,1750,
Medlock,DeKalb,2208,65,128,115,0,308,130,665,674,2,1471,9,12,5,0,26,1805,
Midvale Elem,DeKalb,2747,158,506,298,1,963,93,665,572,3,1333,12,11,8,0,31,2327,
Miller Grove,DeKalb,4747,22,47,26,1,96,337,1377,696,14,2424,2,8,7,0,17,2537,
Montclair Elem,DeKalb,2194,66,83,18,1,168,183,625,251,8,1067,4,7,2,0,13,1248,
Montreal,DeKalb,2586,86,174,114,1,375,172,778,505,4,1459,8,3,9,0,20,1854,
Meadowview,DeKalb,3511,29,34,38,1,102,206,983,757,13,1959,2,14,6,0,22,2083,
Memorial South,DeKalb,3138,45,65,37,3,150,229,729,371,17,1346,2,4,3,1,10,1506,
Midway,DeKalb,3139,28,61,43,1,133,166,755,625,7,1553,7,9,9,0,25,1711,
McNair Academy,DeKalb,1900,19,22,11,1,53,126,627,456,4,1213,9,1,4,0,14,1280,
Mount Vernon East,DeKalb,2651,187,662,258,1,1108,86,626,409,3,1124,9,16,8,0,33,2265,
Mathis-Bob Mathis Elem,DeKalb,2789,15,39,36,0,90,213,934,699,6,1852,1,7,3,0,11,1953,
Mount Vernon West,DeKalb,2303,105,515,176,6,802,59,642,378,5,1084,5,24,6,0,35,1921,
Metropolitan,DeKalb,3405,29,86,43,3,161,166,1364,766,8,2304,9,23,11,0,43,2508,
Montgomery Elem,DeKalb,2446,158,429,195,1,783,95,648,509,4,1256,5,15,14,1,35,2074,
Miller Grove Road,DeKalb,2151,14,42,19,0,75,170,725,505,4,1404,5,4,2,0,11,1490,
Midvale Road,DeKalb,1832,44,112,54,0,210,132,599,327,2,1060,0,14,2,0,16,1286,
Miller Grove High,DeKalb,3470,21,31,18,0,70,269,975,446,10,1700,6,7,6,0,19,1789,
North Decatur,DeKalb,2166,44,75,69,3,191,102,613,520,10,1245,4,7,5,0,16,1452,
North Hairston,DeKalb,2329,39,68,48,3,158,206,625,404,7,1242,4,6,3,0,13,1413,
Northlake,DeKalb,1509,99,112,112,0,323,86,433,389,1,909,7,11,10,0,28,1260,
North Peachtree,DeKalb,1916,79,182,82,2,345,114,446,287,4,851,10,8,4,0,22,1218,
Oak Grove Elem,DeKalb,2253,115,269,140,1,525,125,607,609,0,1341,5,6,13,0,24,1890,
Oakcliff Elem,DeKalb,2125,100,169,106,2,377,246,392,265,10,913,4,4,5,0,13,1303,
Oakhurst,DeKalb,2398,34,69,31,0,134,98,1050,753,3,1904,13,11,10,0,34,2072,
Oak View Elem,DeKalb,5011,21,44,22,1,88,346,1725,759,19,2849,7,5,3,0,15,2952,
Peachcrest,DeKalb,2458,30,59,32,0,121,161,610,442,5,1218,6,4,7,0,17,1356,
Peachtree Middle,DeKalb,3502,120,361,170,2,653,187,1045,565,6,1803,6,11,8,0,25,2481,
Princeton Elem,DeKalb,2376,13,43,17,0,73,168,840,455,6,1469,1,3,1,0,5,1547,
Pine Lake,DeKalb,632,34,7,8,0,49,218,135,72,0,425,3,0,1,0,4,478,
Pleasantdale Road,DeKalb,4538,94,204,95,1,394,399,1096,563,10,2068,7,16,19,0,42,2504,
Ponce de Leon,DeKalb,3766,49,94,131,2,276,106,890,1631,13,2640,5,10,9,0,24,2940,
Panola,DeKalb,1586,14,28,20,0,62,125,468,333,2,928,2,4,1,0,7,997,
Panola Way Elem,DeKalb,2252,11,22,17,1,51,198,579,318,19,1114,4,7,3,1,15,1180,
Piney Grove,DeKalb,2018,11,40,10,1,62,159,524,354,5,1042,4,5,2,0,11,1115,
Panola Road,DeKalb,2884,13,27,12,0,52,184,1011,587,9,1791,2,7,2,0,11,1854,
Rainbow Elem,DeKalb,3768,23,47,47,1,118,245,1204,846,7,2302,2,4,3,1,10,2430,
Redan Elem,DeKalb,3020,23,36,23,1,83,199,1143,593,7,1942,0,7,2,0,9,2034,
Rehoboth,DeKalb,1813,109,157,156,2,424,61,433,532,2,1028,6,9,7,0,22,1474,
Rockbridge Elem,DeKalb,3595,38,82,40,6,166,290,929,518,17,1754,7,2,4,0,13,1933,
Rock Chapel Elem,DeKalb,2910,16,49,26,1,92,209,1094,509,7,1819,4,8,1,0,13,1924,
Rowland Elem,DeKalb,3765,32,63,42,1,138,276,909,587,8,1780,6,8,6,0,20,1938,
Redan-Trotti Library,DeKalb,3990,17,41,31,0,89,252,1275,748,21,2296,13,7,4,1,25,2410,
Rockbridge Road,DeKalb,3965,31,72,39,2,144,279,1464,964,8,2715,6,4,8,0,18,2877,
Rowland Road,DeKalb,2080,33,35,43,1,112,166,594,415,7,1182,2,3,3,0,8,1302,
Redan Road,DeKalb,2932,24,38,31,0,93,215,878,515,12,1620,5,8,4,1,18,1731,
Rock Chapel Road,DeKalb,4178,30,112,87,2,231,237,1592,789,18,2636,1,7,4,0,12,2879,
Redan Middle,DeKalb,2496,17,47,21,1,86,143,860,527,5,1535,5,6,6,0,17,1638,
Sagamore Hills Elem,DeKalb,2925,141,308,261,0,710,144,811,846,0,1801,14,15,6,0,35,2546,
Scott,DeKalb,2805,68,150,93,2,313,92,780,910,1,1783,7,10,19,0,36,2132,
Shaw-Robert Shaw Elem,DeKalb,2892,45,79,47,0,171,233,835,576,3,1647,7,6,9,0,22,1840,
Stone Mountain Elem,DeKalb,2338,39,111,234,0,384,139,492,551,3,1185,3,4,3,0,10,1579,
Silver Lake,DeKalb,4979,196,985,338,3,1522,143,1142,884,4,2173,8,27,17,0,52,3747,
Skyland,DeKalb,2100,142,368,139,1,650,98,536,351,5,990,7,11,10,1,29,1669,
Snapfinger Elem,DeKalb,1894,25,17,20,1,63,151,611,507,0,1269,4,3,3,0,10,1342,
Smoke Rise,DeKalb,2108,138,315,218,1,672,80,538,440,0,1058,5,10,7,0,22,1752,
Stone Mtn Middle,DeKalb,3247,32,50,48,1,131,280,600,311,17,1208,6,9,5,0,20,1359,
Stone Mill Elem,DeKalb,3714,39,47,47,0,133,320,663,446,16,1445,4,10,4,0,18,1596,
Shadow Rock Elem,DeKalb,4347,30,71,54,1,156,274,1542,1025,12,2853,3,5,8,0,16,3025,
Stoneview Elem,DeKalb,1988,12,36,23,0,71,162,488,244,10,904,1,3,3,0,7,982,
Salem Middle,DeKalb,3519,21,48,26,0,95,209,1391,830,6,2436,5,8,8,0,21,2552,
Shamrock,DeKalb,1600,82,134,83,0,299,116,429,478,6,1029,1,3,6,0,10,1338,
South Deshon,DeKalb,3470,27,44,23,1,95,241,1269,634,12,2156,5,4,6,0,15,2266,
Stone Mtn Champion,DeKalb,3098,73,62,49,0,184,273,764,456,9,1502,8,8,6,1,23,1709,
Stone Mtn,DeKalb,1711,45,97,40,1,183,161,333,305,2,801,3,4,2,0,9,993,
Snapfinger Road N,DeKalb,2705,8,41,20,0,69,232,683,474,6,1395,4,2,2,0,8,1472,
Snapfinger Road S,DeKalb,1960,27,24,11,0,62,137,719,441,3,1300,4,3,6,0,13,1375,
Stephenson Middle,DeKalb,3822,49,68,37,0,154,271,1383,775,2,2431,5,4,5,0,14,2599,
South Hairston,DeKalb,3814,30,46,29,1,106,346,1072,630,16,2064,3,6,8,0,17,2187,
Stephenson High,DeKalb,3555,32,83,43,1,159,242,1175,797,5,2219,5,5,8,1,19,2397,
Stonecrest Library,DeKalb,3720,27,53,19,3,102,200,1518,555,12,2285,3,9,1,0,13,2400,
Snapfinger Road,DeKalb,4872,18,71,27,0,116,201,2195,1092,11,3499,4,9,3,0,16,3631,
Terry Mill,DeKalb,2808,24,50,21,1,96,210,960,602,5,1777,4,8,5,0,17,1890,
Toney Elem,DeKalb,1729,12,15,16,0,43,145,468,365,6,984,3,2,1,0,6,1033,
Tucker Library,DeKalb,3506,130,593,262,2,987,86,1000,661,3,1750,13,24,15,0,52,2789,
Tilly Mill Road,DeKalb,1552,119,354,135,1,609,59,357,258,0,674,3,5,7,0,15,1298,
Tucker,DeKalb,2932,66,344,199,0,609,98,853,563,7,1521,4,11,7,0,22,2152,
Valley Brook,DeKalb,1037,46,57,47,2,152,111,282,247,3,643,6,3,1,1,11,806,
Wadsworth,DeKalb,3159,17,44,21,0,82,267,866,681,11,1825,6,4,4,1,15,1922,
Wesley Chapel Library,DeKalb,2922,14,41,16,2,73,190,1112,722,5,2029,5,3,5,0,13,2115,
Woodrow Road,DeKalb,3493,23,58,43,0,124,237,1083,472,13,1805,5,6,4,0,15,1944,
Winnona Park,DeKalb,2020,25,84,53,0,162,44,868,604,2,1518,2,12,8,0,22,1702,
Woodridge Elem,DeKalb,3851,20,62,57,1,140,319,1025,757,12,2113,5,8,6,0,19,2272,
Warren Tech,DeKalb,1364,72,115,61,0,248,132,316,215,2,665,9,1,1,0,11,924,
Woodward,DeKalb,3193,76,288,176,2,542,126,883,768,2,1779,8,8,17,0,33,2354,
White Oak,DeKalb,2951,28,19,15,0,62,302,726,425,8,1461,3,0,7,0,10,1533,
Winters Chapel,DeKalb,1434,121,286,124,1,532,63,314,273,2,652,4,7,8,0,19,1203,
Wynbrooke Elem,DeKalb,3496,43,74,45,0,162,262,1306,813,13,2394,1,6,4,0,11,2567,
Young Road,DeKalb,1951,14,27,15,1,57,95,761,426,7,1289,0,9,7,0,16,1362,
