Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
CATES D,Gwinnett,3755,234,624,309,0,1167,183,843,609,2,1637,7,12,11,0,30,2834,
CATES E,Gwinnett,2942,213,542,285,1,1041,154,617,515,1,1287,13,18,14,0,45,2373,
PINCKNEYVILLE E,Gwinnett,2184,113,105,57,2,277,240,487,283,7,1017,1,8,10,1,20,1314,
PINCKNEYVILLE F,Gwinnett,2546,116,221,113,2,452,242,480,341,2,1065,2,12,13,0,27,1544,
DUNCANS D,Gwinnett,7153,607,2087,690,3,3387,294,991,769,0,2054,17,35,16,0,68,5509,
PINCKNEYVILLE H,Gwinnett,4536,332,721,431,1,1485,235,906,836,3,1980,9,17,16,0,42,3507,
BAYCREEK B,Gwinnett,5969,260,638,278,3,1179,426,1751,814,7,2998,19,13,14,0,46,4223,
LAWRENCEVILLE C,Gwinnett,3037,288,615,271,0,1174,142,493,346,1,982,15,14,13,0,42,2198,
MARTINS D,Gwinnett,2402,104,131,102,5,342,268,457,297,1,1023,4,1,4,0,9,1374,
ROCKBRIDGE B,Gwinnett,4177,146,331,164,1,642,298,1163,620,1,2082,6,13,6,0,25,2749,
GARNERS B,Gwinnett,3178,114,399,224,5,742,196,857,495,1,1549,4,6,6,0,16,2307,
CATES F,Gwinnett,1787,207,318,224,1,750,104,300,247,1,652,9,6,3,0,18,1420,
CATES G,Gwinnett,2875,201,657,351,0,1209,125,559,449,0,1133,4,11,10,0,25,2367,
DULUTH B,Gwinnett,3551,247,543,352,3,1145,198,533,578,3,1312,9,8,15,0,32,2489,
GARNERS C,Gwinnett,2030,134,294,131,1,560,124,458,273,0,855,8,9,7,1,25,1440,
PINCKNEYVILLE I,Gwinnett,2635,115,192,127,0,434,249,576,328,1,1154,8,9,2,1,20,1608,
PINCKNEYVILLE J,Gwinnett,2613,77,127,61,0,265,268,646,283,3,1200,8,6,1,0,15,1480,
BERKSHIRE G,Gwinnett,2419,159,488,228,1,876,113,562,332,1,1008,7,21,3,0,31,1915,
CATES H,Gwinnett,3924,115,405,190,0,710,301,961,515,2,1779,8,6,8,0,22,2511,
SUGAR HILL C,Gwinnett,5085,578,1215,431,1,2225,234,803,558,0,1595,28,25,16,0,69,3889,
SUGAR HILL D,Gwinnett,4624,311,1153,327,5,1796,200,768,469,2,1439,14,34,11,2,61,3296,
DULUTH C,Gwinnett,2229,189,307,182,2,680,150,387,348,2,887,10,8,13,0,31,1598,
DULUTH D,Gwinnett,5077,237,663,296,8,1204,302,1056,707,11,2076,16,16,7,0,39,3319,
PINCKNEYVILLE K,Gwinnett,3754,152,217,117,3,489,373,841,469,11,1694,9,6,8,0,23,2206,
PINCKNEYVILLE N,Gwinnett,3819,120,196,66,1,383,457,955,505,5,1922,19,12,6,0,37,2342,
LAWRENCEVILLE D,Gwinnett,5012,160,264,192,5,621,439,1116,537,9,2101,13,8,16,0,37,2759,
LAWRENCEVILLE E,Gwinnett,2355,164,384,244,1,793,149,396,314,1,860,6,8,5,0,19,1672,
PINCKNEYVILLE L,Gwinnett,2330,280,411,398,0,1089,115,291,491,1,898,8,10,20,0,38,2025,
PINCKNEYVILLE M,Gwinnett,2673,307,605,353,0,1265,113,361,476,0,950,7,12,18,0,37,2252,
GARNERS D,Gwinnett,3490,86,265,186,0,537,246,931,630,0,1807,6,10,14,0,30,2374,
BERKSHIRE H,Gwinnett,1987,115,181,149,2,447,151,352,262,3,768,1,4,5,0,10,1225,
PINCKNEYVILLE O,Gwinnett,3359,114,255,110,1,480,285,802,368,6,1461,14,9,3,0,26,1967,
PUCKETTS E,Gwinnett,5660,307,1040,406,1,1754,236,1164,709,3,2112,8,23,11,0,42,3908,
CATES I,Gwinnett,3537,257,571,294,1,1123,191,839,575,1,1606,13,11,17,0,41,2770,
CATES J,Gwinnett,3478,242,439,269,3,953,189,824,576,3,1592,12,16,14,0,42,2587,
GOODWINS B,Gwinnett,3960,306,861,310,1,1478,216,658,569,0,1443,11,28,20,0,59,2980,
LAWRENCEVILLE F,Gwinnett,4061,170,351,160,0,681,298,1162,613,4,2077,10,11,13,0,34,2792,
MARTINS E,Gwinnett,6193,157,221,95,1,474,600,1440,719,7,2766,19,15,7,0,41,3281,
PINCKNEYVILLE P,Gwinnett,2185,175,261,212,1,649,183,390,398,1,972,11,6,9,0,26,1647,
PINCKNEYVILLE Q,Gwinnett,1915,80,70,39,3,192,275,435,229,0,939,5,3,2,0,10,1141,
ROCKBRIDGE C,Gwinnett,5125,139,337,186,2,664,284,1757,1009,5,3055,10,10,8,0,28,3747,
ROCKBRIDGE D,Gwinnett,3642,72,376,199,1,648,193,1165,643,7,2008,7,15,8,0,30,2686,
GOODWINS C,Gwinnett,5804,296,600,321,0,1217,422,1255,931,1,2609,17,14,12,0,43,3869,
BAYCREEK K,Gwinnett,3824,159,661,346,0,1166,157,997,542,1,1697,13,16,12,0,41,2904,
CATES K,Gwinnett,2810,248,491,229,2,970,166,575,397,0,1138,10,10,5,1,26,2134,
BAYCREEK C,Gwinnett,6499,318,1035,354,3,1710,361,1791,934,0,3086,21,24,8,0,53,4849,
CATES L,Gwinnett,4185,228,584,314,0,1126,264,977,596,3,1840,11,18,13,1,43,3009,
DULUTH E,Gwinnett,4814,207,515,240,3,965,419,1174,774,5,2372,15,13,13,1,42,3379,
GOODWINS D,Gwinnett,4406,394,653,307,1,1355,330,750,574,4,1658,18,20,14,0,52,3065,
LAWRENCEVILLE G,Gwinnett,3046,114,306,142,1,563,259,774,423,1,1457,3,8,9,0,20,2040,
LAWRENCEVILLE H,Gwinnett,4296,303,780,342,4,1429,228,843,619,2,1692,17,19,16,0,52,3173,
MARTINS F,Gwinnett,2570,147,163,108,3,421,237,485,350,4,1076,4,7,7,0,18,1515,
PINCKNEYVILLE S,Gwinnett,3374,182,340,226,3,751,345,611,458,4,1418,15,9,13,0,37,2206,
ROCKBRIDGE E,Gwinnett,4638,147,330,142,1,620,386,1169,754,2,2311,10,19,10,1,40,2971,
SUGAR HILL E,Gwinnett,3589,325,754,290,4,1373,154,664,418,2,1238,17,24,10,1,52,2663,
LAWRENCEVILLE I,Gwinnett,3312,217,370,186,1,774,261,655,450,2,1368,11,18,12,0,41,2183,
BAYCREEK D,Gwinnett,4609,309,835,337,0,1481,201,1069,651,1,1922,17,21,14,0,52,3455,
BERKSHIRE J,Gwinnett,2731,160,563,265,2,990,112,570,466,2,1150,4,11,7,0,22,2162,
CATES M,Gwinnett,3988,255,851,426,1,1533,173,842,630,2,1647,18,13,15,0,46,3226,
CATES N,Gwinnett,2567,233,551,343,1,1128,133,397,301,0,831,9,11,11,0,31,1990,
DULUTH F,Gwinnett,6161,195,403,265,5,868,467,1418,972,15,2872,15,16,14,2,47,3787,
DULUTH G,Gwinnett,3067,280,533,322,2,1137,168,497,479,2,1146,15,12,16,0,43,2326,
GOODWINS E,Gwinnett,5491,421,845,415,1,1682,328,1046,815,1,2190,27,31,15,0,73,3945,
GOODWINS F,Gwinnett,3212,194,455,228,0,877,185,620,520,0,1325,14,11,12,0,37,2239,
PINCKNEYVILLE T,Gwinnett,3201,208,334,257,3,802,232,581,441,3,1257,13,19,13,0,45,2104,
SUWANEE B,Gwinnett,4656,240,1073,411,1,1725,133,1030,655,0,1818,14,19,26,0,59,3602,
PINCKNEYVILLE U,Gwinnett,2090,193,203,132,0,528,231,409,310,5,955,7,2,3,0,12,1495,
PUCKETTS B,Gwinnett,3096,295,855,240,1,1391,118,526,313,0,957,8,7,8,0,23,2371,
BERKSHIRE L,Gwinnett,3265,146,245,160,0,551,353,709,451,1,1514,8,16,13,0,37,2102,
ROCKBRIDGE F,Gwinnett,5795,89,442,215,1,747,299,2176,890,5,3370,4,13,8,0,25,4142,
SUGAR HILL F,Gwinnett,4112,387,850,322,9,1568,220,638,519,2,1379,18,21,14,0,53,3000,
SUWANEE C,Gwinnett,5675,334,1048,471,6,1859,231,1030,927,2,2190,13,22,20,0,55,4104,
CATES O,Gwinnett,1434,167,232,119,3,521,98,264,225,2,589,4,4,1,0,9,1119,
BAYCREEK E,Gwinnett,3265,193,442,202,2,839,228,757,438,2,1425,10,14,3,1,28,2292,
BERKSHIRE M,Gwinnett,1864,162,330,177,2,671,115,340,278,1,734,5,2,10,0,17,1422,
MARTINS G,Gwinnett,2425,138,199,98,2,437,258,512,293,2,1065,11,8,4,0,23,1525,
DULUTH H,Gwinnett,2813,157,455,279,3,894,155,476,533,3,1167,10,14,13,0,37,2098,
BERKSHIRE N,Gwinnett,3128,115,732,321,1,1169,93,650,532,0,1275,4,14,15,0,33,2477,
PINCKNEYVILLE V,Gwinnett,1706,117,196,107,0,420,111,342,210,2,665,3,14,2,0,19,1104,
PINCKNEYVILLE W,Gwinnett,4253,235,490,342,2,1069,286,807,612,6,1711,10,16,28,0,54,2834,
MARTINS H,Gwinnett,5037,269,533,364,5,1171,387,1065,700,9,2161,7,17,11,0,35,3367,
MARTINS I,Gwinnett,4078,175,353,234,4,766,357,831,529,2,1719,12,11,7,1,31,2516,
MARTINS J,Gwinnett,3923,154,237,117,6,514,464,957,521,6,1948,13,10,5,0,28,2490,
GARNERS F,Gwinnett,1796,112,345,146,1,604,113,360,271,2,746,6,8,4,0,18,1368,
BERKSHIRE O,Gwinnett,2589,182,510,292,0,984,126,443,391,3,963,7,11,5,0,23,1970,
BERKSHIRE P,Gwinnett,1476,92,155,73,1,321,130,243,187,1,561,6,6,5,0,17,899,
PINCKNEYVILLE X,Gwinnett,3412,221,550,352,7,1130,184,645,669,11,1509,16,7,12,0,35,2674,
ROCKBRIDGE G,Gwinnett,5799,141,384,184,3,712,384,1884,970,13,3251,10,11,14,0,35,3998,
PINCKNEYVILLE Y,Gwinnett,3272,109,171,90,1,371,367,670,355,1,1393,5,5,3,0,13,1777,
GOODWINS G,Gwinnett,2661,142,268,89,3,502,256,594,379,2,1231,12,7,4,0,23,1756,
PINCKNEYVILLE Z,Gwinnett,1898,270,345,258,0,873,118,227,377,0,722,10,6,12,0,28,1623,
PINCKNEYVILLE A1,Gwinnett,2694,295,536,397,0,1228,108,395,538,0,1041,8,15,13,0,36,2305,
LAWRENCEVILLE J,Gwinnett,2249,150,219,98,0,467,189,558,304,3,1054,7,4,3,0,14,1535,
GOODWINS H,Gwinnett,2796,211,464,175,0,850,166,565,411,1,1143,13,14,8,1,36,2029,
DUNCANS B,Gwinnett,5387,556,1619,462,4,2641,223,808,527,2,1560,20,30,23,0,73,4274,
SUWANEE D,Gwinnett,4732,425,1241,483,1,2150,181,774,670,2,1627,11,28,14,0,53,3830,
SUWANEE E,Gwinnett,4256,342,1067,423,0,1832,142,798,599,2,1541,16,16,18,0,50,3423,
LAWRENCEVILLE K,Gwinnett,3282,275,579,285,0,1139,173,656,498,0,1327,11,17,11,0,39,2505,
HARBINS B,Gwinnett,4845,341,1259,316,3,1919,196,892,442,3,1533,15,19,8,0,42,3494,
BAYCREEK F,Gwinnett,4608,230,541,228,4,1003,290,1371,684,8,2353,20,24,12,0,56,3412,
PUCKETTS C,Gwinnett,3367,261,887,235,0,1383,130,534,350,0,1014,8,13,6,1,28,2425,
HOG MOUNTAIN C,Gwinnett,4292,341,917,308,0,1566,202,711,526,3,1442,9,25,14,0,48,3056,
ROCKYCREEK B,Gwinnett,5061,359,1193,357,2,1911,233,994,530,1,1758,19,40,12,0,71,3740,
DULUTH I,Gwinnett,5105,297,918,609,1,1825,206,794,985,1,1986,5,6,11,0,22,3833,
MARTINS K,Gwinnett,5352,224,418,250,0,892,485,1369,832,4,2690,9,12,14,0,35,3617,
SUWANEE H,Gwinnett,3785,319,1120,437,0,1876,125,594,483,1,1203,9,17,18,0,44,3123,
SUGAR HILL G,Gwinnett,2814,282,784,250,0,1316,79,408,403,1,891,14,12,6,0,32,2239,
SUWANEE F,Gwinnett,3966,276,775,322,2,1375,177,775,596,2,1550,20,12,9,0,41,2966,
LAWRENCEVILLE L,Gwinnett,4802,222,719,316,1,1258,284,1166,750,1,2201,8,18,8,0,34,3493,
LAWRENCEVILLE M,Gwinnett,7255,264,574,273,3,1114,521,2059,1065,6,3651,16,25,17,0,58,4823,
BAYCREEK G,Gwinnett,6241,261,778,293,0,1332,315,1967,933,1,3216,16,20,7,0,43,4591,
BAYCREEK H,Gwinnett,6811,365,1344,518,2,2229,330,1761,931,3,3025,16,24,16,0,56,5310,
BAYCREEK I,Gwinnett,5899,260,792,350,6,1408,321,1521,793,4,2639,15,22,18,0,55,4102,
BERKSHIRE Q,Gwinnett,1802,163,303,159,1,626,104,301,246,1,652,5,6,8,0,19,1297,
GOODWINS I,Gwinnett,2501,241,371,265,0,877,157,489,387,0,1033,15,10,7,0,32,1942,
DULUTH K,Gwinnett,2786,72,170,76,0,318,227,559,327,3,1116,9,10,7,0,26,1460,
HARBINS C,Gwinnett,2850,380,600,178,2,1160,172,620,276,1,1069,5,12,6,0,23,2252,
ROCKYCREEK C,Gwinnett,4806,331,1167,338,0,1836,231,993,565,4,1793,15,27,16,0,58,3687,
LAWRENCEVILLE N,Gwinnett,2573,167,302,140,0,609,210,472,305,7,994,10,6,11,0,27,1630,
PUCKETTS D,Gwinnett,3622,249,953,325,4,1531,141,587,418,1,1147,12,15,10,0,37,2715,
SUWANEE G,Gwinnett,3904,286,697,250,0,1233,227,867,581,1,1676,14,15,21,0,50,2959,
BAYCREEK J,Gwinnett,4567,199,518,242,1,960,301,1308,660,5,2274,11,7,7,0,25,3259,
