Precinct,County,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total,
PINCKNEYVILLE A1,Gwinnett,2694,322,572,446,0,1340,86,366,494,0,946,2286,
LAWRENCEVILLE J,Gwinnett,2249,144,218,96,0,458,189,550,301,3,1043,1501,
GOODWINS H,Gwinnett,2796,222,477,190,1,890,162,549,384,1,1096,1986,
SUWANEE D,Gwinnett,4732,437,1311,518,1,2267,159,717,619,1,1496,3763,
SUWANEE E,Gwinnett,4256,362,1107,466,2,1937,127,755,556,1,1439,3376,
LAWRENCEVILLE K,Gwinnett,3282,269,591,310,0,1170,170,634,464,0,1268,2438,
BAYCREEK F,Gwinnett,4608,232,549,234,4,1019,280,1346,660,6,2292,3311,
PUCKETTS C,Gwinnett,3367,259,882,240,1,1382,124,529,334,0,987,2369,
HOG MOUNTAIN C,Gwinnett,4292,355,929,330,0,1614,189,696,501,2,1388,3002,
ROCKYCREEK B,Gwinnett,5061,372,1246,375,0,1993,224,950,500,2,1676,3669,
DULUTH I,Gwinnett,5105,299,955,654,0,1908,188,740,899,1,1828,3736,
MARTINS K,Gwinnett,5352,214,400,268,0,882,473,1354,792,2,2621,3503,
SUWANEE H,Gwinnett,3785,332,1163,493,0,1988,110,556,424,1,1091,3079,
SUGAR HILL G,Gwinnett,2814,294,791,270,0,1355,74,395,366,1,836,2191,
SUWANEE F,Gwinnett,3966,308,797,346,2,1453,165,737,548,1,1451,2904,
LAWRENCEVILLE L,Gwinnett,4802,223,735,343,0,1301,280,1140,710,2,2132,3433,
LAWRENCEVILLE M,Gwinnett,7255,233,560,279,2,1074,530,2036,1044,5,3615,4689,
BAYCREEK G,Gwinnett,6241,266,797,300,0,1363,324,1936,896,1,3157,4520,
BAYCREEK H,Gwinnett,6811,376,1360,530,1,2267,316,1738,899,3,2956,5223,
BAYCREEK I,Gwinnett,5899,263,787,367,6,1423,316,1503,766,5,2590,4013,
GOODWINS I,Gwinnett,2501,245,386,296,0,927,154,474,352,0,980,1907,
DULUTH K,Gwinnett,2786,77,163,86,1,327,228,550,314,1,1093,1420,
LAWRENCEVILLE N,Gwinnett,2573,169,295,153,0,617,206,461,286,6,959,1576,
PUCKETTS D,Gwinnett,3622,261,977,337,2,1577,132,553,398,0,1083,2660,
SUWANEE G,Gwinnett,3904,304,736,281,0,1321,209,822,555,1,1587,2908,
