County,Precinct,Registered Voters,Sherry Boston (I) (Dem)_Election Day Votes,Sherry Boston (I) (Dem)_Advanced Voting Votes,Sherry Boston (I) (Dem)_Absentee by Mail Votes,Sherry Boston (I) (Dem)_Provisional Votes,Sherry Boston (I) (Dem)_Choice Total,Total Votes
DeKalb,Livsey Elem,1350.0,81.0,484.0,307.0,0.0,872.0,872.0
DeKalb,Miller-Eldridge L Miller Elem 3455,3455.0,306.0,951.0,708.0,7.0,1972.0,1972.0
DeKalb,McNair High,4160.0,277.0,1424.0,947.0,7.0,2655.0,2655.0
DeKalb,Marbut Elem,4234.0,324.0,1415.0,626.0,19.0,2384.0,2384.0
DeKalb,McNair,2794.0,182.0,828.0,593.0,4.0,1607.0,1607.0
DeKalb,McLendon,3607.0,188.0,1054.0,886.0,10.0,2138.0,2138.0
DeKalb,McWilliams,2517.0,153.0,983.0,552.0,3.0,1691.0,1691.0
DeKalb,Medlock,2208.0,146.0,709.0,668.0,2.0,1525.0,1525.0
DeKalb,Midvale Elem,2747.0,158.0,843.0,649.0,3.0,1653.0,1653.0
DeKalb,Miller Grove,4747.0,346.0,1396.0,685.0,15.0,2442.0,2442.0
DeKalb,Montclair Elem,2194.0,223.0,659.0,242.0,8.0,1132.0,1132.0
DeKalb,Montreal,2586.0,206.0,827.0,510.0,2.0,1545.0,1545.0
DeKalb,Meadowview,3511.0,225.0,998.0,747.0,12.0,1982.0,1982.0
DeKalb,Memorial South,3138.0,253.0,717.0,379.0,17.0,1366.0,1366.0
DeKalb,Midway,3139.0,180.0,753.0,624.0,6.0,1563.0,1563.0
DeKalb,McNair Academy,1900.0,130.0,619.0,437.0,4.0,1190.0,1190.0
DeKalb,Mount Vernon East,2651.0,173.0,881.0,472.0,2.0,1528.0,1528.0
DeKalb,Mathis-Bob Mathis Elem,2789.0,225.0,945.0,693.0,5.0,1868.0,1868.0
DeKalb,Mount Vernon West,2303.0,106.0,851.0,421.0,8.0,1386.0,1386.0
DeKalb,Metropolitan,3405.0,179.0,1365.0,741.0,9.0,2294.0,2294.0
DeKalb,Montgomery Elem,2446.0,169.0,813.0,530.0,5.0,1517.0,1517.0
DeKalb,Miller Grove Road,2151.0,181.0,739.0,496.0,5.0,1421.0,1421.0
DeKalb,Midvale Road,1832.0,150.0,643.0,327.0,2.0,1122.0,1122.0
DeKalb,Miller Grove High,3470.0,285.0,982.0,453.0,10.0,1730.0,1730.0
DeKalb,North Decatur,2166.0,123.0,633.0,526.0,11.0,1293.0,1293.0
DeKalb,North Hairston,2329.0,229.0,642.0,417.0,8.0,1296.0,1296.0
DeKalb,Northlake,1509.0,127.0,450.0,408.0,1.0,986.0,986.0
DeKalb,North Peachtree,1916.0,158.0,524.0,301.0,5.0,988.0,988.0
DeKalb,Oak Grove Elem,2253.0,168.0,697.0,592.0,0.0,1457.0,1457.0
DeKalb,Oakcliff Elem,2125.0,278.0,458.0,294.0,9.0,1039.0,1039.0
DeKalb,Oakhurst,2398.0,113.0,1052.0,706.0,2.0,1873.0,1873.0
DeKalb,Oak View Elem,5011.0,361.0,1726.0,742.0,19.0,2848.0,2848.0
DeKalb,Peachcrest,2458.0,177.0,621.0,437.0,4.0,1239.0,1239.0
DeKalb,Peachtree Middle,3502.0,245.0,1204.0,606.0,5.0,2060.0,2060.0
DeKalb,Princeton Elem,2376.0,172.0,866.0,449.0,5.0,1492.0,1492.0
DeKalb,Pine Lake,632.0,244.0,137.0,71.0,0.0,452.0,452.0
DeKalb,Pleasantdale Road,4538.0,436.0,1174.0,587.0,9.0,2206.0,2206.0
DeKalb,Ponce de Leon,3766.0,117.0,911.0,822.0,14.0,1864.0,1864.0
DeKalb,Panola,1586.0,138.0,474.0,326.0,2.0,940.0,940.0
DeKalb,Panola Way Elem,2252.0,204.0,588.0,318.0,21.0,1131.0,1131.0
DeKalb,Piney Grove,2018.0,164.0,532.0,337.0,7.0,1040.0,1040.0
DeKalb,Panola Road,2884.0,192.0,1024.0,572.0,8.0,1796.0,1796.0
DeKalb,Rainbow Elem,3768.0,264.0,1192.0,830.0,8.0,2294.0,2294.0
DeKalb,Redan Elem,3020.0,207.0,1158.0,583.0,8.0,1956.0,1956.0
DeKalb,Rehoboth,1813.0,102.0,490.0,554.0,3.0,1149.0,1149.0
DeKalb,Rockbridge Elem,3595.0,323.0,950.0,517.0,17.0,1807.0,1807.0
DeKalb,Rock Chapel Elem,2910.0,216.0,1117.0,513.0,6.0,1852.0,1852.0
DeKalb,Rowland Elem,3765.0,289.0,918.0,581.0,8.0,1796.0,1796.0
DeKalb,Redan-Trotti Library,3990.0,274.0,1275.0,745.0,20.0,2314.0,2314.0
DeKalb,Rockbridge Road,3965.0,309.0,1488.0,975.0,8.0,2780.0,2780.0
DeKalb,Rowland Road,2080.0,189.0,592.0,416.0,8.0,1205.0,1205.0
DeKalb,Redan Road,2932.0,230.0,895.0,503.0,12.0,1640.0,1640.0
DeKalb,Rock Chapel Road,4178.0,258.0,1631.0,806.0,18.0,2713.0,2713.0
DeKalb,Redan Middle,2496.0,154.0,872.0,524.0,5.0,1555.0,1555.0
DeKalb,Sagamore Hills Elem,2925.0,195.0,920.0,837.0,0.0,1952.0,1952.0
DeKalb,Scott,2805.0,118.0,827.0,877.0,1.0,1823.0,1823.0
DeKalb,Shaw-Robert Shaw Elem,2892.0,251.0,860.0,575.0,3.0,1689.0,1689.0
DeKalb,Stone Mountain Elem,2338.0,162.0,525.0,579.0,3.0,1269.0,1269.0
DeKalb,Silver Lake,4979.0,239.0,1543.0,934.0,2.0,2718.0,2718.0
DeKalb,Skyland,2100.0,174.0,679.0,380.0,6.0,1239.0,1239.0
DeKalb,Snapfinger Elem,1894.0,163.0,605.0,502.0,0.0,1270.0,1270.0
DeKalb,Smoke Rise,2108.0,144.0,668.0,501.0,1.0,1314.0,1314.0
DeKalb,Stone Mtn Middle,3247.0,296.0,619.0,322.0,15.0,1252.0,1252.0
DeKalb,Stone Mill Elem,3714.0,342.0,681.0,458.0,15.0,1496.0,1496.0
DeKalb,Shadow Rock Elem,4347.0,292.0,1568.0,1014.0,12.0,2886.0,2886.0
DeKalb,Stoneview Elem,1988.0,169.0,493.0,246.0,10.0,918.0,918.0
DeKalb,Salem Middle,3519.0,223.0,1396.0,836.0,7.0,2462.0,2462.0
DeKalb,Shamrock,1600.0,138.0,470.0,474.0,4.0,1086.0,1086.0
DeKalb,South Deshon,3470.0,261.0,1281.0,631.0,12.0,2185.0,2185.0
DeKalb,Stone Mtn Champion,3098.0,304.0,781.0,472.0,10.0,1567.0,1567.0
DeKalb,Stone Mtn,1711.0,185.0,371.0,310.0,2.0,868.0,868.0
DeKalb,Snapfinger Road N,2705.0,240.0,688.0,467.0,5.0,1400.0,1400.0
DeKalb,Snapfinger Road S,1960.0,155.0,722.0,428.0,3.0,1308.0,1308.0
DeKalb,Stephenson Middle,3822.0,303.0,1402.0,786.0,2.0,2493.0,2493.0
DeKalb,South Hairston,3814.0,358.0,1097.0,637.0,12.0,2104.0,2104.0
DeKalb,Stephenson High,3555.0,266.0,1202.0,798.0,7.0,2273.0,2273.0
DeKalb,Stonecrest Library,3720.0,220.0,1536.0,539.0,12.0,2307.0,2307.0
DeKalb,Snapfinger Road,4872.0,221.0,2210.0,1060.0,10.0,3501.0,3501.0
DeKalb,Terry Mill,2808.0,229.0,969.0,589.0,5.0,1792.0,1792.0
DeKalb,Toney Elem,1729.0,155.0,456.0,345.0,6.0,962.0,962.0
DeKalb,Tucker Library,3506.0,142.0,1228.0,726.0,4.0,2100.0,2100.0
DeKalb,Tilly Mill Road,1552.0,115.0,491.0,284.0,0.0,890.0,890.0
DeKalb,Tucker,2932.0,135.0,971.0,612.0,7.0,1725.0,1725.0
DeKalb,Valley Brook,1037.0,123.0,305.0,250.0,5.0,683.0,683.0
DeKalb,Wadsworth,3159.0,276.0,868.0,639.0,11.0,1794.0,1794.0
