index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
10,Fayette,Shakerag East,1689,2,4,2,0,8,0,4,1,0,5,69,168,46,0,283,2,3,1,0,6,4,8,3,0,15,2,0,1,0,3,1,3,4,0,8,11,27,24,0,62,3,9,2,0,14,2,7,1,0,10,6,13,4,0,23,5,28,11,0,44,95,264,71,0,430,5,11,3,0,19,5,9,1,0,15,0,0,1,0,1,1,0,1,0,2,3,3,1,0,7,43,146,90,1,280,0,4,3,0,7,1242,
11,Fayette,Shakerag West,1236,1,2,1,0,4,0,5,1,0,6,21,176,45,1,243,0,4,5,0,9,1,5,6,0,12,0,1,2,0,3,0,11,2,0,13,4,22,11,0,37,0,2,2,0,4,0,2,1,0,3,0,5,5,0,10,2,10,9,0,21,28,271,73,0,372,2,3,1,0,6,2,10,2,0,14,2,2,0,0,4,1,0,2,0,3,1,5,1,0,7,9,157,114,1,281,0,1,1,0,2,1054,
12,Fayette,Starrsmill,3572,3,3,1,0,7,3,4,3,0,10,149,401,129,0,679,2,2,4,0,8,2,10,4,0,16,2,2,0,0,4,2,14,5,0,21,8,24,25,0,57,3,7,3,0,13,2,7,2,0,11,4,6,3,0,13,9,20,19,0,48,216,686,231,0,1133,8,4,1,0,13,5,5,3,0,13,0,2,1,0,3,1,4,0,0,5,3,13,8,0,24,62,199,171,0,432,0,1,2,0,3,2513,
13,Fayette,Whitewater,3564,4,4,4,1,13,1,5,3,1,10,93,477,157,1,728,3,3,4,0,10,3,15,5,0,23,2,4,2,0,8,7,12,10,0,29,10,63,33,0,106,3,17,5,0,25,3,15,6,0,24,2,10,7,0,19,7,48,17,0,72,179,724,199,2,1104,3,15,1,0,19,5,10,2,1,18,1,3,0,0,4,0,2,4,0,6,2,10,4,0,16,56,353,243,5,657,2,4,2,0,8,2899,
14,Fayette,Woolsey,2542,0,3,0,0,3,0,3,1,0,4,104,353,132,0,589,3,0,1,0,4,4,15,2,0,21,2,1,2,0,5,5,10,5,0,20,6,22,12,0,40,3,8,5,0,16,3,7,2,0,12,4,10,3,0,17,5,19,13,0,37,183,506,210,0,899,1,6,3,0,10,13,7,2,0,22,0,1,0,0,1,0,3,1,0,4,7,16,1,0,24,32,124,159,0,315,1,5,0,0,6,2049,
15,Fayette,McIntosh,3323,0,6,1,0,7,2,3,5,0,10,69,427,131,0,627,1,3,6,0,10,5,16,5,0,26,1,5,0,0,6,4,10,3,0,17,10,58,30,0,98,3,11,3,0,17,1,5,2,0,8,3,16,11,0,30,5,49,21,0,75,113,665,171,1,950,2,8,2,0,12,6,12,5,0,23,0,3,3,0,6,0,7,3,0,10,3,9,4,0,16,33,362,255,1,651,1,5,2,0,8,2607,
16,Fayette,Oak Grove,1344,1,2,1,0,4,1,3,0,0,4,34,146,50,0,230,0,1,1,0,2,2,4,0,0,6,0,1,1,1,3,5,14,1,0,20,11,22,12,1,46,3,5,1,0,9,5,4,1,0,10,2,7,1,0,10,6,21,8,0,35,75,247,47,0,369,1,6,0,0,7,2,10,0,0,12,0,3,0,0,3,1,3,4,0,8,1,4,0,0,5,37,141,84,0,262,0,5,1,0,6,1051,
17,Fayette,Kedron,4862,4,11,4,0,19,1,14,6,0,21,81,483,140,0,704,6,7,3,0,16,5,26,10,0,41,3,7,1,0,11,16,17,8,0,41,32,123,65,1,221,7,20,12,0,39,8,19,7,0,34,6,36,18,0,60,18,79,37,0,134,185,733,186,1,1105,7,23,12,0,42,6,19,9,0,34,4,9,2,0,15,0,3,6,0,9,6,17,5,0,28,121,634,360,1,1116,2,11,13,0,26,3716,
18,Fayette,Aberdeen,1805,1,0,1,0,2,2,3,1,0,6,34,255,66,0,355,0,4,1,0,5,2,10,2,0,14,1,3,2,0,6,8,10,4,0,22,7,29,11,0,47,3,7,3,0,13,1,5,0,0,6,1,10,3,0,14,5,23,6,0,34,76,318,87,0,481,2,6,0,0,8,7,9,2,0,18,0,0,2,0,2,0,0,1,0,1,2,6,0,0,8,31,193,95,0,319,0,0,2,0,2,1363,
19,Fayette,Windgate,1011,2,0,0,0,2,1,2,0,0,3,36,130,25,1,192,1,5,1,0,7,1,1,1,0,3,0,2,0,0,2,5,5,1,0,11,2,28,7,0,37,0,2,0,0,2,0,7,1,1,9,2,4,2,0,8,5,19,4,0,28,67,165,38,0,270,0,8,0,0,8,7,13,3,0,23,1,6,0,0,7,0,1,0,0,1,1,3,0,0,4,22,87,71,0,180,0,4,0,0,4,801,
20,Fayette,Flat Creek,2117,4,1,0,0,5,3,3,3,0,9,45,198,95,1,339,2,4,1,0,7,3,8,5,0,16,4,3,3,0,10,1,11,3,0,15,12,45,18,0,75,9,9,2,0,20,2,6,0,0,8,12,11,8,0,31,13,20,7,0,40,89,286,105,2,482,6,6,5,0,17,6,10,2,0,18,0,2,0,0,2,0,2,0,0,2,3,12,1,0,16,47,217,122,1,387,1,5,3,0,9,1508,
21,Fayette,Braelinn,1876,0,2,4,0,6,1,1,0,0,2,61,313,65,0,439,1,3,3,0,7,4,9,5,0,18,0,0,1,0,1,2,6,2,0,10,3,20,11,0,34,0,1,2,0,3,2,6,2,0,10,0,2,3,0,5,6,18,11,0,35,101,421,118,1,641,0,5,2,0,7,4,2,5,0,11,0,0,0,0,0,0,0,1,0,1,5,7,1,0,13,30,135,87,0,252,2,3,0,0,5,1500,
22,Fayette,Kenwood,1014,0,0,1,0,1,1,1,0,0,2,12,20,11,0,43,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,2,1,0,4,12,27,15,0,54,6,19,4,0,29,0,1,0,0,1,2,10,2,0,14,9,5,6,0,20,29,42,30,0,101,1,5,0,0,6,4,1,0,0,5,1,4,2,0,7,0,1,5,0,6,1,1,0,0,2,61,245,173,2,481,2,1,2,0,5,784,
23,Fayette,Banks,1624,2,0,1,0,3,0,3,0,0,3,38,105,68,0,211,1,0,2,0,3,3,2,4,0,9,0,4,1,0,5,4,5,5,0,14,14,53,24,0,91,3,10,2,0,15,3,1,1,0,5,5,17,5,0,27,10,21,11,0,42,70,143,93,0,306,4,4,1,0,9,2,4,1,0,7,0,1,2,0,3,1,2,3,0,6,4,4,3,0,11,65,195,165,0,425,3,4,3,0,10,1205,
24,Fayette,Harps Crossing,1646,2,1,0,0,3,0,1,3,0,4,52,184,72,1,309,1,1,0,0,2,5,3,4,0,12,1,3,0,0,4,1,7,0,0,8,7,32,9,0,48,1,4,1,0,6,0,6,0,0,6,1,7,1,0,9,7,16,6,1,30,87,275,106,1,469,5,2,0,0,7,0,4,3,0,7,0,2,0,0,2,0,1,1,0,2,2,1,1,0,4,33,171,135,0,339,2,2,1,0,5,1276,
25,Fayette,Willow Pond,3100,4,5,0,0,9,3,4,2,0,9,58,257,76,3,394,2,1,3,0,6,5,11,5,0,21,2,5,1,0,8,9,12,4,0,25,15,70,41,0,126,2,18,11,0,31,5,7,4,0,16,4,22,19,0,45,11,34,21,0,66,122,421,141,3,687,0,16,4,0,20,2,9,1,0,12,1,2,4,0,7,1,6,3,0,10,0,3,1,0,4,79,434,318,2,833,1,2,2,0,5,2334,
26,Fayette,Dogwood,3092,1,2,2,0,5,1,2,2,0,5,76,371,106,0,553,2,2,5,0,9,0,14,3,0,17,1,2,0,0,3,7,12,4,0,23,10,67,19,0,96,4,19,7,0,30,3,9,2,0,14,3,12,4,0,19,8,36,24,0,68,115,590,184,3,892,2,12,2,0,16,7,14,2,0,23,2,7,1,0,10,1,3,5,0,9,6,7,3,0,16,59,391,235,0,685,1,5,1,0,7,2500,
27,Fayette,Oak Ridge,2225,1,2,1,0,4,1,0,1,0,2,41,137,60,0,238,1,2,1,0,4,3,7,2,0,12,1,0,3,0,4,2,7,3,0,12,14,68,37,0,119,6,21,8,2,37,2,4,0,0,6,3,15,8,0,26,12,27,10,0,49,80,173,116,2,371,7,15,2,1,25,1,4,5,0,10,0,8,3,0,11,1,3,2,0,6,1,1,1,0,3,79,341,312,3,735,0,8,5,0,13,1687,
28,Fayette,Jeff Davis,2876,0,2,0,0,2,1,2,4,0,7,16,155,64,2,237,4,1,3,0,8,1,13,5,0,19,1,1,1,0,3,1,5,4,0,10,22,110,55,1,188,9,36,16,0,61,3,5,5,0,13,11,33,13,0,57,6,38,13,0,57,40,205,108,1,354,5,17,4,1,27,7,7,0,0,14,0,9,4,1,14,2,0,0,0,2,1,8,1,0,10,69,497,284,2,852,1,4,7,0,12,1947,
29,Fayette,Murphy,3224,2,4,1,0,7,0,4,2,0,6,44,282,116,1,443,1,1,2,0,4,3,6,11,2,22,2,4,2,0,8,4,7,3,0,14,13,76,35,0,124,7,29,10,0,46,4,8,3,0,15,7,22,5,0,34,9,41,16,0,66,89,417,171,1,678,4,20,6,0,30,3,10,2,0,15,3,1,2,0,6,0,6,6,0,12,4,7,4,0,15,61,512,353,1,927,3,7,1,0,11,2483,
30,Fayette,Fielding Ridge,3497,4,5,3,0,12,1,6,2,0,9,77,433,107,0,617,2,4,3,0,9,4,23,4,0,31,1,3,1,0,5,12,19,3,0,34,7,69,34,0,110,2,9,4,0,15,2,16,0,0,18,4,12,4,0,20,15,65,20,0,100,153,694,135,0,982,4,11,2,0,17,10,13,5,0,28,0,2,1,0,3,0,0,1,0,1,2,20,3,0,25,63,395,272,0,730,1,8,5,0,14,2780,
31,Fayette,Willowbend,2007,2,5,2,0,9,0,3,0,0,3,52,241,69,0,362,4,0,3,0,7,0,8,5,0,13,0,2,0,0,2,1,11,3,0,15,8,32,17,0,57,2,7,3,0,12,4,10,0,0,14,1,11,7,0,19,7,34,12,0,53,87,390,93,0,570,1,5,2,0,8,2,8,1,0,11,1,4,1,0,6,0,2,4,0,6,2,11,0,0,13,33,203,108,0,344,2,5,0,0,7,1531,
32,Fayette,Camp Creek,1895,0,6,0,0,6,2,4,2,0,8,62,259,65,0,386,2,2,1,0,5,1,11,6,0,18,0,3,0,0,3,3,7,3,0,13,2,30,17,1,50,1,7,3,0,11,1,7,0,0,8,2,8,4,0,14,8,21,13,0,42,83,389,102,0,574,1,6,0,0,7,2,6,1,0,9,1,3,0,0,4,0,1,6,0,7,6,2,1,0,9,24,184,117,1,326,0,3,1,0,4,1504,
33,Fayette,Rising Star,3833,0,5,2,0,7,7,11,2,0,20,117,580,125,1,823,3,4,3,0,10,3,26,7,0,36,1,3,1,0,5,6,17,7,0,30,15,69,35,0,119,1,15,1,0,17,4,9,1,0,14,1,19,5,0,25,12,62,27,0,101,215,981,206,0,1402,1,16,2,0,19,6,18,10,0,34,1,2,1,0,4,0,8,2,0,10,7,13,6,0,26,46,382,233,2,663,1,4,7,0,12,3377,
34,Fayette,Spring Hill,3299,1,6,0,0,7,1,2,2,0,5,45,259,92,0,396,2,4,4,0,10,3,4,0,0,7,2,3,0,0,5,3,22,2,0,27,11,101,55,0,167,4,28,13,1,46,1,9,2,0,12,5,36,11,0,52,7,44,19,1,71,74,402,152,0,628,4,14,4,0,22,2,9,0,0,11,2,3,2,0,7,0,2,5,0,7,2,9,2,0,13,54,593,378,0,1025,2,5,1,0,8,2526,
35,Fayette,Antioch,1956,0,2,0,0,2,1,0,0,0,1,82,160,53,1,296,1,1,0,0,2,4,7,1,0,12,1,0,0,0,1,3,6,2,0,11,16,34,17,0,67,3,13,2,0,18,1,3,1,0,5,5,10,5,0,20,6,24,12,0,42,144,263,107,0,514,5,7,1,0,13,7,8,1,0,16,1,3,2,0,6,0,1,0,0,1,3,5,2,0,10,67,187,169,0,423,6,3,2,0,11,1471,
