Precinct,County,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total,
Elizabeth 03,Cobb,2767,113,346,405,0,864,319,471,562,2,1354,2218,
Elizabeth 04,Cobb,3011,258,443,465,0,1166,269,298,285,1,853,2019,
Elizabeth 05,Cobb,2884,136,337,494,1,968,351,489,426,0,1266,2234,
East Piedmont 01,Cobb,2627,201,402,400,0,1003,259,321,258,1,839,1842,
Fair Oaks 02,Cobb,5779,477,1007,900,3,2387,263,456,345,5,1069,3456,
Fair Oaks 04,Cobb,5322,522,625,588,8,1743,267,316,307,1,891,2634,
Fullers Park 01,Cobb,3452,140,385,609,0,1134,355,661,625,0,1641,2775,
Ford 01,Cobb,3161,77,328,316,0,721,323,999,473,1,1796,2517,
Frey 01,Cobb,2582,66,319,272,1,658,177,826,337,0,1340,1998,
Garrison Mill 01,Cobb,2872,132,368,444,0,944,338,584,429,1,1352,2296,
Gritters 01,Cobb,4033,246,457,563,1,1267,442,695,547,1,1685,2952,
Harmony-Leland 01,Cobb,6394,329,1837,1351,5,3522,149,467,331,0,947,4469,
Harrison 01,Cobb,3122,100,313,307,0,720,343,904,515,0,1762,2482,
Hightower 01,Cobb,4262,121,457,799,0,1377,388,782,938,0,2108,3485,
Hayes 01,Cobb,4111,125,444,498,1,1068,372,1098,678,1,2149,3217,
Kennesaw 1A,Cobb,2499,186,399,223,8,816,226,364,207,8,805,1621,
Kennesaw 2A,Cobb,3944,200,576,483,2,1261,316,716,386,3,1421,2682,
Kennesaw 3A,Cobb,6477,371,1194,918,3,2486,322,921,486,3,1732,4218,
Kennesaw 4A,Cobb,3783,187,569,523,1,1280,244,686,437,2,1369,2649,
Kennesaw 5A,Cobb,5855,332,1068,824,1,2225,533,1109,527,0,2169,4394,
Kell 01,Cobb,2006,138,197,299,2,636,304,336,262,0,902,1538,
Kemp 01,Cobb,1960,66,192,215,0,473,253,510,334,0,1097,1570,
Kemp 02,Cobb,4049,146,541,509,1,1197,394,887,670,6,1957,3154,
Kemp 03,Cobb,3955,103,404,372,0,879,519,1177,614,2,2312,3191,
Lassiter 01,Cobb,3647,117,436,555,2,1110,454,755,630,0,1839,2949,
Lindley 01,Cobb,4797,257,1328,1069,0,2654,213,457,384,0,1054,3708,
Lost Mountain 01,Cobb,3604,95,520,488,0,1103,204,1096,552,1,1853,2956,
Lost Mountain 02,Cobb,4121,99,517,388,0,1004,367,1437,684,0,2488,3492,
Lost Mountain 03,Cobb,5387,123,771,586,0,1480,287,1737,796,2,2822,4302,
Lost Mountain 04,Cobb,2629,67,318,303,0,688,250,777,384,0,1411,2099,
Mableton 01,Cobb,5127,266,1068,938,0,2272,149,573,502,4,1228,3500,
Mableton 02,Cobb,3330,243,569,505,0,1317,142,258,212,0,612,1929,
Mableton 03,Cobb,3010,167,510,462,3,1142,202,420,367,0,989,2131,
Mableton 04,Cobb,1581,66,254,289,0,609,142,257,246,0,645,1254,
Mabry 01,Cobb,1656,58,172,207,1,438,244,380,301,4,929,1367,
Macland 01,Cobb,4213,260,1013,733,2,2008,159,467,279,0,905,2913,
Murdock 01,Cobb,4059,146,455,729,0,1330,447,720,804,0,1971,3301,
McEachern 01,Cobb,3549,130,760,612,0,1502,166,578,401,1,1146,2648,
McCleskey 01,Cobb,1736,81,189,282,1,553,247,354,261,0,862,1415,
McClure 01,Cobb,3290,110,360,373,1,844,390,892,440,2,1724,2568,
Marietta 1A,Cobb,4468,335,660,503,6,1504,204,374,257,1,836,2340,
Marietta 2A,Cobb,2059,97,266,255,0,618,300,398,401,0,1099,1717,
Marietta 2B,Cobb,4447,311,792,586,0,1689,276,577,508,3,1364,3053,
Marietta 3A,Cobb,4388,198,622,628,2,1450,342,735,637,1,1715,3165,
Marietta 3B,Cobb,2218,170,464,401,1,1036,54,132,118,0,304,1340,
Marietta 4A,Cobb,1956,67,144,189,1,401,429,408,424,0,1261,1662,
Marietta 4B,Cobb,2056,90,297,299,1,687,209,315,298,0,822,1509,
Marietta 4C,Cobb,2781,82,321,387,0,790,304,706,454,0,1464,2254,
Marietta 5A,Cobb,3324,259,534,496,3,1292,194,301,253,0,748,2040,
Marietta 5B,Cobb,3084,261,502,378,2,1143,150,182,150,1,483,1626,
Marietta 6A,Cobb,2647,252,507,340,3,1102,118,191,124,2,435,1537,
Marietta 6B,Cobb,2910,143,461,525,0,1129,256,469,400,0,1125,2254,
Marietta 7A,Cobb,3745,257,722,399,4,1382,123,185,124,0,432,1814,
Mars Hill 01,Cobb,3633,110,298,295,0,703,422,1098,488,2,2010,2713,
Mars Hill 02,Cobb,2916,135,389,358,0,882,295,615,285,0,1195,2077,
Mt Bethel 01,Cobb,4125,113,422,779,1,1315,407,787,860,5,2059,3374,
Mt Bethel 03,Cobb,3294,86,413,609,0,1108,219,708,568,0,1495,2603,
Mt Bethel 04,Cobb,2981,80,290,531,0,901,264,590,636,0,1490,2391,
North Cobb 01,Cobb,2317,121,402,313,1,837,209,385,223,0,817,1654,
Nickajack 01,Cobb,4889,302,1301,867,3,2473,170,478,333,1,982,3455,
Norton Park 01,Cobb,4922,352,710,734,7,1803,248,536,527,1,1312,3115,
Nicholson 01,Cobb,2455,120,308,335,0,763,308,406,335,1,1050,1813,
Oakdale 01,Cobb,3944,148,711,735,1,1595,287,558,572,0,1417,3012,
Oregon 01,Cobb,1614,85,223,188,1,497,178,411,241,1,831,1328,
Oregon 02,Cobb,5671,394,1182,1020,3,2599,247,477,468,0,1192,3791,
Oregon 03,Cobb,5713,441,944,740,6,2131,218,390,358,3,969,3100,
Oregon 04,Cobb,4673,312,924,895,4,2135,202,459,372,1,1034,3169,
Oregon 05,Cobb,3846,165,848,607,0,1620,312,672,426,1,1411,3031,
Pebblebrook 01,Cobb,5218,423,1233,854,6,2516,128,348,271,1,748,3264,
Powers Ferry 01,Cobb,3504,183,452,536,3,1174,354,525,437,0,1316,2490,
Pine Mountain 01,Cobb,3491,128,395,374,5,902,352,991,561,1,1905,2807,
Pine Mountain 02,Cobb,3127,91,295,297,2,685,404,877,630,0,1911,2596,
Post Oak 01,Cobb,3660,113,395,528,0,1036,395,850,625,4,1874,2910,
Pope 01,Cobb,3153,102,379,529,0,1010,276,667,556,0,1499,2509,
Palmer 01,Cobb,2760,132,319,336,0,787,305,505,401,0,1211,1998,
Powders Springs 1A,Cobb,4755,191,1246,957,3,2397,152,610,399,2,1163,3560,
Powders Springs 2A,Cobb,3536,208,900,573,3,1684,100,274,191,0,565,2249,
Powders Springs 3A,Cobb,3991,243,1031,575,1,1850,131,438,255,0,824,2674,
Pitner 01,Cobb,2814,183,369,344,1,897,346,531,311,1,1189,2086,
Rocky Mount 01,Cobb,3390,140,363,533,1,1037,476,651,461,1,1589,2626,
Riverside 01,Cobb,2133,199,462,288,2,951,52,61,45,0,158,1109,
Roswell 01,Cobb,5374,151,563,1079,0,1793,521,1078,1081,1,2681,4474,
Roswell 02,Cobb,3701,117,369,715,0,1201,412,693,734,3,1842,3043,
Sandy Plains 01,Cobb,2933,144,404,521,2,1071,322,488,414,0,1224,2295,
Shallowford Falls 01,Cobb,3387,119,381,616,1,1117,413,669,587,0,1669,2786,
Simpson 01,Cobb,1868,61,259,284,0,604,186,406,273,1,866,1470,
Sewell Mill 01,Cobb,3493,145,465,653,0,1263,362,597,553,0,1512,2775,
Sewell Mill 03,Cobb,4759,320,710,619,2,1651,376,492,544,4,1416,3067,
Smyrna 1A,Cobb,4152,380,784,610,3,1777,180,260,240,1,681,2458,
Smyrna 2A,Cobb,5539,384,1237,936,1,2558,199,498,371,1,1069,3627,
Smyrna 3A,Cobb,4573,222,909,765,3,1899,234,580,411,1,1226,3125,
Smyrna 3B,Cobb,2496,123,453,438,2,1016,177,409,292,1,879,1895,
Smyrna 4A,Cobb,5842,217,927,1193,5,2342,356,967,980,1,2304,4646,
Smyrna 5A,Cobb,4319,290,752,725,8,1775,268,428,332,1,1029,2804,
Smyrna 6A,Cobb,5936,264,1068,1042,9,2383,368,902,852,0,2122,4505,
Smyrna 7A,Cobb,6378,208,1607,1477,1,3293,249,852,737,0,1838,5131,
Sope Creek 01,Cobb,2163,97,229,373,0,699,280,382,444,1,1107,1806,
Sope Creek 02,Cobb,4729,183,666,780,1,1630,376,816,771,3,1966,3596,
Sope Creek 03,Cobb,2886,109,348,449,0,906,342,542,472,0,1356,2262,
Sweetwater 01,Cobb,3235,193,678,451,0,1322,198,473,290,1,962,2284,
Sweetwater 02,Cobb,3367,256,592,577,16,1441,101,191,196,5,493,1934,
Terrell Mill 01,Cobb,5816,428,1003,815,10,2256,278,514,440,1,1233,3489,
Timber Ridge 01,Cobb,2448,72,276,471,1,820,275,472,450,0,1197,2017,
Vaughan 01,Cobb,3146,93,386,299,0,778,369,970,404,0,1743,2521,
Vinings 01,Cobb,3260,184,700,523,2,1409,211,330,336,1,878,2287,
Vinings 02,Cobb,6400,365,1215,1030,4,2614,332,721,699,2,1754,4368,
Vinings 03,Cobb,4407,230,925,771,2,1928,176,589,503,3,1271,3199,
Vinings 04,Cobb,3405,178,476,441,0,1095,437,491,586,2,1516,2611,
Wade Green 02,Cobb,4718,250,766,713,0,1729,431,801,510,1,1743,3472,
Willeo 01,Cobb,2836,110,304,486,0,900,362,544,514,1,1421,2321,
