Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Fullers Park 01,Cobb,3452,347,621,544,0,1512,118,385,649,0,1152,32,38,54,0,124,2788,
Ford 01,Cobb,3161,307,962,436,1,1706,69,328,340,0,737,26,40,21,0,87,2530,
Frey 01,Cobb,2582,166,807,308,0,1281,57,304,277,1,639,19,40,31,0,90,2010,
Garrison Mill 01,Cobb,2872,328,578,367,1,1274,109,339,477,0,925,38,43,33,0,114,2313,
Gritters 01,Cobb,4033,417,655,494,1,1567,215,443,570,1,1229,54,56,42,0,152,2948,
Harmony-Leland 01,Cobb,6394,118,344,223,0,685,333,1886,1406,5,3630,37,79,60,0,176,4491,
Harrison 01,Cobb,3122,334,866,479,0,1679,79,306,321,0,706,35,46,30,0,111,2496,
Hightower 01,Cobb,4262,389,751,847,0,1987,89,444,821,0,1354,33,42,76,0,151,3492,
Hayes 01,Cobb,4111,350,1058,611,0,2019,118,429,522,1,1070,28,64,40,1,133,3222,
Kennesaw 1A,Cobb,2499,202,343,186,7,738,163,394,226,8,791,48,35,24,1,108,1637,
Kennesaw 2A,Cobb,3944,292,683,345,1,1321,174,545,486,2,1207,51,66,42,2,161,2689,
Kennesaw 3A,Cobb,6477,277,830,424,4,1535,348,1197,917,3,2465,68,84,64,0,216,4216,
Kennesaw 4A,Cobb,3783,237,637,406,2,1282,173,554,523,0,1250,25,65,41,1,132,2664,
Kennesaw 5A,Cobb,5855,495,1027,463,0,1985,299,1059,863,2,2223,71,92,48,0,211,4419,
Kell 01,Cobb,2006,282,325,246,0,853,112,189,294,1,596,48,29,36,1,114,1563,
Kemp 01,Cobb,1960,241,504,319,0,1064,59,169,214,0,442,22,26,19,0,67,1573,
Kemp 02,Cobb,4049,367,829,597,5,1798,131,552,562,2,1247,46,56,34,0,136,3181,
Kemp 03,Cobb,3955,501,1152,565,2,2220,84,379,406,0,869,36,48,20,1,105,3194,
Lassiter 01,Cobb,3647,430,713,558,0,1701,99,426,573,2,1100,42,54,48,0,144,2945,
Lindley 01,Cobb,4797,181,376,276,0,833,258,1365,1135,1,2759,31,54,48,0,133,3725,
Lost Mountain 01,Cobb,3604,190,1019,524,1,1734,83,534,494,0,1111,26,59,38,0,123,2968,
Lost Mountain 02,Cobb,4121,354,1389,620,0,2363,91,518,427,0,1036,28,44,42,0,114,3513,
Lost Mountain 03,Cobb,5387,277,1666,715,1,2659,110,754,622,1,1487,28,95,58,0,181,4327,
Lost Mountain 04,Cobb,2629,240,714,349,1,1304,51,329,318,0,698,29,47,21,0,97,2099,
Mableton 01,Cobb,5127,140,465,400,4,1009,256,1099,994,0,2349,27,86,49,0,162,3520,
Mableton 02,Cobb,3330,128,211,171,0,510,239,586,523,0,1348,21,31,27,0,79,1937,
Mableton 03,Cobb,3010,175,386,321,0,882,165,506,469,3,1143,32,38,40,0,110,2135,
Mableton 04,Cobb,1581,134,224,219,0,577,59,271,302,0,632,17,22,12,0,51,1260,
Mabry 01,Cobb,1656,242,369,269,3,883,47,162,227,1,437,12,20,22,1,55,1375,
Macland 01,Cobb,4213,140,392,203,0,735,252,1036,780,1,2069,34,61,37,1,133,2937,
Murdock 01,Cobb,4059,432,684,720,0,1836,131,444,750,0,1325,36,47,69,0,152,3313,
McEachern 01,Cobb,3549,153,537,362,1,1053,125,774,625,0,1524,19,36,31,0,86,2663,
McCleskey 01,Cobb,1736,242,344,234,0,820,65,185,294,1,545,23,14,19,0,56,1421,
McClure 01,Cobb,3290,368,842,402,2,1614,99,364,381,1,845,35,48,36,0,119,2578,
Marietta 1A,Cobb,4468,183,310,216,1,710,299,671,504,6,1480,57,55,44,0,156,2346,
Marietta 2A,Cobb,2059,266,368,363,0,997,94,266,266,0,626,36,32,32,0,100,1723,
Marietta 2B,Cobb,4447,248,514,438,1,1201,306,807,631,0,1744,39,56,36,1,132,3077,
Marietta 3A,Cobb,4388,312,646,544,1,1503,170,654,673,2,1499,60,66,54,0,180,3182,
Marietta 3B,Cobb,2218,46,99,80,0,225,165,466,424,1,1056,17,32,14,0,63,1344,
Marietta 4A,Cobb,1956,408,366,376,0,1150,64,155,217,1,437,21,24,20,0,65,1652,
Marietta 4B,Cobb,2056,185,276,258,0,719,94,304,312,1,711,25,30,31,0,86,1516,
Marietta 4C,Cobb,2781,286,680,398,0,1364,75,315,406,0,796,24,32,35,0,91,2251,
Marietta 5A,Cobb,3324,157,251,198,0,606,252,548,530,6,1336,42,34,29,1,106,2048,
Marietta 5B,Cobb,3084,126,146,103,0,375,252,509,398,2,1161,31,33,26,1,91,1627,
Marietta 6A,Cobb,2647,109,161,99,2,371,237,502,351,3,1093,29,36,15,0,80,1544,
Marietta 6B,Cobb,2910,238,441,333,0,1012,124,459,560,0,1143,39,33,39,0,111,2266,
Marietta 7A,Cobb,3745,97,147,96,1,341,247,714,400,3,1364,39,46,27,0,112,1817,
Mars Hill 01,Cobb,3633,415,1087,470,2,1974,85,265,296,0,646,31,46,25,0,102,2722,
Mars Hill 02,Cobb,2916,282,565,243,0,1090,114,386,371,0,871,38,50,31,0,119,2080,
Mt Bethel 01,Cobb,4125,399,775,786,3,1963,83,386,804,1,1274,39,44,68,2,153,3390,
Mt Bethel 03,Cobb,3294,219,689,534,0,1442,68,400,617,1,1086,20,36,39,0,95,2623,
Mt Bethel 04,Cobb,2981,256,577,580,0,1413,63,278,559,0,900,30,28,42,0,100,2413,
North Cobb 01,Cobb,2317,200,374,202,0,776,100,384,314,1,799,31,30,21,0,82,1657,
Nickajack 01,Cobb,4889,150,409,265,3,827,296,1300,901,2,2499,28,76,44,0,148,3474,
Norton Park 01,Cobb,4922,208,483,458,1,1150,336,713,742,6,1797,59,57,74,1,191,3138,
Nicholson 01,Cobb,2455,284,378,295,1,958,110,297,350,0,757,33,41,32,0,106,1821,
Oakdale 01,Cobb,3944,265,514,484,0,1263,152,722,786,1,1661,21,39,43,1,104,3028,
Oregon 01,Cobb,1614,164,397,213,1,775,72,220,213,0,505,24,19,16,1,60,1340,
Oregon 02,Cobb,5671,207,388,377,0,972,395,1201,1066,3,2665,44,71,50,0,165,3802,
Oregon 03,Cobb,5713,199,337,290,2,828,418,951,751,6,2126,51,54,65,2,172,3126,
Oregon 04,Cobb,4673,181,400,295,1,877,309,919,940,4,2172,36,65,34,0,135,3184,
Oregon 05,Cobb,3846,292,602,346,1,1241,157,865,658,0,1680,31,50,36,0,117,3038,
Pebblebrook 01,Cobb,5218,109,262,217,0,588,411,1259,886,6,2562,34,65,32,1,132,3282,
Powers Ferry 01,Cobb,3504,330,488,399,0,1217,168,445,535,5,1153,49,50,46,0,145,2515,
Pine Mountain 01,Cobb,3491,352,970,516,1,1839,102,381,394,5,882,31,42,30,0,103,2824,
Pine Mountain 02,Cobb,3127,400,849,577,0,1826,70,288,318,1,677,27,35,36,1,99,2602,
Post Oak 01,Cobb,3660,377,812,563,4,1756,98,368,545,0,1011,37,64,60,0,161,2928,
Pope 01,Cobb,3153,254,632,483,0,1369,98,364,559,0,1021,29,52,50,0,131,2521,
Palmer 01,Cobb,2760,282,473,358,0,1113,127,311,349,0,787,32,42,32,0,106,2006,
Powders Springs 1A,Cobb,4755,137,526,312,1,976,174,1268,1005,4,2451,30,67,45,1,143,3570,
Powders Springs 2A,Cobb,3536,81,220,147,0,448,200,908,588,3,1699,28,46,30,0,104,2251,
Powders Springs 3A,Cobb,3991,113,372,208,0,693,240,1052,596,1,1889,28,49,35,0,112,2694,
Pitner 01,Cobb,2814,326,517,292,1,1136,161,350,342,1,854,41,38,23,0,102,2092,
Rocky Mount 01,Cobb,3390,462,624,406,1,1493,125,356,564,2,1047,35,42,33,0,110,2650,
Riverside 01,Cobb,2133,36,36,25,0,97,203,468,305,2,978,13,19,5,0,37,1112,
Roswell 01,Cobb,5374,493,1042,997,1,2533,132,544,1113,0,1789,48,57,77,0,182,4504,
Roswell 02,Cobb,3701,396,664,655,3,1718,104,368,753,0,1225,30,28,48,0,106,3049,
Sandy Plains 01,Cobb,2933,296,453,381,0,1130,131,395,529,2,1057,46,50,37,0,133,2320,
Shallowford Falls 01,Cobb,3387,393,651,562,0,1606,102,362,626,1,1091,37,39,37,0,113,2810,
Simpson 01,Cobb,1868,176,374,249,1,800,55,266,295,0,616,18,28,16,0,62,1478,
Sewell Mill 01,Cobb,3493,334,573,506,0,1413,137,451,655,0,1243,34,46,59,0,139,2795,
Sewell Mill 03,Cobb,4759,348,443,488,3,1282,302,716,659,3,1680,52,47,48,1,148,3110,
Smyrna 1A,Cobb,4152,151,209,196,1,557,373,801,619,3,1796,40,37,43,0,120,2473,
Smyrna 2A,Cobb,5539,153,433,296,1,883,363,1232,961,1,2557,71,72,66,0,209,3649,
Smyrna 3A,Cobb,4573,207,501,318,0,1026,222,930,811,3,1966,33,72,61,1,167,3159,
Smyrna 3B,Cobb,2496,156,373,256,1,786,113,451,456,2,1022,31,42,36,0,109,1917,
Smyrna 4A,Cobb,5842,334,854,831,1,2020,200,975,1265,4,2444,44,80,95,1,220,4684,
Smyrna 5A,Cobb,4319,227,363,273,1,864,285,764,751,8,1808,51,57,48,0,156,2828,
Smyrna 6A,Cobb,5936,341,809,713,1,1864,241,1083,1124,7,2455,55,86,77,0,218,4537,
Smyrna 7A,Cobb,6378,228,727,598,0,1553,198,1660,1564,1,3423,33,76,69,0,178,5154,
Sope Creek 01,Cobb,2163,272,376,397,1,1046,87,212,400,0,699,18,22,32,0,72,1817,
Sope Creek 02,Cobb,4729,366,778,698,3,1845,168,652,797,1,1618,29,52,56,0,137,3600,
Sope Creek 03,Cobb,2886,337,536,442,0,1315,95,325,445,0,865,20,28,37,0,85,2265,
Sweetwater 01,Cobb,3235,185,425,246,0,856,187,691,475,1,1354,25,43,21,0,89,2299,
Sweetwater 02,Cobb,3367,88,158,176,4,426,247,603,580,16,1446,20,26,26,1,73,1945,
Terrell Mill 01,Cobb,5816,232,445,378,1,1056,421,1000,831,10,2262,57,79,67,0,203,3521,
Timber Ridge 01,Cobb,2448,268,456,413,0,1137,61,269,488,1,819,19,24,29,0,72,2028,
Vaughan 01,Cobb,3146,337,939,357,0,1633,86,359,319,0,764,40,57,29,0,126,2523,
Vinings 01,Cobb,3260,193,275,282,1,751,182,711,561,2,1456,24,46,27,0,97,2304,
Vinings 02,Cobb,6400,295,648,608,2,1553,366,1231,1069,3,2669,48,63,69,1,181,4403,
Vinings 03,Cobb,4407,166,525,447,3,1141,217,954,812,2,1985,25,46,35,0,106,3232,
Vinings 04,Cobb,3405,416,462,541,2,1421,169,472,467,0,1108,31,34,27,0,92,2621,
Wade Green 02,Cobb,4718,393,729,463,1,1586,218,772,720,0,1710,78,64,42,0,184,3480,
Willeo 01,Cobb,2836,343,531,475,1,1350,95,291,498,0,884,38,29,44,0,111,2345,
