County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total Votes
Camden,34950.0,3621.0,9465.0,2161.0,4.0,15251.0,1166.0,4021.0,2777.0,3.0,7967.0,170.0,205.0,95.0,0.0,470.0,23688.0
Candler,6300.0,431.0,2327.0,375.0,0.0,3133.0,193.0,699.0,376.0,1.0,1269.0,14.0,11.0,4.0,0.0,29.0,4431.0
Carroll,83847.0,11071.0,21676.0,4699.0,30.0,37476.0,3007.0,8582.0,4634.0,15.0,16238.0,278.0,357.0,125.0,0.0,760.0,54474.0
Catoosa,45715.0,5170.0,17025.0,2952.0,20.0,25167.0,976.0,3823.0,2130.0,3.0,6932.0,178.0,236.0,78.0,2.0,494.0,32593.0
Charlton,6552.0,1124.0,1896.0,397.0,2.0,3419.0,233.0,576.0,294.0,0.0,1103.0,17.0,20.0,7.0,0.0,44.0,4566.0
Chatham,200388.0,18346.0,23014.0,11781.0,96.0,53237.0,17952.0,31085.0,29037.0,180.0,78254.0,889.0,519.0,506.0,15.0,1929.0,133420.0
Chattahoochee,0.0,291.0,455.0,132.0,2.0,880.0,150.0,350.0,166.0,1.0,667.0,17.0,8.0,9.0,1.0,35.0,1582.0
Chattooga,14143.0,2464.0,4492.0,1102.0,6.0,8064.0,366.0,837.0,649.0,2.0,1854.0,50.0,57.0,25.0,0.0,132.0,10050.0
Cherokee,190531.0,23758.0,56171.0,19639.0,19.0,99587.0,6598.0,18929.0,17261.0,6.0,42794.0,921.0,899.0,628.0,1.0,2449.0,144830.0
Clarke,76504.0,3409.0,6974.0,4048.0,15.0,14446.0,5323.0,16357.0,14329.0,39.0,36048.0,268.0,325.0,243.0,3.0,839.0,51333.0
Clay,2053.0,131.0,401.0,105.0,0.0,637.0,165.0,329.0,296.0,0.0,790.0,5.0,0.0,2.0,0.0,7.0,1434.0
Clayton,193326.0,3403.0,7988.0,4366.0,56.0,15813.0,16580.0,51347.0,27109.0,440.0,95476.0,343.0,397.0,312.0,3.0,1055.0,112344.0
Clinch,4345.0,618.0,1277.0,209.0,1.0,2105.0,235.0,356.0,156.0,0.0,747.0,2.0,8.0,2.0,0.0,12.0,2864.0
Cobb,537611.0,37609.0,76907.0,50764.0,179.0,165459.0,30599.0,95387.0,95513.0,347.0,221846.0,2157.0,1952.0,2320.0,12.0,6441.0,393746.0
Coffee,25114.0,2587.0,7066.0,917.0,8.0,10578.0,1100.0,2411.0,995.0,5.0,4511.0,41.0,67.0,17.0,0.0,125.0,15214.0
Colquitt,25054.0,4270.0,6132.0,1365.0,10.0,11777.0,1108.0,1877.0,1199.0,3.0,4187.0,50.0,49.0,20.0,0.0,119.0,16083.0
Columbia,127380.0,13300.0,29643.0,7023.0,47.0,50013.0,5009.0,14648.0,9546.0,33.0,29236.0,514.0,575.0,241.0,0.0,1330.0,80579.0
Cook,10632.0,1113.0,3301.0,486.0,0.0,4900.0,538.0,1008.0,512.0,1.0,2059.0,26.0,36.0,14.0,0.0,76.0,7035.0
Coweta,102110.0,18273.0,23824.0,9400.0,4.0,51501.0,5330.0,9578.0,9288.0,14.0,24210.0,498.0,283.0,304.0,3.0,1088.0,76799.0
Crawford,8512.0,1152.0,2713.0,562.0,1.0,4428.0,263.0,827.0,524.0,1.0,1615.0,21.0,28.0,10.0,0.0,59.0,6102.0
Crisp,12554.0,977.0,3227.0,780.0,3.0,4987.0,571.0,1527.0,886.0,2.0,2986.0,23.0,33.0,10.0,0.0,66.0,8039.0
Dade,11660.0,2010.0,3414.0,635.0,7.0,6066.0,243.0,640.0,377.0,1.0,1261.0,51.0,44.0,12.0,0.0,107.0,7434.0
Dawson,21529.0,2336.0,9095.0,1964.0,3.0,13398.0,254.0,1181.0,1051.0,0.0,2486.0,62.0,90.0,44.0,1.0,197.0,16081.0
DeKalb,546711.0,12126.0,29966.0,16078.0,203.0,58373.0,33634.0,162718.0,110666.0,1209.0,308227.0,1122.0,1707.0,1356.0,19.0,4204.0,370804.0
Decatur,16618.0,1469.0,4451.0,832.0,6.0,6758.0,788.0,2512.0,1472.0,8.0,4780.0,20.0,46.0,23.0,0.0,89.0,11627.0
Dodge,11439.0,2335.0,2793.0,711.0,4.0,5843.0,550.0,1040.0,580.0,1.0,2171.0,34.0,11.0,10.0,1.0,56.0,8070.0
Dooly,5949.0,466.0,1431.0,259.0,3.0,2159.0,482.0,951.0,476.0,2.0,1911.0,10.0,18.0,7.0,0.0,35.0,4105.0
Dougherty,61172.0,4259.0,3818.0,2355.0,22.0,10454.0,7317.0,9124.0,8052.0,84.0,24577.0,133.0,74.0,70.0,3.0,280.0,35311.0
Douglas,102540.0,4863.0,15139.0,5434.0,15.0,25451.0,5963.0,22804.0,13998.0,44.0,42809.0,259.0,349.0,227.0,2.0,837.0,69097.0
Early,7320.0,799.0,1504.0,416.0,3.0,2722.0,646.0,1107.0,684.0,0.0,2437.0,7.0,15.0,6.0,0.0,28.0,5187.0
Echols,2156.0,226.0,909.0,121.0,0.0,1256.0,33.0,102.0,32.0,0.0,167.0,4.0,11.0,3.0,0.0,18.0,1441.0
Effingham,44273.0,7350.0,13471.0,2520.0,17.0,23358.0,1752.0,3623.0,2333.0,12.0,7720.0,233.0,167.0,92.0,0.0,492.0,31570.0
Elbert,12305.0,1837.0,3408.0,981.0,0.0,6226.0,529.0,1268.0,1082.0,0.0,2879.0,30.0,23.0,13.0,0.0,66.0,9171.0
Emanuel,13715.0,2528.0,3126.0,896.0,1.0,6551.0,842.0,1234.0,808.0,0.0,2884.0,36.0,22.0,7.0,1.0,66.0,9501.0
Evans,6135.0,471.0,1926.0,491.0,0.0,2888.0,236.0,741.0,347.0,0.0,1324.0,12.0,11.0,12.0,0.0,35.0,4247.0
Fannin,20399.0,4163.0,5730.0,2253.0,23.0,12169.0,384.0,1028.0,1159.0,0.0,2571.0,43.0,35.0,32.0,0.0,110.0,14850.0
Fayette,92307.0,6352.0,24162.0,7382.0,56.0,37952.0,3400.0,18443.0,11152.0,70.0,33065.0,279.0,463.0,232.0,2.0,976.0,71993.0
Floyd,60650.0,7897.0,16678.0,4436.0,112.0,29123.0,2154.0,5820.0,3976.0,58.0,12008.0,199.0,220.0,98.0,0.0,517.0,41648.0
Forsyth,163984.0,9740.0,60739.0,14612.0,31.0,85122.0,3375.0,23125.0,15682.0,21.0,42203.0,415.0,1087.0,477.0,1.0,1980.0,129305.0
Franklin,15146.0,2299.0,5364.0,1404.0,2.0,9069.0,348.0,647.0,598.0,0.0,1593.0,31.0,47.0,25.0,0.0,103.0,10765.0
Fulton,806451.0,19552.0,87293.0,29479.0,916.0,137240.0,38143.0,224688.0,115788.0,2525.0,381144.0,1448.0,3004.0,1727.0,96.0,6275.0,524659.0
Gilmer,22264.0,4371.0,6863.0,2183.0,12.0,13429.0,453.0,1209.0,1270.0,0.0,2932.0,64.0,64.0,35.0,1.0,164.0,16525.0
Glascock,2039.0,403.0,795.0,205.0,0.0,1403.0,40.0,62.0,53.0,0.0,155.0,3.0,4.0,1.0,0.0,8.0,1566.0
Glynn,61952.0,4701.0,16492.0,4388.0,35.0,25616.0,2153.0,7969.0,5735.0,22.0,15879.0,149.0,234.0,105.0,1.0,489.0,41984.0
Gordon,36429.0,6986.0,9866.0,2538.0,15.0,19405.0,1003.0,1916.0,1464.0,1.0,4384.0,107.0,86.0,51.0,0.0,244.0,24033.0
Grady,15442.0,2028.0,3896.0,1103.0,7.0,7034.0,635.0,1861.0,1112.0,11.0,3619.0,25.0,18.0,11.0,0.0,54.0,10707.0
Greene,14171.0,844.0,4947.0,1275.0,2.0,7068.0,583.0,1965.0,1532.0,8.0,4088.0,21.0,51.0,19.0,0.0,91.0,11247.0
Gwinnett,581467.0,35271.0,90472.0,40396.0,274.0,166413.0,35793.0,124125.0,81502.0,407.0,241827.0,1742.0,2186.0,1679.0,18.0,5625.0,413865.0
Habersham,28264.0,2628.0,11083.0,2905.0,21.0,16637.0,511.0,1733.0,1315.0,4.0,3563.0,64.0,126.0,42.0,0.0,232.0,20432.0
Hall,0.0,11111.0,40999.0,12005.0,55.0,64170.0,3847.0,11951.0,9215.0,18.0,25031.0,402.0,611.0,305.0,4.0,1322.0,90523.0
Hancock,5827.0,274.0,641.0,244.0,0.0,1159.0,624.0,1135.0,1223.0,3.0,2985.0,10.0,4.0,7.0,0.0,21.0,4165.0
Haralson,20667.0,4317.0,6224.0,1786.0,4.0,12331.0,375.0,746.0,671.0,0.0,1792.0,55.0,40.0,30.0,0.0,125.0,14248.0
Harris,25626.0,5592.0,6627.0,2087.0,13.0,14319.0,1278.0,2106.0,2067.0,6.0,5457.0,103.0,50.0,62.0,0.0,215.0,19991.0
Hart,16929.0,2338.0,5687.0,1437.0,2.0,9464.0,560.0,1467.0,1128.0,2.0,3157.0,43.0,43.0,20.0,0.0,106.0,12727.0
Heard,7762.0,1641.0,2197.0,677.0,1.0,4516.0,184.0,343.0,296.0,1.0,824.0,21.0,19.0,11.0,0.0,51.0,5391.0
Henry,171905.0,8143.0,31879.0,8134.0,31.0,48187.0,8191.0,44156.0,20858.0,71.0,73276.0,322.0,645.0,310.0,2.0,1279.0,122742.0
Houston,105315.0,11644.0,21677.0,8163.0,50.0,41534.0,6349.0,13970.0,11867.0,46.0,32232.0,422.0,339.0,294.0,2.0,1057.0,74823.0
Irwin,6113.0,655.0,2106.0,369.0,4.0,3134.0,227.0,523.0,257.0,1.0,1008.0,8.0,17.0,1.0,0.0,26.0,4168.0
Jackson,51951.0,4961.0,20135.0,4395.0,6.0,29497.0,1053.0,3791.0,2797.0,1.0,7642.0,157.0,258.0,116.0,0.0,531.0,37670.0
Jasper,10432.0,1547.0,3455.0,808.0,12.0,5822.0,294.0,785.0,680.0,2.0,1761.0,22.0,21.0,18.0,0.0,61.0,7644.0
Jeff Davis,8478.0,1418.0,2749.0,528.0,0.0,4695.0,248.0,507.0,273.0,0.0,1028.0,18.0,17.0,13.0,0.0,48.0,5771.0
Jefferson,11334.0,1096.0,1992.0,446.0,3.0,3537.0,1056.0,1723.0,1274.0,8.0,4061.0,18.0,20.0,6.0,0.0,44.0,7642.0
Jenkins,5066.0,579.0,1244.0,335.0,3.0,2161.0,292.0,557.0,416.0,1.0,1266.0,15.0,8.0,5.0,0.0,28.0,3455.0
Johnson,5611.0,771.0,1748.0,331.0,0.0,2850.0,209.0,593.0,420.0,0.0,1222.0,9.0,13.0,6.0,0.0,28.0,4100.0
Jones,0.0,3023.0,5666.0,1272.0,4.0,9965.0,841.0,2356.0,1689.0,2.0,4888.0,47.0,47.0,18.0,1.0,113.0,14966.0
Lamar,12839.0,1743.0,3772.0,807.0,8.0,6330.0,472.0,1204.0,936.0,3.0,2615.0,40.0,40.0,14.0,0.0,94.0,9039.0
Lanier,5462.0,481.0,1778.0,250.0,0.0,2509.0,204.0,517.0,298.0,0.0,1019.0,13.0,25.0,10.0,0.0,48.0,3576.0
Laurens,32880.0,5660.0,6479.0,2351.0,3.0,14493.0,1884.0,3451.0,2735.0,3.0,8073.0,62.0,63.0,38.0,0.0,163.0,22729.0
Lee,22897.0,3054.0,7728.0,1221.0,4.0,12007.0,895.0,2418.0,1243.0,2.0,4558.0,62.0,68.0,19.0,0.0,149.0,16714.0
Liberty,35582.0,1704.0,4941.0,1311.0,3.0,7959.0,1666.0,7129.0,4301.0,3.0,13099.0,102.0,136.0,93.0,0.0,331.0,21389.0
Lincoln,6176.0,904.0,1832.0,442.0,1.0,3179.0,265.0,540.0,628.0,2.0,1435.0,13.0,13.0,10.0,0.0,36.0,4650.0
Long,10470.0,1126.0,2102.0,290.0,10.0,3528.0,379.0,1148.0,500.0,6.0,2033.0,33.0,48.0,14.0,0.0,95.0,5656.0
Lowndes,75356.0,5351.0,16795.0,3379.0,166.0,25691.0,2892.0,11017.0,5929.0,279.0,20117.0,168.0,249.0,122.0,8.0,547.0,46355.0
Lumpkin,22407.0,2002.0,8138.0,2022.0,1.0,12163.0,332.0,1549.0,1245.0,0.0,3126.0,63.0,131.0,48.0,0.0,242.0,15531.0
Macon,6991.0,348.0,1296.0,139.0,0.0,1783.0,692.0,1459.0,706.0,0.0,2857.0,10.0,10.0,2.0,0.0,22.0,4662.0
Madison,20720.0,3502.0,6103.0,1718.0,3.0,11326.0,740.0,1478.0,1192.0,1.0,3411.0,83.0,77.0,40.0,0.0,200.0,14937.0
Marion,4913.0,759.0,1221.0,295.0,0.0,2275.0,220.0,620.0,471.0,0.0,1311.0,12.0,20.0,6.0,0.0,38.0,3624.0
McDuffie,15033.0,826.0,4445.0,898.0,0.0,6169.0,600.0,2046.0,1522.0,0.0,4168.0,40.0,55.0,23.0,0.0,118.0,10455.0
McIntosh,9292.0,810.0,2371.0,834.0,1.0,4016.0,442.0,1317.0,853.0,0.0,2612.0,34.0,19.0,15.0,0.0,68.0,6696.0
Meriwether,15337.0,2230.0,3312.0,980.0,2.0,6524.0,1189.0,1604.0,1489.0,5.0,4287.0,25.0,24.0,17.0,0.0,66.0,10877.0
Miller,3912.0,530.0,1269.0,264.0,3.0,2066.0,174.0,354.0,221.0,0.0,749.0,7.0,11.0,2.0,0.0,20.0,2835.0
Mitchell,13474.0,1551.0,2701.0,681.0,2.0,4935.0,818.0,1673.0,1499.0,5.0,3995.0,17.0,7.0,9.0,0.0,33.0,8963.0
Monroe,21138.0,3102.0,6890.0,1062.0,6.0,11060.0,690.0,2320.0,1372.0,2.0,4384.0,52.0,69.0,27.0,0.0,148.0,15592.0
Montgomery,5463.0,1109.0,1495.0,356.0,0.0,2960.0,250.0,419.0,310.0,0.0,979.0,12.0,12.0,3.0,0.0,27.0,3966.0
Morgan,14824.0,1865.0,5424.0,938.0,3.0,8230.0,496.0,1815.0,1042.0,2.0,3355.0,50.0,53.0,19.0,0.0,122.0,11707.0
Murray,22284.0,3893.0,7689.0,1361.0,0.0,12943.0,530.0,1093.0,679.0,0.0,2302.0,50.0,72.0,22.0,0.0,144.0,15389.0
Muscogee,130878.0,6527.0,17106.0,6399.0,17.0,30049.0,6579.0,25227.0,17690.0,33.0,49529.0,305.0,397.0,261.0,2.0,965.0,80543.0
Newton,78994.0,10888.0,8103.0,4860.0,18.0,23869.0,6745.0,12556.0,10471.0,22.0,29794.0,289.0,129.0,158.0,0.0,576.0,54239.0
Oconee,30071.0,2680.0,11216.0,2696.0,3.0,16595.0,723.0,4444.0,2993.0,2.0,8162.0,113.0,222.0,76.0,0.0,411.0,25168.0
Oglethorpe,10844.0,1061.0,3584.0,946.0,2.0,5593.0,417.0,1150.0,868.0,1.0,2436.0,26.0,47.0,28.0,1.0,102.0,8131.0
Paulding,114945.0,9710.0,35174.0,9582.0,59.0,54525.0,3763.0,15376.0,10525.0,40.0,29704.0,327.0,550.0,278.0,1.0,1156.0,85385.0
Peach,17996.0,954.0,4728.0,810.0,10.0,6502.0,809.0,3364.0,1741.0,6.0,5920.0,44.0,66.0,12.0,1.0,123.0,12545.0
Pickens,23766.0,5994.0,6287.0,1786.0,8.0,14075.0,645.0,1044.0,1119.0,0.0,2808.0,135.0,64.0,34.0,0.0,233.0,17116.0
Pierce,12717.0,1208.0,5768.0,923.0,0.0,7899.0,122.0,610.0,368.0,0.0,1100.0,14.0,29.0,6.0,0.0,49.0,9048.0
Pike,0.0,2341.0,5864.0,919.0,3.0,9127.0,285.0,695.0,523.0,2.0,1505.0,27.0,41.0,20.0,0.0,88.0,10720.0
Polk,24189.0,2849.0,9021.0,1707.0,12.0,13589.0,607.0,1957.0,1088.0,6.0,3658.0,58.0,67.0,24.0,3.0,152.0,17399.0
Pulaski,5687.0,336.0,2155.0,313.0,1.0,2805.0,165.0,715.0,337.0,0.0,1217.0,10.0,18.0,9.0,0.0,37.0,4059.0
Putnam,16003.0,1547.0,4983.0,1760.0,1.0,8291.0,470.0,1500.0,1478.0,0.0,3448.0,35.0,47.0,34.0,0.0,116.0,11855.0
Quitman,1547.0,163.0,353.0,88.0,0.0,604.0,163.0,196.0,137.0,1.0,497.0,3.0,1.0,1.0,0.0,5.0,1106.0
Rabun,13072.0,1207.0,4604.0,1663.0,0.0,7474.0,199.0,897.0,888.0,0.0,1984.0,28.0,49.0,33.0,0.0,110.0,9568.0
Randolph,4341.0,321.0,856.0,214.0,0.0,1391.0,402.0,802.0,464.0,3.0,1671.0,6.0,4.0,2.0,0.0,12.0,3074.0
Richmond,134749.0,8584.0,11931.0,6233.0,33.0,26781.0,11843.0,25780.0,21348.0,153.0,59124.0,428.0,359.0,322.0,2.0,1111.0,87016.0
Rockdale,65505.0,2526.0,7466.0,3005.0,15.0,13012.0,3543.0,18248.0,9429.0,24.0,31244.0,126.0,189.0,115.0,0.0,430.0,44686.0
Schley,2882.0,304.0,1341.0,154.0,1.0,1800.0,65.0,240.0,157.0,0.0,462.0,4.0,6.0,3.0,0.0,13.0,2275.0
Screven,0.0,1260.0,2140.0,505.0,11.0,3916.0,601.0,1264.0,789.0,7.0,2661.0,24.0,22.0,5.0,0.0,51.0,6628.0
Seminole,5936.0,944.0,1390.0,277.0,0.0,2611.0,294.0,691.0,269.0,0.0,1254.0,15.0,3.0,1.0,0.0,19.0,3884.0
Spalding,45985.0,5234.0,8801.0,3490.0,532.0,18057.0,2554.0,4600.0,4264.0,366.0,11784.0,132.0,78.0,53.0,12.0,275.0,30116.0
Stephens,0.0,1234.0,6765.0,1365.0,4.0,9368.0,291.0,1288.0,806.0,0.0,2385.0,33.0,75.0,24.0,0.0,132.0,11885.0
Stewart,2893.0,229.0,462.0,105.0,5.0,801.0,292.0,505.0,378.0,7.0,1182.0,2.0,3.0,2.0,0.0,7.0,1990.0
Sumter,17800.0,1524.0,3358.0,837.0,13.0,5732.0,1139.0,3150.0,2023.0,6.0,6318.0,26.0,56.0,18.0,0.0,100.0,12150.0
Talbot,4563.0,464.0,686.0,241.0,1.0,1392.0,541.0,618.0,955.0,0.0,2114.0,9.0,5.0,2.0,0.0,16.0,3522.0
Taliaferro,1245.0,96.0,200.0,64.0,0.0,360.0,100.0,223.0,237.0,1.0,561.0,4.0,2.0,1.0,0.0,7.0,928.0
Tattnall,12184.0,1536.0,3699.0,818.0,0.0,6053.0,412.0,1103.0,546.0,0.0,2061.0,34.0,25.0,10.0,0.0,69.0,8183.0
Taylor,5400.0,349.0,1764.0,292.0,13.0,2418.0,272.0,624.0,489.0,2.0,1387.0,13.0,18.0,3.0,0.0,34.0,3839.0
Telfair,6032.0,958.0,1506.0,358.0,3.0,2825.0,317.0,545.0,618.0,7.0,1487.0,10.0,9.0,2.0,0.0,21.0,4333.0
Terrell,6594.0,665.0,1069.0,270.0,0.0,2004.0,567.0,969.0,839.0,1.0,2376.0,15.0,9.0,12.0,0.0,36.0,4416.0
Thomas,30028.0,2718.0,8565.0,1670.0,1.0,12954.0,1473.0,4819.0,2412.0,4.0,8708.0,65.0,91.0,35.0,0.0,191.0,21853.0
Tift,24449.0,2721.0,6833.0,1221.0,9.0,10784.0,1110.0,2732.0,1464.0,16.0,5322.0,54.0,88.0,33.0,2.0,177.0,16283.0
Toombs,0.0,1797.0,4852.0,1217.0,6.0,7872.0,569.0,1288.0,1078.0,4.0,2939.0,49.0,38.0,16.0,0.0,103.0,10914.0
Towns,10693.0,984.0,4165.0,1227.0,8.0,6384.0,118.0,720.0,711.0,1.0,1550.0,17.0,18.0,10.0,0.0,45.0,7979.0
Treutlen,0.0,418.0,1409.0,274.0,0.0,2101.0,123.0,526.0,303.0,0.0,952.0,10.0,10.0,4.0,0.0,24.0,3077.0
Troup,42964.0,4673.0,10519.0,2905.0,46.0,18143.0,2809.0,5276.0,3459.0,34.0,11578.0,139.0,129.0,60.0,0.0,328.0,30049.0
Turner,5582.0,377.0,1738.0,233.0,1.0,2349.0,332.0,788.0,289.0,1.0,1410.0,6.0,22.0,5.0,0.0,33.0,3792.0
Twiggs,6304.0,841.0,1219.0,310.0,0.0,2370.0,426.0,878.0,736.0,4.0,2044.0,15.0,8.0,7.0,0.0,30.0,4444.0
Union,19201.0,3400.0,7008.0,2232.0,11.0,12651.0,300.0,1198.0,1303.0,0.0,2801.0,49.0,36.0,23.0,0.0,108.0,15560.0
Upson,18175.0,1364.0,6063.0,1175.0,6.0,8608.0,646.0,1983.0,1572.0,0.0,4201.0,28.0,48.0,20.0,0.0,96.0,12905.0
Walker,42924.0,5560.0,14089.0,3517.0,8.0,23174.0,994.0,2567.0,2206.0,2.0,5769.0,162.0,173.0,76.0,0.0,411.0,29354.0
Walton,70006.0,9202.0,22594.0,6031.0,15.0,37842.0,2145.0,6272.0,4254.0,11.0,12682.0,225.0,235.0,111.0,0.0,571.0,51095.0
Ware,21994.0,2577.0,5900.0,1368.0,20.0,9865.0,563.0,2066.0,1556.0,26.0,4211.0,46.0,52.0,17.0,1.0,116.0,14192.0
Warren,3785.0,190.0,771.0,205.0,0.0,1166.0,297.0,632.0,540.0,0.0,1469.0,6.0,9.0,1.0,0.0,16.0,2651.0
Washington,12990.0,1481.0,2458.0,719.0,5.0,4663.0,1071.0,1843.0,1811.0,5.0,4730.0,25.0,27.0,14.0,0.0,66.0,9459.0
Wayne,18104.0,2495.0,6131.0,1354.0,7.0,9987.0,460.0,1489.0,736.0,2.0,2687.0,35.0,53.0,16.0,0.0,104.0,12778.0
Webster,1705.0,139.0,488.0,121.0,0.0,748.0,142.0,270.0,227.0,0.0,639.0,0.0,1.0,2.0,0.0,3.0,1390.0
Wheeler,0.0,438.0,943.0,202.0,0.0,1583.0,197.0,297.0,195.0,0.0,689.0,5.0,7.0,1.0,0.0,13.0,2285.0
White,20622.0,3448.0,6680.0,2088.0,6.0,12222.0,372.0,1066.0,973.0,0.0,2411.0,80.0,76.0,27.0,0.0,183.0,14816.0
Whitfield,54749.0,8963.0,13084.0,3544.0,45.0,25636.0,2814.0,4997.0,2840.0,19.0,10670.0,194.0,162.0,84.0,0.0,440.0,36746.0
Wilcox,4661.0,743.0,1317.0,343.0,0.0,2403.0,285.0,365.0,212.0,0.0,862.0,8.0,6.0,2.0,0.0,16.0,3281.0
Wilkes,6819.0,704.0,1649.0,467.0,3.0,2823.0,504.0,897.0,755.0,4.0,2160.0,16.0,20.0,10.0,0.0,46.0,5029.0
Wilkinson,6470.0,1293.0,1109.0,259.0,3.0,2664.0,528.0,942.0,602.0,3.0,2075.0,17.0,10.0,4.0,0.0,31.0,4770.0
Worth,14469.0,2779.0,3285.0,766.0,0.0,6830.0,581.0,994.0,820.0,0.0,2395.0,22.0,28.0,10.0,0.0,60.0,9285.0
