Precinct,County,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,calc_participation
Mt Calvary,Lowndes,4447.0,171.0,536.0,175.0,40.0,922.0,922.0,20.7
Barwick,Thomas,630.0,136.0,235.0,52.0,0.0,423.0,423.0,67.1
Boston,Thomas,1632.0,218.0,464.0,139.0,0.0,821.0,821.0,50.3
Central,Thomas,3523.0,241.0,1513.0,321.0,0.0,2075.0,2075.0,58.9
Coolidge,Thomas,983.0,229.0,299.0,71.0,0.0,599.0,599.0,60.9
Douglass,Thomas,2448.0,175.0,510.0,145.0,0.0,830.0,830.0,33.9
LIttle Ochlocknee Baptist Church,Thomas,1132.0,223.0,495.0,90.0,0.0,808.0,808.0,71.4
Fire Station #2,Thomas,1404.0,141.0,635.0,176.0,0.0,952.0,952.0,67.8
Gatlin Creek,Thomas,2069.0,238.0,916.0,197.0,0.0,1351.0,1351.0,65.3
Harper,Thomas,2001.0,120.0,446.0,147.0,0.0,713.0,713.0,35.6
Jerger,Thomas,1898.0,132.0,806.0,243.0,0.0,1181.0,1181.0,62.2
Meigs,Thomas,864.0,191.0,190.0,66.0,1.0,448.0,448.0,51.9
Metcalfe,Thomas,299.0,87.0,82.0,25.0,0.0,194.0,194.0,64.9
New Covenant,Thomas,2155.0,246.0,930.0,196.0,0.0,1372.0,1372.0,63.7
Ochlocknee,Thomas,1175.0,289.0,388.0,58.0,0.0,735.0,735.0,62.6
Pavo,Thomas,673.0,193.0,194.0,54.0,0.0,441.0,441.0,65.5
Remington Esc,Thomas,2190.0,194.0,823.0,234.0,0.0,1251.0,1251.0,57.1
Resource Center,Thomas,1363.0,85.0,209.0,123.0,0.0,417.0,417.0,30.6
Scott,Thomas,2491.0,165.0,1089.0,239.0,1.0,1494.0,1494.0,60.0
Merrillville,Thomas,701.0,65.0,296.0,45.0,0.0,406.0,406.0,57.9
Patten,Thomas,397.0,89.0,161.0,26.0,0.0,276.0,276.0,69.5
