Precinct,County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,calc_participation
Sterling Elementary,Glynn,4578.0,407.0,1493.0,375.0,2.0,2277.0,99.0,330.0,256.0,1.0,686.0,2963.0,64.7
Brookman,Glynn,3460.0,404.0,1113.0,211.0,2.0,1730.0,75.0,338.0,212.0,2.0,627.0,2357.0,68.1
Satilla Marshes,Glynn,2824.0,311.0,918.0,224.0,0.0,1453.0,83.0,287.0,209.0,0.0,579.0,2032.0,72.0
Blythe Island Baptist,Glynn,2529.0,266.0,964.0,227.0,2.0,1459.0,48.0,165.0,94.0,0.0,307.0,1766.0,69.8
Christian Renewal,Glynn,3699.0,282.0,1450.0,468.0,3.0,2203.0,57.0,444.0,323.0,1.0,825.0,3028.0,81.9
Hampton River,Glynn,2823.0,210.0,1181.0,358.0,2.0,1751.0,33.0,283.0,272.0,0.0,588.0,2339.0,82.9
St William Catholic Church,Glynn,4333.0,277.0,1789.0,446.0,1.0,2513.0,51.0,538.0,384.0,1.0,974.0,3487.0,80.5
First Baptist,Glynn,4316.0,290.0,1648.0,472.0,0.0,2410.0,72.0,523.0,363.0,2.0,960.0,3370.0,78.1
Jekyll Island,Glynn,774.0,207.0,80.0,67.0,2.0,356.0,66.0,62.0,128.0,0.0,256.0,612.0,79.1
Sterling Church of God,Glynn,3925.0,386.0,1097.0,243.0,3.0,1729.0,116.0,420.0,240.0,1.0,777.0,2506.0,63.8
SE Baptist Bldg,Glynn,2109.0,209.0,565.0,128.0,1.0,903.0,74.0,182.0,106.0,1.0,363.0,1266.0,60.0
Career Academy,Glynn,2960.0,307.0,857.0,263.0,3.0,1430.0,78.0,276.0,195.0,0.0,549.0,1979.0,66.9
C B Greer School,Glynn,3288.0,322.0,967.0,262.0,2.0,1553.0,72.0,334.0,272.0,1.0,679.0,2232.0,67.9
Ballard,Glynn,3286.0,193.0,820.0,274.0,4.0,1291.0,127.0,345.0,201.0,1.0,674.0,1965.0,59.8
Northside Baptist,Glynn,3313.0,188.0,436.0,174.0,0.0,798.0,192.0,579.0,374.0,0.0,1145.0,1943.0,58.6
The Chapel,Glynn,2971.0,141.0,409.0,143.0,1.0,694.0,107.0,468.0,334.0,1.0,910.0,1604.0,54.0
College Place UMC,Glynn,2367.0,99.0,344.0,126.0,0.0,569.0,135.0,388.0,286.0,2.0,811.0,1380.0,58.3
Howard Coffin Park,Glynn,3320.0,160.0,369.0,136.0,1.0,666.0,166.0,565.0,384.0,2.0,1117.0,1783.0,53.7
Urbana-Perry Parks,Glynn,3638.0,60.0,99.0,56.0,1.0,216.0,294.0,698.0,498.0,2.0,1492.0,1708.0,46.9
Selden Park,Glynn,1439.0,49.0,118.0,30.0,1.0,198.0,75.0,195.0,161.0,3.0,434.0,632.0,43.9
Hacklebarney-Cason,Pierce,3524.0,253.0,1406.0,228.0,0.0,1887.0,32.0,263.0,146.0,0.0,441.0,2328.0,66.1
Blackshear,Pierce,3207.0,268.0,1419.0,242.0,0.0,1929.0,39.0,115.0,64.0,0.0,218.0,2147.0,66.9
St Johns-Blackshear,Pierce,1611.0,134.0,814.0,141.0,0.0,1089.0,14.0,48.0,28.0,0.0,90.0,1179.0,73.2
Otter Creek,Pierce,1397.0,190.0,616.0,111.0,0.0,917.0,9.0,41.0,25.0,0.0,75.0,992.0,71.0
Patterson,Pierce,1311.0,204.0,516.0,80.0,0.0,800.0,16.0,72.0,34.0,0.0,122.0,922.0,70.3
Mershon,Pierce,478.0,37.0,246.0,49.0,0.0,332.0,2.0,10.0,8.0,0.0,20.0,352.0,73.6
Alabaha,Pierce,918.0,72.0,460.0,60.0,0.0,592.0,7.0,30.0,14.0,0.0,51.0,643.0,70.0
Sunset-Sweat,Pierce,271.0,28.0,161.0,33.0,0.0,222.0,0.0,3.0,0.0,0.0,3.0,225.0,83.0
Tarboro,Camden,979.0,212.0,208.0,62.0,0.0,482.0,49.0,56.0,75.0,0.0,180.0,662.0,67.6
Waverly,Camden,1530.0,269.0,469.0,151.0,0.0,889.0,67.0,94.0,156.0,0.0,317.0,1206.0,78.8
Woodbine,Camden,1973.0,251.0,477.0,104.0,1.0,833.0,94.0,236.0,194.0,0.0,524.0,1357.0,68.8
Browntown,Camden,698.0,116.0,206.0,52.0,0.0,374.0,15.0,23.0,38.0,0.0,76.0,450.0,64.5
Harrietts Bluff,Camden,1834.0,356.0,573.0,130.0,0.0,1059.0,51.0,149.0,94.0,1.0,295.0,1354.0,73.8
West Kingsland,Camden,2782.0,295.0,879.0,164.0,0.0,1338.0,85.0,269.0,123.0,0.0,477.0,1815.0,65.2
North Kingsland,Camden,2599.0,188.0,493.0,81.0,0.0,762.0,124.0,402.0,240.0,0.0,766.0,1528.0,58.8
Kingsland,Camden,2274.0,170.0,494.0,99.0,0.0,763.0,82.0,262.0,132.0,0.0,476.0,1239.0,54.5
East Kingsland,Camden,6866.0,492.0,1913.0,415.0,0.0,2820.0,192.0,896.0,485.0,0.0,1573.0,4393.0,64.0
North St Marys,Camden,2095.0,151.0,317.0,77.0,0.0,545.0,98.0,197.0,101.0,1.0,397.0,942.0,45.0
St Marys,Camden,3218.0,333.0,712.0,175.0,0.0,1220.0,142.0,417.0,266.0,0.0,825.0,2045.0,63.5
South St Marys,Camden,2139.0,201.0,636.0,164.0,1.0,1002.0,49.0,247.0,233.0,1.0,530.0,1532.0,71.6
Mush Bluff,Camden,2816.0,304.0,828.0,185.0,1.0,1318.0,88.0,317.0,218.0,0.0,623.0,1941.0,68.9
West St Marys,Camden,3147.0,223.0,1204.0,388.0,0.0,1815.0,52.0,324.0,280.0,0.0,656.0,2471.0,78.5
Hoboken,Brantley,3394.0,625.0,1275.0,244.0,0.0,2144.0,39.0,70.0,44.0,0.0,153.0,2297.0,67.7
Nahunta,Brantley,4208.0,520.0,1657.0,254.0,4.0,2435.0,38.0,148.0,57.0,1.0,244.0,2679.0,63.7
Waynesville,Brantley,4286.0,758.0,1220.0,189.0,3.0,2170.0,66.0,107.0,92.0,0.0,265.0,2435.0,56.8
1A,Effingham,1965.0,397.0,654.0,115.0,1.0,1167.0,64.0,139.0,89.0,0.0,292.0,1459.0,74.2
1B,Effingham,3005.0,447.0,487.0,124.0,1.0,1059.0,68.0,71.0,61.0,0.0,200.0,1259.0,41.9
1C,Effingham,1446.0,420.0,301.0,78.0,0.0,799.0,79.0,67.0,47.0,0.0,193.0,992.0,68.6
1D,Effingham,2031.0,550.0,570.0,121.0,1.0,1242.0,49.0,68.0,69.0,0.0,186.0,1428.0,70.3
2A,Effingham,3038.0,630.0,924.0,224.0,1.0,1779.0,96.0,229.0,142.0,0.0,467.0,2246.0,73.9
2B,Effingham,3010.0,535.0,791.0,197.0,0.0,1523.0,115.0,251.0,167.0,1.0,534.0,2057.0,68.3
2C,Effingham,4621.0,665.0,1505.0,306.0,3.0,2479.0,150.0,409.0,290.0,0.0,849.0,3328.0,72.0
4B,Effingham,1888.0,64.0,189.0,27.0,0.0,280.0,37.0,100.0,85.0,0.0,222.0,502.0,26.6
5A,Effingham,2924.0,438.0,954.0,183.0,0.0,1575.0,87.0,202.0,116.0,2.0,407.0,1982.0,67.8
5B,Effingham,3962.0,486.0,1053.0,206.0,1.0,1746.0,192.0,465.0,258.0,0.0,915.0,2661.0,67.2
5C,Effingham,1684.0,251.0,517.0,111.0,1.0,880.0,63.0,167.0,101.0,1.0,332.0,1212.0,72.0
Arabia,Clinch,108.0,59.0,10.0,1.0,0.0,70.0,3.0,2.0,4.0,0.0,9.0,79.0,73.1
Argyle,Clinch,367.0,94.0,96.0,18.0,0.0,208.0,15.0,12.0,5.0,0.0,32.0,240.0,65.4
Dupont,Clinch,338.0,104.0,63.0,9.0,1.0,177.0,24.0,13.0,14.0,0.0,51.0,228.0,67.5
Fargo,Clinch,270.0,138.0,17.0,9.0,0.0,164.0,9.0,5.0,2.0,0.0,16.0,180.0,66.7
Homerville,Clinch,3262.0,212.0,1047.0,182.0,0.0,1441.0,136.0,258.0,106.0,0.0,500.0,1941.0,59.5
Sapelo Island,McIntosh,53.0,2.0,6.0,2.0,0.0,10.0,13.0,6.0,10.0,0.0,29.0,39.0,73.6
Townsend,McIntosh,564.0,79.0,96.0,126.0,0.0,301.0,18.0,41.0,51.0,0.0,110.0,411.0,72.9
Crescent,McIntosh,1982.0,124.0,302.0,89.0,0.0,515.0,178.0,399.0,241.0,0.0,818.0,1333.0,67.3
Darien,McIntosh,2441.0,124.0,699.0,231.0,0.0,1054.0,62.0,347.0,184.0,0.0,593.0,1647.0,67.5
South Newport,McIntosh,2095.0,309.0,658.0,274.0,1.0,1242.0,44.0,173.0,155.0,0.0,372.0,1614.0,77.0
North Darien,McIntosh,2157.0,191.0,626.0,145.0,0.0,962.0,94.0,240.0,154.0,0.0,488.0,1450.0,67.2
Pembroke,Bryan,2653.0,241.0,749.0,140.0,0.0,1130.0,112.0,297.0,106.0,0.0,515.0,1645.0,62.0
Danielsiding,Bryan,2291.0,244.0,848.0,171.0,0.0,1263.0,47.0,190.0,151.0,0.0,388.0,1651.0,72.1
Ellabell,Bryan,2341.0,377.0,798.0,127.0,1.0,1303.0,60.0,136.0,88.0,0.0,284.0,1587.0,67.8
Black Creek,Bryan,2995.0,344.0,918.0,171.0,1.0,1434.0,92.0,190.0,99.0,0.0,381.0,1815.0,60.6
Ways Station,Bryan,1974.0,185.0,474.0,80.0,1.0,740.0,58.0,261.0,184.0,1.0,504.0,1244.0,63.0
RH Rec Complex,Bryan,3264.0,211.0,845.0,141.0,1.0,1198.0,111.0,439.0,276.0,0.0,826.0,2024.0,62.0
JF Gregory Park,Bryan,2885.0,161.0,1338.0,234.0,0.0,1733.0,34.0,287.0,170.0,0.0,491.0,2224.0,77.1
Keller,Bryan,4270.0,327.0,1784.0,241.0,0.0,2352.0,80.0,494.0,303.0,0.0,877.0,3229.0,75.6
Hwy 144 East,Bryan,5365.0,334.0,1944.0,372.0,0.0,2650.0,107.0,790.0,359.0,1.0,1257.0,3907.0,72.8
Public Safety Complex,Bryan,2570.0,211.0,644.0,109.0,0.0,964.0,95.0,349.0,167.0,1.0,612.0,1576.0,61.3
Riceboro Youth Center,Liberty,1083.0,37.0,109.0,22.0,0.0,168.0,91.0,314.0,202.0,0.0,607.0,775.0,71.6
Lyman Hall School,Liberty,4542.0,142.0,377.0,144.0,1.0,664.0,279.0,904.0,570.0,0.0,1753.0,2417.0,53.2
Lewis Frasier School,Liberty,4317.0,163.0,688.0,229.0,0.0,1080.0,197.0,994.0,575.0,0.0,1766.0,2846.0,65.9
Memorial Dr East,Liberty,1976.0,61.0,146.0,47.0,0.0,254.0,101.0,401.0,294.0,3.0,799.0,1053.0,53.3
Button Gwinnett,Liberty,2304.0,76.0,94.0,41.0,0.0,211.0,77.0,141.0,106.0,0.0,324.0,535.0,23.2
Town of Allenhurst,Liberty,2398.0,90.0,247.0,87.0,0.0,424.0,154.0,691.0,338.0,0.0,1183.0,1607.0,67.0
Hinesville,Liberty,1984.0,83.0,350.0,114.0,0.0,547.0,81.0,321.0,201.0,0.0,603.0,1150.0,58.0
Liberty County Complex,Liberty,4379.0,218.0,1011.0,189.0,0.0,1418.0,128.0,897.0,534.0,0.0,1559.0,2977.0,68.0
Walthourville,Liberty,3016.0,96.0,280.0,90.0,0.0,466.0,155.0,786.0,354.0,0.0,1295.0,1761.0,58.4
Fleming West,Liberty,505.0,27.0,52.0,19.0,0.0,98.0,40.0,119.0,91.0,0.0,250.0,348.0,68.9
Fleming East,Liberty,3239.0,354.0,974.0,206.0,1.0,1535.0,83.0,314.0,210.0,0.0,607.0,2142.0,66.1
Gum Branch,Liberty,3193.0,269.0,504.0,133.0,0.0,906.0,101.0,460.0,305.0,1.0,867.0,1773.0,55.5
Hinesville Lodge 271,Liberty,2646.0,109.0,252.0,109.0,0.0,470.0,158.0,559.0,359.0,0.0,1076.0,1546.0,58.4
Statenville,Echols,2156.0,209.0,900.0,120.0,0.0,1229.0,31.0,88.0,30.0,0.0,149.0,1378.0,63.9
Beards Creek,Long,1539.0,215.0,257.0,53.0,1.0,526.0,82.0,133.0,89.0,1.0,305.0,831.0,54.0
Rye Patch/Oak Dale,Long,3131.0,342.0,646.0,91.0,5.0,1084.0,73.0,344.0,140.0,0.0,557.0,1641.0,52.4
South Ludowici,Long,1392.0,92.0,208.0,27.0,0.0,327.0,66.0,168.0,81.0,3.0,318.0,645.0,46.3
North Ludowici,Long,2281.0,165.0,395.0,65.0,2.0,627.0,95.0,316.0,112.0,1.0,524.0,1151.0,50.5
Tibet,Long,920.0,154.0,267.0,30.0,0.0,451.0,19.0,51.0,15.0,0.0,85.0,536.0,58.3
Alma Flournoy,Long,298.0,67.0,99.0,9.0,1.0,176.0,4.0,10.0,14.0,1.0,29.0,205.0,68.8
Faith Baptist Annex,Long,909.0,96.0,238.0,29.0,0.0,363.0,14.0,74.0,29.0,1.0,118.0,481.0,52.9
Folkston,Charlton,2420.0,144.0,478.0,105.0,0.0,727.0,160.0,389.0,201.0,0.0,750.0,1477.0,61.0
GA Bend,Charlton,509.0,220.0,54.0,40.0,0.0,314.0,6.0,12.0,3.0,0.0,21.0,335.0,65.8
St George,Charlton,661.0,220.0,127.0,49.0,1.0,397.0,5.0,4.0,9.0,0.0,18.0,415.0,62.8
American Legion,Charlton,748.0,132.0,347.0,61.0,0.0,540.0,7.0,17.0,18.0,0.0,42.0,582.0,77.8
Homeland,Charlton,864.0,150.0,320.0,53.0,0.0,523.0,20.0,29.0,13.0,0.0,62.0,585.0,67.7
Folkston Fire,Charlton,767.0,75.0,346.0,55.0,0.0,476.0,2.0,38.0,17.0,0.0,57.0,533.0,69.5
Racepond,Charlton,266.0,67.0,101.0,16.0,1.0,185.0,2.0,12.0,7.0,0.0,21.0,206.0,77.4
Winokur,Charlton,317.0,83.0,90.0,24.0,0.0,197.0,6.0,4.0,5.0,0.0,15.0,212.0,66.9
1-01C First Presbyterian Church,Chatham,3187.0,355.0,425.0,314.0,0.0,1094.0,175.0,635.0,613.0,0.0,1423.0,2517.0,79.0
1-05C JEA Building,Chatham,2106.0,233.0,253.0,172.0,2.0,660.0,138.0,389.0,347.0,0.0,874.0,1534.0,72.8
1-06C Central Church of Christ,Chatham,2035.0,355.0,319.0,269.0,1.0,944.0,101.0,230.0,273.0,2.0,606.0,1550.0,76.2
1-08C Grace United Methodist Church,Chatham,1667.0,303.0,221.0,169.0,0.0,693.0,110.0,223.0,172.0,1.0,506.0,1199.0,71.9
1-09C Immanuel Baptist Church,Chatham,739.0,78.0,59.0,46.0,2.0,185.0,68.0,93.0,88.0,1.0,250.0,435.0,58.9
1-10C St Thomas Episcopal Church,Chatham,1101.0,341.0,184.0,160.0,2.0,687.0,52.0,86.0,104.0,0.0,242.0,929.0,84.4
1-12C Isle of Hope Baptist,Chatham,1909.0,533.0,395.0,286.0,1.0,1215.0,70.0,154.0,172.0,0.0,396.0,1611.0,84.4
1-13C The Sanctuary,Chatham,1396.0,246.0,249.0,113.0,1.0,609.0,94.0,129.0,171.0,0.0,394.0,1003.0,71.8
1-14C Compassion Christian Church,Chatham,1718.0,246.0,361.0,219.0,1.0,827.0,70.0,162.0,204.0,0.0,436.0,1263.0,73.5
1-16C Ferguson Ave Baptist,Chatham,2905.0,601.0,666.0,300.0,4.0,1571.0,123.0,189.0,196.0,1.0,509.0,2080.0,71.6
1-17C Islands Christian Church,Chatham,3136.0,478.0,834.0,459.0,0.0,1771.0,92.0,231.0,413.0,1.0,737.0,2508.0,80.0
2-02C Blackshear Community Center,Chatham,1714.0,49.0,88.0,53.0,1.0,191.0,208.0,241.0,221.0,8.0,678.0,869.0,50.7
2-03C W W Law Center,Chatham,1609.0,62.0,61.0,31.0,1.0,155.0,185.0,239.0,237.0,1.0,662.0,817.0,50.8
2-04C Fellowship of Love Church,Chatham,3178.0,60.0,49.0,41.0,0.0,150.0,420.0,588.0,594.0,1.0,1603.0,1753.0,55.2
2-05C Holy Spirit Lutheran Church,Chatham,2079.0,76.0,64.0,31.0,1.0,172.0,251.0,473.0,347.0,3.0,1074.0,1246.0,59.9
2-06C Eli Whitney Complex,Chatham,759.0,29.0,35.0,6.0,0.0,70.0,116.0,109.0,98.0,2.0,325.0,395.0,52.0
2-07C Christ Community Church,Chatham,2808.0,118.0,88.0,56.0,0.0,262.0,326.0,557.0,419.0,2.0,1304.0,1566.0,55.8
2-09C Salvation Army,Chatham,3342.0,118.0,108.0,61.0,0.0,287.0,362.0,699.0,619.0,4.0,1684.0,1971.0,59.0
2-11C Stillwell Towers,Chatham,1900.0,64.0,69.0,39.0,0.0,172.0,290.0,254.0,266.0,3.0,813.0,985.0,51.8
2-12C Williams Court Apts,Chatham,1683.0,65.0,55.0,30.0,0.0,150.0,173.0,337.0,282.0,4.0,796.0,946.0,56.2
3-01C Old Courthouse,Chatham,458.0,50.0,43.0,51.0,0.0,144.0,20.0,68.0,64.0,1.0,153.0,297.0,64.8
3-02C Temple Mickve Israel,Chatham,1598.0,134.0,205.0,129.0,1.0,469.0,74.0,279.0,275.0,2.0,630.0,1099.0,68.8
3-03C Savannah High School,Chatham,1185.0,20.0,28.0,20.0,0.0,68.0,187.0,202.0,131.0,5.0,525.0,593.0,50.0
3-04C First African Baptist Church,Chatham,1558.0,35.0,21.0,21.0,0.0,77.0,300.0,234.0,235.0,0.0,769.0,846.0,54.3
3-05C Aldersgate Youth Center,Chatham,2107.0,116.0,124.0,68.0,0.0,308.0,264.0,328.0,276.0,2.0,870.0,1178.0,55.9
3-08C Jenkins High School,Chatham,1210.0,88.0,95.0,52.0,0.0,235.0,123.0,236.0,188.0,0.0,547.0,782.0,64.6
3-09C Cokesbury Methodist,Chatham,664.0,168.0,76.0,54.0,1.0,299.0,64.0,74.0,83.0,1.0,222.0,521.0,78.5
3-10C Bible Baptist Church,Chatham,2640.0,105.0,74.0,58.0,0.0,237.0,381.0,511.0,443.0,2.0,1337.0,1574.0,59.6
3-11C Southside Baptist Church,Chatham,1481.0,62.0,62.0,46.0,1.0,171.0,228.0,266.0,199.0,2.0,695.0,866.0,58.5
3-12C Thunderbolt Muni Complex,Chatham,1678.0,275.0,188.0,95.0,0.0,558.0,160.0,187.0,231.0,1.0,579.0,1137.0,67.8
3-13C New Cov 7 Day Adv Ch,Chatham,2303.0,180.0,250.0,148.0,0.0,578.0,195.0,346.0,239.0,2.0,782.0,1360.0,59.1
3-14C Oglethorpe Charter Academy,Chatham,2381.0,88.0,171.0,106.0,0.0,365.0,242.0,454.0,440.0,1.0,1137.0,1502.0,63.1
3-15C Eli Whitney Complex,Chatham,816.0,63.0,134.0,109.0,0.0,306.0,62.0,121.0,150.0,0.0,333.0,639.0,78.3
4-02C Frank Murray Comm Center,Chatham,2472.0,339.0,521.0,195.0,0.0,1055.0,104.0,240.0,271.0,0.0,615.0,1670.0,67.6
4-04C Lighthouse Baptist Church,Chatham,2470.0,490.0,525.0,274.0,3.0,1292.0,87.0,185.0,254.0,1.0,527.0,1819.0,73.6
4-05C St Francis Episcopal Church,Chatham,2244.0,488.0,469.0,232.0,1.0,1190.0,112.0,192.0,230.0,0.0,534.0,1724.0,76.8
4-06C First Baptist of the Island,Chatham,2252.0,488.0,560.0,249.0,3.0,1300.0,82.0,163.0,219.0,0.0,464.0,1764.0,78.3
4-07C Wilmington Island UMC,Chatham,3370.0,550.0,752.0,375.0,4.0,1681.0,122.0,265.0,388.0,0.0,775.0,2456.0,72.9
4-08C Wilmington Island Pres Church,Chatham,2678.0,557.0,690.0,389.0,1.0,1637.0,83.0,183.0,276.0,1.0,543.0,2180.0,81.4
4-10C Guard House Comm Ctr,Chatham,1469.0,368.0,221.0,145.0,2.0,736.0,119.0,133.0,151.0,1.0,404.0,1140.0,77.6
4-11C Tybee Island School Cafe,Chatham,1640.0,506.0,171.0,144.0,1.0,822.0,161.0,108.0,166.0,0.0,435.0,1257.0,76.6
4-12C St Peters Episcopal,Chatham,2294.0,593.0,477.0,400.0,3.0,1473.0,77.0,126.0,281.0,0.0,484.0,1957.0,85.3
4-13C Skidaway Island Pres Church,Chatham,2469.0,515.0,502.0,516.0,2.0,1535.0,58.0,185.0,328.0,1.0,572.0,2107.0,85.3
4-14C Skidaway Island Baptist,Chatham,1744.0,374.0,330.0,342.0,3.0,1049.0,44.0,124.0,277.0,0.0,445.0,1494.0,85.7
4-15C Skidaway Island State Park,Chatham,0.0,308.0,334.0,453.0,3.0,1098.0,38.0,130.0,286.0,0.0,454.0,1552.0,
5-01C Bartlett Middle School,Chatham,1063.0,73.0,54.0,39.0,0.0,166.0,136.0,174.0,131.0,0.0,441.0,607.0,57.1
5-02C Senior Citizens Center,Chatham,783.0,27.0,12.0,11.0,1.0,51.0,108.0,115.0,125.0,0.0,348.0,399.0,51.0
5-03C Butler Presbyterian Church,Chatham,1078.0,17.0,8.0,8.0,0.0,33.0,183.0,160.0,183.0,6.0,532.0,565.0,52.4
5-05C Liberty City Comm Ctr,Chatham,2574.0,31.0,19.0,16.0,1.0,67.0,416.0,558.0,577.0,2.0,1553.0,1620.0,62.9
5-06C Seed Church,Chatham,2598.0,83.0,76.0,41.0,1.0,201.0,262.0,433.0,347.0,7.0,1049.0,1250.0,48.1
5-07C Station 1,Chatham,1856.0,106.0,98.0,74.0,1.0,279.0,215.0,318.0,225.0,5.0,763.0,1042.0,56.1
5-08C Savannah Primitive BC,Chatham,1848.0,100.0,135.0,81.0,0.0,316.0,186.0,318.0,291.0,3.0,798.0,1114.0,60.3
5-10C Tatumville Community Center,Chatham,3507.0,42.0,44.0,32.0,0.0,118.0,531.0,663.0,678.0,5.0,1877.0,1995.0,56.9
5-11C Largo-Tibet Elementary,Chatham,3019.0,84.0,138.0,186.0,2.0,410.0,313.0,601.0,378.0,6.0,1298.0,1708.0,56.6
6-01C White Bluff Presbyterian,Chatham,1919.0,161.0,155.0,98.0,3.0,417.0,173.0,331.0,235.0,3.0,742.0,1159.0,60.4
6-02C Windsor Forest Baptist,Chatham,2290.0,414.0,422.0,235.0,0.0,1071.0,136.0,269.0,299.0,1.0,705.0,1776.0,77.6
6-03C Crusader Comm Center,Chatham,2736.0,279.0,347.0,187.0,1.0,814.0,220.0,456.0,424.0,1.0,1101.0,1915.0,70.0
6-05C Windsor Hall,Chatham,1993.0,149.0,185.0,118.0,0.0,452.0,202.0,315.0,258.0,0.0,775.0,1227.0,61.6
6-06C The Light Church,Chatham,1543.0,142.0,213.0,104.0,0.0,459.0,137.0,177.0,135.0,0.0,449.0,908.0,58.8
6-08C Christ Memorial Baptist Church,Chatham,2194.0,103.0,151.0,90.0,0.0,344.0,217.0,387.0,270.0,2.0,876.0,1220.0,55.6
6-09C Trinity Lutheran Church,Chatham,3319.0,322.0,438.0,281.0,1.0,1042.0,263.0,529.0,390.0,7.0,1189.0,2231.0,67.2
6-10C Station 3,Chatham,4184.0,401.0,695.0,342.0,3.0,1441.0,253.0,637.0,597.0,4.0,1491.0,2932.0,70.1
6-11C Bamboo Farms,Chatham,5149.0,344.0,467.0,197.0,3.0,1011.0,429.0,965.0,657.0,6.0,2057.0,3068.0,59.6
7-01C Garden City Senior Ctr,Chatham,1542.0,199.0,194.0,113.0,0.0,506.0,108.0,137.0,141.0,0.0,386.0,892.0,57.8
7-03C PB Edwards Gym,Chatham,1290.0,310.0,130.0,81.0,0.0,521.0,95.0,62.0,77.0,0.0,234.0,755.0,58.5
7-04C Lake Shore Comm Ctr,Chatham,3067.0,214.0,192.0,63.0,0.0,469.0,375.0,701.0,354.0,1.0,1431.0,1900.0,61.9
7-05C Woodlawn Baptist Church,Chatham,1305.0,139.0,134.0,47.0,0.0,320.0,138.0,179.0,107.0,0.0,424.0,744.0,57.0
7-06C Pooler City Hall,Chatham,3555.0,260.0,611.0,202.0,1.0,1074.0,177.0,497.0,366.0,1.0,1041.0,2115.0,59.5
7-07C Rothwell Baptist Church,Chatham,3932.0,283.0,954.0,407.0,2.0,1646.0,122.0,432.0,397.0,5.0,956.0,2602.0,66.2
7-08C Bloomingdale Comm Ctr,Chatham,2733.0,524.0,645.0,223.0,0.0,1392.0,84.0,133.0,134.0,1.0,352.0,1744.0,63.8
7-09C Savannah Holy C of G,Chatham,2823.0,246.0,330.0,170.0,1.0,747.0,206.0,369.0,361.0,3.0,939.0,1686.0,59.7
7-10C Progressive Rec Center,Chatham,4288.0,283.0,449.0,186.0,2.0,920.0,331.0,768.0,521.0,6.0,1626.0,2546.0,59.4
7-11C Seventh Day Adv Church,Chatham,6469.0,494.0,767.0,285.0,6.0,1552.0,432.0,1185.0,787.0,8.0,2412.0,3964.0,61.3
7-12C Pooler Church,Chatham,3334.0,196.0,569.0,229.0,4.0,998.0,161.0,672.0,474.0,0.0,1307.0,2305.0,69.1
7-13C Southside Fire Trng Ctr,Chatham,2513.0,239.0,723.0,395.0,1.0,1358.0,62.0,261.0,370.0,0.0,693.0,2051.0,81.6
