Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Pine Mountain 01,Cobb,3491,355,976,614,3,1948,122,371,287,2,782,2730,
Pine Mountain 02,Cobb,3127,352,821,599,2,1774,125,314,308,0,747,2521,
Post Oak 01,Cobb,3660,364,872,812,3,2051,148,350,340,1,839,2890,
Pope 01,Cobb,3153,278,727,751,0,1756,106,293,324,0,723,2479,
Palmer 01,Cobb,2760,314,566,508,0,1388,123,248,214,0,585,1973,
Powders Springs 1A,Cobb,4755,258,1385,982,4,2629,67,421,344,1,833,3462,
Powders Springs 2A,Cobb,3536,242,877,577,1,1697,69,270,172,1,512,2209,
Powders Springs 3A,Cobb,3991,283,1066,576,1,1926,82,368,231,0,681,2607,
Pitner 01,Cobb,2814,372,655,481,2,1510,152,233,159,0,544,2054,
Rocky Mount 01,Cobb,3390,440,738,723,2,1903,171,268,260,0,699,2602,
Riverside 01,Cobb,2133,188,425,257,1,871,63,93,65,1,222,1093,
Roswell 01,Cobb,5374,470,1117,1476,1,3064,191,482,655,0,1328,4392,
Roswell 02,Cobb,3701,354,700,1006,2,2062,170,324,412,1,907,2969,
Sandy Plains 01,Cobb,2933,344,638,642,1,1625,121,242,279,1,643,2268,
Shallowford Falls 01,Cobb,3387,366,711,843,0,1920,150,304,347,1,802,2722,
Simpson 01,Cobb,1868,174,460,388,1,1023,75,194,161,0,430,1453,
Sewell Mill 01,Cobb,3493,337,757,790,0,1884,157,282,396,0,835,2719,
Sewell Mill 03,Cobb,4759,537,875,837,5,2254,148,303,323,1,775,3029,
Smyrna 1A,Cobb,4152,455,803,656,3,1917,109,224,189,1,523,2440,
Smyrna 2A,Cobb,5539,452,1356,931,1,2740,128,356,348,1,833,3573,
Smyrna 3A,Cobb,4573,351,1124,876,4,2355,105,345,288,0,738,3093,
Smyrna 3B,Cobb,2496,217,619,531,2,1369,78,222,198,0,498,1867,
Smyrna 4A,Cobb,5842,416,1394,1572,3,3385,160,478,575,3,1216,4601,
Smyrna 5A,Cobb,4319,411,875,780,9,2075,146,284,258,0,688,2763,
Smyrna 6A,Cobb,5936,470,1440,1347,6,3263,162,509,529,2,1202,4465,
