Precinct,County,Registered Voters,Mike Boyce (I) (Rep)_Election Day Votes,Mike Boyce (I) (Rep)_Advanced Voting Votes,Mike Boyce (I) (Rep)_Absentee by Mail Votes,Mike Boyce (I) (Rep)_Provisional Votes,Mike Boyce (I) (Rep)_Choice Total,Lisa Cupid (Dem)_Election Day Votes,Lisa Cupid (Dem)_Advanced Voting Votes,Lisa Cupid (Dem)_Absentee by Mail Votes,Lisa Cupid (Dem)_Provisional Votes,Lisa Cupid (Dem)_Choice Total,Total,
Roswell 02,Cobb,3701,412,694,713,3,1822,115,363,728,0,1206,3028,
Sandy Plains 01,Cobb,2933,323,479,404,0,1206,141,410,533,1,1085,2291,
Shallowford Falls 01,Cobb,3387,406,667,598,0,1671,119,378,612,1,1110,2781,
Simpson 01,Cobb,1868,187,400,279,1,867,62,265,274,0,601,1468,
Sewell Mill 01,Cobb,3493,359,619,557,0,1535,142,439,644,0,1225,2760,
Sewell Mill 03,Cobb,4759,380,479,522,3,1384,313,720,648,3,1684,3068,
Smyrna 1A,Cobb,4152,176,228,210,1,615,378,809,635,2,1824,2439,
Smyrna 2A,Cobb,5539,174,440,339,2,955,404,1288,973,0,2665,3620,
Smyrna 3A,Cobb,4573,225,540,364,0,1129,227,952,808,4,1991,3120,
Smyrna 3B,Cobb,2496,171,390,271,2,834,129,467,460,1,1057,1891,
Smyrna 4A,Cobb,5842,345,898,913,1,2157,225,994,1257,5,2481,4638,
Smyrna 5A,Cobb,4319,240,385,286,0,911,312,783,757,8,1860,2771,
Smyrna 6A,Cobb,5936,361,865,779,0,2005,267,1096,1114,8,2485,4490,
Smyrna 7A,Cobb,6378,238,763,628,0,1629,216,1677,1577,1,3471,5100,
Sope Creek 01,Cobb,2163,290,403,438,1,1132,86,207,383,0,676,1808,
Sope Creek 02,Cobb,4729,383,807,762,3,1955,175,664,778,1,1618,3573,
Sope Creek 03,Cobb,2886,353,556,488,0,1397,96,335,428,0,859,2256,
Sweetwater 01,Cobb,3235,193,424,263,0,880,200,721,480,1,1402,2282,
Sweetwater 02,Cobb,3367,89,170,189,4,452,263,610,577,16,1466,1918,
Terrell Mill 01,Cobb,5816,257,476,425,0,1158,444,1035,831,10,2320,3478,
Timber Ridge 01,Cobb,2448,281,482,460,0,1223,66,264,463,1,794,2017,
Vaughan 01,Cobb,3146,362,967,368,0,1697,96,382,325,0,803,2500,
Vinings 01,Cobb,3260,200,302,329,1,832,194,721,533,2,1450,2282,
Vinings 02,Cobb,6400,311,667,678,2,1658,386,1262,1054,4,2706,4364,
Vinings 03,Cobb,4407,173,546,468,3,1190,225,954,801,2,1982,3172,
Vinings 04,Cobb,3405,432,483,565,2,1482,182,479,459,0,1120,2602,
Wade Green 02,Cobb,4718,431,773,492,1,1697,241,784,724,0,1749,3446,
Willeo 01,Cobb,2836,362,548,498,1,1409,104,296,500,0,900,2309,
