Precinct,County,Registered Voters,Rebecca Keaton (I) (Rep)_Election Day Votes,Rebecca Keaton (I) (Rep)_Advanced Voting Votes,Rebecca Keaton (I) (Rep)_Absentee by Mail Votes,Rebecca Keaton (I) (Rep)_Provisional Votes,Rebecca Keaton (I) (Rep)_Choice Total,Connie Taylor (Dem)_Election Day Votes,Connie Taylor (Dem)_Advanced Voting Votes,Connie Taylor (Dem)_Absentee by Mail Votes,Connie Taylor (Dem)_Provisional Votes,Connie Taylor (Dem)_Choice Total,Total,
Macland 01,Cobb,4213,155,423,236,0,814,264,1065,777,2,2108,2922,
Murdock 01,Cobb,4059,455,724,812,0,1991,140,449,712,0,1301,3292,
McEachern 01,Cobb,3549,152,547,380,1,1080,141,792,620,0,1553,2633,
McCleskey 01,Cobb,1736,255,356,254,0,865,73,188,284,1,546,1411,
McClure 01,Cobb,3290,394,885,431,2,1712,108,370,381,1,860,2572,
Marietta 1A,Cobb,4468,216,359,254,1,830,323,677,504,6,1510,2340,
Marietta 2A,Cobb,2059,295,401,399,0,1095,101,262,256,0,619,1714,
Marietta 2B,Cobb,4447,272,544,489,2,1307,317,828,608,0,1753,3060,
Marietta 3A,Cobb,4388,348,702,611,2,1663,193,657,644,1,1495,3158,
Marietta 3B,Cobb,2218,52,115,99,0,266,173,483,418,1,1075,1341,
Marietta 4A,Cobb,1956,428,408,404,0,1240,69,142,197,1,409,1649,
Marietta 4B,Cobb,2056,208,301,287,0,796,95,313,302,1,711,1507,
Marietta 4C,Cobb,2781,308,707,439,0,1454,81,320,394,0,795,2249,
Marietta 5A,Cobb,3324,178,278,233,0,689,277,554,517,3,1351,2040,
Marietta 5B,Cobb,3084,136,157,127,1,421,273,527,400,2,1202,1623,
Marietta 6A,Cobb,2647,121,177,120,1,419,251,519,340,4,1114,1533,
Marietta 6B,Cobb,2910,255,458,399,0,1112,144,471,522,0,1137,2249,
Marietta 7A,Cobb,3745,113,155,130,0,398,270,751,388,4,1413,1811,
Mars Hill 01,Cobb,3633,435,1127,494,2,2058,96,274,293,0,663,2721,
Mars Hill 02,Cobb,2916,304,611,287,0,1202,125,396,352,0,873,2075,
Mt Bethel 01,Cobb,4125,417,807,882,5,2111,103,397,750,1,1251,3362,
Mt Bethel 03,Cobb,3294,228,719,571,0,1518,76,405,595,0,1076,2594,
Mt Bethel 04,Cobb,2981,277,597,643,0,1517,69,280,514,0,863,2380,
North Cobb 01,Cobb,2317,212,389,224,0,825,117,398,311,1,827,1652,
Nickajack 01,Cobb,4889,173,460,330,2,965,305,1321,855,3,2484,3449,
Norton Park 01,Cobb,4922,242,519,529,2,1292,358,727,733,6,1824,3116,
Nicholson 01,Cobb,2455,309,405,329,1,1044,120,308,339,0,767,1811,
Oakdale 01,Cobb,3944,277,540,558,0,1375,158,730,744,1,1633,3008,
Oregon 01,Cobb,1614,178,415,243,1,837,85,220,190,1,496,1333,
Oregon 02,Cobb,5671,237,422,428,1,1088,401,1232,1056,2,2691,3779,
Oregon 03,Cobb,5713,212,367,343,3,925,446,965,743,6,2160,3085,
Oregon 04,Cobb,4673,197,433,331,1,962,322,954,930,4,2210,3172,
Oregon 05,Cobb,3846,312,630,387,1,1330,167,886,636,0,1689,3019,
Pebblebrook 01,Cobb,5218,112,289,244,1,646,439,1292,878,6,2615,3261,
Powers Ferry 01,Cobb,3504,369,529,446,0,1344,170,450,523,3,1146,2490,
Pine Mountain 01,Cobb,3491,366,996,565,1,1928,115,393,363,5,876,2804,
Pine Mountain 02,Cobb,3127,409,878,610,0,1897,86,294,312,2,694,2591,
Post Oak 01,Cobb,3660,404,843,622,4,1873,106,404,523,0,1033,2906,
Pope 01,Cobb,3153,273,671,536,0,1480,108,376,537,0,1021,2501,
Palmer 01,Cobb,2760,299,496,387,0,1182,144,330,349,0,823,2005,
Powders Springs 1A,Cobb,4755,154,587,358,1,1100,191,1272,997,4,2464,3564,
Powders Springs 2A,Cobb,3536,89,240,164,0,493,219,936,605,3,1763,2256,
Powders Springs 3A,Cobb,3991,128,391,230,0,749,251,1076,598,1,1926,2675,
Pitner 01,Cobb,2814,361,536,306,1,1204,173,364,341,1,879,2083,
Rocky Mount 01,Cobb,3390,488,653,445,1,1587,134,363,539,1,1037,2624,
Riverside 01,Cobb,2133,45,49,34,0,128,209,473,297,2,981,1109,
Roswell 01,Cobb,5374,535,1087,1072,1,2695,141,557,1072,0,1770,4465,
Roswell 02,Cobb,3701,419,694,748,3,1864,112,363,689,0,1164,3028,
Sandy Plains 01,Cobb,2933,328,480,412,0,1220,138,412,521,2,1073,2293,
Shallowford Falls 01,Cobb,3387,422,677,611,0,1710,110,374,582,1,1067,2777,
Simpson 01,Cobb,1868,191,396,282,1,870,59,269,274,0,602,1472,
Sewell Mill 01,Cobb,3493,363,618,559,0,1540,143,447,646,0,1236,2776,
Sewell Mill 03,Cobb,4759,378,483,546,3,1410,313,719,621,3,1656,3066,
Smyrna 1A,Cobb,4152,186,234,242,1,663,377,810,604,3,1794,2457,
Smyrna 2A,Cobb,5539,181,465,373,1,1020,405,1272,932,1,2610,3630,
Smyrna 3A,Cobb,4573,228,552,400,1,1181,230,941,768,3,1942,3123,
Smyrna 3B,Cobb,2496,175,396,295,1,867,121,465,432,2,1020,1887,
Smyrna 4A,Cobb,5842,356,909,962,1,2228,216,983,1198,5,2402,4630,
Smyrna 5A,Cobb,4319,253,398,331,1,983,308,782,723,7,1820,2803,
Smyrna 6A,Cobb,5936,366,868,829,0,2063,266,1102,1074,8,2450,4513,
Smyrna 7A,Cobb,6378,247,785,700,0,1732,210,1671,1497,1,3379,5111,
Sope Creek 01,Cobb,2163,286,394,449,1,1130,90,218,366,0,674,1804,
Sope Creek 02,Cobb,4729,392,815,777,2,1986,167,665,765,2,1599,3585,
Sope Creek 03,Cobb,2886,351,537,482,0,1370,102,349,430,0,881,2251,
Sweetwater 01,Cobb,3235,195,443,269,0,907,198,704,469,1,1372,2279,
Sweetwater 02,Cobb,3367,98,174,199,4,475,258,612,573,16,1459,1934,
Terrell Mill 01,Cobb,5816,274,490,435,0,1199,434,1027,815,10,2286,3485,
Timber Ridge 01,Cobb,2448,286,481,453,0,1220,63,268,465,1,797,2017,
Vaughan 01,Cobb,3146,369,974,401,0,1744,92,380,296,0,768,2512,
Vinings 01,Cobb,3260,209,318,326,1,854,187,711,528,2,1428,2282,
Vinings 02,Cobb,6400,308,687,693,2,1690,391,1252,1029,4,2676,4366,
Vinings 03,Cobb,4407,180,566,485,3,1234,229,953,776,2,1960,3194,
Vinings 04,Cobb,3405,442,485,576,2,1505,174,481,439,0,1094,2599,
Wade Green 02,Cobb,4718,435,772,511,1,1719,246,789,710,0,1745,3464,
Willeo 01,Cobb,2836,363,551,510,1,1425,110,298,482,0,890,2315,
