Precinct,County,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,
07E,Fulton,2247,54,325,165,5,549,42,595,483,2,1122,1671,
07F,Fulton,3790,178,735,266,25,1204,93,941,532,8,1574,2778,
07H,Fulton,2060,101,445,153,0,699,41,499,367,0,907,1606,
07J,Fulton,3041,123,511,196,7,837,101,818,446,6,1371,2208,
07M,Fulton,2401,77,320,95,0,492,105,518,355,0,978,1470,
07N,Fulton,2139,43,136,59,2,240,106,586,343,7,1042,1282,
08F1,Fulton,2187,118,782,255,3,1158,20,392,249,1,662,1820,
08G,Fulton,3086,117,461,219,0,797,92,565,477,5,1139,1936,
08H,Fulton,2556,99,744,278,2,1123,35,467,401,1,904,2027,
08J,Fulton,3344,150,826,211,4,1191,78,888,394,3,1363,2554,
08K,Fulton,1049,66,189,69,0,324,32,289,172,0,493,817,
08L,Fulton,4505,172,703,224,7,1106,125,1211,720,15,2071,3177,
08M,Fulton,2295,140,704,206,4,1054,52,397,236,2,687,1741,
08P,Fulton,1887,42,124,57,4,227,101,580,209,5,895,1122,
09A,Fulton,3856,84,489,132,3,708,135,1306,533,6,1980,2688,
09B,Fulton,464,2,3,1,0,6,27,76,69,0,172,178,
09C,Fulton,3353,23,38,15,2,78,247,842,460,25,1574,1652,
09D,Fulton,2299,14,18,13,1,46,214,428,291,9,942,988,
09E,Fulton,3261,42,90,27,1,160,244,903,315,2,1464,1624,
09F,Fulton,3917,128,804,269,6,1207,94,1059,549,1,1703,2910,
09G,Fulton,3943,139,407,160,4,710,159,1312,569,8,2048,2758,
09H,Fulton,1185,22,55,24,0,101,68,380,151,1,600,701,
09I,Fulton,1397,18,21,7,0,46,126,245,168,2,541,587,
09K,Fulton,4002,23,58,20,0,101,251,826,467,11,1555,1656,
09K1,Fulton,1518,6,16,1,1,24,107,307,42,1,457,481,
09M,Fulton,2578,49,268,68,0,385,83,1086,333,0,1502,1887,
10A,Fulton,3186,15,32,15,0,62,229,931,525,16,1701,1763,
10B,Fulton,3965,23,50,21,2,96,213,1470,879,8,2570,2666,
10C,Fulton,2598,11,21,6,0,38,132,674,322,14,1142,1180,
10D,Fulton,4968,30,46,24,15,115,290,1095,532,140,2057,2172,
10E,Fulton,1084,6,15,4,0,25,92,290,181,4,567,592,
10F,Fulton,1208,11,16,7,2,36,111,295,196,11,613,649,
10G,Fulton,1332,10,13,12,1,36,93,506,232,2,833,869,
10H1,Fulton,439,4,5,1,0,10,26,148,81,14,269,279,
10H2,Fulton,2623,10,24,10,1,45,169,537,331,12,1049,1094,
10I,Fulton,331,5,6,0,0,11,12,154,91,0,257,268,
10J,Fulton,1238,11,8,6,1,26,137,187,124,14,462,488,
10K,Fulton,1614,7,28,6,0,41,107,542,307,5,961,1002,
10M,Fulton,2880,23,34,27,1,85,232,849,415,13,1509,1594,
10P,Fulton,1607,10,19,6,0,35,143,323,233,3,702,737,
10R,Fulton,928,9,11,0,0,20,88,189,84,11,372,392,
11B,Fulton,4395,17,40,17,4,78,331,1327,837,25,2520,2598,
11B1,Fulton,894,10,8,0,0,18,66,289,30,5,390,408,
11C,Fulton,3149,10,43,8,2,63,152,1328,582,11,2073,2136,
11E1,Fulton,1340,14,16,4,3,37,110,387,166,15,678,715,
11E2,Fulton,1003,9,12,0,0,21,70,336,164,2,572,593,
11E3,Fulton,3605,17,42,8,3,70,265,1353,351,13,1982,2052,
11G,Fulton,2556,11,26,10,4,51,108,474,317,24,923,974,
11H,Fulton,753,10,10,10,0,30,45,179,131,7,362,392,
11J,Fulton,2092,13,22,8,2,45,179,493,332,20,1024,1069,
11K,Fulton,2045,12,24,7,4,47,138,607,387,11,1143,1190,
11M,Fulton,1380,14,14,5,1,34,94,564,356,7,1021,1055,
11M1,Fulton,2190,7,24,0,2,33,138,514,54,24,730,763,
11N,Fulton,2431,21,29,17,2,69,180,803,438,2,1423,1492,
11P,Fulton,2095,7,15,12,2,36,127,539,389,14,1069,1105,
11R,Fulton,2253,8,21,7,1,37,116,437,229,5,787,824,
12A,Fulton,4971,48,115,45,2,210,262,1573,728,25,2588,2798,
12A1,Fulton,690,8,18,2,0,28,35,290,21,8,354,382,
12D,Fulton,1408,15,21,4,0,40,94,340,140,2,576,616,
12E1,Fulton,1906,11,22,25,1,59,115,293,235,3,646,705,
12F,Fulton,1229,6,14,4,0,24,107,294,87,2,490,514,
12G,Fulton,885,6,17,10,0,33,53,173,182,1,409,442,
12H1,Fulton,1170,9,15,6,1,31,93,163,76,13,345,376,
12H2,Fulton,2998,19,28,11,1,59,272,678,394,9,1353,1412,
12I,Fulton,1079,3,8,5,7,23,54,217,147,35,453,476,
12J,Fulton,3154,28,34,12,2,76,243,689,340,30,1302,1378,
12K,Fulton,3620,17,74,30,3,124,195,909,346,7,1457,1581,
12L,Fulton,774,3,8,4,2,17,54,133,70,2,259,276,
12M,Fulton,2990,32,27,8,2,69,344,627,305,20,1296,1365,
12N,Fulton,1134,7,9,5,1,22,88,214,81,12,395,417,
12S,Fulton,2079,8,24,7,1,40,160,560,237,13,970,1010,
CP011,Fulton,1353,16,105,30,1,152,84,358,150,8,600,752,
CP012,Fulton,1469,15,120,38,2,175,77,474,191,4,746,921,
CP01B,Fulton,422,7,50,15,0,72,19,123,41,1,184,256,
CP02,Fulton,1208,19,51,19,0,89,70,341,164,1,576,665,
CP04A,Fulton,13,0,1,1,0,2,0,2,0,0,2,4,
CP04B,Fulton,38,0,2,1,0,3,2,6,8,0,16,19,
CP051,Fulton,1756,10,24,7,0,41,143,517,245,0,905,946,
CP05B,Fulton,153,2,3,1,1,7,18,36,9,3,66,73,
CP07B,Fulton,7,0,1,0,0,1,2,1,0,0,3,4,
CP07C,Fulton,323,1,4,0,0,5,17,42,10,0,69,74,
CP07D,Fulton,790,5,7,2,0,14,60,120,40,0,220,234,
CP07E,Fulton,127,0,2,0,0,2,19,18,3,0,40,42,
CP07F,Fulton,266,0,1,0,0,1,22,35,6,0,63,64,
EP01A,Fulton,2978,32,94,37,1,164,166,940,333,14,1453,1617,
EP01B,Fulton,3473,33,88,27,1,149,201,919,452,9,1581,1730,
EP02A,Fulton,2407,20,39,18,3,80,146,528,311,19,1004,1084,
EP02B,Fulton,1679,24,108,43,0,175,80,598,275,1,954,1129,
EP02C,Fulton,522,6,29,14,0,49,15,180,63,0,258,307,
EP02D,Fulton,420,3,8,2,0,13,30,153,49,0,232,245,
EP02E,Fulton,1668,9,39,12,0,60,100,422,165,0,687,747,
EP03A,Fulton,4925,44,82,60,1,187,292,1524,808,7,2631,2818,
EP03B,Fulton,1547,10,39,13,0,62,70,596,345,6,1017,1079,
EP04A,Fulton,5020,40,48,21,1,110,511,1314,673,27,2525,2635,
FC01,Fulton,325,4,2,2,0,8,19,128,25,2,174,182,
FC02,Fulton,585,4,5,2,0,11,11,28,7,2,48,59,
FC03,Fulton,17,0,1,0,0,1,1,7,0,8,16,17,
HP01,Fulton,3824,152,311,112,1,576,261,875,432,7,1575,2151,
SC01A,Fulton,41,0,2,0,0,2,2,41,7,0,50,52,
SC01B,Fulton,2088,11,27,9,2,49,117,1122,298,13,1550,1599,
SC01C,Fulton,2249,3,35,23,0,61,84,1039,449,2,1574,1635,
SC02,Fulton,1426,2,27,5,0,34,41,712,267,3,1023,1057,
SC14A,Fulton,1030,6,17,0,0,23,63,312,103,0,478,501,
SC16A,Fulton,5175,27,62,22,0,111,274,2425,869,0,3568,3679,
SC18A,Fulton,570,3,16,1,0,20,39,212,121,0,372,392,
SC30A,Fulton,157,0,2,0,1,3,5,43,59,8,115,118,
SC30B,Fulton,1110,6,20,4,0,30,56,351,151,0,558,588,
