Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Grovetown Methodist Church,Columbia,2736,189,304,106,1,600,227,489,247,5,968,23,27,10,1,61,1629,
G A Apostolic Church,Columbia,1701,235,362,127,0,724,72,224,131,1,428,11,16,4,0,31,1183,
Grovetown Public Safety Station 23696,Columbia,238,640,133,1,1012,200,739,383,1,1323,27,56,23,0,106,2441,,
Grove First Baptist Church,Columbia,2954,178,526,88,1,793,139,637,295,0,1071,17,33,10,0,60,1924,
Eubank-Blanchard Center,Columbia,1576,374,485,74,1,934,66,95,74,0,235,8,12,5,0,25,1194,
Second Mt Carmel Baptist Church731,Columbia,107,132,23,0,262,114,70,78,0,262,3,4,2,0,9,533,,
Damascus Baptist Church,Columbia,1023,343,300,70,1,714,28,30,26,0,84,13,4,1,0,18,816,
Col Cty Bd of Edu,Columbia,2143,219,693,154,2,1068,83,266,152,0,501,16,27,11,0,54,1623,
Greenbrier High,Columbia,3369,485,1187,225,1,1898,79,335,240,0,654,30,45,23,0,98,2650,
Parkway Baptist Church,Columbia,4596,583,1484,265,2,2334,129,692,324,1,1146,34,50,24,0,108,3588,
Riverview Church,Columbia,1320,149,458,103,0,710,49,155,120,0,324,12,13,4,0,29,1063,
Grace Baptist Church,Columbia,3558,407,979,171,0,1557,114,600,327,0,1041,19,53,13,0,85,2683,
Christ Sanctified,Columbia,2521,343,746,180,1,1270,86,249,166,0,501,21,29,6,0,56,1827,
Blanchard Park,Columbia,2026,238,402,138,2,780,101,280,169,0,550,11,24,12,0,47,1377,
Belair Baptist Church,Columbia,2440,339,596,174,1,1110,104,305,200,1,610,27,17,5,0,49,1769,
Marvin Methodist,Columbia,1937,330,378,124,0,832,114,177,182,0,473,17,18,12,0,47,1352,
Westside Baptist Church,Columbia,1516,273,399,187,0,859,56,114,123,0,293,24,11,3,0,38,1190,
Trinity Baptist Church,Columbia,2836,440,764,251,2,1457,98,222,168,1,489,34,24,16,0,74,2020,
Abilene Baptist,Columbia,2046,294,481,159,0,934,81,191,161,0,433,23,16,6,0,45,1412,
Augusta Christian,Columbia,2179,316,523,184,0,1023,114,222,194,1,531,16,17,6,0,39,1593,
Savannah Rapids Pavilion,Columbia,1549,140,613,269,0,1022,24,116,171,0,311,5,12,6,0,23,1356,
Gospel Water Branch,Columbia,2096,247,645,154,2,1048,86,255,207,1,549,7,21,12,0,40,1637,
Genesis Church,Columbia,1830,234,538,179,0,951,63,171,166,1,401,20,20,9,0,49,1401,
Stevens Creek Church,Columbia,2760,381,941,279,1,1602,67,277,249,0,593,17,27,10,0,54,2249,
Mtz Col Fire Hdqtr,Columbia,1291,194,229,69,0,492,93,106,83,1,283,21,13,8,0,42,817,
Lakeside Middle,Columbia,1923,258,480,85,0,823,92,227,140,0,459,22,28,10,0,60,1342,
Martinez Baptist,Columbia,1962,311,328,110,0,749,139,203,134,0,476,26,21,7,0,54,1279,
Gold Cross EMS,Columbia,1889,229,455,290,3,977,56,146,129,1,332,19,19,10,1,49,1358,
Church of Our Savior,Columbia,2310,304,479,182,2,967,136,228,210,2,576,30,18,9,0,57,1600,
West Acres Baptist,Columbia,2424,304,742,164,1,1211,83,243,201,0,527,6,19,8,0,33,1771,
Journey Comm Church,Columbia,1268,159,495,146,1,801,30,92,76,0,198,8,22,7,1,38,1037,
Wesley Methodist,Columbia,2434,312,793,193,3,1301,80,275,151,1,507,22,26,8,0,56,1864,
Col Cty Main Library,Columbia,2106,180,687,144,0,1011,58,256,168,1,483,18,21,8,0,47,1541,
Christ Church Presbyterian,Columbia,2081,288,735,151,1,1175,53,217,153,1,424,8,24,5,0,37,1636,
Blue Ridge Elementary,Columbia,2301,262,603,143,0,1008,122,259,164,1,546,26,24,12,0,62,1616,
Christ The King Luth Church,Columbia,2148,203,757,250,1,1211,38,231,200,0,469,8,15,8,0,31,1711,
