Precinct,County,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Shakerag East,Fayette,1689.0,193.0,482.0,140.0,2.0,817.0,62.0,221.0,131.0,0.0,414.0,1231.0,72.9,817.0,414.0
Shakerag West,Fayette,1236.0,51.0,498.0,138.0,1.0,688.0,21.0,188.0,137.0,1.0,347.0,1035.0,83.7,688.0,347.0
Starrsmill,Fayette,3572.0,396.0,1170.0,402.0,0.0,1968.0,81.0,240.0,208.0,0.0,529.0,2497.0,69.9,1968.0,529.0
Whitewater,Fayette,3564.0,305.0,1308.0,426.0,5.0,2044.0,73.0,466.0,270.0,6.0,815.0,2859.0,80.2,2044.0,815.0
Woolsey,Fayette,2542.0,331.0,943.0,373.0,0.0,1647.0,39.0,168.0,182.0,0.0,389.0,2036.0,80.1,1647.0,389.0
McIntosh,Fayette,3323.0,206.0,1191.0,342.0,1.0,1740.0,53.0,479.0,303.0,1.0,836.0,2576.0,77.5,1740.0,836.0
Oak Grove,Fayette,1344.0,130.0,451.0,103.0,0.0,684.0,49.0,189.0,107.0,1.0,346.0,1030.0,76.6,684.0,346.0
Kedron,Fayette,4862.0,328.0,1391.0,401.0,1.0,2121.0,185.0,880.0,473.0,2.0,1540.0,3661.0,75.3,2121.0,1540.0
Aberdeen,Fayette,1805.0,135.0,620.0,176.0,0.0,931.0,43.0,260.0,116.0,0.0,419.0,1350.0,74.8,931.0,419.0
Windgate,Fayette,1011.0,118.0,348.0,70.0,2.0,538.0,31.0,139.0,83.0,0.0,253.0,791.0,78.2,538.0,253.0
Flat Creek,Fayette,2117.0,163.0,547.0,226.0,2.0,938.0,99.0,302.0,151.0,0.0,552.0,1490.0,70.4,938.0,552.0
Braelinn,Fayette,1876.0,189.0,792.0,216.0,2.0,1199.0,32.0,155.0,105.0,0.0,292.0,1491.0,79.5,1199.0,292.0
Harps Crossing,Fayette,1646.0,154.0,495.0,208.0,2.0,859.0,54.0,221.0,135.0,0.0,410.0,1269.0,77.1,859.0,410.0
Willow Pond,Fayette,3100.0,211.0,745.0,265.0,7.0,1228.0,111.0,575.0,387.0,2.0,1075.0,2303.0,74.3,1228.0,1075.0
Dogwood,Fayette,3092.0,230.0,1047.0,340.0,3.0,1620.0,75.0,517.0,266.0,0.0,858.0,2478.0,80.1,1620.0,858.0
Murphy,Fayette,3224.0,157.0,761.0,347.0,4.0,1269.0,104.0,685.0,398.0,1.0,1188.0,2457.0,76.2,1269.0,1188.0
Fielding Ridge,Fayette,3497.0,276.0,1260.0,285.0,0.0,1821.0,85.0,528.0,328.0,0.0,941.0,2762.0,79.0,1821.0,941.0
Willowbend,Fayette,2007.0,150.0,704.0,177.0,0.0,1031.0,53.0,270.0,141.0,0.0,464.0,1495.0,74.5,1031.0,464.0
Camp Creek,Fayette,1895.0,161.0,709.0,189.0,1.0,1060.0,32.0,238.0,139.0,1.0,410.0,1470.0,77.6,1060.0,410.0
Rising Star,Fayette,3833.0,364.0,1709.0,392.0,1.0,2466.0,81.0,525.0,265.0,2.0,873.0,3339.0,87.1,2466.0,873.0
Spring Hill,Fayette,3299.0,136.0,741.0,271.0,0.0,1148.0,88.0,795.0,454.0,2.0,1339.0,2487.0,75.4,1148.0,1339.0
Antioch,Fayette,1956.0,263.0,468.0,183.0,1.0,915.0,94.0,260.0,188.0,0.0,542.0,1457.0,74.5,915.0,542.0
Barnesville,Lamar,2546.0,111.0,286.0,100.0,0.0,497.0,168.0,433.0,354.0,0.0,955.0,1452.0,57.0,497.0,955.0
Chappell Mill V FD,Lamar,1577.0,306.0,567.0,102.0,1.0,976.0,27.0,78.0,92.0,0.0,197.0,1173.0,74.4,976.0,197.0
Senior Citizen Bldg,Lamar,1337.0,128.0,357.0,84.0,1.0,570.0,69.0,136.0,98.0,0.0,303.0,873.0,65.3,570.0,303.0
Redbone,Lamar,623.0,188.0,160.0,44.0,0.0,392.0,14.0,29.0,28.0,0.0,71.0,463.0,74.3,392.0,71.0
L C S C,Lamar,2808.0,332.0,1018.0,211.0,4.0,1565.0,62.0,197.0,148.0,1.0,408.0,1973.0,70.3,1565.0,408.0
Milner,Lamar,3948.0,685.0,1385.0,297.0,1.0,2368.0,106.0,228.0,143.0,1.0,478.0,2846.0,72.1,2368.0,478.0
1,Spalding,2260.0,52.0,45.0,29.0,10.0,136.0,248.0,265.0,278.0,37.0,828.0,964.0,42.7,136.0,828.0
2,Spalding,1956.0,35.0,43.0,19.0,8.0,105.0,265.0,268.0,270.0,16.0,819.0,924.0,47.2,105.0,819.0
3,Spalding,2774.0,257.0,851.0,314.0,154.0,1576.0,55.0,223.0,163.0,45.0,486.0,2062.0,74.3,1576.0,486.0
5,Spalding,3715.0,169.0,437.0,200.0,67.0,873.0,230.0,500.0,316.0,92.0,1138.0,2011.0,54.1,873.0,1138.0
6,Spalding,2438.0,56.0,134.0,80.0,10.0,280.0,252.0,352.0,303.0,14.0,921.0,1201.0,49.3,280.0,921.0
7,Spalding,1705.0,325.0,449.0,186.0,16.0,976.0,62.0,145.0,93.0,4.0,304.0,1280.0,75.1,976.0,304.0
8,Spalding,1789.0,259.0,474.0,204.0,18.0,955.0,87.0,136.0,100.0,7.0,330.0,1285.0,71.8,955.0,330.0
9,Spalding,1950.0,371.0,500.0,192.0,25.0,1088.0,40.0,75.0,75.0,7.0,197.0,1285.0,65.9,1088.0,197.0
10,Spalding,1981.0,274.0,470.0,154.0,9.0,907.0,132.0,214.0,135.0,12.0,493.0,1400.0,70.7,907.0,493.0
11,Spalding,2506.0,414.0,594.0,172.0,18.0,1198.0,154.0,235.0,185.0,9.0,583.0,1781.0,71.1,1198.0,583.0
12,Spalding,2163.0,438.0,617.0,218.0,26.0,1299.0,51.0,106.0,101.0,3.0,261.0,1560.0,72.1,1299.0,261.0
13,Spalding,2586.0,567.0,589.0,230.0,43.0,1429.0,59.0,99.0,64.0,7.0,229.0,1658.0,64.1,1429.0,229.0
14,Spalding,1985.0,365.0,281.0,139.0,20.0,805.0,113.0,110.0,103.0,6.0,332.0,1137.0,57.3,805.0,332.0
16,Spalding,4596.0,181.0,418.0,187.0,23.0,809.0,329.0,684.0,639.0,47.0,1699.0,2508.0,54.6,809.0,1699.0
17,Spalding,2011.0,251.0,367.0,90.0,18.0,726.0,111.0,149.0,127.0,8.0,395.0,1121.0,55.7,726.0,395.0
19,Spalding,2664.0,398.0,665.0,250.0,16.0,1329.0,124.0,209.0,159.0,9.0,501.0,1830.0,68.7,1329.0,501.0
20,Spalding,2190.0,465.0,586.0,171.0,22.0,1244.0,49.0,79.0,82.0,4.0,214.0,1458.0,66.6,1244.0,214.0
21,Spalding,4716.0,326.0,1181.0,735.0,29.0,2271.0,100.0,488.0,749.0,5.0,1342.0,3613.0,76.6,2271.0,1342.0
