Precinct,County,Registered Voters,Kyla Cromer (I) (Rep)_Election Day Votes,Kyla Cromer (I) (Rep)_Advanced Voting Votes,Kyla Cromer (I) (Rep)_Absentee by Mail Votes,Kyla Cromer (I) (Rep)_Provisional Votes,Kyla Cromer (I) (Rep)_Choice Total,Total,Roger L. Smith (I) (Dem)_Election Day Votes,Roger L. Smith (I) (Dem)_Advanced Voting Votes,Roger L. Smith (I) (Dem)_Absentee by Mail Votes,Roger L. Smith (I) (Dem)_Provisional Votes,Roger L. Smith (I) (Dem)_Choice Total,Randy Sirmans (Rep)_Election Day Votes,Randy Sirmans (Rep)_Advanced Voting Votes,Randy Sirmans (Rep)_Absentee by Mail Votes,Randy Sirmans (Rep)_Provisional Votes,Randy Sirmans (Rep)_Choice Total,G. Michael Lynch (I) (Rep)_Election Day Votes,G. Michael Lynch (I) (Rep)_Advanced Voting Votes,G. Michael Lynch (I) (Rep)_Absentee by Mail Votes,G. Michael Lynch (I) (Rep)_Provisional Votes,G. Michael Lynch (I) (Rep)_Choice Total,Kim Smith (Dem)_Election Day Votes,Kim Smith (Dem)_Advanced Voting Votes,Kim Smith (Dem)_Absentee by Mail Votes,Kim Smith (Dem)_Provisional Votes,Kim Smith (Dem)_Choice Total,Missy Jarrard (I) (Rep)_Election Day Votes,Missy Jarrard (I) (Rep)_Advanced Voting Votes,Missy Jarrard (I) (Rep)_Absentee by Mail Votes,Missy Jarrard (I) (Rep)_Provisional Votes,Missy Jarrard (I) (Rep)_Choice Total,calc_participation,Rep_total,Rep_steal,Dem_total,Dem_steal
Teasley,Cherokee,7981.0,1237.0,2949.0,959.0,0.0,5145.0,5145.0,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,,,,
Toonigh,Cherokee,6641.0,788.0,2493.0,858.0,0.0,4139.0,4139.0,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,,,,
Union Hill,Cherokee,4207.0,852.0,1533.0,598.0,2.0,2985.0,2985.0,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,
Univeter,Cherokee,5434.0,632.0,2200.0,666.0,0.0,3498.0,3498.0,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,,,,
Victoria,Cherokee,3132.0,608.0,998.0,353.0,0.0,1959.0,1959.0,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,
Waleska,Cherokee,2875.0,596.0,828.0,470.0,0.0,1894.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,65.9,,,,
Wildcat,Cherokee,3215.0,562.0,1141.0,314.0,0.0,2017.0,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,
Woodlands,Cherokee,3456.0,759.0,851.0,482.0,0.0,2092.0,2092.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,,,,
Woodstock,Cherokee,7345.0,825.0,2211.0,938.0,1.0,3975.0,3975.0,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,
Bloodworth,Wilkinson,434.0,,,,,,211.0,117.0,71.0,23.0,0.0,211.0,,,,,,,,,,,,,,,,,,,,,48.6,,,,
Griffin,Wilkinson,184.0,,,,,,109.0,64.0,21.0,24.0,0.0,109.0,,,,,,,,,,,,,,,,,,,,,59.2,,,,
High Hill,Wilkinson,173.0,,,,,,95.0,58.0,23.0,14.0,0.0,95.0,,,,,,,,,,,,,,,,,,,,,54.9,,,,
Irwinton,Wilkinson,875.0,,,,,,510.0,85.0,317.0,107.0,1.0,510.0,,,,,,,,,,,,,,,,,,,,,58.3,,,,
Ivey,Wilkinson,960.0,,,,,,409.0,217.0,145.0,45.0,2.0,409.0,,,,,,,,,,,,,,,,,,,,,42.6,,,,
Lord,Wilkinson,735.0,,,,,,415.0,154.0,174.0,87.0,0.0,415.0,,,,,,,,,,,,,,,,,,,,,56.5,,,,
Midway,Wilkinson,938.0,,,,,,570.0,107.0,278.0,182.0,3.0,570.0,,,,,,,,,,,,,,,,,,,,,60.8,,,,
Ramah,Wilkinson,1709.0,,,,,,981.0,350.0,420.0,211.0,0.0,981.0,,,,,,,,,,,,,,,,,,,,,57.4,,,,
Turkey Creek,Wilkinson,462.0,,,,,,223.0,125.0,69.0,29.0,0.0,223.0,,,,,,,,,,,,,,,,,,,,,48.3,,,,
Lakeland,Lanier,5462.0,,,,,,3055.0,,,,,,620.0,2037.0,398.0,0.0,3055.0,,,,,,,,,,,,,,,,55.9,,,,
Greensboro,Greene,3999.0,,,,,,2766.0,,,,,,,,,,,147.0,889.0,215.0,0.0,1251.0,213.0,816.0,480.0,6.0,1515.0,,,,,,69.2,,,,
Union Point,Greene,1873.0,,,,,,1266.0,,,,,,,,,,,124.0,350.0,100.0,0.0,574.0,176.0,297.0,219.0,0.0,692.0,,,,,,67.6,,,,
Siloam,Greene,991.0,,,,,,687.0,,,,,,,,,,,57.0,210.0,51.0,0.0,318.0,103.0,145.0,121.0,0.0,369.0,,,,,,69.3,,,,
White Plains,Greene,347.0,,,,,,259.0,,,,,,,,,,,27.0,83.0,24.0,0.0,134.0,33.0,63.0,29.0,0.0,125.0,,,,,,74.6,,,,
Old Salem,Greene,6961.0,,,,,,6033.0,,,,,,,,,,,471.0,3495.0,1041.0,1.0,5008.0,68.0,519.0,435.0,3.0,1025.0,,,,,,86.7,,,,
Blue Creek,White,2352.0,,,,,,1574.0,,,,,,,,,,,,,,,,,,,,,419.0,845.0,310.0,0.0,1574.0,66.9,,,,
Blue Ridge,White,929.0,,,,,,586.0,,,,,,,,,,,,,,,,,,,,,175.0,281.0,130.0,0.0,586.0,63.1,,,,
Helen,White,609.0,,,,,,362.0,,,,,,,,,,,,,,,,,,,,,132.0,164.0,66.0,0.0,362.0,59.4,,,,
Mossy Creek,White,3164.0,,,,,,2106.0,,,,,,,,,,,,,,,,,,,,,643.0,1116.0,347.0,0.0,2106.0,66.6,,,,
Mt Yonah,White,4468.0,,,,,,2840.0,,,,,,,,,,,,,,,,,,,,,580.0,1702.0,556.0,2.0,2840.0,63.6,,,,
Nacoochee,White,1552.0,,,,,,1046.0,,,,,,,,,,,,,,,,,,,,,238.0,544.0,263.0,1.0,1046.0,67.4,,,,
Robertstown,White,407.0,,,,,,277.0,,,,,,,,,,,,,,,,,,,,,110.0,119.0,48.0,0.0,277.0,68.1,,,,
Shoal Creek,White,2538.0,,,,,,1544.0,,,,,,,,,,,,,,,,,,,,,468.0,815.0,261.0,0.0,1544.0,60.8,,,,
Tesnatee,White,1231.0,,,,,,826.0,,,,,,,,,,,,,,,,,,,,,210.0,463.0,153.0,0.0,826.0,67.1,,,,
Town Creek,White,1593.0,,,,,,1027.0,,,,,,,,,,,,,,,,,,,,,320.0,538.0,168.0,1.0,1027.0,64.5,,,,
White Creek,White,1779.0,,,,,,1214.0,,,,,,,,,,,,,,,,,,,,,367.0,639.0,208.0,0.0,1214.0,68.2,,,,
