Precinct,County,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,calc_participation
03A,Fulton,2230.0,11.0,20.0,11.0,2.0,44.0,134.0,379.0,218.0,20.0,751.0,795.0,35.7
03B,Fulton,777.0,5.0,7.0,4.0,0.0,16.0,53.0,98.0,58.0,0.0,209.0,225.0,29.0
03C,Fulton,1879.0,11.0,17.0,8.0,0.0,36.0,141.0,331.0,223.0,6.0,701.0,737.0,39.2
03D,Fulton,1235.0,8.0,10.0,10.0,1.0,29.0,82.0,214.0,102.0,20.0,418.0,447.0,36.2
03E,Fulton,2894.0,25.0,31.0,5.0,9.0,70.0,286.0,469.0,222.0,35.0,1012.0,1082.0,37.4
03F,Fulton,2328.0,46.0,167.0,56.0,1.0,270.0,110.0,756.0,335.0,3.0,1204.0,1474.0,63.3
03G,Fulton,1033.0,9.0,4.0,1.0,0.0,14.0,72.0,149.0,43.0,4.0,268.0,282.0,27.3
03H,Fulton,1091.0,10.0,10.0,5.0,0.0,25.0,84.0,216.0,95.0,0.0,395.0,420.0,38.5
03I,Fulton,1607.0,25.0,60.0,17.0,5.0,107.0,87.0,310.0,109.0,19.0,525.0,632.0,39.3
03L,Fulton,748.0,7.0,3.0,3.0,0.0,13.0,68.0,97.0,40.0,0.0,205.0,218.0,29.1
03M,Fulton,965.0,63.0,43.0,5.0,0.0,111.0,119.0,223.0,87.0,2.0,431.0,542.0,56.2
03N,Fulton,2804.0,23.0,33.0,8.0,4.0,68.0,212.0,447.0,155.0,21.0,835.0,903.0,32.2
03P1A,Fulton,4404.0,88.0,211.0,79.0,0.0,378.0,210.0,1299.0,507.0,14.0,2030.0,2408.0,54.7
03P2,Fulton,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,30.4
03S,Fulton,908.0,7.0,7.0,5.0,0.0,19.0,91.0,200.0,102.0,0.0,393.0,412.0,45.4
03T,Fulton,1742.0,15.0,31.0,6.0,0.0,52.0,139.0,476.0,131.0,5.0,751.0,803.0,46.1
04A,Fulton,1554.0,5.0,16.0,4.0,0.0,25.0,96.0,314.0,159.0,0.0,569.0,594.0,38.2
04B,Fulton,2948.0,9.0,19.0,6.0,0.0,34.0,121.0,409.0,221.0,0.0,751.0,785.0,26.6
04C,Fulton,150.0,1.0,0.0,1.0,0.0,2.0,10.0,27.0,11.0,1.0,49.0,51.0,34.0
04D,Fulton,1736.0,13.0,23.0,5.0,1.0,42.0,148.0,442.0,197.0,4.0,791.0,833.0,48.0
04F,Fulton,2786.0,35.0,79.0,24.0,1.0,139.0,171.0,738.0,189.0,10.0,1108.0,1247.0,44.8
04G,Fulton,1025.0,7.0,7.0,5.0,0.0,19.0,114.0,188.0,80.0,1.0,383.0,402.0,39.2
04I,Fulton,4604.0,18.0,47.0,18.0,1.0,84.0,70.0,441.0,214.0,6.0,731.0,815.0,17.7
04J,Fulton,1617.0,5.0,1.0,2.0,2.0,10.0,45.0,110.0,19.0,9.0,183.0,193.0,11.9
04K,Fulton,2736.0,17.0,29.0,16.0,0.0,62.0,188.0,701.0,345.0,13.0,1247.0,1309.0,47.8
04L,Fulton,2014.0,24.0,24.0,14.0,1.0,63.0,155.0,556.0,200.0,5.0,916.0,979.0,48.6
04M,Fulton,979.0,5.0,5.0,4.0,0.0,14.0,101.0,152.0,65.0,5.0,323.0,337.0,34.4
04S,Fulton,2541.0,20.0,28.0,15.0,0.0,63.0,255.0,599.0,300.0,7.0,1161.0,1224.0,48.2
04T,Fulton,1297.0,8.0,21.0,4.0,1.0,34.0,126.0,334.0,156.0,19.0,635.0,669.0,51.6
04V,Fulton,3573.0,36.0,25.0,11.0,1.0,73.0,344.0,691.0,232.0,3.0,1270.0,1343.0,37.6
04W,Fulton,3365.0,0.0,0.0,1.0,1.0,2.0,58.0,134.0,28.0,6.0,226.0,228.0,6.8
04X1,Fulton,2283.0,16.0,32.0,7.0,0.0,55.0,155.0,601.0,273.0,2.0,1031.0,1086.0,47.6
04X2,Fulton,846.0,6.0,23.0,4.0,0.0,33.0,53.0,221.0,98.0,0.0,372.0,405.0,47.9
05A1,Fulton,2936.0,50.0,159.0,52.0,0.0,261.0,100.0,1204.0,604.0,1.0,1909.0,2170.0,73.9
05A2,Fulton,3343.0,41.0,170.0,68.0,5.0,284.0,123.0,1384.0,590.0,6.0,2103.0,2387.0,71.4
05B,Fulton,2171.0,21.0,33.0,18.0,0.0,72.0,159.0,604.0,252.0,1.0,1016.0,1088.0,50.1
05C,Fulton,135.0,1.0,3.0,1.0,0.0,5.0,6.0,26.0,8.0,0.0,40.0,45.0,33.3
05D,Fulton,541.0,4.0,4.0,1.0,0.0,9.0,18.0,55.0,8.0,2.0,83.0,92.0,17.0
05F,Fulton,248.0,4.0,8.0,1.0,1.0,14.0,21.0,83.0,23.0,0.0,127.0,141.0,56.9
05J,Fulton,684.0,11.0,30.0,17.0,0.0,58.0,32.0,262.0,121.0,1.0,416.0,474.0,69.3
05K,Fulton,2826.0,24.0,83.0,27.0,1.0,135.0,136.0,669.0,255.0,2.0,1062.0,1197.0,42.4
06B,Fulton,1889.0,63.0,178.0,56.0,3.0,300.0,51.0,700.0,386.0,4.0,1141.0,1441.0,76.3
06D,Fulton,6160.0,133.0,569.0,402.0,1.0,1105.0,254.0,1947.0,1908.0,10.0,4119.0,5224.0,84.8
06D1,Fulton,2539.0,62.0,267.0,52.0,1.0,382.0,41.0,878.0,148.0,4.0,1071.0,1453.0,57.2
06D2,Fulton,850.0,21.0,99.0,15.0,1.0,136.0,12.0,294.0,51.0,0.0,357.0,493.0,58.0
06E,Fulton,2344.0,61.0,201.0,85.0,3.0,350.0,84.0,766.0,388.0,2.0,1240.0,1590.0,67.8
06F,Fulton,2841.0,54.0,262.0,90.0,4.0,410.0,85.0,1026.0,485.0,3.0,1599.0,2009.0,70.7
06G,Fulton,588.0,14.0,41.0,24.0,0.0,79.0,12.0,211.0,113.0,1.0,337.0,416.0,70.7
06I,Fulton,4072.0,99.0,224.0,69.0,8.0,400.0,243.0,1297.0,517.0,15.0,2072.0,2472.0,60.7
06J,Fulton,2770.0,64.0,264.0,110.0,1.0,439.0,58.0,953.0,719.0,0.0,1730.0,2169.0,78.3
06L1,Fulton,991.0,31.0,125.0,56.0,0.0,212.0,23.0,327.0,218.0,3.0,571.0,783.0,79.0
06L2,Fulton,726.0,35.0,106.0,41.0,0.0,182.0,12.0,233.0,135.0,1.0,381.0,563.0,77.5
06N,Fulton,1770.0,62.0,259.0,106.0,6.0,433.0,54.0,411.0,262.0,2.0,729.0,1162.0,65.6
06Q,Fulton,571.0,9.0,10.0,6.0,4.0,29.0,46.0,208.0,59.0,2.0,315.0,344.0,60.2
06R,Fulton,2015.0,42.0,190.0,97.0,2.0,331.0,42.0,604.0,343.0,2.0,991.0,1322.0,65.6
07C,Fulton,4512.0,173.0,689.0,494.0,10.0,1366.0,126.0,869.0,753.0,5.0,1753.0,3119.0,69.1
07D,Fulton,4879.0,203.0,902.0,234.0,14.0,1353.0,169.0,1112.0,526.0,13.0,1820.0,3173.0,65.0
07E,Fulton,2247.0,54.0,325.0,165.0,5.0,549.0,42.0,595.0,483.0,2.0,1122.0,1671.0,74.4
07F,Fulton,3790.0,178.0,735.0,266.0,25.0,1204.0,93.0,941.0,532.0,8.0,1574.0,2778.0,73.3
07H,Fulton,2060.0,101.0,445.0,153.0,0.0,699.0,41.0,499.0,367.0,0.0,907.0,1606.0,78.0
07J,Fulton,3041.0,123.0,511.0,196.0,7.0,837.0,101.0,818.0,446.0,6.0,1371.0,2208.0,72.6
07M,Fulton,2401.0,77.0,320.0,95.0,0.0,492.0,105.0,518.0,355.0,0.0,978.0,1470.0,61.2
07N,Fulton,2139.0,43.0,136.0,59.0,2.0,240.0,106.0,586.0,343.0,7.0,1042.0,1282.0,59.9
08F1,Fulton,2187.0,118.0,782.0,255.0,3.0,1158.0,20.0,392.0,249.0,1.0,662.0,1820.0,83.2
08G,Fulton,3086.0,117.0,461.0,219.0,0.0,797.0,92.0,565.0,477.0,5.0,1139.0,1936.0,62.7
08H,Fulton,2556.0,99.0,744.0,278.0,2.0,1123.0,35.0,467.0,401.0,1.0,904.0,2027.0,79.3
08J,Fulton,3344.0,150.0,826.0,211.0,4.0,1191.0,78.0,888.0,394.0,3.0,1363.0,2554.0,76.4
08K,Fulton,1049.0,66.0,189.0,69.0,0.0,324.0,32.0,289.0,172.0,0.0,493.0,817.0,77.9
08L,Fulton,4505.0,172.0,703.0,224.0,7.0,1106.0,125.0,1211.0,720.0,15.0,2071.0,3177.0,70.5
08M,Fulton,2295.0,140.0,704.0,206.0,4.0,1054.0,52.0,397.0,236.0,2.0,687.0,1741.0,75.9
08P,Fulton,1887.0,42.0,124.0,57.0,4.0,227.0,101.0,580.0,209.0,5.0,895.0,1122.0,59.5
09A,Fulton,3856.0,84.0,489.0,132.0,3.0,708.0,135.0,1306.0,533.0,6.0,1980.0,2688.0,69.7
09B,Fulton,464.0,2.0,3.0,1.0,0.0,6.0,27.0,76.0,69.0,0.0,172.0,178.0,38.4
09C,Fulton,3353.0,23.0,38.0,15.0,2.0,78.0,247.0,842.0,460.0,25.0,1574.0,1652.0,49.3
09D,Fulton,2299.0,14.0,18.0,13.0,1.0,46.0,214.0,428.0,291.0,9.0,942.0,988.0,43.0
09E,Fulton,3261.0,42.0,90.0,27.0,1.0,160.0,244.0,903.0,315.0,2.0,1464.0,1624.0,49.8
09F,Fulton,3917.0,128.0,804.0,269.0,6.0,1207.0,94.0,1059.0,549.0,1.0,1703.0,2910.0,74.3
09G,Fulton,3943.0,139.0,407.0,160.0,4.0,710.0,159.0,1312.0,569.0,8.0,2048.0,2758.0,69.9
09H,Fulton,1185.0,22.0,55.0,24.0,0.0,101.0,68.0,380.0,151.0,1.0,600.0,701.0,59.2
09I,Fulton,1397.0,18.0,21.0,7.0,0.0,46.0,126.0,245.0,168.0,2.0,541.0,587.0,42.0
09K,Fulton,4002.0,23.0,58.0,20.0,0.0,101.0,251.0,826.0,467.0,11.0,1555.0,1656.0,41.4
09K1,Fulton,1518.0,6.0,16.0,1.0,1.0,24.0,107.0,307.0,42.0,1.0,457.0,481.0,31.7
09M,Fulton,2578.0,49.0,268.0,68.0,0.0,385.0,83.0,1086.0,333.0,0.0,1502.0,1887.0,73.2
10A,Fulton,3186.0,15.0,32.0,15.0,0.0,62.0,229.0,931.0,525.0,16.0,1701.0,1763.0,55.3
10B,Fulton,3965.0,23.0,50.0,21.0,2.0,96.0,213.0,1470.0,879.0,8.0,2570.0,2666.0,67.2
10C,Fulton,2598.0,11.0,21.0,6.0,0.0,38.0,132.0,674.0,322.0,14.0,1142.0,1180.0,45.4
10D,Fulton,4968.0,30.0,46.0,24.0,15.0,115.0,290.0,1095.0,532.0,140.0,2057.0,2172.0,43.7
10E,Fulton,1084.0,6.0,15.0,4.0,0.0,25.0,92.0,290.0,181.0,4.0,567.0,592.0,54.6
10F,Fulton,1208.0,11.0,16.0,7.0,2.0,36.0,111.0,295.0,196.0,11.0,613.0,649.0,53.7
10G,Fulton,1332.0,10.0,13.0,12.0,1.0,36.0,93.0,506.0,232.0,2.0,833.0,869.0,65.2
10H1,Fulton,439.0,4.0,5.0,1.0,0.0,10.0,26.0,148.0,81.0,14.0,269.0,279.0,63.6
10H2,Fulton,2623.0,10.0,24.0,10.0,1.0,45.0,169.0,537.0,331.0,12.0,1049.0,1094.0,41.7
10I,Fulton,331.0,5.0,6.0,0.0,0.0,11.0,12.0,154.0,91.0,0.0,257.0,268.0,81.0
10J,Fulton,1238.0,11.0,8.0,6.0,1.0,26.0,137.0,187.0,124.0,14.0,462.0,488.0,39.4
10K,Fulton,1614.0,7.0,28.0,6.0,0.0,41.0,107.0,542.0,307.0,5.0,961.0,1002.0,62.1
10M,Fulton,2880.0,23.0,34.0,27.0,1.0,85.0,232.0,849.0,415.0,13.0,1509.0,1594.0,55.3
10P,Fulton,1607.0,10.0,19.0,6.0,0.0,35.0,143.0,323.0,233.0,3.0,702.0,737.0,45.9
10R,Fulton,928.0,9.0,11.0,0.0,0.0,20.0,88.0,189.0,84.0,11.0,372.0,392.0,42.2
11B,Fulton,4395.0,17.0,40.0,17.0,4.0,78.0,331.0,1327.0,837.0,25.0,2520.0,2598.0,59.1
11B1,Fulton,894.0,10.0,8.0,0.0,0.0,18.0,66.0,289.0,30.0,5.0,390.0,408.0,45.6
11C,Fulton,3149.0,10.0,43.0,8.0,2.0,63.0,152.0,1328.0,582.0,11.0,2073.0,2136.0,67.8
11E1,Fulton,1340.0,14.0,16.0,4.0,3.0,37.0,110.0,387.0,166.0,15.0,678.0,715.0,53.4
11E2,Fulton,1003.0,9.0,12.0,0.0,0.0,21.0,70.0,336.0,164.0,2.0,572.0,593.0,59.1
11E3,Fulton,3605.0,17.0,42.0,8.0,3.0,70.0,265.0,1353.0,351.0,13.0,1982.0,2052.0,56.9
11G,Fulton,2556.0,11.0,26.0,10.0,4.0,51.0,108.0,474.0,317.0,24.0,923.0,974.0,38.1
11H,Fulton,753.0,10.0,10.0,10.0,0.0,30.0,45.0,179.0,131.0,7.0,362.0,392.0,52.1
11J,Fulton,2092.0,13.0,22.0,8.0,2.0,45.0,179.0,493.0,332.0,20.0,1024.0,1069.0,51.1
11K,Fulton,2045.0,12.0,24.0,7.0,4.0,47.0,138.0,607.0,387.0,11.0,1143.0,1190.0,58.2
11M,Fulton,1380.0,14.0,14.0,5.0,1.0,34.0,94.0,564.0,356.0,7.0,1021.0,1055.0,76.4
11M1,Fulton,2190.0,7.0,24.0,0.0,2.0,33.0,138.0,514.0,54.0,24.0,730.0,763.0,34.8
11N,Fulton,2431.0,21.0,29.0,17.0,2.0,69.0,180.0,803.0,438.0,2.0,1423.0,1492.0,61.4
11P,Fulton,2095.0,7.0,15.0,12.0,2.0,36.0,127.0,539.0,389.0,14.0,1069.0,1105.0,52.7
11R,Fulton,2253.0,8.0,21.0,7.0,1.0,37.0,116.0,437.0,229.0,5.0,787.0,824.0,36.6
12A,Fulton,4971.0,48.0,115.0,45.0,2.0,210.0,262.0,1573.0,728.0,25.0,2588.0,2798.0,56.3
12A1,Fulton,690.0,8.0,18.0,2.0,0.0,28.0,35.0,290.0,21.0,8.0,354.0,382.0,55.4
12D,Fulton,1408.0,15.0,21.0,4.0,0.0,40.0,94.0,340.0,140.0,2.0,576.0,616.0,43.8
12E1,Fulton,1906.0,11.0,22.0,25.0,1.0,59.0,115.0,293.0,235.0,3.0,646.0,705.0,37.0
12F,Fulton,1229.0,6.0,14.0,4.0,0.0,24.0,107.0,294.0,87.0,2.0,490.0,514.0,41.8
12G,Fulton,885.0,6.0,17.0,10.0,0.0,33.0,53.0,173.0,182.0,1.0,409.0,442.0,49.9
12H1,Fulton,1170.0,9.0,15.0,6.0,1.0,31.0,93.0,163.0,76.0,13.0,345.0,376.0,32.1
12H2,Fulton,2998.0,19.0,28.0,11.0,1.0,59.0,272.0,678.0,394.0,9.0,1353.0,1412.0,47.1
12I,Fulton,1079.0,3.0,8.0,5.0,7.0,23.0,54.0,217.0,147.0,35.0,453.0,476.0,44.1
12J,Fulton,3154.0,28.0,34.0,12.0,2.0,76.0,243.0,689.0,340.0,30.0,1302.0,1378.0,43.7
12K,Fulton,3620.0,17.0,74.0,30.0,3.0,124.0,195.0,909.0,346.0,7.0,1457.0,1581.0,43.7
12L,Fulton,774.0,3.0,8.0,4.0,2.0,17.0,54.0,133.0,70.0,2.0,259.0,276.0,35.7
12M,Fulton,2990.0,32.0,27.0,8.0,2.0,69.0,344.0,627.0,305.0,20.0,1296.0,1365.0,45.7
12N,Fulton,1134.0,7.0,9.0,5.0,1.0,22.0,88.0,214.0,81.0,12.0,395.0,417.0,36.8
12S,Fulton,2079.0,8.0,24.0,7.0,1.0,40.0,160.0,560.0,237.0,13.0,970.0,1010.0,48.6
CP011,Fulton,1353.0,16.0,105.0,30.0,1.0,152.0,84.0,358.0,150.0,8.0,600.0,752.0,55.6
CP012,Fulton,1469.0,15.0,120.0,38.0,2.0,175.0,77.0,474.0,191.0,4.0,746.0,921.0,62.7
CP01B,Fulton,422.0,7.0,50.0,15.0,0.0,72.0,19.0,123.0,41.0,1.0,184.0,256.0,60.7
CP02,Fulton,1208.0,19.0,51.0,19.0,0.0,89.0,70.0,341.0,164.0,1.0,576.0,665.0,55.0
CP04A,Fulton,13.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,30.8
CP04B,Fulton,38.0,0.0,2.0,1.0,0.0,3.0,2.0,6.0,8.0,0.0,16.0,19.0,50.0
CP051,Fulton,1756.0,10.0,24.0,7.0,0.0,41.0,143.0,517.0,245.0,0.0,905.0,946.0,53.9
CP05B,Fulton,153.0,2.0,3.0,1.0,1.0,7.0,18.0,36.0,9.0,3.0,66.0,73.0,47.7
CP07B,Fulton,7.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,57.1
CP07C,Fulton,323.0,1.0,4.0,0.0,0.0,5.0,17.0,42.0,10.0,0.0,69.0,74.0,22.9
CP07D,Fulton,790.0,5.0,7.0,2.0,0.0,14.0,60.0,120.0,40.0,0.0,220.0,234.0,29.6
CP07E,Fulton,127.0,0.0,2.0,0.0,0.0,2.0,19.0,18.0,3.0,0.0,40.0,42.0,33.1
CP07F,Fulton,266.0,0.0,1.0,0.0,0.0,1.0,22.0,35.0,6.0,0.0,63.0,64.0,24.1
EP01A,Fulton,2978.0,32.0,94.0,37.0,1.0,164.0,166.0,940.0,333.0,14.0,1453.0,1617.0,54.3
EP01B,Fulton,3473.0,33.0,88.0,27.0,1.0,149.0,201.0,919.0,452.0,9.0,1581.0,1730.0,49.8
EP02A,Fulton,2407.0,20.0,39.0,18.0,3.0,80.0,146.0,528.0,311.0,19.0,1004.0,1084.0,45.0
EP02B,Fulton,1679.0,24.0,108.0,43.0,0.0,175.0,80.0,598.0,275.0,1.0,954.0,1129.0,67.2
EP02C,Fulton,522.0,6.0,29.0,14.0,0.0,49.0,15.0,180.0,63.0,0.0,258.0,307.0,58.8
EP02D,Fulton,420.0,3.0,8.0,2.0,0.0,13.0,30.0,153.0,49.0,0.0,232.0,245.0,58.3
EP02E,Fulton,1668.0,9.0,39.0,12.0,0.0,60.0,100.0,422.0,165.0,0.0,687.0,747.0,44.8
EP03A,Fulton,4925.0,44.0,82.0,60.0,1.0,187.0,292.0,1524.0,808.0,7.0,2631.0,2818.0,57.2
EP03B,Fulton,1547.0,10.0,39.0,13.0,0.0,62.0,70.0,596.0,345.0,6.0,1017.0,1079.0,69.7
EP04A,Fulton,5020.0,40.0,48.0,21.0,1.0,110.0,511.0,1314.0,673.0,27.0,2525.0,2635.0,52.5
FC01,Fulton,325.0,4.0,2.0,2.0,0.0,8.0,19.0,128.0,25.0,2.0,174.0,182.0,56.0
FC02,Fulton,585.0,4.0,5.0,2.0,0.0,11.0,11.0,28.0,7.0,2.0,48.0,59.0,10.1
FC03,Fulton,17.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,8.0,16.0,17.0,100.0
HP01,Fulton,3824.0,152.0,311.0,112.0,1.0,576.0,261.0,875.0,432.0,7.0,1575.0,2151.0,56.2
SC01A,Fulton,41.0,0.0,2.0,0.0,0.0,2.0,2.0,41.0,7.0,0.0,50.0,52.0,126.8
SC01B,Fulton,2088.0,11.0,27.0,9.0,2.0,49.0,117.0,1122.0,298.0,13.0,1550.0,1599.0,76.6
SC01C,Fulton,2249.0,3.0,35.0,23.0,0.0,61.0,84.0,1039.0,449.0,2.0,1574.0,1635.0,72.7
SC02,Fulton,1426.0,2.0,27.0,5.0,0.0,34.0,41.0,712.0,267.0,3.0,1023.0,1057.0,74.1
SC14A,Fulton,1030.0,6.0,17.0,0.0,0.0,23.0,63.0,312.0,103.0,0.0,478.0,501.0,48.6
SC16A,Fulton,5175.0,27.0,62.0,22.0,0.0,111.0,274.0,2425.0,869.0,0.0,3568.0,3679.0,71.1
SC18A,Fulton,570.0,3.0,16.0,1.0,0.0,20.0,39.0,212.0,121.0,0.0,372.0,392.0,68.8
SC30A,Fulton,157.0,0.0,2.0,0.0,1.0,3.0,5.0,43.0,59.0,8.0,115.0,118.0,75.2
SC30B,Fulton,1110.0,6.0,20.0,4.0,0.0,30.0,56.0,351.0,151.0,0.0,558.0,588.0,53.0
Ellenwood 1,Clayton,3020.0,27.0,61.0,31.0,0.0,119.0,215.0,1156.0,652.0,5.0,2028.0,2147.0,71.1
Ellenwood 2,Clayton,3273.0,34.0,99.0,48.0,0.0,181.0,233.0,1281.0,594.0,4.0,2112.0,2293.0,70.1
Forest Park 1,Clayton,3566.0,85.0,144.0,85.0,0.0,314.0,380.0,470.0,344.0,7.0,1201.0,1515.0,42.5
Forest Park 2,Clayton,2821.0,79.0,87.0,82.0,2.0,250.0,283.0,541.0,347.0,11.0,1182.0,1432.0,50.8
Forest Park 3,Clayton,2845.0,82.0,122.0,59.0,2.0,265.0,228.0,447.0,349.0,18.0,1042.0,1307.0,45.9
Forest Park 4,Clayton,1783.0,74.0,179.0,74.0,2.0,329.0,157.0,333.0,155.0,0.0,645.0,974.0,54.6
Forest Park 5,Clayton,3924.0,84.0,180.0,96.0,0.0,360.0,384.0,713.0,365.0,14.0,1476.0,1836.0,46.8
Forest Park 6,Clayton,1463.0,40.0,173.0,75.0,1.0,289.0,108.0,293.0,114.0,4.0,519.0,808.0,55.2
Jonesboro 8,Clayton,3947.0,56.0,87.0,30.0,0.0,173.0,396.0,980.0,368.0,4.0,1748.0,1921.0,48.7
Lake City,Clayton,3217.0,39.0,143.0,53.0,2.0,237.0,260.0,777.0,356.0,5.0,1398.0,1635.0,50.8
Morrow 1,Clayton,3328.0,59.0,77.0,58.0,1.0,195.0,385.0,717.0,344.0,1.0,1447.0,1642.0,49.3
Morrow 2,Clayton,2081.0,66.0,262.0,95.0,2.0,425.0,118.0,431.0,235.0,2.0,786.0,1211.0,58.2
Morrow 3,Clayton,2407.0,61.0,209.0,104.0,1.0,375.0,154.0,561.0,322.0,3.0,1040.0,1415.0,58.8
Morrow 4,Clayton,2112.0,52.0,133.0,66.0,0.0,251.0,182.0,442.0,253.0,2.0,879.0,1130.0,53.5
Morrow 5,Clayton,3056.0,50.0,118.0,81.0,0.0,249.0,261.0,1046.0,565.0,3.0,1875.0,2124.0,69.5
Morrow 6,Clayton,3030.0,66.0,160.0,97.0,0.0,323.0,276.0,884.0,397.0,5.0,1562.0,1885.0,62.2
Morrow 7,Clayton,2142.0,47.0,127.0,50.0,0.0,224.0,250.0,438.0,226.0,5.0,919.0,1143.0,53.4
Morrow 8,Clayton,3185.0,48.0,96.0,48.0,1.0,193.0,251.0,1076.0,528.0,9.0,1864.0,2057.0,64.6
Morrow 9,Clayton,1509.0,35.0,66.0,35.0,0.0,136.0,116.0,379.0,214.0,1.0,710.0,846.0,56.1
Morrow 10,Clayton,2342.0,44.0,163.0,42.0,1.0,250.0,141.0,748.0,270.0,2.0,1161.0,1411.0,60.2
