Precinct,County,Registered Voters,David Post (Rep)_Election Day Votes,David Post (Rep)_Advanced Voting Votes,David Post (Rep)_Absentee by Mail Votes,David Post (Rep)_Provisional Votes,David Post (Rep)_Choice Total,Nicole Love Hendrickson (Dem)_Election Day Votes,Nicole Love Hendrickson (Dem)_Advanced Voting Votes,Nicole Love Hendrickson (Dem)_Absentee by Mail Votes,Nicole Love Hendrickson (Dem)_Provisional Votes,Nicole Love Hendrickson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
BAYCREEK K,Gwinnett,3824.0,162.0,674.0,351.0,0.0,1187.0,152.0,957.0,529.0,1.0,1639.0,2826.0,73.9,1187.0,1639.0
CATES K,Gwinnett,2810.0,259.0,516.0,254.0,2.0,1031.0,147.0,545.0,367.0,1.0,1060.0,2091.0,74.4,1031.0,1060.0
BAYCREEK C,Gwinnett,6499.0,309.0,1035.0,377.0,3.0,1724.0,370.0,1765.0,877.0,0.0,3012.0,4736.0,72.9,1724.0,3012.0
CATES L,Gwinnett,4185.0,221.0,599.0,331.0,0.0,1151.0,267.0,958.0,553.0,4.0,1782.0,2933.0,70.1,1151.0,1782.0
DULUTH E,Gwinnett,4814.0,213.0,518.0,247.0,0.0,978.0,410.0,1159.0,734.0,8.0,2311.0,3289.0,68.3,978.0,2311.0
GOODWINS D,Gwinnett,4406.0,392.0,650.0,308.0,1.0,1351.0,325.0,734.0,566.0,2.0,1627.0,2978.0,67.6,1351.0,1627.0
LAWRENCEVILLE G,Gwinnett,3046.0,117.0,301.0,142.0,1.0,561.0,242.0,752.0,415.0,1.0,1410.0,1971.0,64.7,561.0,1410.0
LAWRENCEVILLE H,Gwinnett,4296.0,299.0,774.0,366.0,4.0,1443.0,226.0,836.0,570.0,2.0,1634.0,3077.0,71.6,1443.0,1634.0
MARTINS F,Gwinnett,2570.0,135.0,155.0,102.0,2.0,394.0,239.0,481.0,343.0,3.0,1066.0,1460.0,56.8,394.0,1066.0
PINCKNEYVILLE S,Gwinnett,3374.0,178.0,330.0,232.0,1.0,741.0,340.0,603.0,427.0,5.0,1375.0,2116.0,62.7,741.0,1375.0
ROCKBRIDGE E,Gwinnett,4638.0,145.0,340.0,137.0,1.0,623.0,391.0,1157.0,754.0,3.0,2305.0,2928.0,63.1,623.0,2305.0
SUGAR HILL E,Gwinnett,3589.0,329.0,783.0,326.0,3.0,1441.0,148.0,638.0,375.0,4.0,1165.0,2606.0,72.6,1441.0,1165.0
LAWRENCEVILLE I,Gwinnett,3312.0,208.0,377.0,204.0,0.0,789.0,266.0,650.0,422.0,2.0,1340.0,2129.0,64.3,789.0,1340.0
BAYCREEK D,Gwinnett,4609.0,313.0,850.0,358.0,0.0,1521.0,196.0,1041.0,611.0,0.0,1848.0,3369.0,73.1,1521.0,1848.0
BERKSHIRE J,Gwinnett,2731.0,163.0,593.0,297.0,0.0,1053.0,112.0,538.0,411.0,2.0,1063.0,2116.0,77.5,1053.0,1063.0
CATES M,Gwinnett,3988.0,277.0,881.0,474.0,1.0,1633.0,160.0,792.0,569.0,2.0,1523.0,3156.0,79.1,1633.0,1523.0
CATES N,Gwinnett,2567.0,239.0,566.0,361.0,1.0,1167.0,126.0,380.0,285.0,0.0,791.0,1958.0,76.3,1167.0,791.0
DULUTH F,Gwinnett,6161.0,178.0,383.0,258.0,3.0,822.0,473.0,1416.0,923.0,18.0,2830.0,3652.0,59.3,822.0,2830.0
DULUTH G,Gwinnett,3067.0,285.0,528.0,348.0,1.0,1162.0,159.0,486.0,433.0,2.0,1080.0,2242.0,73.1,1162.0,1080.0
GOODWINS E,Gwinnett,5491.0,425.0,865.0,437.0,1.0,1728.0,319.0,1019.0,740.0,1.0,2079.0,3807.0,69.3,1728.0,2079.0
GOODWINS F,Gwinnett,3212.0,192.0,450.0,249.0,0.0,891.0,184.0,602.0,480.0,0.0,1266.0,2157.0,67.2,891.0,1266.0
PINCKNEYVILLE T,Gwinnett,3201.0,200.0,328.0,258.0,3.0,789.0,227.0,581.0,412.0,2.0,1222.0,2011.0,62.8,789.0,1222.0
SUWANEE B,Gwinnett,4656.0,245.0,1113.0,440.0,0.0,1798.0,127.0,965.0,589.0,0.0,1681.0,3479.0,74.7,1798.0,1681.0
PINCKNEYVILLE U,Gwinnett,2090.0,196.0,207.0,145.0,0.0,548.0,222.0,402.0,284.0,5.0,913.0,1461.0,69.9,548.0,913.0
PUCKETTS B,Gwinnett,3096.0,283.0,867.0,259.0,1.0,1410.0,120.0,492.0,280.0,0.0,892.0,2302.0,74.4,1410.0,892.0
BERKSHIRE L,Gwinnett,3265.0,152.0,247.0,152.0,0.0,551.0,340.0,699.0,440.0,1.0,1480.0,2031.0,62.2,551.0,1480.0
ROCKBRIDGE F,Gwinnett,5795.0,82.0,435.0,222.0,1.0,740.0,310.0,2163.0,862.0,5.0,3340.0,4080.0,70.4,740.0,3340.0
SUGAR HILL F,Gwinnett,4112.0,391.0,870.0,341.0,5.0,1607.0,208.0,605.0,475.0,2.0,1290.0,2897.0,70.5,1607.0,1290.0
SUWANEE C,Gwinnett,5675.0,335.0,1053.0,514.0,5.0,1907.0,219.0,994.0,834.0,3.0,2050.0,3957.0,69.7,1907.0,2050.0
CATES O,Gwinnett,1434.0,161.0,233.0,143.0,2.0,539.0,92.0,256.0,204.0,3.0,555.0,1094.0,76.3,539.0,555.0
BAYCREEK E,Gwinnett,3265.0,197.0,439.0,185.0,1.0,822.0,217.0,749.0,419.0,4.0,1389.0,2211.0,67.7,822.0,1389.0
BERKSHIRE M,Gwinnett,1864.0,166.0,347.0,187.0,2.0,702.0,110.0,321.0,262.0,1.0,694.0,1396.0,74.9,702.0,694.0
MARTINS G,Gwinnett,2425.0,127.0,184.0,102.0,1.0,414.0,263.0,516.0,279.0,0.0,1058.0,1472.0,60.7,414.0,1058.0
DULUTH H,Gwinnett,2813.0,171.0,457.0,301.0,3.0,932.0,144.0,456.0,488.0,1.0,1089.0,2021.0,71.8,932.0,1089.0
BERKSHIRE N,Gwinnett,3128.0,112.0,747.0,378.0,1.0,1238.0,89.0,629.0,481.0,0.0,1199.0,2437.0,77.9,1238.0,1199.0
PINCKNEYVILLE V,Gwinnett,1706.0,105.0,197.0,104.0,1.0,407.0,116.0,341.0,200.0,1.0,658.0,1065.0,62.4,407.0,658.0
PINCKNEYVILLE W,Gwinnett,4253.0,229.0,495.0,379.0,2.0,1105.0,273.0,787.0,588.0,5.0,1653.0,2758.0,64.8,1105.0,1653.0
MARTINS H,Gwinnett,5037.0,236.0,503.0,369.0,4.0,1112.0,394.0,1062.0,670.0,10.0,2136.0,3248.0,64.5,1112.0,2136.0
MARTINS I,Gwinnett,4078.0,153.0,347.0,219.0,3.0,722.0,365.0,808.0,522.0,3.0,1698.0,2420.0,59.3,722.0,1698.0
MARTINS J,Gwinnett,3923.0,146.0,229.0,115.0,4.0,494.0,467.0,935.0,509.0,6.0,1917.0,2411.0,61.5,494.0,1917.0
GARNERS F,Gwinnett,1796.0,111.0,335.0,162.0,2.0,610.0,101.0,347.0,247.0,1.0,696.0,1306.0,72.7,610.0,696.0
BERKSHIRE O,Gwinnett,2589.0,177.0,520.0,307.0,0.0,1004.0,126.0,426.0,355.0,3.0,910.0,1914.0,73.9,1004.0,910.0
BERKSHIRE P,Gwinnett,1476.0,94.0,149.0,75.0,1.0,319.0,127.0,242.0,184.0,1.0,554.0,873.0,59.1,319.0,554.0
PINCKNEYVILLE X,Gwinnett,3412.0,229.0,572.0,408.0,9.0,1218.0,175.0,607.0,593.0,8.0,1383.0,2601.0,76.2,1218.0,1383.0
ROCKBRIDGE G,Gwinnett,5799.0,130.0,383.0,202.0,3.0,718.0,395.0,1875.0,936.0,13.0,3219.0,3937.0,67.9,718.0,3219.0
PINCKNEYVILLE Y,Gwinnett,3272.0,100.0,164.0,89.0,0.0,353.0,358.0,659.0,340.0,2.0,1359.0,1712.0,52.3,353.0,1359.0
GOODWINS G,Gwinnett,2661.0,140.0,265.0,97.0,3.0,505.0,254.0,588.0,358.0,1.0,1201.0,1706.0,64.1,505.0,1201.0
PINCKNEYVILLE Z,Gwinnett,1898.0,308.0,365.0,313.0,0.0,986.0,79.0,205.0,317.0,0.0,601.0,1587.0,83.6,986.0,601.0
PINCKNEYVILLE A1,Gwinnett,2694.0,307.0,572.0,456.0,0.0,1335.0,90.0,350.0,467.0,0.0,907.0,2242.0,83.2,1335.0,907.0
LAWRENCEVILLE J,Gwinnett,2249.0,149.0,217.0,93.0,0.0,459.0,185.0,549.0,299.0,3.0,1036.0,1495.0,66.5,459.0,1036.0
GOODWINS H,Gwinnett,2796.0,209.0,466.0,189.0,0.0,864.0,171.0,549.0,378.0,2.0,1100.0,1964.0,70.2,864.0,1100.0
DUNCANS B,Gwinnett,5387.0,558.0,1653.0,481.0,4.0,2696.0,224.0,764.0,494.0,2.0,1484.0,4180.0,77.6,2696.0,1484.0
SUWANEE D,Gwinnett,4732.0,444.0,1292.0,522.0,1.0,2259.0,148.0,713.0,604.0,2.0,1467.0,3726.0,78.7,2259.0,1467.0
SUWANEE E,Gwinnett,4256.0,360.0,1088.0,472.0,1.0,1921.0,126.0,766.0,539.0,1.0,1432.0,3353.0,78.8,1921.0,1432.0
LAWRENCEVILLE K,Gwinnett,3282.0,262.0,591.0,296.0,0.0,1149.0,172.0,633.0,473.0,0.0,1278.0,2427.0,73.9,1149.0,1278.0
HARBINS B,Gwinnett,4845.0,323.0,1259.0,324.0,1.0,1907.0,207.0,874.0,425.0,3.0,1509.0,3416.0,70.5,1907.0,1509.0
BAYCREEK F,Gwinnett,4608.0,232.0,550.0,238.0,5.0,1025.0,282.0,1348.0,653.0,7.0,2290.0,3315.0,71.9,1025.0,2290.0
PUCKETTS C,Gwinnett,3367.0,263.0,887.0,247.0,1.0,1398.0,119.0,513.0,315.0,0.0,947.0,2345.0,69.6,1398.0,947.0
HOG MOUNTAIN C,Gwinnett,4292.0,344.0,931.0,332.0,0.0,1607.0,196.0,686.0,495.0,2.0,1379.0,2986.0,69.6,1607.0,1379.0
ROCKYCREEK B,Gwinnett,5061.0,368.0,1231.0,383.0,1.0,1983.0,222.0,960.0,489.0,2.0,1673.0,3656.0,72.2,1983.0,1673.0
DULUTH I,Gwinnett,5105.0,292.0,943.0,671.0,0.0,1906.0,190.0,737.0,856.0,1.0,1784.0,3690.0,72.3,1906.0,1784.0
MARTINS K,Gwinnett,5352.0,207.0,394.0,264.0,0.0,865.0,480.0,1358.0,778.0,4.0,2620.0,3485.0,65.1,865.0,2620.0
SUWANEE H,Gwinnett,3785.0,322.0,1178.0,490.0,0.0,1990.0,113.0,524.0,413.0,1.0,1051.0,3041.0,80.3,1990.0,1051.0
SUGAR HILL G,Gwinnett,2814.0,299.0,801.0,265.0,0.0,1365.0,70.0,383.0,361.0,1.0,815.0,2180.0,77.5,1365.0,815.0
SUWANEE F,Gwinnett,3966.0,297.0,789.0,342.0,2.0,1430.0,166.0,728.0,546.0,2.0,1442.0,2872.0,72.4,1430.0,1442.0
LAWRENCEVILLE L,Gwinnett,4802.0,221.0,738.0,351.0,1.0,1311.0,278.0,1129.0,692.0,1.0,2100.0,3411.0,71.0,1311.0,2100.0
LAWRENCEVILLE M,Gwinnett,7255.0,234.0,559.0,276.0,2.0,1071.0,528.0,2049.0,1045.0,6.0,3628.0,4699.0,64.8,1071.0,3628.0
BAYCREEK G,Gwinnett,6241.0,272.0,781.0,302.0,0.0,1355.0,308.0,1950.0,894.0,1.0,3153.0,4508.0,72.2,1355.0,3153.0
BAYCREEK H,Gwinnett,6811.0,363.0,1340.0,537.0,3.0,2243.0,325.0,1740.0,898.0,2.0,2965.0,5208.0,76.5,2243.0,2965.0
BAYCREEK I,Gwinnett,5899.0,255.0,788.0,374.0,6.0,1423.0,322.0,1502.0,759.0,4.0,2587.0,4010.0,68.0,1423.0,2587.0
BERKSHIRE Q,Gwinnett,1802.0,157.0,298.0,169.0,1.0,625.0,108.0,293.0,230.0,1.0,632.0,1257.0,69.8,625.0,632.0
GOODWINS I,Gwinnett,2501.0,236.0,391.0,279.0,0.0,906.0,160.0,460.0,349.0,0.0,969.0,1875.0,75.0,906.0,969.0
DULUTH K,Gwinnett,2786.0,79.0,161.0,81.0,1.0,322.0,228.0,553.0,312.0,1.0,1094.0,1416.0,50.8,322.0,1094.0
HARBINS C,Gwinnett,2850.0,384.0,598.0,181.0,2.0,1165.0,164.0,613.0,272.0,1.0,1050.0,2215.0,77.7,1165.0,1050.0
ROCKYCREEK C,Gwinnett,4806.0,336.0,1186.0,362.0,0.0,1884.0,232.0,958.0,534.0,4.0,1728.0,3612.0,75.2,1884.0,1728.0
LAWRENCEVILLE N,Gwinnett,2573.0,177.0,290.0,146.0,2.0,615.0,200.0,467.0,287.0,5.0,959.0,1574.0,61.2,615.0,959.0
PUCKETTS D,Gwinnett,3622.0,255.0,958.0,333.0,4.0,1550.0,142.0,565.0,394.0,1.0,1102.0,2652.0,73.2,1550.0,1102.0
SUWANEE G,Gwinnett,3904.0,297.0,730.0,281.0,0.0,1308.0,214.0,813.0,548.0,1.0,1576.0,2884.0,73.9,1308.0,1576.0
BAYCREEK J,Gwinnett,4567.0,199.0,516.0,245.0,1.0,961.0,305.0,1289.0,644.0,4.0,2242.0,3203.0,70.1,961.0,2242.0
