Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
North Rome,Floyd,3369.0,138.0,653.0,285.0,2.0,1078.0,159.0,442.0,387.0,5.0,993.0,16.0,29.0,15.0,0.0,60.0,2131.0,63.3
South Rome,Floyd,1600.0,46.0,119.0,43.0,1.0,209.0,139.0,262.0,186.0,2.0,589.0,15.0,11.0,11.0,0.0,37.0,835.0,52.2
Texas Valley,Floyd,762.0,263.0,217.0,59.0,8.0,547.0,15.0,30.0,31.0,0.0,76.0,4.0,3.0,2.0,0.0,9.0,632.0,82.9
Vanns Valley,Floyd,896.0,139.0,197.0,84.0,2.0,422.0,32.0,52.0,19.0,0.0,103.0,9.0,2.0,2.0,0.0,13.0,538.0,60.0
Watters,Floyd,3566.0,642.0,1175.0,265.0,6.0,2088.0,77.0,182.0,116.0,6.0,381.0,26.0,27.0,14.0,0.0,67.0,2536.0,71.1
West Lindale,Floyd,2929.0,460.0,811.0,190.0,0.0,1461.0,95.0,180.0,128.0,0.0,403.0,23.0,21.0,11.0,0.0,55.0,1919.0,65.5
Town Rome,Floyd,3034.0,174.0,691.0,205.0,0.0,1070.0,126.0,426.0,272.0,2.0,826.0,16.0,26.0,12.0,0.0,54.0,1950.0,64.3
Ellijay South,Gilmer,3172.0,360.0,1074.0,288.0,2.0,1724.0,55.0,199.0,221.0,0.0,475.0,8.0,20.0,16.0,0.0,44.0,2243.0,70.7
Cartecay,Gilmer,1598.0,400.0,467.0,173.0,2.0,1042.0,19.0,59.0,75.0,0.0,153.0,10.0,10.0,5.0,0.0,25.0,1220.0,76.3
Tails Creek,Gilmer,1782.0,432.0,443.0,125.0,0.0,1000.0,46.0,66.0,45.0,0.0,157.0,19.0,13.0,6.0,0.0,38.0,1195.0,67.1
Town Creek,Gilmer,1234.0,291.0,326.0,86.0,0.0,703.0,41.0,27.0,49.0,0.0,117.0,12.0,6.0,6.0,0.0,24.0,844.0,68.4
Leaches,Gilmer,2939.0,515.0,892.0,293.0,2.0,1702.0,52.0,176.0,144.0,1.0,373.0,25.0,20.0,11.0,0.0,56.0,2131.0,72.5
Cherry Log,Gilmer,926.0,246.0,209.0,104.0,0.0,559.0,39.0,62.0,55.0,0.0,156.0,11.0,3.0,1.0,0.0,15.0,730.0,78.8
Boardtown,Gilmer,1391.0,288.0,480.0,164.0,3.0,935.0,33.0,66.0,99.0,0.0,198.0,10.0,6.0,10.0,1.0,27.0,1160.0,83.4
Mountaintown,Gilmer,1139.0,258.0,337.0,105.0,1.0,701.0,31.0,64.0,41.0,0.0,136.0,6.0,7.0,8.0,0.0,21.0,858.0,75.3
East Ellijay,Gilmer,1655.0,235.0,596.0,194.0,0.0,1025.0,32.0,101.0,60.0,0.0,193.0,7.0,11.0,2.0,0.0,20.0,1238.0,74.8
Ellijay North,Gilmer,1810.0,287.0,567.0,171.0,1.0,1026.0,23.0,103.0,68.0,0.0,194.0,7.0,23.0,7.0,0.0,37.0,1257.0,69.4
Yukon,Gilmer,1288.0,354.0,341.0,104.0,0.0,799.0,24.0,44.0,57.0,0.0,125.0,8.0,7.0,5.0,0.0,20.0,944.0,73.3
Big Creek,Gilmer,1479.0,360.0,389.0,148.0,0.0,897.0,28.0,63.0,98.0,0.0,189.0,12.0,12.0,9.0,0.0,33.0,1119.0,75.7
Ellijay Northeast,Gilmer,1851.0,245.0,666.0,182.0,0.0,1093.0,12.0,121.0,116.0,0.0,249.0,5.0,13.0,8.0,0.0,26.0,1368.0,73.9
Gray,Jones,0.0,249.0,1104.0,209.0,0.0,1562.0,45.0,276.0,161.0,0.0,482.0,9.0,19.0,10.0,0.0,38.0,2082.0,
Hawkins,Jones,0.0,245.0,509.0,124.0,0.0,878.0,190.0,650.0,484.0,0.0,1324.0,16.0,21.0,10.0,0.0,47.0,2249.0,
Ethridge,Jones,0.0,175.0,528.0,110.0,0.0,813.0,72.0,210.0,135.0,0.0,417.0,7.0,12.0,4.0,0.0,23.0,1253.0,
Clinton,Jones,0.0,276.0,836.0,173.0,2.0,1287.0,68.0,240.0,150.0,0.0,458.0,9.0,17.0,5.0,0.0,31.0,1776.0,
Roberts,Jones,0.0,435.0,562.0,170.0,0.0,1167.0,133.0,284.0,173.0,1.0,591.0,13.0,18.0,13.0,0.0,44.0,1802.0,
Davidson,Jones,0.0,351.0,477.0,100.0,1.0,929.0,43.0,88.0,57.0,0.0,188.0,12.0,13.0,1.0,0.0,26.0,1143.0,
Pope,Jones,0.0,303.0,508.0,99.0,0.0,910.0,110.0,186.0,126.0,1.0,423.0,15.0,11.0,4.0,0.0,30.0,1363.0,
Barron,Jones,0.0,266.0,377.0,93.0,0.0,736.0,70.0,110.0,90.0,0.0,270.0,5.0,2.0,5.0,0.0,12.0,1018.0,
Sanders,Jones,0.0,89.0,12.0,10.0,0.0,111.0,18.0,5.0,7.0,0.0,30.0,3.0,1.0,1.0,0.0,5.0,146.0,
Finney,Jones,0.0,565.0,696.0,199.0,1.0,1461.0,86.0,233.0,185.0,0.0,504.0,20.0,19.0,6.0,0.0,45.0,2010.0,
Concord,Pike,0.0,283.0,528.0,75.0,0.0,886.0,59.0,95.0,82.0,1.0,237.0,3.0,3.0,3.0,0.0,9.0,1132.0,
Hollonville,Pike,0.0,345.0,793.0,121.0,0.0,1259.0,13.0,49.0,45.0,0.0,107.0,7.0,6.0,3.0,0.0,16.0,1382.0,
Meansville,Pike,0.0,272.0,544.0,78.0,0.0,894.0,33.0,53.0,22.0,0.0,108.0,7.0,8.0,1.0,0.0,16.0,1018.0,
Molena,Pike,0.0,341.0,528.0,94.0,2.0,965.0,53.0,73.0,44.0,1.0,171.0,10.0,9.0,6.0,0.0,25.0,1161.0,
Second District,Pike,0.0,366.0,1226.0,193.0,1.0,1786.0,37.0,109.0,72.0,0.0,218.0,11.0,20.0,4.0,0.0,35.0,2039.0,
Lifsey Springs,Pike,0.0,205.0,471.0,87.0,0.0,763.0,18.0,40.0,41.0,0.0,99.0,6.0,8.0,3.0,0.0,17.0,879.0,
Williamson,Pike,0.0,289.0,834.0,109.0,0.0,1232.0,31.0,74.0,49.0,0.0,154.0,6.0,10.0,5.0,0.0,21.0,1407.0,
Zebulon,Pike,0.0,217.0,910.0,133.0,0.0,1260.0,28.0,184.0,124.0,0.0,336.0,10.0,15.0,10.0,0.0,35.0,1631.0,
Odum,Wayne,1260.0,301.0,499.0,82.0,0.0,882.0,16.0,41.0,33.0,0.0,90.0,5.0,5.0,6.0,0.0,16.0,988.0,78.4
Madray Springs,Wayne,1176.0,174.0,525.0,117.0,0.0,816.0,12.0,33.0,30.0,1.0,76.0,3.0,7.0,5.0,0.0,15.0,907.0,77.1
Oglethorpe,Wayne,1741.0,224.0,709.0,144.0,0.0,1077.0,30.0,90.0,48.0,0.0,168.0,2.0,10.0,2.0,0.0,14.0,1259.0,72.3
Screven,Wayne,1849.0,459.0,593.0,122.0,2.0,1176.0,51.0,83.0,43.0,0.0,177.0,7.0,6.0,6.0,0.0,19.0,1372.0,74.2
Empire,Wayne,1106.0,180.0,505.0,86.0,0.0,771.0,16.0,37.0,21.0,0.0,74.0,4.0,13.0,4.0,0.0,21.0,866.0,78.3
Red Hill,Wayne,1036.0,125.0,341.0,77.0,0.0,543.0,20.0,72.0,36.0,0.0,128.0,10.0,7.0,1.0,0.0,18.0,689.0,66.5
Altamaha,Wayne,2857.0,221.0,957.0,162.0,2.0,1342.0,68.0,237.0,104.0,0.0,409.0,7.0,14.0,2.0,0.0,23.0,1774.0,62.1
Gardi,Wayne,1123.0,281.0,333.0,102.0,2.0,718.0,21.0,28.0,30.0,0.0,79.0,5.0,6.0,5.0,0.0,16.0,813.0,72.4
VFW,Wayne,1145.0,26.0,96.0,30.0,0.0,152.0,72.0,282.0,127.0,1.0,482.0,3.0,11.0,4.0,0.0,18.0,652.0,56.9
Pine Street,Wayne,1140.0,61.0,266.0,70.0,0.0,397.0,66.0,196.0,60.0,0.0,322.0,3.0,6.0,5.0,0.0,14.0,733.0,64.3
Unity,Wayne,1905.0,172.0,597.0,163.0,0.0,932.0,59.0,204.0,101.0,0.0,364.0,9.0,15.0,9.0,0.0,33.0,1329.0,69.8
Rec Center,Wayne,1766.0,202.0,601.0,125.0,0.0,928.0,35.0,179.0,72.0,0.0,286.0,11.0,20.0,6.0,0.0,37.0,1251.0,70.8
01A,Fulton,3694.0,45.0,154.0,67.0,5.0,271.0,157.0,1638.0,709.0,20.0,2524.0,7.0,27.0,20.0,1.0,55.0,2850.0,77.2
01B,Fulton,4327.0,75.0,177.0,76.0,1.0,329.0,233.0,1811.0,854.0,5.0,2903.0,22.0,33.0,18.0,0.0,73.0,3305.0,76.4
01C,Fulton,1908.0,20.0,17.0,6.0,0.0,43.0,175.0,368.0,156.0,0.0,699.0,9.0,11.0,6.0,0.0,26.0,768.0,40.3
01D,Fulton,754.0,8.0,18.0,13.0,1.0,40.0,22.0,276.0,118.0,6.0,422.0,1.0,4.0,0.0,1.0,6.0,468.0,62.1
01E,Fulton,3720.0,36.0,189.0,91.0,1.0,317.0,103.0,1528.0,738.0,0.0,2369.0,7.0,26.0,11.0,0.0,44.0,2730.0,73.4
01F,Fulton,1593.0,4.0,13.0,5.0,1.0,23.0,119.0,254.0,100.0,5.0,478.0,4.0,6.0,6.0,2.0,18.0,519.0,32.6
01G,Fulton,2312.0,14.0,53.0,16.0,1.0,84.0,129.0,724.0,280.0,3.0,1136.0,2.0,21.0,7.0,1.0,31.0,1251.0,54.1
01H,Fulton,896.0,3.0,7.0,8.0,0.0,18.0,62.0,206.0,113.0,6.0,387.0,6.0,6.0,3.0,0.0,15.0,420.0,46.9
01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
01J,Fulton,2848.0,22.0,44.0,15.0,2.0,83.0,214.0,701.0,308.0,15.0,1238.0,5.0,27.0,10.0,0.0,42.0,1363.0,47.9
01P,Fulton,1444.0,10.0,5.0,6.0,2.0,23.0,207.0,222.0,161.0,3.0,593.0,7.0,1.0,3.0,0.0,11.0,627.0,43.4
01R,Fulton,1550.0,15.0,8.0,8.0,2.0,33.0,198.0,135.0,114.0,12.0,459.0,10.0,4.0,4.0,1.0,19.0,511.0,33.0
01S,Fulton,2118.0,17.0,25.0,12.0,0.0,54.0,232.0,473.0,200.0,8.0,913.0,7.0,8.0,4.0,0.0,19.0,986.0,46.6
01T,Fulton,1799.0,29.0,27.0,19.0,1.0,76.0,154.0,465.0,172.0,3.0,794.0,8.0,6.0,5.0,0.0,19.0,889.0,49.4
02A,Fulton,4884.0,103.0,466.0,216.0,7.0,792.0,120.0,1671.0,1001.0,18.0,2810.0,13.0,33.0,19.0,1.0,66.0,3668.0,75.1
02A1,Fulton,733.0,17.0,74.0,8.0,2.0,101.0,22.0,262.0,47.0,2.0,333.0,4.0,8.0,5.0,0.0,17.0,451.0,61.5
02B,Fulton,4020.0,35.0,95.0,27.0,7.0,164.0,170.0,750.0,274.0,24.0,1218.0,6.0,26.0,11.0,0.0,43.0,1425.0,35.4
02C,Fulton,2034.0,26.0,72.0,27.0,10.0,135.0,70.0,673.0,367.0,28.0,1138.0,5.0,20.0,12.0,0.0,37.0,1310.0,64.4
02D,Fulton,5539.0,89.0,332.0,120.0,12.0,553.0,219.0,1804.0,1007.0,23.0,3053.0,17.0,35.0,25.0,2.0,79.0,3685.0,66.5
02E,Fulton,2009.0,37.0,90.0,47.0,0.0,174.0,96.0,870.0,455.0,0.0,1421.0,3.0,13.0,4.0,0.0,20.0,1615.0,80.4
02F1,Fulton,3221.0,46.0,193.0,89.0,3.0,331.0,88.0,1216.0,693.0,4.0,2001.0,7.0,27.0,21.0,0.0,55.0,2387.0,74.1
02F2,Fulton,851.0,17.0,38.0,14.0,3.0,72.0,39.0,246.0,134.0,2.0,421.0,3.0,5.0,1.0,0.0,9.0,502.0,59.0
02G,Fulton,3895.0,78.0,237.0,91.0,2.0,408.0,162.0,1555.0,706.0,3.0,2426.0,14.0,34.0,18.0,0.0,66.0,2900.0,74.5
02J,Fulton,2273.0,33.0,103.0,61.0,2.0,199.0,87.0,868.0,414.0,10.0,1379.0,7.0,21.0,9.0,0.0,37.0,1615.0,71.1
02K,Fulton,1461.0,29.0,92.0,24.0,0.0,145.0,35.0,569.0,283.0,0.0,887.0,5.0,21.0,6.0,0.0,32.0,1064.0,72.8
02L1,Fulton,5546.0,101.0,416.0,223.0,6.0,746.0,166.0,1933.0,1200.0,9.0,3308.0,8.0,40.0,32.0,0.0,80.0,4134.0,74.5
02L1A,Fulton,1477.0,27.0,84.0,16.0,2.0,129.0,69.0,542.0,87.0,6.0,704.0,3.0,7.0,1.0,0.0,11.0,844.0,57.1
02L2,Fulton,2249.0,45.0,164.0,58.0,2.0,269.0,102.0,793.0,343.0,4.0,1242.0,4.0,13.0,4.0,0.0,21.0,1532.0,68.1
02S,Fulton,790.0,12.0,16.0,13.0,0.0,41.0,37.0,284.0,122.0,0.0,443.0,5.0,2.0,4.0,0.0,11.0,495.0,62.7
02W,Fulton,978.0,21.0,58.0,22.0,0.0,101.0,46.0,374.0,118.0,0.0,538.0,3.0,7.0,6.0,0.0,16.0,655.0,67.0
03A,Fulton,2230.0,10.0,18.0,9.0,1.0,38.0,137.0,381.0,216.0,21.0,755.0,8.0,8.0,1.0,0.0,17.0,810.0,36.3
03B,Fulton,777.0,5.0,7.0,5.0,0.0,17.0,52.0,92.0,51.0,0.0,195.0,5.0,6.0,6.0,0.0,17.0,229.0,29.5
03C,Fulton,1879.0,10.0,7.0,10.0,0.0,27.0,145.0,337.0,216.0,6.0,704.0,5.0,14.0,4.0,1.0,24.0,755.0,40.2
03D,Fulton,1235.0,11.0,8.0,9.0,1.0,29.0,77.0,215.0,99.0,20.0,411.0,7.0,6.0,4.0,1.0,18.0,458.0,37.1
03E,Fulton,2894.0,20.0,24.0,5.0,5.0,54.0,289.0,477.0,205.0,36.0,1007.0,8.0,13.0,6.0,3.0,30.0,1091.0,37.7
03F,Fulton,2328.0,45.0,161.0,47.0,1.0,254.0,109.0,754.0,342.0,3.0,1208.0,7.0,23.0,6.0,0.0,36.0,1498.0,64.3
03G,Fulton,1033.0,5.0,4.0,2.0,0.0,11.0,76.0,146.0,41.0,4.0,267.0,6.0,3.0,2.0,0.0,11.0,289.0,28.0
03H,Fulton,1091.0,9.0,7.0,2.0,0.0,18.0,81.0,212.0,91.0,1.0,385.0,5.0,9.0,1.0,0.0,15.0,418.0,38.3
03I,Fulton,1607.0,17.0,61.0,16.0,5.0,99.0,96.0,319.0,110.0,20.0,545.0,9.0,2.0,3.0,0.0,14.0,658.0,40.9
03L,Fulton,748.0,5.0,4.0,3.0,0.0,12.0,70.0,96.0,38.0,0.0,204.0,1.0,2.0,3.0,0.0,6.0,222.0,29.7
03M,Fulton,965.0,56.0,42.0,3.0,0.0,101.0,126.0,222.0,86.0,1.0,435.0,10.0,8.0,0.0,1.0,19.0,555.0,57.5
03N,Fulton,2804.0,14.0,24.0,7.0,3.0,48.0,221.0,454.0,152.0,21.0,848.0,11.0,14.0,2.0,1.0,28.0,924.0,33.0
03P1A,Fulton,4404.0,67.0,189.0,70.0,2.0,328.0,232.0,1317.0,502.0,13.0,2064.0,17.0,33.0,10.0,0.0,60.0,2452.0,55.7
03P2,Fulton,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,30.4
03S,Fulton,908.0,5.0,3.0,5.0,0.0,13.0,95.0,204.0,103.0,0.0,402.0,6.0,4.0,0.0,0.0,10.0,425.0,46.8
03T,Fulton,1742.0,15.0,25.0,4.0,0.0,44.0,139.0,485.0,126.0,5.0,755.0,7.0,17.0,5.0,0.0,29.0,828.0,47.5
04A,Fulton,1554.0,5.0,11.0,6.0,0.0,22.0,99.0,315.0,158.0,0.0,572.0,3.0,8.0,3.0,0.0,14.0,608.0,39.1
04B,Fulton,2948.0,11.0,16.0,7.0,0.0,34.0,115.0,414.0,207.0,0.0,736.0,5.0,8.0,4.0,0.0,17.0,787.0,26.7
04C,Fulton,150.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,12.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,34.7
04D,Fulton,1736.0,11.0,24.0,8.0,0.0,43.0,150.0,440.0,188.0,5.0,783.0,9.0,11.0,2.0,0.0,22.0,848.0,48.8
04F,Fulton,2786.0,31.0,71.0,16.0,1.0,119.0,172.0,742.0,190.0,9.0,1113.0,9.0,16.0,4.0,0.0,29.0,1261.0,45.3
04G,Fulton,1025.0,2.0,6.0,2.0,0.0,10.0,114.0,188.0,78.0,1.0,381.0,6.0,7.0,2.0,0.0,15.0,406.0,39.6
04I,Fulton,4604.0,16.0,34.0,21.0,0.0,71.0,71.0,447.0,222.0,5.0,745.0,3.0,15.0,3.0,1.0,22.0,838.0,18.2
04J,Fulton,1617.0,3.0,4.0,2.0,1.0,10.0,42.0,108.0,15.0,9.0,174.0,4.0,1.0,1.0,1.0,7.0,191.0,11.8
04K,Fulton,2736.0,11.0,24.0,10.0,0.0,45.0,192.0,711.0,338.0,13.0,1254.0,6.0,14.0,9.0,0.0,29.0,1328.0,48.5
04L,Fulton,2014.0,16.0,18.0,15.0,0.0,49.0,155.0,551.0,190.0,6.0,902.0,11.0,16.0,3.0,0.0,30.0,981.0,48.7
04M,Fulton,979.0,5.0,5.0,3.0,0.0,13.0,101.0,145.0,66.0,4.0,316.0,1.0,10.0,3.0,1.0,15.0,344.0,35.1
04S,Fulton,2541.0,22.0,21.0,12.0,1.0,56.0,256.0,605.0,293.0,6.0,1160.0,4.0,15.0,5.0,2.0,26.0,1242.0,48.9
04T,Fulton,1297.0,4.0,15.0,3.0,1.0,23.0,130.0,337.0,157.0,21.0,645.0,7.0,7.0,4.0,0.0,18.0,686.0,52.9
04V,Fulton,3573.0,20.0,19.0,10.0,1.0,50.0,357.0,685.0,222.0,2.0,1266.0,16.0,24.0,3.0,1.0,44.0,1360.0,38.1
04W,Fulton,3365.0,0.0,1.0,1.0,1.0,3.0,57.0,131.0,27.0,6.0,221.0,1.0,2.0,0.0,0.0,3.0,227.0,6.7
04X1,Fulton,2283.0,13.0,30.0,11.0,0.0,54.0,153.0,595.0,265.0,2.0,1015.0,8.0,14.0,4.0,0.0,26.0,1095.0,48.0
04X2,Fulton,846.0,4.0,16.0,3.0,0.0,23.0,58.0,228.0,95.0,0.0,381.0,1.0,10.0,3.0,0.0,14.0,418.0,49.4
05A1,Fulton,2936.0,42.0,139.0,47.0,0.0,228.0,104.0,1223.0,609.0,2.0,1938.0,13.0,22.0,15.0,0.0,50.0,2216.0,75.5
05A2,Fulton,3343.0,38.0,154.0,51.0,4.0,247.0,126.0,1396.0,593.0,8.0,2123.0,8.0,26.0,11.0,1.0,46.0,2416.0,72.3
05B,Fulton,2171.0,14.0,34.0,18.0,1.0,67.0,167.0,605.0,248.0,2.0,1022.0,7.0,9.0,4.0,0.0,20.0,1109.0,51.1
05C,Fulton,135.0,0.0,3.0,2.0,0.0,5.0,7.0,26.0,7.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,45.0,33.3
05D,Fulton,541.0,2.0,1.0,1.0,0.0,4.0,21.0,58.0,7.0,2.0,88.0,0.0,1.0,0.0,0.0,1.0,93.0,17.2
05F,Fulton,248.0,3.0,8.0,1.0,0.0,12.0,19.0,82.0,22.0,1.0,124.0,3.0,2.0,0.0,0.0,5.0,141.0,56.9
05J,Fulton,684.0,8.0,26.0,16.0,0.0,50.0,37.0,263.0,119.0,1.0,420.0,0.0,8.0,2.0,0.0,10.0,480.0,70.2
05K,Fulton,2826.0,22.0,66.0,23.0,2.0,113.0,136.0,678.0,255.0,3.0,1072.0,6.0,30.0,9.0,0.0,45.0,1230.0,43.5
06B,Fulton,1889.0,58.0,158.0,54.0,2.0,272.0,54.0,729.0,379.0,6.0,1168.0,6.0,10.0,5.0,0.0,21.0,1461.0,77.3
06D,Fulton,6160.0,121.0,540.0,408.0,4.0,1073.0,265.0,1981.0,1916.0,12.0,4174.0,11.0,39.0,32.0,0.0,82.0,5329.0,86.5
06D1,Fulton,2539.0,56.0,250.0,55.0,1.0,362.0,48.0,910.0,154.0,3.0,1115.0,5.0,12.0,4.0,0.0,21.0,1498.0,59.0
06D2,Fulton,850.0,18.0,99.0,17.0,1.0,135.0,14.0,295.0,46.0,0.0,355.0,2.0,3.0,5.0,0.0,10.0,500.0,58.8
06E,Fulton,2344.0,58.0,184.0,83.0,4.0,329.0,90.0,778.0,378.0,2.0,1248.0,4.0,21.0,14.0,0.0,39.0,1616.0,68.9
06F,Fulton,2841.0,50.0,245.0,83.0,4.0,382.0,92.0,1043.0,486.0,3.0,1624.0,6.0,36.0,8.0,0.0,50.0,2056.0,72.4
06G,Fulton,588.0,14.0,46.0,20.0,1.0,81.0,10.0,208.0,115.0,0.0,333.0,2.0,7.0,2.0,0.0,11.0,425.0,72.3
06I,Fulton,4072.0,93.0,199.0,57.0,6.0,355.0,242.0,1318.0,513.0,14.0,2087.0,19.0,29.0,12.0,3.0,63.0,2505.0,61.5
06J,Fulton,2770.0,59.0,242.0,121.0,1.0,423.0,60.0,982.0,723.0,0.0,1765.0,9.0,23.0,18.0,0.0,50.0,2238.0,80.8
06L1,Fulton,991.0,30.0,127.0,58.0,0.0,215.0,25.0,334.0,217.0,2.0,578.0,1.0,6.0,2.0,0.0,9.0,802.0,80.9
06L2,Fulton,726.0,33.0,115.0,44.0,0.0,192.0,16.0,230.0,128.0,1.0,375.0,2.0,2.0,5.0,0.0,9.0,576.0,79.3
06N,Fulton,1770.0,60.0,266.0,113.0,4.0,443.0,58.0,411.0,245.0,8.0,722.0,4.0,9.0,9.0,0.0,22.0,1187.0,67.1
06Q,Fulton,571.0,9.0,7.0,4.0,3.0,23.0,44.0,209.0,60.0,2.0,315.0,2.0,2.0,2.0,1.0,7.0,345.0,60.4
06R,Fulton,2015.0,40.0,188.0,86.0,2.0,316.0,47.0,611.0,358.0,1.0,1017.0,5.0,14.0,7.0,1.0,27.0,1360.0,67.5
07A,Fulton,7691.0,347.0,1377.0,494.0,8.0,2226.0,298.0,1706.0,1053.0,13.0,3070.0,16.0,55.0,28.0,0.0,99.0,5395.0,70.1
07B,Fulton,2952.0,187.0,964.0,345.0,1.0,1497.0,44.0,491.0,406.0,0.0,941.0,6.0,17.0,14.0,0.0,37.0,2475.0,83.8
07C,Fulton,4512.0,166.0,700.0,513.0,10.0,1389.0,135.0,874.0,757.0,5.0,1771.0,8.0,16.0,13.0,0.0,37.0,3197.0,70.9
