Precinct,County,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,calc_participation
Leary,Calhoun,721.0,67.0,101.0,32.0,0.0,200.0,87.0,93.0,108.0,0.0,288.0,488.0,67.7
Morgan,Calhoun,662.0,76.0,171.0,49.0,0.0,296.0,30.0,84.0,73.0,0.0,187.0,483.0,73.0
Edison,Calhoun,523.0,21.0,28.0,9.0,0.0,58.0,74.0,99.0,66.0,0.0,239.0,297.0,56.8
Edison-Arlington,Calhoun,594.0,53.0,69.0,20.0,0.0,142.0,65.0,104.0,68.0,0.0,237.0,379.0,63.8
Arlington,Calhoun,684.0,34.0,65.0,13.0,0.0,112.0,100.0,104.0,134.0,0.0,338.0,450.0,65.8
Palmyra Methodist,Dougherty,2761.0,299.0,283.0,173.0,3.0,758.0,230.0,294.0,230.0,8.0,762.0,1520.0,55.1
Sherwood Elementary,Dougherty,3205.0,257.0,274.0,164.0,0.0,695.0,372.0,502.0,319.0,1.0,1194.0,1889.0,58.9
Covenant Church,Dougherty,2334.0,311.0,209.0,113.0,0.0,633.0,250.0,281.0,225.0,2.0,758.0,1391.0,59.6
Greenbriar Church,Dougherty,3885.0,397.0,647.0,302.0,5.0,1351.0,252.0,674.0,590.0,4.0,1520.0,2871.0,73.9
Westover High School,Dougherty,3394.0,310.0,407.0,229.0,0.0,946.0,321.0,702.0,446.0,0.0,1469.0,2415.0,71.2
Merry Acres Middle,Dougherty,2432.0,309.0,304.0,148.0,2.0,763.0,221.0,317.0,264.0,8.0,810.0,1573.0,64.7
Darton College,Dougherty,4289.0,148.0,264.0,123.0,2.0,537.0,452.0,900.0,612.0,7.0,1971.0,2508.0,58.5
Westtown Elementary,Dougherty,3265.0,52.0,59.0,43.0,0.0,154.0,478.0,577.0,650.0,1.0,1706.0,1860.0,57.0
2nd Mt Zion Church,Dougherty,1465.0,248.0,164.0,104.0,1.0,517.0,140.0,144.0,171.0,2.0,457.0,974.0,66.5
Mt Zion Center,Dougherty,3638.0,46.0,24.0,18.0,0.0,88.0,508.0,540.0,629.0,2.0,1679.0,1767.0,48.6
Alice Coachman Elementary,Dougherty,750.0,8.0,5.0,9.0,0.0,22.0,121.0,157.0,198.0,0.0,476.0,498.0,66.4
Carver Teen Center,Dougherty,1667.0,18.0,9.0,10.0,0.0,37.0,217.0,145.0,230.0,3.0,595.0,632.0,37.9
Shiloh Baptist Church,Dougherty,1510.0,28.0,22.0,11.0,0.0,61.0,238.0,164.0,222.0,0.0,624.0,685.0,45.4
Litman Cathedral,Dougherty,1486.0,27.0,19.0,7.0,3.0,56.0,221.0,176.0,206.0,20.0,623.0,679.0,45.7
Phoebe Healthworks,Dougherty,1574.0,80.0,39.0,27.0,0.0,146.0,154.0,140.0,181.0,1.0,476.0,622.0,39.5
Turner Elementary,Dougherty,1205.0,13.0,9.0,6.0,0.0,28.0,104.0,65.0,63.0,5.0,237.0,265.0,22.0
Jackson Heights Elementary,Dougherty,2549.0,36.0,12.0,12.0,0.0,60.0,363.0,313.0,364.0,0.0,1040.0,1100.0,43.2
Bill Miller Center,Dougherty,2404.0,58.0,43.0,28.0,1.0,130.0,310.0,355.0,279.0,4.0,948.0,1078.0,44.8
Radium Middle School,Dougherty,693.0,60.0,28.0,27.0,0.0,115.0,94.0,113.0,80.0,0.0,287.0,402.0,58.0
Putney 1st Baptist Church,Dougherty,2819.0,473.0,224.0,124.0,1.0,822.0,265.0,324.0,309.0,0.0,898.0,1720.0,61.0
International Studies,Dougherty,1042.0,83.0,66.0,38.0,0.0,187.0,104.0,180.0,181.0,1.0,466.0,653.0,62.7
Phoebe East,Dougherty,2965.0,92.0,56.0,52.0,1.0,201.0,446.0,366.0,357.0,3.0,1172.0,1373.0,46.3
Pine Bluff Baptist Church,Dougherty,2221.0,212.0,130.0,113.0,0.0,455.0,258.0,299.0,302.0,0.0,859.0,1314.0,59.2
Albany Middle School,Dougherty,1963.0,35.0,24.0,17.0,0.0,76.0,325.0,256.0,247.0,4.0,832.0,908.0,46.3
Christ Church,Dougherty,1879.0,411.0,282.0,159.0,0.0,852.0,130.0,266.0,229.0,1.0,626.0,1478.0,78.7
Lamar Reese Elementary,Dougherty,1098.0,21.0,16.0,11.0,1.0,49.0,165.0,185.0,256.0,4.0,610.0,659.0,60.0
1st Christian Church,Dougherty,1505.0,217.0,217.0,145.0,0.0,579.0,159.0,192.0,142.0,1.0,494.0,1073.0,71.3
Lovett Hall,Dougherty,1174.0,22.0,12.0,0.0,0.0,34.0,172.0,153.0,30.0,1.0,356.0,390.0,33.2
Coleman,Randolph,229.0,25.0,38.0,16.0,0.0,79.0,29.0,41.0,15.0,1.0,86.0,165.0,72.1
Shellman,Randolph,929.0,122.0,133.0,39.0,0.0,294.0,152.0,103.0,115.0,1.0,371.0,665.0,71.6
Benevolence,Randolph,354.0,40.0,81.0,14.0,0.0,135.0,44.0,46.0,20.0,0.0,110.0,245.0,69.2
Cuthbert-Courthouse,Randolph,2253.0,64.0,401.0,77.0,0.0,542.0,125.0,537.0,274.0,0.0,936.0,1478.0,65.6
Cuthbert,Randolph,323.0,5.0,11.0,2.0,0.0,18.0,43.0,121.0,44.0,1.0,209.0,227.0,70.3
Springvale,Randolph,253.0,15.0,20.0,8.0,0.0,43.0,29.0,66.0,39.0,0.0,134.0,177.0,70.0
Bluffton,Clay,383.0,37.0,86.0,25.0,0.0,148.0,16.0,55.0,44.0,0.0,115.0,263.0,68.7
Zetto,Clay,366.0,16.0,50.0,13.0,0.0,79.0,38.0,75.0,54.0,0.0,167.0,246.0,67.2
Court House,Clay,390.0,11.0,34.0,16.0,0.0,61.0,50.0,83.0,50.0,0.0,183.0,244.0,62.6
Old Head Start,Clay,453.0,22.0,69.0,19.0,0.0,110.0,36.0,73.0,78.0,0.0,187.0,297.0,65.6
Days Cross Road,Clay,461.0,33.0,119.0,36.0,0.0,188.0,25.0,55.0,61.0,0.0,141.0,329.0,71.4
Dawson,Terrell,3043.0,97.0,242.0,90.0,0.0,429.0,281.0,617.0,504.0,0.0,1402.0,1831.0,60.2
Sasser,Terrell,1355.0,177.0,355.0,62.0,0.0,594.0,75.0,170.0,93.0,0.0,338.0,932.0,68.8
Bronwood,Terrell,885.0,108.0,131.0,37.0,0.0,276.0,75.0,121.0,112.0,0.0,308.0,584.0,66.0
Parrott,Terrell,412.0,108.0,62.0,16.0,0.0,186.0,48.0,31.0,38.0,0.0,117.0,303.0,73.5
Graves,Terrell,598.0,99.0,125.0,31.0,0.0,255.0,40.0,60.0,72.0,0.0,172.0,427.0,71.4
Herod-Dover,Terrell,301.0,53.0,46.0,14.0,0.0,113.0,34.0,30.0,29.0,0.0,93.0,206.0,68.4
