Precinct,County,Registered Voters,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_Choice Total,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
East Hardwick,Baldwin,1313.0,44.0,62.0,25.0,0.0,131.0,121.0,204.0,178.0,0.0,503.0,634.0,48.3,131.0,503.0
West Hardwick,Baldwin,2903.0,65.0,267.0,77.0,0.0,409.0,258.0,619.0,481.0,0.0,1358.0,1767.0,60.9,409.0,1358.0
Coopers,Baldwin,1574.0,266.0,427.0,75.0,0.0,768.0,63.0,135.0,101.0,0.0,299.0,1067.0,67.8,768.0,299.0
Howard 3,Bibb,6397.0,417.0,934.0,403.0,0.0,1754.0,315.0,900.0,526.0,0.0,1741.0,3495.0,54.6,1754.0,1741.0
Howard 4,Bibb,1711.0,137.0,342.0,137.0,0.0,616.0,108.0,299.0,176.0,0.0,583.0,1199.0,70.1,616.0,583.0
Howard 5,Bibb,2272.0,183.0,263.0,105.0,0.0,551.0,215.0,451.0,196.0,2.0,864.0,1415.0,62.3,551.0,864.0
Howard 7,Bibb,2897.0,2.0,9.0,7.0,0.0,18.0,0.0,5.0,3.0,0.0,8.0,26.0,0.9,18.0,8.0
Whatley,Walton,1254.0,241.0,500.0,137.0,0.0,878.0,24.0,48.0,42.0,0.0,114.0,992.0,79.1,878.0,114.0
Walnut Grove,Walton,2661.0,496.0,924.0,208.0,0.0,1628.0,36.0,135.0,95.0,0.0,266.0,1894.0,71.2,1628.0,266.0
Social Circle,Walton,4604.0,715.0,1280.0,329.0,3.0,2327.0,214.0,377.0,311.0,1.0,903.0,3230.0,70.2,2327.0,903.0
Jersey,Walton,1970.0,655.0,589.0,169.0,1.0,1414.0,35.0,61.0,47.0,0.0,143.0,1557.0,79.0,1414.0,143.0
Blasingame,Walton,1115.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,0.4,4.0,1.0
Butts County Admin Bldg,Butts,17154.0,836.0,6438.0,1215.0,2.0,8491.0,358.0,1780.0,855.0,1.0,2994.0,11485.0,67.0,8491.0,2994.0
101,Putnam,3264.0,160.0,836.0,220.0,0.0,1216.0,139.0,448.0,369.0,0.0,956.0,2172.0,66.5,1216.0,956.0
104,Putnam,3380.0,158.0,788.0,239.0,0.0,1185.0,135.0,523.0,436.0,0.0,1094.0,2279.0,67.4,1185.0,1094.0
105,Putnam,3734.0,413.0,1474.0,636.0,1.0,2524.0,54.0,167.0,239.0,0.0,460.0,2984.0,79.9,2524.0,460.0
106,Putnam,1332.0,286.0,406.0,143.0,0.0,835.0,28.0,61.0,66.0,0.0,155.0,990.0,74.3,835.0,155.0
107,Putnam,4293.0,533.0,1479.0,589.0,0.0,2601.0,82.0,201.0,251.0,0.0,534.0,3135.0,73.0,2601.0,534.0
Greensboro,Greene,3999.0,159.0,961.0,220.0,1.0,1341.0,194.0,728.0,489.0,5.0,1416.0,2757.0,68.9,1341.0,1416.0
Union Point,Greene,1873.0,135.0,368.0,111.0,0.0,614.0,148.0,272.0,210.0,0.0,630.0,1244.0,66.4,614.0,630.0
Siloam,Greene,991.0,62.0,224.0,53.0,0.0,339.0,100.0,130.0,121.0,0.0,351.0,690.0,69.6,339.0,351.0
White Plains,Greene,347.0,30.0,89.0,25.0,0.0,144.0,32.0,57.0,31.0,0.0,120.0,264.0,76.1,144.0,120.0
Old Salem,Greene,6961.0,472.0,3476.0,1014.0,2.0,4964.0,70.0,548.0,483.0,2.0,1103.0,6067.0,87.2,4964.0,1103.0
Northeast Morgan,Morgan,2919.0,105.0,744.0,139.0,0.0,988.0,151.0,613.0,346.0,1.0,1111.0,2099.0,71.9,988.0,1111.0
East Morgan,Morgan,2228.0,428.0,869.0,147.0,2.0,1446.0,56.0,197.0,105.0,0.0,358.0,1804.0,81.0,1446.0,358.0
Beth/Springfield,Morgan,862.0,146.0,337.0,73.0,0.0,556.0,25.0,45.0,61.0,0.0,131.0,687.0,79.7,556.0,131.0
Central Morgan,Morgan,2761.0,210.0,1144.0,228.0,0.0,1582.0,82.0,294.0,175.0,0.0,551.0,2133.0,77.3,1582.0,551.0
Clacks Chapel,Morgan,709.0,133.0,330.0,41.0,0.0,504.0,12.0,42.0,33.0,0.0,87.0,591.0,83.4,504.0,87.0
West Morgan,Morgan,2655.0,411.0,1131.0,166.0,0.0,1708.0,78.0,202.0,100.0,0.0,380.0,2088.0,78.6,1708.0,380.0
North Morgan,Morgan,2690.0,463.0,937.0,213.0,1.0,1614.0,68.0,237.0,128.0,1.0,434.0,2048.0,76.1,1614.0,434.0
Wyatt,Jasper,1940.0,439.0,481.0,138.0,1.0,1059.0,79.0,77.0,107.0,1.0,264.0,1323.0,68.2,1059.0,264.0
Monticello,Jasper,4516.0,274.0,1547.0,374.0,10.0,2205.0,164.0,515.0,398.0,0.0,1077.0,3282.0,72.7,2205.0,1077.0
Martin-Burney,Jasper,3976.0,814.0,1434.0,349.0,1.0,2598.0,49.0,124.0,111.0,0.0,284.0,2882.0,72.5,2598.0,284.0
