Precinct,County,Registered Voters,Tim Burgess (I) (Rep)_Election Day Votes,Tim Burgess (I) (Rep)_Advanced Voting Votes,Tim Burgess (I) (Rep)_Absentee by Mail Votes,Tim Burgess (I) (Rep)_Provisional Votes,Tim Burgess (I) (Rep)_Choice Total,Laura Williams Ormes (Dem)_Election Day Votes,Laura Williams Ormes (Dem)_Advanced Voting Votes,Laura Williams Ormes (Dem)_Absentee by Mail Votes,Laura Williams Ormes (Dem)_Provisional Votes,Laura Williams Ormes (Dem)_Choice Total,Total,Bobby E. Hall (I) (Rep)_Election Day Votes,Bobby E. Hall (I) (Rep)_Advanced Voting Votes,Bobby E. Hall (I) (Rep)_Absentee by Mail Votes,Bobby E. Hall (I) (Rep)_Provisional Votes,Bobby E. Hall (I) (Rep)_Choice Total,Steven Cabe (I) (Rep)_Election Day Votes,Steven Cabe (I) (Rep)_Advanced Voting Votes,Steven Cabe (I) (Rep)_Absentee by Mail Votes,Steven Cabe (I) (Rep)_Provisional Votes,Steven Cabe (I) (Rep)_Choice Total,Sue Finley (I) (Rep)_Election Day Votes,Sue Finley (I) (Rep)_Advanced Voting Votes,Sue Finley (I) (Rep)_Absentee by Mail Votes,Sue Finley (I) (Rep)_Provisional Votes,Sue Finley (I) (Rep)_Choice Total,Lynne Massey Wheeler (I) (Rep)_Election Day Votes,Lynne Massey Wheeler (I) (Rep)_Advanced Voting Votes,Lynne Massey Wheeler (I) (Rep)_Absentee by Mail Votes,Lynne Massey Wheeler (I) (Rep)_Provisional Votes,Lynne Massey Wheeler (I) (Rep)_Choice Total,calc_participation
East Oconee,Oconee,2647.0,119.0,970.0,248.0,0.0,1337.0,66.0,375.0,301.0,0.0,742.0,2079.0,,,,,,,,,,,,,,,,,,,,,78.5
Civic Center,Oconee,4396.0,282.0,1673.0,474.0,0.0,2429.0,79.0,638.0,437.0,0.0,1154.0,3583.0,,,,,,,,,,,,,,,,,,,,,81.5
Sugar Valley,Gordon,1471.0,,,,,,,,,,,891.0,426.0,358.0,106.0,1.0,891.0,,,,,,,,,,,,,,,,60.6
Plainville,Gordon,2044.0,,,,,,,,,,,1180.0,537.0,476.0,164.0,3.0,1180.0,,,,,,,,,,,,,,,,57.7
Sonoraville,Gordon,5380.0,,,,,,,,,,,3325.0,1167.0,1719.0,439.0,0.0,3325.0,,,,,,,,,,,,,,,,61.8
Pine Chapel,Gordon,1071.0,,,,,,,,,,,639.0,315.0,261.0,63.0,0.0,639.0,,,,,,,,,,,,,,,,59.7
Oostanaula,Gordon,667.0,,,,,,,,,,,427.0,226.0,125.0,76.0,0.0,427.0,,,,,,,,,,,,,,,,64.0
Oakman,Gordon,1439.0,,,,,,,,,,,799.0,448.0,255.0,96.0,0.0,799.0,,,,,,,,,,,,,,,,55.5
Gordon County,Gordon,6423.0,,,,,,,,,,,3435.0,881.0,2025.0,529.0,0.0,3435.0,,,,,,,,,,,,,,,,53.5
Lily Pond,Gordon,1914.0,,,,,,,,,,,1125.0,366.0,595.0,164.0,0.0,1125.0,,,,,,,,,,,,,,,,58.8
Fairmount,Gordon,1991.0,,,,,,,,,,,1217.0,691.0,354.0,170.0,2.0,1217.0,,,,,,,,,,,,,,,,61.1
Red Bud,Gordon,2965.0,,,,,,,,,,,1767.0,651.0,942.0,174.0,0.0,1767.0,,,,,,,,,,,,,,,,59.6
Resaca,Gordon,1532.0,,,,,,,,,,,866.0,410.0,337.0,119.0,0.0,866.0,,,,,,,,,,,,,,,,56.5
Rabun County,Rabun,13072.0,,,,,,,,,,,8342.0,,,,,,1308.0,4989.0,2045.0,0.0,8342.0,,,,,,,,,,,63.8
Yellow Creek,Pickens,3571.0,,,,,,,,,,,2226.0,,,,,,,,,,,823.0,1024.0,379.0,0.0,2226.0,,,,,,62.3
Sharptop,Pickens,2616.0,,,,,,,,,,,1726.0,,,,,,,,,,,601.0,742.0,383.0,0.0,1726.0,,,,,,66.0
Appalachian,Pickens,1933.0,,,,,,,,,,,1219.0,,,,,,,,,,,415.0,632.0,172.0,0.0,1219.0,,,,,,63.1
Refuge,Pickens,2490.0,,,,,,,,,,,1559.0,,,,,,,,,,,568.0,787.0,204.0,0.0,1559.0,,,,,,62.6
Hill,Pickens,2042.0,,,,,,,,,,,1342.0,,,,,,,,,,,548.0,612.0,180.0,2.0,1342.0,,,,,,65.7
Hinton,Pickens,825.0,,,,,,,,,,,485.0,,,,,,,,,,,308.0,144.0,33.0,0.0,485.0,,,,,,58.8
Jerusalem,Pickens,1145.0,,,,,,,,,,,765.0,,,,,,,,,,,498.0,200.0,67.0,0.0,765.0,,,,,,66.8
Ludville,Pickens,721.0,,,,,,,,,,,436.0,,,,,,,,,,,307.0,95.0,34.0,0.0,436.0,,,,,,60.5
Nelson,Pickens,1474.0,,,,,,,,,,,921.0,,,,,,,,,,,439.0,381.0,101.0,0.0,921.0,,,,,,62.5
Talking Rock,Pickens,1781.0,,,,,,,,,,,1101.0,,,,,,,,,,,461.0,485.0,152.0,3.0,1101.0,,,,,,61.8
Jasper,Pickens,2517.0,,,,,,,,,,,1363.0,,,,,,,,,,,486.0,683.0,193.0,1.0,1363.0,,,,,,54.2
Tate,Pickens,2651.0,,,,,,,,,,,1698.0,,,,,,,,,,,669.0,813.0,215.0,1.0,1698.0,,,,,,64.1
North Jackson,Jackson,12699.0,,,,,,,,,,,898.0,,,,,,,,,,,,,,,,147.0,593.0,158.0,0.0,898.0,7.1
South Jackson,Jackson,8012.0,,,,,,,,,,,3465.0,,,,,,,,,,,,,,,,638.0,2162.0,664.0,1.0,3465.0,43.2
