Precinct,County,Registered Voters,Laurie McClain (Rep)_Election Day Votes,Laurie McClain (Rep)_Advanced Voting Votes,Laurie McClain (Rep)_Absentee by Mail Votes,Laurie McClain (Rep)_Provisional Votes,Laurie McClain (Rep)_Choice Total,Kirkland Carden (Dem)_Election Day Votes,Kirkland Carden (Dem)_Advanced Voting Votes,Kirkland Carden (Dem)_Absentee by Mail Votes,Kirkland Carden (Dem)_Provisional Votes,Kirkland Carden (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
DULUTH H,Gwinnett,2813.0,173.0,469.0,306.0,3.0,951.0,142.0,443.0,482.0,1.0,1068.0,2019.0,71.8,951.0,1068.0
GOODWINS H,Gwinnett,2796.0,219.0,484.0,190.0,0.0,893.0,160.0,533.0,367.0,1.0,1061.0,1954.0,69.9,893.0,1061.0
SUWANEE D,Gwinnett,4732.0,455.0,1316.0,550.0,1.0,2322.0,138.0,690.0,569.0,0.0,1397.0,3719.0,78.6,2322.0,1397.0
SUWANEE E,Gwinnett,4256.0,367.0,1119.0,492.0,1.0,1979.0,116.0,731.0,510.0,1.0,1358.0,3337.0,78.4,1979.0,1358.0
DULUTH I,Gwinnett,5105.0,298.0,972.0,681.0,0.0,1951.0,181.0,711.0,843.0,1.0,1736.0,3687.0,72.2,1951.0,1736.0
SUWANEE H,Gwinnett,3785.0,329.0,1192.0,490.0,0.0,2011.0,105.0,510.0,406.0,1.0,1022.0,3033.0,80.1,2011.0,1022.0
SUGAR HILL G,Gwinnett,2814.0,300.0,800.0,275.0,0.0,1375.0,67.0,382.0,345.0,1.0,795.0,2170.0,77.1,1375.0,795.0
SUWANEE F,Gwinnett,3966.0,307.0,800.0,353.0,2.0,1462.0,157.0,715.0,531.0,1.0,1404.0,2866.0,72.3,1462.0,1404.0
DULUTH K,Gwinnett,2786.0,77.0,155.0,81.0,1.0,314.0,232.0,559.0,311.0,0.0,1102.0,1416.0,50.8,314.0,1102.0
SUWANEE G,Gwinnett,3904.0,308.0,739.0,294.0,0.0,1341.0,203.0,798.0,533.0,1.0,1535.0,2876.0,73.7,1341.0,1535.0
