Precinct,County,Registered Voters,Hubert B. Parker (I) (Rep)_Election Day Votes,Hubert B. Parker (I) (Rep)_Advanced Voting Votes,Hubert B. Parker (I) (Rep)_Absentee by Mail Votes,Hubert B. Parker (I) (Rep)_Provisional Votes,Hubert B. Parker (I) (Rep)_Choice Total,Total,Sherri L. Washington (I) (Dem)_Election Day Votes,Sherri L. Washington (I) (Dem)_Advanced Voting Votes,Sherri L. Washington (I) (Dem)_Absentee by Mail Votes,Sherri L. Washington (I) (Dem)_Provisional Votes,Sherri L. Washington (I) (Dem)_Choice Total,Mark H. Thomas (I) (Rep)_Election Day Votes,Mark H. Thomas (I) (Rep)_Advanced Voting Votes,Mark H. Thomas (I) (Rep)_Absentee by Mail Votes,Mark H. Thomas (I) (Rep)_Provisional Votes,Mark H. Thomas (I) (Rep)_Choice Total,Bobby Walker (I) (Rep)_Election Day Votes,Bobby Walker (I) (Rep)_Advanced Voting Votes,Bobby Walker (I) (Rep)_Absentee by Mail Votes,Bobby Walker (I) (Rep)_Provisional Votes,Bobby Walker (I) (Rep)_Choice Total,Keith Dunn (Rep)_Election Day Votes,Keith Dunn (Rep)_Advanced Voting Votes,Keith Dunn (Rep)_Absentee by Mail Votes,Keith Dunn (Rep)_Provisional Votes,Keith Dunn (Rep)_Choice Total,Will H. Nichols (I) (Rep)_Election Day Votes,Will H. Nichols (I) (Rep)_Advanced Voting Votes,Will H. Nichols (I) (Rep)_Absentee by Mail Votes,Will H. Nichols (I) (Rep)_Provisional Votes,Will H. Nichols (I) (Rep)_Choice Total,Mary P. Smith (Dem)_Election Day Votes,Mary P. Smith (Dem)_Advanced Voting Votes,Mary P. Smith (Dem)_Absentee by Mail Votes,Mary P. Smith (Dem)_Provisional Votes,Mary P. Smith (Dem)_Choice Total,Roy Lewis (I) (Rep)_Election Day Votes,Roy Lewis (I) (Rep)_Advanced Voting Votes,Roy Lewis (I) (Rep)_Absentee by Mail Votes,Roy Lewis (I) (Rep)_Provisional Votes,Roy Lewis (I) (Rep)_Choice Total,Terrence D. Fannin (Dem)_Election Day Votes,Terrence D. Fannin (Dem)_Advanced Voting Votes,Terrence D. Fannin (Dem)_Absentee by Mail Votes,Terrence D. Fannin (Dem)_Provisional Votes,Terrence D. Fannin (Dem)_Choice Total,Johnny Scearce (Rep)_Election Day Votes,Johnny Scearce (Rep)_Advanced Voting Votes,Johnny Scearce (Rep)_Absentee by Mail Votes,Johnny Scearce (Rep)_Provisional Votes,Johnny Scearce (Rep)_Choice Total,Dixie L. Carter (Dem)_Election Day Votes,Dixie L. Carter (Dem)_Advanced Voting Votes,Dixie L. Carter (Dem)_Absentee by Mail Votes,Dixie L. Carter (Dem)_Provisional Votes,Dixie L. Carter (Dem)_Choice Total,calc_participation
BT,Rockdale,4007.0,,,,,,1677.0,362.0,849.0,464.0,2.0,1677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9
CO,Rockdale,3862.0,,,,,,1893.0,340.0,1071.0,480.0,2.0,1893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
FI,Rockdale,6328.0,,,,,,3895.0,418.0,2308.0,1169.0,0.0,3895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6
FS,Rockdale,4038.0,,,,,,2343.0,258.0,1373.0,712.0,0.0,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
HC,Rockdale,2411.0,,,,,,1234.0,179.0,707.0,348.0,0.0,1234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2
HI,Rockdale,3515.0,,,,,,1901.0,220.0,1135.0,546.0,0.0,1901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1
LA,Rockdale,2001.0,,,,,,992.0,168.0,456.0,368.0,0.0,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6
LO,Rockdale,3943.0,,,,,,2248.0,363.0,1221.0,664.0,0.0,2248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
MA,Rockdale,3180.0,,,,,,1643.0,275.0,911.0,456.0,1.0,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7
MI,Rockdale,4226.0,,,,,,2277.0,306.0,1336.0,631.0,4.0,2277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9
OT,Rockdale,6135.0,,,,,,3274.0,425.0,1932.0,913.0,4.0,3274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4
RO,Rockdale,4633.0,,,,,,2584.0,312.0,1565.0,706.0,1.0,2584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8
SM,Rockdale,4308.0,,,,,,2588.0,250.0,1607.0,727.0,4.0,2588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1
SP,Rockdale,4781.0,,,,,,2903.0,317.0,1830.0,754.0,2.0,2903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7
ST,Rockdale,3334.0,,,,,,1786.0,192.0,1063.0,529.0,2.0,1786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6
City Hall,Oconee,3910.0,,,,,,2628.0,,,,,,331.0,1786.0,511.0,0.0,2628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2
Colham Ferry,Oconee,1847.0,,,,,,1352.0,,,,,,206.0,904.0,242.0,0.0,1352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2
Antioch,Oconee,1397.0,,,,,,1026.0,,,,,,243.0,600.0,183.0,0.0,1026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4
Farmington,Oconee,737.0,,,,,,517.0,,,,,,157.0,278.0,82.0,0.0,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1
Bishop,Oconee,1938.0,,,,,,1363.0,,,,,,237.0,899.0,225.0,2.0,1363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3
High Shoals,Oconee,1939.0,,,,,,1457.0,,,,,,234.0,996.0,227.0,0.0,1457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1
North Oconee,Oconee,1244.0,,,,,,952.0,,,,,,186.0,598.0,168.0,0.0,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5
Dark Corner,Oconee,3541.0,,,,,,2694.0,,,,,,465.0,1806.0,422.0,1.0,2694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1
Bogart,Oconee,2384.0,,,,,,1648.0,,,,,,355.0,980.0,313.0,0.0,1648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1
Marswood Hall,Oconee,4091.0,,,,,,2933.0,,,,,,313.0,1842.0,777.0,1.0,2933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7
East Oconee,Oconee,2647.0,,,,,,1705.0,,,,,,159.0,1181.0,365.0,0.0,1705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4
Civic Center,Oconee,4396.0,,,,,,3081.0,,,,,,331.0,2053.0,697.0,0.0,3081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1
Statenville,Echols,2156.0,,,,,,1286.0,,,,,,,,,,,234.0,917.0,135.0,0.0,1286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6
Legacy Bapt Church,Paulding,4443.0,,,,,,2359.0,,,,,,,,,,,,,,,,401.0,1343.0,611.0,4.0,2359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1
Watson Govt Cmplx,Paulding,10774.0,,,,,,895.0,,,,,,,,,,,,,,,,164.0,515.0,214.0,2.0,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
West Ridge Church,Paulding,11546.0,,,,,,6973.0,,,,,,,,,,,,,,,,1235.0,4211.0,1522.0,5.0,6973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4
Events Place,Paulding,4923.0,,,,,,648.0,,,,,,,,,,,,,,,,123.0,374.0,150.0,1.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
Poplar Sprgs Bapt Church,Paulding,4825.0,,,,,,1263.0,,,,,,,,,,,,,,,,208.0,781.0,274.0,0.0,1263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2
Nebo Elem School,Paulding,10070.0,,,,,,437.0,,,,,,,,,,,,,,,,87.0,266.0,83.0,1.0,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
White Oak Park,Paulding,5833.0,,,,,,1780.0,,,,,,,,,,,,,,,,341.0,1093.0,341.0,5.0,1780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5
Picketts Mill Baptist Church,Paulding,2748.0,,,,,,955.0,,,,,,,,,,,,,,,,186.0,565.0,204.0,0.0,955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
Rabun County,Rabun,13072.0,,,,,,9279.0,,,,,,,,,,,,,,,,,,,,,1206.0,4631.0,1744.0,0.0,7581.0,174.0,777.0,747.0,0.0,1698.0,,,,,,,,,,,,,,,,,,,,,71.0
Byron 2,Peach,5028.0,,,,,,3623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,1764.0,322.0,4.0,2337.0,125.0,786.0,374.0,1.0,1286.0,,,,,,,,,,,72.1
Claude,Peach,908.0,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,84.0,11.0,1.0,131.0,7.0,19.0,16.0,0.0,42.0,,,,,,,,,,,19.1
Powersville,Peach,1365.0,,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,174.0,31.0,2.0,257.0,8.0,40.0,23.0,1.0,72.0,,,,,,,,,,,24.1
Colwell,Fannin,1105.0,,,,,,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,296.0,121.0,0.0,696.0,23.0,42.0,79.0,0.0,144.0,76.0
Fairplay,Fannin,1262.0,,,,,,883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,307.0,114.0,0.0,736.0,23.0,65.0,59.0,0.0,147.0,70.0
Flinthill,Fannin,3202.0,,,,,,2078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,804.0,372.0,2.0,1833.0,60.0,84.0,101.0,0.0,245.0,64.9
Hemptown,Fannin,1336.0,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,331.0,119.0,3.0,793.0,31.0,60.0,68.0,0.0,159.0,71.3
Hothouse,Fannin,1290.0,,,,,,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,372.0,142.0,7.0,779.0,22.0,58.0,70.0,0.0,150.0,72.0
Mineral Bluff,Fannin,1817.0,,,,,,1343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0,587.0,222.0,0.0,1147.0,23.0,69.0,104.0,0.0,196.0,73.9
Mobile,Fannin,1160.0,,,,,,809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,270.0,126.0,0.0,688.0,35.0,43.0,43.0,0.0,121.0,69.7
Morganton,Fannin,2067.0,,,,,,1506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,567.0,240.0,2.0,1265.0,39.0,107.0,95.0,0.0,241.0,72.9
Noontootla,Fannin,839.0,,,,,,651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,224.0,134.0,0.0,530.0,22.0,45.0,54.0,0.0,121.0,77.6
Skeniah,Fannin,331.0,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,55.0,38.0,1.0,203.0,11.0,19.0,26.0,1.0,57.0,78.5
Sugar Creek,Fannin,2437.0,,,,,,1750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,793.0,271.0,0.0,1452.0,32.0,138.0,127.0,1.0,298.0,71.8
Toccoa,Fannin,3553.0,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.0,1109.0,424.0,3.0,2022.0,55.0,201.0,158.0,1.0,415.0,68.6
