Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
Austin,DeKalb,2538.0,227.0,572.0,302.0,3.0,1104.0,69.0,555.0,452.0,1.0,1077.0,13.0,10.0,8.0,0.0,31.0,2212.0,87.2
Avondale,DeKalb,2906.0,201.0,200.0,137.0,0.0,538.0,236.0,949.0,784.0,1.0,1970.0,14.0,17.0,10.0,0.0,41.0,2549.0,87.7
Austin Drive,DeKalb,2536.0,27.0,39.0,29.0,2.0,97.0,188.0,626.0,452.0,14.0,1280.0,5.0,8.0,8.0,0.0,21.0,1398.0,55.1
Ashford Dunwoody Rd,DeKalb,2966.0,196.0,594.0,195.0,2.0,987.0,66.0,825.0,576.0,2.0,1469.0,8.0,19.0,10.0,0.0,37.0,2493.0,84.1
Ashford Parkside,DeKalb,3664.0,179.0,600.0,267.0,2.0,1048.0,106.0,832.0,772.0,5.0,1715.0,8.0,13.0,12.0,0.0,33.0,2796.0,76.3
Avondale High,DeKalb,3151.0,56.0,127.0,95.0,0.0,278.0,112.0,1128.0,953.0,4.0,2197.0,10.0,20.0,7.0,0.0,37.0,2512.0,79.7
Boulevard,DeKalb,4675.0,48.0,145.0,62.0,1.0,256.0,242.0,1864.0,1233.0,2.0,3341.0,13.0,14.0,17.0,0.0,44.0,3641.0,77.9
Briar Vista Elem,DeKalb,2965.0,118.0,198.0,130.0,1.0,447.0,152.0,796.0,836.0,0.0,1784.0,10.0,12.0,11.0,0.0,33.0,2264.0,76.4
Briarlake Elem,DeKalb,1752.0,121.0,211.0,144.0,0.0,476.0,90.0,472.0,431.0,1.0,994.0,8.0,11.0,5.0,0.0,24.0,1494.0,85.3
Briarwood,DeKalb,2428.0,115.0,387.0,112.0,1.0,615.0,110.0,604.0,442.0,4.0,1160.0,5.0,14.0,11.0,0.0,30.0,1805.0,74.3
Brockett Elem,DeKalb,2752.0,76.0,281.0,192.0,0.0,549.0,136.0,733.0,511.0,7.0,1387.0,6.0,11.0,11.0,0.0,28.0,1964.0,71.4
Briarcliff,DeKalb,3122.0,153.0,311.0,276.0,5.0,745.0,106.0,671.0,794.0,2.0,1573.0,7.0,12.0,11.0,0.0,30.0,2348.0,75.2
Brockett,DeKalb,2681.0,155.0,249.0,158.0,3.0,565.0,164.0,702.0,490.0,5.0,1361.0,15.0,11.0,4.0,0.0,30.0,1956.0,73.0
Brookhaven,DeKalb,3444.0,243.0,657.0,211.0,1.0,1112.0,151.0,884.0,594.0,2.0,1631.0,12.0,21.0,17.0,0.0,50.0,2793.0,81.1
Browns Mill Elem,DeKalb,3829.0,24.0,49.0,34.0,0.0,107.0,295.0,1468.0,890.0,7.0,2660.0,7.0,3.0,7.0,0.0,17.0,2784.0,72.7
Bouldercrest Road,DeKalb,2004.0,14.0,27.0,16.0,0.0,57.0,152.0,766.0,368.0,3.0,1289.0,2.0,5.0,1.0,0.0,8.0,1354.0,67.6
Bethune Middle,DeKalb,4838.0,39.0,58.0,37.0,4.0,138.0,314.0,1372.0,995.0,17.0,2698.0,4.0,6.0,7.0,0.0,17.0,2853.0,59.0
Burgess Elem,DeKalb,3493.0,41.0,88.0,50.0,1.0,180.0,180.0,1348.0,897.0,7.0,2432.0,5.0,8.0,11.0,0.0,24.0,2636.0,75.5
Columbia Drive,DeKalb,2526.0,23.0,17.0,21.0,0.0,61.0,213.0,590.0,469.0,8.0,1280.0,3.0,2.0,5.0,0.0,10.0,1351.0,53.5
Canby Lane Elem,DeKalb,2004.0,14.0,24.0,25.0,1.0,64.0,216.0,533.0,434.0,8.0,1191.0,4.0,4.0,6.0,0.0,14.0,1269.0,63.3
