Precinct,County,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,calc_participation
Union Point,Greene,1873.0,225.0,514.0,205.0,0.0,944.0,944.0,50.4
Siloam,Greene,991.0,123.0,289.0,98.0,0.0,510.0,510.0,51.5
White Plains,Greene,347.0,46.0,119.0,34.0,0.0,199.0,199.0,57.3
Old Salem,Greene,6961.0,524.0,3714.0,1200.0,3.0,5441.0,5441.0,78.2
Devereux Fire Station,Hancock,1006.0,128.0,290.0,130.0,0.0,548.0,548.0,54.5
St Mark,Hancock,576.0,62.0,104.0,33.0,0.0,199.0,199.0,34.5
Courthouse,Hancock,931.0,73.0,186.0,79.0,1.0,339.0,339.0,36.4
Second Beulah,Hancock,472.0,42.0,71.0,58.0,0.0,171.0,171.0,36.2
Mayfield Community Center,Hancock,356.0,40.0,37.0,41.0,0.0,118.0,118.0,33.1
Power of God,Hancock,731.0,66.0,116.0,71.0,1.0,254.0,254.0,34.7
Warren Chapel,Hancock,268.0,29.0,80.0,49.0,0.0,158.0,158.0,59.0
Youth Center,Hancock,975.0,74.0,159.0,100.0,0.0,333.0,333.0,34.2
Second Darrien,Hancock,364.0,62.0,50.0,54.0,0.0,166.0,166.0,45.6
Sparta 4C,Hancock,148.0,23.0,18.0,33.0,0.0,74.0,74.0,50.0
Northeast Morgan,Morgan,2919.0,198.0,1041.0,291.0,0.0,1530.0,1530.0,52.4
East Morgan,Morgan,2228.0,457.0,978.0,187.0,2.0,1624.0,1624.0,72.9
Beth/Springfield,Morgan,862.0,162.0,356.0,88.0,0.0,606.0,606.0,70.3
Central Morgan,Morgan,2761.0,263.0,1303.0,296.0,0.0,1862.0,1862.0,67.4
Clacks Chapel,Morgan,709.0,142.0,349.0,58.0,0.0,549.0,549.0,77.4
West Morgan,Morgan,2655.0,450.0,1241.0,205.0,0.0,1896.0,1896.0,71.4
North Morgan,Morgan,2690.0,504.0,1044.0,262.0,2.0,1812.0,1812.0,67.4
Wyatt,Jasper,1940.0,491.0,532.0,183.0,1.0,1207.0,1207.0,62.2
Monticello,Jasper,4516.0,349.0,1815.0,532.0,10.0,2706.0,2706.0,59.9
Martin-Burney,Jasper,3976.0,844.0,1496.0,393.0,1.0,2734.0,2734.0,68.8
