Precinct,County,Registered Voters,Sherry Boston (I) (Dem)_Election Day Votes,Sherry Boston (I) (Dem)_Advanced Voting Votes,Sherry Boston (I) (Dem)_Absentee by Mail Votes,Sherry Boston (I) (Dem)_Provisional Votes,Sherry Boston (I) (Dem)_Choice Total,Total,calc_participation
Peachcrest,DeKalb,2458.0,177.0,621.0,437.0,4.0,1239.0,1239.0,50.4
Peachtree Middle,DeKalb,3502.0,245.0,1204.0,606.0,5.0,2060.0,2060.0,58.8
Princeton Elem,DeKalb,2376.0,172.0,866.0,449.0,5.0,1492.0,1492.0,62.8
Pine Lake,DeKalb,632.0,244.0,137.0,71.0,0.0,452.0,452.0,71.5
Pleasantdale Road,DeKalb,4538.0,436.0,1174.0,587.0,9.0,2206.0,2206.0,48.6
Ponce de Leon,DeKalb,3766.0,117.0,911.0,822.0,14.0,1864.0,1864.0,49.5
Panola,DeKalb,1586.0,138.0,474.0,326.0,2.0,940.0,940.0,59.3
Panola Way Elem,DeKalb,2252.0,204.0,588.0,318.0,21.0,1131.0,1131.0,50.2
Piney Grove,DeKalb,2018.0,164.0,532.0,337.0,7.0,1040.0,1040.0,51.5
Panola Road,DeKalb,2884.0,192.0,1024.0,572.0,8.0,1796.0,1796.0,62.3
Rainbow Elem,DeKalb,3768.0,264.0,1192.0,830.0,8.0,2294.0,2294.0,60.9
Redan Elem,DeKalb,3020.0,207.0,1158.0,583.0,8.0,1956.0,1956.0,64.8
Rehoboth,DeKalb,1813.0,102.0,490.0,554.0,3.0,1149.0,1149.0,63.4
Rockbridge Elem,DeKalb,3595.0,323.0,950.0,517.0,17.0,1807.0,1807.0,50.3
Rock Chapel Elem,DeKalb,2910.0,216.0,1117.0,513.0,6.0,1852.0,1852.0,63.6
Rowland Elem,DeKalb,3765.0,289.0,918.0,581.0,8.0,1796.0,1796.0,47.7
Redan-Trotti Library,DeKalb,3990.0,274.0,1275.0,745.0,20.0,2314.0,2314.0,58.0
Rockbridge Road,DeKalb,3965.0,309.0,1488.0,975.0,8.0,2780.0,2780.0,70.1
Rowland Road,DeKalb,2080.0,189.0,592.0,416.0,8.0,1205.0,1205.0,57.9
Redan Road,DeKalb,2932.0,230.0,895.0,503.0,12.0,1640.0,1640.0,55.9
Rock Chapel Road,DeKalb,4178.0,258.0,1631.0,806.0,18.0,2713.0,2713.0,64.9
Redan Middle,DeKalb,2496.0,154.0,872.0,524.0,5.0,1555.0,1555.0,62.3
Sagamore Hills Elem,DeKalb,2925.0,195.0,920.0,837.0,0.0,1952.0,1952.0,66.7
Scott,DeKalb,2805.0,118.0,827.0,877.0,1.0,1823.0,1823.0,65.0
Shaw-Robert Shaw Elem,DeKalb,2892.0,251.0,860.0,575.0,3.0,1689.0,1689.0,58.4
