Precinct,County,Registered Voters,"Lester G. Jackson, III (I) (Dem)_Election Day Votes","Lester G. Jackson, III (I) (Dem)_Advanced Voting Votes","Lester G. Jackson, III (I) (Dem)_Absentee by Mail Votes","Lester G. Jackson, III (I) (Dem)_Provisional Votes","Lester G. Jackson, III (I) (Dem)_Choice Total",Total,calc_participation
6-06C The Light Church,Chatham,1543.0,195.0,259.0,189.0,0.0,643.0,643.0,41.7
6-08C Christ Memorial Baptist Church,Chatham,2194.0,279.0,453.0,306.0,2.0,1040.0,1040.0,47.4
6-09C Trinity Lutheran Church,Chatham,3319.0,429.0,709.0,499.0,6.0,1643.0,1643.0,49.5
7-01C Garden City Senior Ctr,Chatham,1542.0,210.0,216.0,194.0,0.0,620.0,620.0,40.2
7-03C PB Edwards Gym,Chatham,1290.0,268.0,119.0,118.0,0.0,505.0,505.0,39.1
7-04C Lake Shore Comm Ctr,Chatham,3067.0,514.0,796.0,386.0,1.0,1697.0,1697.0,55.3
7-05C Woodlawn Baptist Church,Chatham,1305.0,217.0,229.0,133.0,0.0,579.0,579.0,44.4
7-10C Progressive Rec Center,Chatham,4288.0,479.0,975.0,598.0,6.0,2058.0,2058.0,48.0
7-11C Seventh Day Adv Church,Chatham,6469.0,712.0,1542.0,941.0,12.0,3207.0,3207.0,49.6
7-14C Coastal Cathedral,Chatham,7572.0,756.0,1849.0,1376.0,8.0,3989.0,3989.0,52.7
7-15C Rice Creek School,Chatham,2564.0,408.0,525.0,287.0,2.0,1222.0,1222.0,47.7
8-01C Civic Center,Chatham,850.0,69.0,114.0,97.0,3.0,283.0,283.0,33.3
8-02C Hellenic Center,Chatham,1709.0,225.0,381.0,246.0,1.0,853.0,853.0,49.9
8-03C Silk Hope Baptist Church,Chatham,831.0,129.0,76.0,80.0,0.0,285.0,285.0,34.3
8-05C W Broad St YMCA,Chatham,1543.0,270.0,210.0,164.0,1.0,645.0,645.0,41.8
8-06C Tompkins Rec Center,Chatham,1055.0,191.0,151.0,159.0,2.0,503.0,503.0,47.7
8-07C Woodville-Tompkins TI,Chatham,630.0,129.0,99.0,86.0,1.0,315.0,315.0,50.0
8-08C Resur of Our Lord Church,Chatham,1704.0,310.0,255.0,272.0,3.0,840.0,840.0,49.3
8-09C Moses Jackson Center,Chatham,1362.0,260.0,193.0,201.0,7.0,661.0,661.0,48.5
8-10C Carver Heights Comm Ctr,Chatham,1784.0,341.0,263.0,347.0,0.0,951.0,951.0,53.3
8-11C Butler Elementary,Chatham,1386.0,252.0,309.0,355.0,0.0,916.0,916.0,66.1
8-12C Beach High School,Chatham,1310.0,191.0,235.0,153.0,0.0,579.0,579.0,44.2
8-13C Savannah Christian,Chatham,1022.0,90.0,86.0,61.0,2.0,239.0,239.0,23.4
8-15C Garden City Rec Center,Chatham,1622.0,209.0,296.0,250.0,1.0,756.0,756.0,46.6
