Precinct,County,Registered Voters,Dell F. McGregor_Election Day Votes,Dell F. McGregor_Advanced Voting Votes,Dell F. McGregor_Absentee by Mail Votes,Dell F. McGregor_Provisional Votes,Dell F. McGregor_Choice Total,Total,calc_participation
East Lake,DeKalb,4139.0,215.0,1400.0,806.0,6.0,2427.0,2427.0,58.6
Embry Hills,DeKalb,1721.0,107.0,506.0,383.0,0.0,996.0,996.0,57.9
Evansdale Elem,DeKalb,3441.0,258.0,1047.0,658.0,3.0,1966.0,1966.0,57.1
Emory South,DeKalb,3241.0,188.0,993.0,812.0,6.0,1999.0,1999.0,61.7
Emory Road,DeKalb,2290.0,116.0,603.0,379.0,6.0,1104.0,1104.0,48.2
Fairington Elem,DeKalb,5455.0,413.0,1420.0,578.0,16.0,2427.0,2427.0,44.5
Fernbank Elem,DeKalb,2125.0,120.0,625.0,638.0,1.0,1384.0,1384.0,65.1
Flat Shoals Elem,DeKalb,2409.0,174.0,559.0,374.0,9.0,1116.0,1116.0,46.3
Flat Shoals Parkway,DeKalb,3449.0,193.0,1207.0,670.0,5.0,2075.0,2075.0,60.2
Flat Rock Elem,DeKalb,3142.0,238.0,1196.0,479.0,5.0,1918.0,1918.0,61.0
Flat Shoals,DeKalb,2649.0,181.0,579.0,404.0,7.0,1171.0,1171.0,44.2
Flakes Mill Fire Station,DeKalb,2103.0,113.0,697.0,374.0,6.0,1190.0,1190.0,56.6
Flat Shoals Library,DeKalb,2788.0,227.0,662.0,380.0,3.0,1272.0,1272.0,45.6
Freedom Middle,DeKalb,3227.0,268.0,776.0,505.0,9.0,1558.0,1558.0,48.3
Glennwood,DeKalb,2715.0,80.0,798.0,710.0,5.0,1593.0,1593.0,58.7
Glenhaven,DeKalb,1880.0,209.0,429.0,299.0,2.0,939.0,939.0,49.9
Gresham Road,DeKalb,3601.0,191.0,1039.0,689.0,13.0,1932.0,1932.0,53.7
Georgetown Sq,DeKalb,4155.0,280.0,1352.0,595.0,7.0,2234.0,2234.0,53.8
Glenwood Road,DeKalb,2293.0,188.0,475.0,359.0,3.0,1025.0,1025.0,44.7
Hambrick Elem,DeKalb,3776.0,292.0,997.0,589.0,11.0,1889.0,1889.0,50.0
Hawthorne Elem,DeKalb,3884.0,286.0,1151.0,632.0,5.0,2074.0,2074.0,53.4
Henderson Mill,DeKalb,3104.0,196.0,959.0,647.0,2.0,1804.0,1804.0,58.1
Huntley Hills Elem,DeKalb,3508.0,320.0,1143.0,472.0,5.0,1940.0,1940.0,55.3
Hugh Howell,DeKalb,1773.0,161.0,529.0,339.0,1.0,1030.0,1030.0,58.1
Harris-Narvie J Harris Elem,DeKalb,4031.0,163.0,1472.0,684.0,9.0,2328.0,2328.0,57.8
Harris-Margaret Harris ED,DeKalb,1462.0,129.0,468.0,283.0,5.0,885.0,885.0,60.5
Idlewood Elem,DeKalb,2472.0,220.0,678.0,397.0,8.0,1303.0,1303.0,52.7
Indian Creek,DeKalb,2318.0,170.0,459.0,331.0,10.0,970.0,970.0,41.8
Johnson Estates,DeKalb,1600.0,54.0,488.0,478.0,0.0,1020.0,1020.0,63.7
Jolly Elem,DeKalb,3679.0,228.0,812.0,553.0,11.0,1604.0,1604.0,43.6
Kelley Lake Elem,DeKalb,3015.0,247.0,674.0,524.0,3.0,1448.0,1448.0,48.0
Kingsley Elem,DeKalb,2490.0,199.0,737.0,531.0,9.0,1476.0,1476.0,59.3
Kelley Chapel Road,DeKalb,1337.0,120.0,423.0,280.0,1.0,824.0,824.0,61.6
Knollwood,DeKalb,2546.0,248.0,610.0,410.0,9.0,1277.0,1277.0,50.2
Kittredge Elem,DeKalb,2161.0,145.0,767.0,452.0,4.0,1368.0,1368.0,63.3
Lakeside High,DeKalb,3216.0,221.0,1004.0,681.0,0.0,1906.0,1906.0,59.3
