Precinct,County,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
307,Richmond,1642.0,189.0,395.0,206.0,0.0,790.0,59.0,154.0,189.0,0.0,402.0,1192.0,72.6,790.0,402.0
308,Richmond,622.0,46.0,68.0,44.0,0.0,158.0,46.0,106.0,72.0,1.0,225.0,383.0,61.6,158.0,225.0
309,Richmond,3340.0,89.0,142.0,100.0,1.0,332.0,299.0,1086.0,722.0,2.0,2109.0,2441.0,73.1,332.0,2109.0
310,Richmond,5163.0,260.0,406.0,199.0,1.0,866.0,387.0,1337.0,945.0,4.0,2673.0,3539.0,68.5,866.0,2673.0
401,Richmond,2093.0,32.0,61.0,37.0,0.0,130.0,225.0,680.0,473.0,0.0,1378.0,1508.0,72.0,130.0,1378.0
402,Richmond,3311.0,78.0,85.0,56.0,1.0,220.0,413.0,507.0,534.0,3.0,1457.0,1677.0,50.6,220.0,1457.0
404,Richmond,1748.0,47.0,63.0,61.0,1.0,172.0,222.0,444.0,322.0,3.0,991.0,1163.0,66.5,172.0,991.0
405,Richmond,4424.0,60.0,142.0,96.0,0.0,298.0,326.0,1417.0,1092.0,5.0,2840.0,3138.0,70.9,298.0,2840.0
406,Richmond,3221.0,61.0,102.0,63.0,1.0,227.0,322.0,977.0,786.0,4.0,2089.0,2316.0,71.9,227.0,2089.0
501,Richmond,3549.0,77.0,105.0,107.0,1.0,290.0,352.0,711.0,742.0,3.0,1808.0,2098.0,59.1,290.0,1808.0
502,Richmond,4138.0,94.0,107.0,72.0,1.0,274.0,451.0,926.0,855.0,7.0,2239.0,2513.0,60.7,274.0,2239.0
503,Richmond,4021.0,102.0,201.0,106.0,1.0,410.0,357.0,870.0,749.0,4.0,1980.0,2390.0,59.4,410.0,1980.0
504,Richmond,2339.0,146.0,107.0,90.0,2.0,345.0,241.0,364.0,279.0,4.0,888.0,1233.0,52.7,345.0,888.0
506,Richmond,416.0,12.0,47.0,13.0,0.0,72.0,41.0,69.0,42.0,3.0,155.0,227.0,54.6,72.0,155.0
507,Richmond,968.0,47.0,70.0,39.0,0.0,156.0,130.0,205.0,132.0,1.0,468.0,624.0,64.5,156.0,468.0
509,Richmond,2172.0,57.0,84.0,64.0,1.0,206.0,203.0,599.0,420.0,4.0,1226.0,1432.0,65.9,206.0,1226.0
601,Richmond,3988.0,173.0,269.0,134.0,5.0,581.0,307.0,776.0,526.0,12.0,1621.0,2202.0,55.2,581.0,1621.0
603,Richmond,3570.0,412.0,415.0,272.0,0.0,1099.0,277.0,451.0,394.0,2.0,1124.0,2223.0,62.3,1099.0,1124.0
604,Richmond,1811.0,167.0,85.0,80.0,0.0,332.0,174.0,301.0,221.0,0.0,696.0,1028.0,56.8,332.0,696.0
605,Richmond,3880.0,246.0,330.0,224.0,0.0,800.0,302.0,626.0,521.0,2.0,1451.0,2251.0,58.0,800.0,1451.0
607,Richmond,1812.0,26.0,43.0,35.0,0.0,104.0,184.0,524.0,400.0,1.0,1109.0,1213.0,66.9,104.0,1109.0
608,Richmond,1472.0,248.0,245.0,108.0,0.0,601.0,86.0,171.0,146.0,1.0,404.0,1005.0,68.3,601.0,404.0
701,Richmond,2403.0,324.0,574.0,277.0,1.0,1176.0,96.0,256.0,285.0,1.0,638.0,1814.0,75.5,1176.0,638.0
702,Richmond,1943.0,307.0,419.0,178.0,0.0,904.0,106.0,208.0,174.0,0.0,488.0,1392.0,71.6,904.0,488.0
703,Richmond,4644.0,377.0,615.0,279.0,1.0,1272.0,335.0,746.0,480.0,6.0,1567.0,2839.0,61.1,1272.0,1567.0
705,Richmond,2276.0,222.0,452.0,313.0,2.0,989.0,115.0,311.0,253.0,1.0,680.0,1669.0,73.3,989.0,680.0
706,Richmond,3315.0,265.0,880.0,377.0,0.0,1522.0,111.0,437.0,369.0,2.0,919.0,2441.0,73.6,1522.0,919.0
707,Richmond,2122.0,163.0,250.0,104.0,1.0,518.0,210.0,409.0,211.0,2.0,832.0,1350.0,63.6,518.0,832.0
708,Richmond,305.0,22.0,110.0,32.0,1.0,165.0,7.0,42.0,20.0,0.0,69.0,234.0,76.7,165.0,69.0
709,Richmond,576.0,47.0,109.0,56.0,0.0,212.0,29.0,78.0,84.0,0.0,191.0,403.0,70.0,212.0,191.0
801,Richmond,523.0,164.0,44.0,38.0,1.0,247.0,36.0,26.0,50.0,0.0,112.0,359.0,68.6,247.0,112.0
801B,Richmond,523.0,195.0,33.0,49.0,0.0,277.0,34.0,15.0,36.0,0.0,85.0,362.0,69.2,277.0,85.0
802,Richmond,3251.0,712.0,425.0,221.0,4.0,1362.0,149.0,243.0,304.0,2.0,698.0,2060.0,63.4,1362.0,698.0
803,Richmond,252.0,9.0,23.0,2.0,0.0,34.0,25.0,25.0,28.0,1.0,79.0,113.0,44.8,34.0,79.0
804,Richmond,2096.0,206.0,268.0,111.0,0.0,585.0,135.0,392.0,250.0,0.0,777.0,1362.0,65.0,585.0,777.0
804H,Richmond,2863.0,381.0,436.0,212.0,0.0,1029.0,167.0,380.0,326.0,5.0,878.0,1907.0,66.6,1029.0,878.0
805,Richmond,798.0,62.0,84.0,28.0,0.0,174.0,68.0,183.0,114.0,1.0,366.0,540.0,67.7,174.0,366.0
806,Richmond,1212.0,205.0,208.0,89.0,0.0,502.0,70.0,130.0,110.0,1.0,311.0,813.0,67.1,502.0,311.0
807,Richmond,1578.0,85.0,111.0,54.0,0.0,250.0,127.0,307.0,242.0,1.0,677.0,927.0,58.7,250.0,677.0
808,Richmond,2366.0,306.0,386.0,181.0,0.0,873.0,158.0,361.0,282.0,1.0,802.0,1675.0,70.8,873.0,802.0
809,Richmond,879.0,13.0,25.0,14.0,0.0,52.0,75.0,301.0,189.0,2.0,567.0,619.0,70.4,52.0,567.0
810,Richmond,425.0,57.0,94.0,27.0,0.0,178.0,9.0,69.0,52.0,0.0,130.0,308.0,72.5,178.0,130.0
FBC-FLC,Laurens,4180.0,348.0,1152.0,480.0,0.0,1980.0,173.0,530.0,350.0,1.0,1054.0,3034.0,72.6,1980.0,1054.0
Calhoun Park,Laurens,6053.0,193.0,475.0,219.0,0.0,887.0,525.0,955.0,850.0,0.0,2330.0,3217.0,53.1,887.0,2330.0
Fire Dept Sta 5,Laurens,3672.0,521.0,1202.0,359.0,0.0,2082.0,132.0,374.0,219.0,0.0,725.0,2807.0,76.4,2082.0,725.0
Buckeye,Laurens,1047.0,211.0,123.0,59.0,0.0,393.0,77.0,105.0,134.0,1.0,317.0,710.0,67.8,393.0,317.0
Burch,Laurens,422.0,165.0,45.0,38.0,0.0,248.0,19.0,13.0,33.0,0.0,65.0,313.0,74.2,248.0,65.0
Cadwell,Laurens,749.0,297.0,125.0,50.0,1.0,473.0,29.0,26.0,19.0,0.0,74.0,547.0,73.0,473.0,74.0
Brewton,Laurens,1739.0,460.0,333.0,116.0,1.0,910.0,67.0,96.0,71.0,0.0,234.0,1144.0,65.8,910.0,234.0
Dudley,Laurens,1121.0,351.0,317.0,99.0,0.0,767.0,38.0,56.0,59.0,0.0,153.0,920.0,82.1,767.0,153.0
Hampton Mill,Laurens,1772.0,645.0,370.0,139.0,0.0,1154.0,77.0,43.0,55.0,0.0,175.0,1329.0,75.0,1154.0,175.0
Harvard,Laurens,406.0,101.0,39.0,27.0,0.0,167.0,48.0,37.0,25.0,0.0,110.0,277.0,68.2,167.0,110.0
Minter,Laurens,937.0,356.0,185.0,92.0,1.0,634.0,13.0,9.0,16.0,0.0,38.0,672.0,71.7,634.0,38.0
Rural Fire Sta 17,Laurens,2344.0,486.0,523.0,181.0,0.0,1190.0,102.0,147.0,125.0,0.0,374.0,1564.0,66.7,1190.0,374.0
W T Adams Fire Sta 18,Laurens,2090.0,380.0,614.0,173.0,0.0,1167.0,100.0,205.0,175.0,1.0,481.0,1648.0,78.9,1167.0,481.0
Reedy Springs,Laurens,894.0,386.0,135.0,50.0,0.0,571.0,39.0,34.0,28.0,0.0,101.0,672.0,75.2,571.0,101.0
Smith,Laurens,3374.0,397.0,454.0,173.0,0.0,1024.0,245.0,377.0,269.0,0.0,891.0,1915.0,56.8,1024.0,891.0
LCFS 10 Valambrosia,Laurens,2080.0,306.0,412.0,150.0,0.0,868.0,111.0,241.0,174.0,0.0,526.0,1394.0,67.0,868.0,526.0
1B,Effingham,3005.0,175.0,451.0,70.0,0.0,696.0,24.0,52.0,47.0,0.0,123.0,819.0,27.3,696.0,123.0
3A,Effingham,1398.0,317.0,428.0,88.0,0.0,833.0,49.0,67.0,47.0,0.0,163.0,996.0,71.2,833.0,163.0
3B,Effingham,1553.0,261.0,397.0,76.0,0.0,734.0,138.0,141.0,103.0,0.0,382.0,1116.0,71.9,734.0,382.0
3C,Effingham,2060.0,293.0,695.0,121.0,1.0,1110.0,71.0,178.0,50.0,1.0,300.0,1410.0,68.4,1110.0,300.0
3D,Effingham,3125.0,451.0,1017.0,151.0,3.0,1622.0,148.0,264.0,148.0,2.0,562.0,2184.0,69.9,1622.0,562.0
4A,Effingham,3726.0,484.0,1250.0,224.0,0.0,1958.0,100.0,312.0,159.0,0.0,571.0,2529.0,67.9,1958.0,571.0
4B,Effingham,1888.0,167.0,343.0,80.0,0.0,590.0,36.0,67.0,52.0,0.0,155.0,745.0,39.5,590.0,155.0
4C,Effingham,2837.0,427.0,988.0,190.0,0.0,1605.0,70.0,120.0,117.0,0.0,307.0,1912.0,67.4,1605.0,307.0
Alamo,Wheeler,0.0,191.0,591.0,108.0,0.0,890.0,121.0,185.0,119.0,0.0,425.0,1315.0,,890.0,425.0
Glenwood,Wheeler,0.0,237.0,334.0,88.0,0.0,659.0,70.0,94.0,66.0,0.0,230.0,889.0,,659.0,230.0
Oak Park,Emanuel,686.0,260.0,143.0,41.0,0.0,444.0,12.0,11.0,10.0,0.0,33.0,477.0,69.5,444.0,33.0
Cross-Green,Emanuel,241.0,32.0,34.0,4.0,0.0,70.0,59.0,18.0,28.0,0.0,105.0,175.0,72.6,70.0,105.0
Swainsboro,Emanuel,6988.0,635.0,1687.0,514.0,1.0,2837.0,374.0,771.0,462.0,0.0,1607.0,4444.0,63.6,2837.0,1607.0
Summertown,Emanuel,504.0,148.0,99.0,34.0,0.0,281.0,23.0,22.0,30.0,0.0,75.0,356.0,70.6,281.0,75.0
Stillmore,Emanuel,608.0,135.0,95.0,28.0,0.0,258.0,62.0,38.0,20.0,0.0,120.0,378.0,62.2,258.0,120.0
Blundale,Emanuel,756.0,227.0,246.0,64.0,0.0,537.0,6.0,18.0,7.0,0.0,31.0,568.0,75.1,537.0,31.0
Canoochee,Emanuel,681.0,239.0,131.0,32.0,0.0,402.0,27.0,39.0,22.0,0.0,88.0,490.0,72.0,402.0,88.0
Garfield,Emanuel,489.0,198.0,76.0,23.0,0.0,297.0,26.0,20.0,23.0,0.0,69.0,366.0,74.8,297.0,69.0
Nunez,Emanuel,384.0,124.0,79.0,18.0,0.0,221.0,20.0,16.0,8.0,0.0,44.0,265.0,69.0,221.0,44.0
Twin City,Emanuel,1551.0,292.0,355.0,84.0,0.0,731.0,125.0,148.0,102.0,0.0,375.0,1106.0,71.3,731.0,375.0
Adrian,Emanuel,827.0,236.0,162.0,90.0,0.0,488.0,28.0,18.0,20.0,1.0,67.0,555.0,67.1,488.0,67.0
Kiokee Baptist Church,Columbia,2541.0,284.0,807.0,125.0,0.0,1216.0,29.0,100.0,80.0,0.0,209.0,1425.0,56.1,1216.0,209.0
Lewis Methodist Church,Columbia,3737.0,431.0,1106.0,291.0,1.0,1829.0,123.0,545.0,352.0,1.0,1021.0,2850.0,76.3,1829.0,1021.0
Woodlawn Baptist Church,Columbia,1290.0,177.0,459.0,120.0,0.0,756.0,26.0,138.0,84.0,0.0,248.0,1004.0,77.8,756.0,248.0
Patriots Park,Columbia,4046.0,366.0,1387.0,194.0,0.0,1947.0,127.0,622.0,326.0,0.0,1075.0,3022.0,74.7,1947.0,1075.0
New Life Church,Columbia,4438.0,362.0,982.0,189.0,1.0,1534.0,217.0,978.0,411.0,3.0,1609.0,3143.0,70.8,1534.0,1609.0
Harlem Branch Library,Columbia,2642.0,237.0,530.0,112.0,0.0,879.0,54.0,155.0,105.0,0.0,314.0,1193.0,45.2,879.0,314.0
Harlem Senior Center,Columbia,1819.0,108.0,218.0,36.0,0.0,362.0,46.0,109.0,83.0,0.0,238.0,600.0,33.0,362.0,238.0
Philadelphia Church,Columbia,2355.0,233.0,642.0,128.0,1.0,1004.0,102.0,405.0,183.0,0.0,690.0,1694.0,71.9,1004.0,690.0
Liberty Park-Grovetown,Columbia,3410.0,294.0,670.0,151.0,2.0,1117.0,205.0,591.0,306.0,1.0,1103.0,2220.0,65.1,1117.0,1103.0
Grovetown Methodist Church,Columbia,2736.0,202.0,322.0,111.0,2.0,637.0,245.0,501.0,256.0,5.0,1007.0,1644.0,60.1,637.0,1007.0
G A Apostolic Church,Columbia,1701.0,248.0,374.0,127.0,0.0,749.0,75.0,243.0,139.0,1.0,458.0,1207.0,71.0,749.0,458.0
Grovetown Public Safety Station,Columbia,23696.0,260.0,679.0,157.0,1.0,1097.0,208.0,769.0,389.0,1.0,1367.0,2464.0,10.4,1097.0,1367.0
Grove First Baptist Church,Columbia,2954.0,184.0,547.0,90.0,1.0,822.0,150.0,660.0,310.0,0.0,1120.0,1942.0,65.7,822.0,1120.0
Col Cty Bd of Edu,Columbia,2143.0,228.0,708.0,167.0,2.0,1105.0,92.0,279.0,157.0,0.0,528.0,1633.0,76.2,1105.0,528.0
Parkway Baptist Church,Columbia,4596.0,617.0,1531.0,283.0,1.0,2432.0,137.0,695.0,337.0,1.0,1170.0,3602.0,78.4,2432.0,1170.0
Riverview Church,Columbia,1320.0,158.0,464.0,108.0,0.0,730.0,52.0,165.0,125.0,0.0,342.0,1072.0,81.2,730.0,342.0
Christ Sanctified,Columbia,2521.0,366.0,768.0,183.0,1.0,1318.0,90.0,264.0,174.0,0.0,528.0,1846.0,73.2,1318.0,528.0
Blanchard Park,Columbia,2026.0,248.0,437.0,145.0,2.0,832.0,103.0,278.0,180.0,0.0,561.0,1393.0,68.8,832.0,561.0
Belair Baptist Church,Columbia,2440.0,365.0,613.0,186.0,1.0,1165.0,113.0,311.0,199.0,1.0,624.0,1789.0,73.3,1165.0,624.0
Marvin Methodist,Columbia,1937.0,334.0,390.0,145.0,0.0,869.0,127.0,191.0,182.0,0.0,500.0,1369.0,70.7,869.0,500.0
Westside Baptist Church,Columbia,1516.0,282.0,414.0,194.0,0.0,890.0,71.0,115.0,126.0,0.0,312.0,1202.0,79.3,890.0,312.0
Trinity Baptist Church,Columbia,2836.0,465.0,798.0,270.0,2.0,1535.0,109.0,232.0,179.0,1.0,521.0,2056.0,72.5,1535.0,521.0
Abilene Baptist,Columbia,2046.0,316.0,504.0,172.0,0.0,992.0,87.0,192.0,158.0,0.0,437.0,1429.0,69.8,992.0,437.0
Augusta Christian,Columbia,2179.0,329.0,533.0,193.0,1.0,1056.0,120.0,236.0,196.0,0.0,552.0,1608.0,73.8,1056.0,552.0
Savannah Rapids Pavilion,Columbia,1549.0,147.0,627.0,277.0,0.0,1051.0,24.0,123.0,176.0,0.0,323.0,1374.0,88.7,1051.0,323.0
Gospel Water Branch,Columbia,2096.0,258.0,673.0,170.0,2.0,1103.0,92.0,251.0,213.0,1.0,557.0,1660.0,79.2,1103.0,557.0
Genesis Church,Columbia,1830.0,250.0,550.0,197.0,0.0,997.0,75.0,181.0,167.0,1.0,424.0,1421.0,77.7,997.0,424.0
Stevens Creek Church,Columbia,2760.0,397.0,965.0,288.0,1.0,1651.0,80.0,286.0,262.0,0.0,628.0,2279.0,82.6,1651.0,628.0
Mtz Col Fire Hdqtr,Columbia,1291.0,210.0,235.0,81.0,1.0,527.0,99.0,121.0,87.0,0.0,307.0,834.0,64.6,527.0,307.0
Lakeside Middle,Columbia,1923.0,274.0,504.0,104.0,0.0,882.0,99.0,233.0,138.0,1.0,471.0,1353.0,70.4,882.0,471.0
Martinez Baptist,Columbia,1962.0,332.0,343.0,118.0,0.0,793.0,149.0,219.0,141.0,0.0,509.0,1302.0,66.4,793.0,509.0
Gold Cross EMS,Columbia,1889.0,242.0,487.0,311.0,5.0,1045.0,62.0,140.0,130.0,1.0,333.0,1378.0,72.9,1045.0,333.0
Church of Our Savior,Columbia,2310.0,325.0,498.0,206.0,3.0,1032.0,149.0,239.0,216.0,2.0,606.0,1638.0,70.9,1032.0,606.0
West Acres Baptist,Columbia,2424.0,318.0,767.0,190.0,1.0,1276.0,80.0,250.0,195.0,0.0,525.0,1801.0,74.3,1276.0,525.0
Journey Comm Church,Columbia,1268.0,165.0,520.0,154.0,3.0,842.0,35.0,96.0,79.0,0.0,210.0,1052.0,83.0,842.0,210.0
Wesley Methodist,Columbia,2434.0,332.0,823.0,201.0,3.0,1359.0,90.0,287.0,158.0,1.0,536.0,1895.0,77.9,1359.0,536.0
Col Cty Main Library,Columbia,2106.0,200.0,696.0,144.0,0.0,1040.0,60.0,270.0,184.0,1.0,515.0,1555.0,73.8,1040.0,515.0
Christ Church Presbyterian,Columbia,2081.0,293.0,759.0,162.0,1.0,1215.0,60.0,222.0,149.0,1.0,432.0,1647.0,79.1,1215.0,432.0
Blue Ridge Elementary,Columbia,2301.0,288.0,625.0,154.0,0.0,1067.0,128.0,273.0,171.0,1.0,573.0,1640.0,71.3,1067.0,573.0
Christ The King Luth Church,Columbia,2148.0,209.0,772.0,264.0,1.0,1246.0,40.0,240.0,208.0,0.0,488.0,1734.0,80.7,1246.0,488.0
1B,Appling,1309.0,231.0,480.0,122.0,1.0,834.0,29.0,52.0,45.0,0.0,126.0,960.0,73.3,834.0,126.0
1C,Appling,848.0,174.0,339.0,66.0,2.0,581.0,15.0,18.0,8.0,0.0,41.0,622.0,73.3,581.0,41.0
2,Appling,2251.0,137.0,309.0,76.0,0.0,522.0,153.0,424.0,281.0,1.0,859.0,1381.0,61.4,522.0,859.0
3A1,Appling,793.0,224.0,286.0,62.0,0.0,572.0,4.0,6.0,9.0,0.0,19.0,591.0,74.5,572.0,19.0
3C,Appling,1566.0,106.0,588.0,129.0,0.0,823.0,49.0,124.0,98.0,0.0,271.0,1094.0,69.9,823.0,271.0
4B,Appling,866.0,246.0,313.0,70.0,0.0,629.0,3.0,11.0,8.0,0.0,22.0,651.0,75.2,629.0,22.0
4D,Appling,1493.0,232.0,629.0,157.0,1.0,1019.0,17.0,60.0,38.0,0.0,115.0,1134.0,76.0,1019.0,115.0
5A,Appling,1147.0,132.0,439.0,97.0,1.0,669.0,20.0,54.0,35.0,2.0,111.0,780.0,68.0,669.0,111.0
5B,Appling,1126.0,194.0,392.0,97.0,3.0,686.0,32.0,59.0,35.0,0.0,126.0,812.0,72.1,686.0,126.0
Jack Strickland Comm Center,Candler,6300.0,439.0,2312.0,393.0,0.0,3144.0,181.0,643.0,350.0,1.0,1175.0,4319.0,68.6,3144.0,1175.0
Sylvania,Screven,0.0,74.0,269.0,101.0,0.0,444.0,60.0,176.0,116.0,1.0,353.0,797.0,,444.0,353.0
Hunters,Screven,0.0,88.0,99.0,30.0,8.0,225.0,25.0,49.0,47.0,1.0,122.0,347.0,,225.0,122.0
Newington,Screven,0.0,227.0,228.0,51.0,0.0,506.0,72.0,104.0,62.0,0.0,238.0,744.0,,506.0,238.0
Jenk Hill Fire Sta,Screven,0.0,96.0,235.0,60.0,1.0,392.0,78.0,204.0,101.0,0.0,383.0,775.0,,392.0,383.0
Rocky Ford,Screven,0.0,113.0,138.0,44.0,0.0,295.0,18.0,31.0,28.0,0.0,77.0,372.0,,295.0,77.0
Bay Branch,Screven,0.0,198.0,351.0,65.0,1.0,615.0,14.0,49.0,20.0,0.0,83.0,698.0,,615.0,83.0
Hiltonia,Screven,0.0,91.0,210.0,26.0,0.0,327.0,76.0,115.0,77.0,0.0,268.0,595.0,,327.0,268.0
Screven Rec Dept,Screven,0.0,33.0,75.0,15.0,0.0,123.0,37.0,60.0,49.0,3.0,149.0,272.0,,123.0,149.0
Greenhill Church,Screven,0.0,165.0,265.0,53.0,0.0,483.0,38.0,56.0,43.0,0.0,137.0,620.0,,483.0,137.0
Sr Citizens Center,Screven,0.0,51.0,175.0,59.0,0.0,285.0,119.0,251.0,119.0,0.0,489.0,774.0,,285.0,489.0
Jackson Fire Station,Screven,0.0,108.0,83.0,25.0,0.0,216.0,15.0,20.0,37.0,0.0,72.0,288.0,,216.0,72.0
Cooperville Fire Station,Screven,0.0,20.0,29.0,10.0,1.0,60.0,16.0,65.0,40.0,2.0,123.0,183.0,,60.0,123.0
Cobbtown,Tattnall,761.0,209.0,159.0,69.0,0.0,437.0,35.0,26.0,26.0,0.0,87.0,524.0,68.9,437.0,87.0
Shiloh,Tattnall,1111.0,92.0,232.0,50.0,0.0,374.0,26.0,97.0,41.0,0.0,164.0,538.0,48.4,374.0,164.0
