Precinct,County,Registered Voters,Robert Francis Gore_Election Day Votes,Robert Francis Gore_Advanced Voting Votes,Robert Francis Gore_Absentee by Mail Votes,Robert Francis Gore_Provisional Votes,Robert Francis Gore_Choice Total,Total,Jerry Holcomb (I)_Election Day Votes,Jerry Holcomb (I)_Advanced Voting Votes,Jerry Holcomb (I)_Absentee by Mail Votes,Jerry Holcomb (I)_Provisional Votes,Jerry Holcomb (I)_Choice Total,"H. Cecil Stafford, Jr. (I)_Election Day Votes","H. Cecil Stafford, Jr. (I)_Advanced Voting Votes","H. Cecil Stafford, Jr. (I)_Absentee by Mail Votes","H. Cecil Stafford, Jr. (I)_Provisional Votes","H. Cecil Stafford, Jr. (I)_Choice Total","Horace B. Waller, Jr. (I)_Election Day Votes","Horace B. Waller, Jr. (I)_Advanced Voting Votes","Horace B. Waller, Jr. (I)_Absentee by Mail Votes","Horace B. Waller, Jr. (I)_Provisional Votes","Horace B. Waller, Jr. (I)_Choice Total",calc_participation
6-06C The Light Church,Chatham,1543.0,,,,,,663.0,,,,,,,,,,,197.0,281.0,185.0,0.0,663.0,43.0
6-08C Christ Memorial Baptist Church,Chatham,2194.0,243.0,,,,,,,,,,,,,,,,,403.0,277.0,2.0,925.0,
6-09C Trinity Lutheran Church,Chatham,3319.0,461.0,,,,,,,,,,,,,,,,,741.0,489.0,4.0,1695.0,
6-10C Station 3,Chatham,4184.0,,,,,,2219.0,,,,,,,,,,,514.0,994.0,707.0,4.0,2219.0,53.0
6-11C Bamboo Farms,Chatham,5149.0,,,,,,2203.0,,,,,,,,,,,589.0,1003.0,605.0,6.0,2203.0,42.8
7-01C Garden City Senior Ctr,Chatham,1542.0,,,,,,658.0,,,,,,,,,,,238.0,230.0,190.0,0.0,658.0,42.7
7-03C PB Edwards Gym,Chatham,1290.0,,,,,,563.0,,,,,,,,,,,317.0,126.0,120.0,0.0,563.0,43.6
7-04C Lake Shore Comm Ctr,Chatham,3067.0,,,,,,1363.0,,,,,,,,,,,430.0,631.0,301.0,1.0,1363.0,44.4
7-05C Woodlawn Baptist Church,Chatham,1305.0,220.0,,,,,,,,,,,,,,,,,223.0,128.0,0.0,571.0,
7-06C Pooler City Hall,Chatham,3555.0,,,,,,1511.0,,,,,,,,,,,335.0,793.0,382.0,1.0,1511.0,42.5
7-07C Rothwell Baptist Church,Chatham,3932.0,332.0,,,,,,,,,,,,,,,,,987.0,582.0,5.0,1906.0,
7-08C Bloomingdale Comm Ctr,Chatham,2733.0,,,,,,1322.0,,,,,,,,,,,471.0,585.0,266.0,0.0,1322.0,48.4
7-09C Savannah Holy C of G,Chatham,2823.0,,,,,,1202.0,,,,,,,,,,,332.0,501.0,367.0,2.0,1202.0,42.6
7-10C Progressive Rec Center,Chatham,4288.0,,,,,,1929.0,,,,,,,,,,,460.0,929.0,534.0,6.0,1929.0,45.0
7-11C Seventh Day Adv Church,Chatham,6469.0,,,,,,2926.0,,,,,,,,,,,701.0,1419.0,796.0,10.0,2926.0,45.2
7-12C Pooler Church,Chatham,3334.0,,,,,,1767.0,,,,,,,,,,,296.0,921.0,547.0,3.0,1767.0,53.0
7-13C Southside Fire Trng Ctr,Chatham,2513.0,229.0,,,,,,,,,,,,,,,,,735.0,531.0,0.0,1495.0,
7-14C Coastal Cathedral,Chatham,7572.0,,,,,,3698.0,,,,,,,,,,,732.0,1713.0,1246.0,7.0,3698.0,48.8
7-15C Rice Creek School,Chatham,2564.0,,,,,,1093.0,,,,,,,,,,,408.0,444.0,237.0,4.0,1093.0,42.6
7-16C Pooler Recreation Center Gymnasium,Chatham,3701.0,278.0,,,,,,,,,,,,,,,,,1070.0,639.0,9.0,1996.0,
8-01C Civic Center,Chatham,850.0,,,,,,248.0,,,,,,,,,,,57.0,105.0,83.0,3.0,248.0,29.2
8-02C Hellenic Center,Chatham,1709.0,,,,,,713.0,,,,,,,,,,,198.0,314.0,200.0,1.0,713.0,41.7
8-03C Silk Hope Baptist Church,Chatham,831.0,139.0,,,,,,,,,,,,,,,,,92.0,79.0,0.0,310.0,
8-05C W Broad St YMCA,Chatham,1543.0,,,,,,493.0,,,,,,,,,,,213.0,155.0,124.0,1.0,493.0,32.0
8-06C Tompkins Rec Center,Chatham,1055.0,,,,,,401.0,,,,,,,,,,,158.0,118.0,123.0,2.0,401.0,38.0
8-07C Woodville-Tompkins TI,Chatham,630.0,,,,,,242.0,,,,,,,,,,,96.0,77.0,68.0,1.0,242.0,38.4
8-08C Resur of Our Lord Church,Chatham,1704.0,222.0,,,,,,,,,,,,,,,,,192.0,204.0,2.0,620.0,
8-09C Moses Jackson Center,Chatham,1362.0,,,,,,472.0,,,,,,,,,,,185.0,133.0,151.0,3.0,472.0,34.7
8-10C Carver Heights Comm Ctr,Chatham,1784.0,282.0,,,,,,,,,,,,,,,,,189.0,270.0,0.0,741.0,
8-11C Butler Elementary,Chatham,1386.0,,,,,,691.0,,,,,,,,,,,192.0,226.0,273.0,0.0,691.0,49.9
8-12C Beach High School,Chatham,1310.0,,,,,,495.0,,,,,,,,,,,172.0,196.0,125.0,2.0,495.0,37.8
8-13C Savannah Christian,Chatham,1022.0,,,,,,284.0,,,,,,,,,,,111.0,97.0,74.0,2.0,284.0,27.8
8-15C Garden City Rec Center,Chatham,1622.0,,,,,,599.0,,,,,,,,,,,163.0,231.0,203.0,2.0,599.0,36.9
8-16C Royal Cinemas and IMAX,Chatham,3087.0,,,,,,1583.0,,,,,,,,,,,262.0,803.0,515.0,3.0,1583.0,51.3
