Precinct,County,Registered Voters,William Park Freeman (Rep)_Election Day Votes,William Park Freeman (Rep)_Advanced Voting Votes,William Park Freeman (Rep)_Absentee by Mail Votes,William Park Freeman (Rep)_Provisional Votes,William Park Freeman (Rep)_Choice Total,Kim Jackson (Dem)_Election Day Votes,Kim Jackson (Dem)_Advanced Voting Votes,Kim Jackson (Dem)_Absentee by Mail Votes,Kim Jackson (Dem)_Provisional Votes,Kim Jackson (Dem)_Choice Total,Total,calc_participation
Clarkston,DeKalb,3878.0,46.0,81.0,47.0,0.0,174.0,365.0,914.0,407.0,9.0,1695.0,1869.0,48.2
Covington Hwy,DeKalb,995.0,5.0,8.0,3.0,0.0,16.0,50.0,96.0,61.0,2.0,209.0,225.0,22.6
Covington,DeKalb,2376.0,40.0,69.0,42.0,0.0,151.0,116.0,672.0,356.0,4.0,1148.0,1299.0,54.7
Clarkston Community Center,DeKalb,2495.0,53.0,91.0,49.0,3.0,196.0,195.0,580.0,379.0,4.0,1158.0,1354.0,54.3
Dunaire Elem,DeKalb,2268.0,31.0,74.0,56.0,1.0,162.0,181.0,597.0,410.0,5.0,1193.0,1355.0,59.7
Freedom Middle,DeKalb,3227.0,54.0,64.0,59.0,0.0,177.0,264.0,832.0,543.0,8.0,1647.0,1824.0,56.5
Hambrick Elem,DeKalb,3776.0,76.0,125.0,100.0,2.0,303.0,267.0,1045.0,597.0,8.0,1917.0,2220.0,58.8
Hugh Howell,DeKalb,1773.0,114.0,230.0,185.0,0.0,529.0,117.0,467.0,301.0,0.0,885.0,1414.0,79.8
Idlewood Elem,DeKalb,2472.0,90.0,137.0,89.0,1.0,317.0,178.0,694.0,383.0,6.0,1261.0,1578.0,63.8
Indian Creek,DeKalb,2318.0,47.0,73.0,63.0,3.0,186.0,148.0,479.0,341.0,9.0,977.0,1163.0,50.2
Jolly Elem,DeKalb,3679.0,85.0,156.0,112.0,3.0,356.0,223.0,845.0,591.0,10.0,1669.0,2025.0,55.0
McLendon,DeKalb,3607.0,9.0,86.0,45.0,0.0,140.0,37.0,316.0,268.0,4.0,625.0,765.0,21.2
Montreal,DeKalb,2586.0,78.0,180.0,108.0,0.0,366.0,166.0,750.0,501.0,3.0,1420.0,1786.0,69.1
Memorial South,DeKalb,3138.0,38.0,56.0,32.0,3.0,129.0,236.0,690.0,366.0,16.0,1308.0,1437.0,45.8
North Hairston,DeKalb,2329.0,39.0,61.0,42.0,2.0,144.0,199.0,611.0,393.0,6.0,1209.0,1353.0,58.1
Northlake,DeKalb,1509.0,110.0,135.0,118.0,0.0,363.0,77.0,399.0,368.0,1.0,845.0,1208.0,80.1
Pine Lake,DeKalb,632.0,35.0,9.0,7.0,0.0,51.0,221.0,130.0,71.0,0.0,422.0,473.0,74.8
Rehoboth,DeKalb,1813.0,105.0,167.0,168.0,2.0,442.0,62.0,417.0,494.0,1.0,974.0,1416.0,78.1
Rockbridge Elem,DeKalb,3595.0,36.0,71.0,37.0,4.0,148.0,298.0,910.0,509.0,12.0,1729.0,1877.0,52.2
Rowland Elem,DeKalb,3765.0,29.0,56.0,29.0,0.0,114.0,277.0,898.0,586.0,3.0,1764.0,1878.0,49.9
Rowland Road,DeKalb,2080.0,26.0,33.0,47.0,1.0,107.0,173.0,585.0,400.0,7.0,1165.0,1272.0,61.2
Shaw-Robert Shaw Elem,DeKalb,2892.0,46.0,84.0,45.0,0.0,175.0,229.0,819.0,565.0,2.0,1615.0,1790.0,61.9
Stone Mountain Elem,DeKalb,2338.0,38.0,103.0,228.0,0.0,369.0,143.0,490.0,526.0,3.0,1162.0,1531.0,65.5
Smoke Rise,DeKalb,2108.0,138.0,318.0,231.0,1.0,688.0,81.0,534.0,419.0,0.0,1034.0,1722.0,81.7
Stone Mtn Middle,DeKalb,3247.0,30.0,40.0,51.0,0.0,121.0,282.0,596.0,306.0,11.0,1195.0,1316.0,40.5
Stone Mill Elem,DeKalb,3714.0,31.0,44.0,36.0,0.0,111.0,323.0,655.0,440.0,8.0,1426.0,1537.0,41.4
Stone Mtn Champion,DeKalb,3098.0,58.0,59.0,51.0,0.0,168.0,278.0,748.0,450.0,7.0,1483.0,1651.0,53.3
Stone Mtn,DeKalb,1711.0,49.0,88.0,34.0,1.0,172.0,155.0,336.0,301.0,1.0,793.0,965.0,56.4
South Hairston,DeKalb,3814.0,27.0,40.0,28.0,1.0,96.0,348.0,1068.0,622.0,8.0,2046.0,2142.0,56.2
Tucker Library,DeKalb,3506.0,123.0,533.0,257.0,2.0,915.0,63.0,848.0,557.0,1.0,1469.0,2384.0,68.0
Tucker,DeKalb,2932.0,68.0,349.0,210.0,0.0,627.0,91.0,820.0,525.0,3.0,1439.0,2066.0,70.5
Valley Brook,DeKalb,1037.0,49.0,61.0,47.0,2.0,159.0,102.0,274.0,241.0,4.0,621.0,780.0,75.2
Wynbrooke Elem,DeKalb,3496.0,34.0,72.0,43.0,0.0,149.0,268.0,1288.0,804.0,8.0,2368.0,2517.0,72.0
