Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
02D,Fulton,5539.0,235.0,1667.0,847.0,18.0,2767.0,64.0,360.0,204.0,16.0,644.0,3411.0,61.6
02E,Fulton,2009.0,92.0,786.0,386.0,0.0,1264.0,32.0,139.0,67.0,0.0,238.0,1502.0,74.8
02F1,Fulton,3221.0,97.0,1114.0,612.0,5.0,1828.0,32.0,222.0,124.0,1.0,379.0,2207.0,68.5
02F2,Fulton,851.0,43.0,233.0,110.0,2.0,388.0,16.0,35.0,23.0,2.0,76.0,464.0,54.5
02G,Fulton,3895.0,186.0,1392.0,612.0,2.0,2192.0,49.0,306.0,149.0,3.0,507.0,2699.0,69.3
02J,Fulton,2273.0,85.0,752.0,350.0,5.0,1192.0,31.0,173.0,96.0,4.0,304.0,1496.0,65.8
02K,Fulton,1461.0,45.0,535.0,218.0,0.0,798.0,17.0,99.0,63.0,0.0,179.0,977.0,66.9
02L1,Fulton,5546.0,200.0,1804.0,1040.0,8.0,3052.0,55.0,437.0,318.0,5.0,815.0,3867.0,69.7
02L1A,Fulton,1477.0,69.0,469.0,64.0,5.0,607.0,19.0,126.0,22.0,1.0,168.0,775.0,52.5
02L2,Fulton,2249.0,109.0,721.0,287.0,3.0,1120.0,33.0,185.0,92.0,3.0,313.0,1433.0,63.7
02S,Fulton,790.0,39.0,243.0,108.0,0.0,390.0,12.0,41.0,26.0,0.0,79.0,469.0,59.4
02W,Fulton,978.0,51.0,345.0,105.0,0.0,501.0,11.0,74.0,28.0,0.0,113.0,614.0,62.8
03A,Fulton,2230.0,122.0,316.0,161.0,16.0,615.0,22.0,75.0,63.0,5.0,165.0,780.0,35.0
03B,Fulton,777.0,46.0,84.0,43.0,0.0,173.0,16.0,19.0,21.0,0.0,56.0,229.0,29.5
03C,Fulton,1879.0,114.0,290.0,155.0,5.0,564.0,32.0,56.0,70.0,1.0,159.0,723.0,38.5
03D,Fulton,1235.0,66.0,181.0,70.0,17.0,334.0,23.0,40.0,32.0,4.0,99.0,433.0,35.1
03E,Fulton,2894.0,247.0,395.0,157.0,32.0,831.0,58.0,95.0,56.0,10.0,219.0,1050.0,36.3
03F,Fulton,2328.0,118.0,736.0,294.0,3.0,1151.0,31.0,159.0,74.0,0.0,264.0,1415.0,60.8
03G,Fulton,1033.0,68.0,115.0,34.0,4.0,221.0,16.0,34.0,8.0,1.0,59.0,280.0,27.1
03H,Fulton,1091.0,61.0,190.0,68.0,0.0,319.0,28.0,34.0,22.0,0.0,84.0,403.0,36.9
03I,Fulton,1607.0,74.0,265.0,101.0,14.0,454.0,25.0,76.0,20.0,5.0,126.0,580.0,36.1
03L,Fulton,748.0,51.0,74.0,23.0,0.0,148.0,18.0,20.0,18.0,0.0,56.0,204.0,27.3
03M,Fulton,965.0,141.0,214.0,73.0,2.0,430.0,38.0,43.0,16.0,0.0,97.0,527.0,54.6
03N,Fulton,2804.0,173.0,373.0,115.0,19.0,680.0,54.0,94.0,34.0,4.0,186.0,866.0,30.9
03P1A,Fulton,4404.0,225.0,1116.0,395.0,8.0,1744.0,62.0,317.0,149.0,4.0,532.0,2276.0,51.7
03P2,Fulton,23.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,30.4
03S,Fulton,908.0,75.0,161.0,70.0,0.0,306.0,25.0,43.0,30.0,0.0,98.0,404.0,44.5
03T,Fulton,1742.0,123.0,395.0,100.0,4.0,622.0,27.0,107.0,31.0,0.0,165.0,787.0,45.2
04A,Fulton,1554.0,78.0,263.0,121.0,0.0,462.0,26.0,58.0,38.0,0.0,122.0,584.0,37.6
04B,Fulton,2948.0,100.0,337.0,145.0,0.0,582.0,25.0,77.0,50.0,0.0,152.0,734.0,24.9
04C,Fulton,150.0,6.0,24.0,8.0,0.0,38.0,4.0,3.0,3.0,1.0,11.0,49.0,32.7
04D,Fulton,1736.0,134.0,371.0,149.0,5.0,659.0,30.0,85.0,41.0,0.0,156.0,815.0,46.9
04F,Fulton,2786.0,169.0,628.0,162.0,7.0,966.0,33.0,170.0,46.0,3.0,252.0,1218.0,43.7
04G,Fulton,1025.0,88.0,155.0,65.0,1.0,309.0,30.0,37.0,17.0,0.0,84.0,393.0,38.3
04I,Fulton,4604.0,69.0,402.0,134.0,5.0,610.0,18.0,73.0,33.0,2.0,126.0,736.0,16.0
04J,Fulton,1617.0,39.0,84.0,13.0,7.0,143.0,10.0,25.0,6.0,2.0,43.0,186.0,11.5
04K,Fulton,2736.0,154.0,577.0,279.0,10.0,1020.0,46.0,132.0,75.0,3.0,256.0,1276.0,46.6
04L,Fulton,2014.0,153.0,463.0,166.0,3.0,785.0,26.0,101.0,35.0,2.0,164.0,949.0,47.1
04M,Fulton,979.0,79.0,121.0,49.0,4.0,253.0,24.0,36.0,18.0,1.0,79.0,332.0,33.9
04S,Fulton,2541.0,213.0,506.0,223.0,7.0,949.0,61.0,102.0,59.0,2.0,224.0,1173.0,46.2
04T,Fulton,1297.0,93.0,290.0,114.0,15.0,512.0,36.0,51.0,42.0,5.0,134.0,646.0,49.8
04V,Fulton,3573.0,289.0,562.0,180.0,4.0,1035.0,90.0,140.0,41.0,0.0,271.0,1306.0,36.6
04W,Fulton,3365.0,49.0,107.0,22.0,6.0,184.0,8.0,22.0,5.0,1.0,36.0,220.0,6.5
04X1,Fulton,2283.0,125.0,524.0,201.0,2.0,852.0,48.0,88.0,61.0,0.0,197.0,1049.0,45.9
04X2,Fulton,846.0,44.0,197.0,72.0,0.0,313.0,14.0,45.0,26.0,0.0,85.0,398.0,47.0
05A1,Fulton,2936.0,127.0,1126.0,514.0,2.0,1769.0,24.0,165.0,110.0,0.0,299.0,2068.0,70.4
05A2,Fulton,3343.0,125.0,1250.0,516.0,8.0,1899.0,32.0,235.0,89.0,1.0,357.0,2256.0,67.5
05B,Fulton,2171.0,124.0,495.0,203.0,2.0,824.0,49.0,117.0,55.0,0.0,221.0,1045.0,48.1
05C,Fulton,135.0,7.0,19.0,6.0,0.0,32.0,0.0,9.0,2.0,0.0,11.0,43.0,31.9
05D,Fulton,541.0,19.0,45.0,5.0,2.0,71.0,2.0,12.0,4.0,0.0,18.0,89.0,16.5
05F,Fulton,248.0,18.0,72.0,23.0,0.0,113.0,6.0,17.0,0.0,1.0,24.0,137.0,55.2
05J,Fulton,684.0,32.0,237.0,106.0,0.0,375.0,9.0,40.0,27.0,1.0,77.0,452.0,66.1
05K,Fulton,2826.0,121.0,592.0,206.0,4.0,923.0,35.0,128.0,58.0,0.0,221.0,1144.0,40.5
06B,Fulton,1889.0,75.0,675.0,308.0,7.0,1065.0,28.0,147.0,93.0,0.0,268.0,1333.0,70.6
06D,Fulton,6160.0,302.0,1916.0,1646.0,8.0,3872.0,70.0,487.0,510.0,3.0,1070.0,4942.0,80.2
06D1,Fulton,2539.0,81.0,888.0,137.0,1.0,1107.0,24.0,204.0,48.0,2.0,278.0,1385.0,54.5
06D2,Fulton,850.0,24.0,299.0,51.0,1.0,375.0,8.0,81.0,10.0,0.0,99.0,474.0,55.8
06E,Fulton,2344.0,95.0,736.0,323.0,3.0,1157.0,38.0,172.0,122.0,0.0,332.0,1489.0,63.5
06F,Fulton,2841.0,102.0,1024.0,447.0,4.0,1577.0,32.0,218.0,93.0,1.0,344.0,1921.0,67.6
06G,Fulton,588.0,22.0,204.0,99.0,1.0,326.0,4.0,38.0,28.0,0.0,70.0,396.0,67.3
06I,Fulton,4072.0,256.0,1198.0,426.0,17.0,1897.0,59.0,249.0,120.0,7.0,435.0,2332.0,57.3
06J,Fulton,2770.0,84.0,905.0,625.0,1.0,1615.0,32.0,253.0,164.0,0.0,449.0,2064.0,74.5
06L1,Fulton,991.0,33.0,346.0,177.0,2.0,558.0,17.0,81.0,69.0,0.0,167.0,725.0,73.2
06L2,Fulton,726.0,27.0,237.0,125.0,1.0,390.0,15.0,81.0,33.0,0.0,129.0,519.0,71.5
06N,Fulton,1770.0,80.0,457.0,253.0,7.0,797.0,26.0,169.0,88.0,2.0,285.0,1082.0,61.1
06Q,Fulton,571.0,41.0,178.0,46.0,2.0,267.0,7.0,26.0,14.0,4.0,51.0,318.0,55.7
06R,Fulton,2015.0,57.0,593.0,327.0,1.0,978.0,23.0,172.0,86.0,1.0,282.0,1260.0,62.5
07A,Fulton,7691.0,447.0,2172.0,1059.0,17.0,3695.0,154.0,722.0,343.0,6.0,1225.0,4920.0,64.0
07B,Fulton,2952.0,157.0,995.0,488.0,1.0,1641.0,60.0,326.0,214.0,0.0,600.0,2241.0,75.9
07C,Fulton,4512.0,225.0,1148.0,802.0,10.0,2185.0,57.0,321.0,301.0,5.0,684.0,2869.0,63.6
07D,Fulton,4879.0,264.0,1473.0,527.0,16.0,2280.0,84.0,430.0,182.0,8.0,704.0,2984.0,61.2
07E,Fulton,2247.0,83.0,683.0,452.0,3.0,1221.0,14.0,185.0,155.0,4.0,358.0,1579.0,70.3
07F,Fulton,3790.0,190.0,1206.0,535.0,24.0,1955.0,69.0,353.0,209.0,5.0,636.0,2591.0,68.4
07H,Fulton,2060.0,98.0,669.0,352.0,0.0,1119.0,39.0,223.0,114.0,0.0,376.0,1495.0,72.6
07J,Fulton,3041.0,155.0,997.0,476.0,11.0,1639.0,53.0,254.0,131.0,2.0,440.0,2079.0,68.4
07M,Fulton,2401.0,132.0,583.0,307.0,0.0,1022.0,38.0,187.0,104.0,0.0,329.0,1351.0,56.3
07N,Fulton,2139.0,116.0,559.0,292.0,6.0,973.0,30.0,132.0,80.0,3.0,245.0,1218.0,56.9
08A,Fulton,3084.0,193.0,1001.0,402.0,9.0,1605.0,53.0,340.0,171.0,1.0,565.0,2170.0,70.4
08B,Fulton,3498.0,152.0,1217.0,509.0,1.0,1879.0,52.0,455.0,154.0,1.0,662.0,2541.0,72.6
08C,Fulton,1500.0,54.0,514.0,216.0,0.0,784.0,28.0,201.0,102.0,0.0,331.0,1115.0,74.3
08D,Fulton,1073.0,30.0,403.0,173.0,16.0,622.0,12.0,118.0,66.0,2.0,198.0,820.0,76.4
08E,Fulton,2568.0,100.0,885.0,443.0,1.0,1429.0,43.0,311.0,201.0,2.0,557.0,1986.0,77.3
08F1,Fulton,2187.0,94.0,812.0,329.0,3.0,1238.0,34.0,271.0,130.0,1.0,436.0,1674.0,76.5
08G,Fulton,3086.0,134.0,759.0,437.0,3.0,1333.0,63.0,216.0,192.0,2.0,473.0,1806.0,58.5
08H,Fulton,2556.0,94.0,842.0,454.0,2.0,1392.0,28.0,298.0,168.0,1.0,495.0,1887.0,73.8
08J,Fulton,3344.0,159.0,1248.0,433.0,7.0,1847.0,64.0,357.0,133.0,1.0,555.0,2402.0,71.8
08K,Fulton,1049.0,67.0,349.0,186.0,0.0,602.0,25.0,106.0,40.0,0.0,171.0,773.0,73.7
08L,Fulton,4505.0,214.0,1441.0,674.0,18.0,2347.0,62.0,380.0,214.0,2.0,658.0,3005.0,66.7
08M,Fulton,2295.0,135.0,761.0,299.0,2.0,1197.0,53.0,253.0,118.0,1.0,425.0,1622.0,70.7
08N1,Fulton,824.0,26.0,268.0,123.0,2.0,419.0,7.0,121.0,53.0,0.0,181.0,600.0,72.8
08N2,Fulton,1616.0,62.0,494.0,274.0,1.0,831.0,27.0,131.0,90.0,1.0,249.0,1080.0,66.8
08P,Fulton,1887.0,107.0,544.0,202.0,5.0,858.0,34.0,134.0,43.0,3.0,214.0,1072.0,56.8
09A,Fulton,3856.0,171.0,1431.0,500.0,7.0,2109.0,42.0,309.0,119.0,2.0,472.0,2581.0,66.9
09B,Fulton,464.0,27.0,57.0,44.0,0.0,128.0,2.0,23.0,20.0,0.0,45.0,173.0,37.3
09C,Fulton,3353.0,203.0,673.0,330.0,22.0,1228.0,65.0,182.0,109.0,5.0,361.0,1589.0,47.4
09D,Fulton,2299.0,179.0,345.0,204.0,5.0,733.0,49.0,96.0,76.0,3.0,224.0,957.0,41.6
09E,Fulton,3261.0,224.0,769.0,240.0,1.0,1234.0,57.0,189.0,71.0,1.0,318.0,1552.0,47.6
09F,Fulton,3917.0,150.0,1376.0,594.0,6.0,2126.0,55.0,385.0,166.0,0.0,606.0,2732.0,69.7
09G,Fulton,3943.0,225.0,1327.0,539.0,7.0,2098.0,59.0,316.0,144.0,3.0,522.0,2620.0,66.4
09H,Fulton,1185.0,65.0,355.0,113.0,1.0,534.0,24.0,72.0,50.0,0.0,146.0,680.0,57.4
09I,Fulton,1397.0,123.0,221.0,129.0,1.0,474.0,22.0,45.0,37.0,1.0,105.0,579.0,41.4
09K,Fulton,4002.0,194.0,669.0,350.0,7.0,1220.0,77.0,200.0,109.0,3.0,389.0,1609.0,40.2
09K1,Fulton,1518.0,87.0,239.0,38.0,1.0,365.0,26.0,77.0,4.0,0.0,107.0,472.0,31.1
09M,Fulton,2578.0,95.0,1108.0,315.0,0.0,1518.0,28.0,207.0,64.0,0.0,299.0,1817.0,70.5
10A,Fulton,3186.0,180.0,749.0,376.0,8.0,1313.0,55.0,200.0,133.0,5.0,393.0,1706.0,53.5
10B,Fulton,3965.0,187.0,1274.0,686.0,7.0,2154.0,58.0,211.0,160.0,4.0,433.0,2587.0,65.2
10C,Fulton,2598.0,110.0,555.0,226.0,13.0,904.0,29.0,126.0,77.0,2.0,234.0,1138.0,43.8
10D,Fulton,4968.0,260.0,873.0,399.0,104.0,1636.0,59.0,260.0,123.0,39.0,481.0,2117.0,42.6
10E,Fulton,1084.0,77.0,244.0,142.0,3.0,466.0,16.0,61.0,37.0,1.0,115.0,581.0,53.6
10F,Fulton,1208.0,97.0,260.0,141.0,11.0,509.0,21.0,54.0,49.0,2.0,126.0,635.0,52.6
10G,Fulton,1332.0,80.0,421.0,191.0,1.0,693.0,23.0,84.0,40.0,2.0,149.0,842.0,63.2
10H1,Fulton,439.0,26.0,120.0,63.0,9.0,218.0,4.0,32.0,16.0,5.0,57.0,275.0,62.6
10H2,Fulton,2623.0,142.0,402.0,243.0,6.0,793.0,33.0,145.0,77.0,3.0,258.0,1051.0,40.1
10I,Fulton,331.0,11.0,128.0,74.0,0.0,213.0,6.0,27.0,13.0,0.0,46.0,259.0,78.2
10J,Fulton,1238.0,116.0,153.0,91.0,11.0,371.0,37.0,38.0,31.0,4.0,110.0,481.0,38.9
10K,Fulton,1614.0,87.0,476.0,212.0,5.0,780.0,27.0,95.0,88.0,0.0,210.0,990.0,61.3
10M,Fulton,2880.0,211.0,714.0,354.0,7.0,1286.0,41.0,146.0,83.0,4.0,274.0,1560.0,54.2
10P,Fulton,1607.0,120.0,267.0,176.0,2.0,565.0,32.0,72.0,49.0,1.0,154.0,719.0,44.7
10R,Fulton,928.0,78.0,148.0,57.0,11.0,294.0,21.0,50.0,18.0,1.0,90.0,384.0,41.4
11B,Fulton,4395.0,263.0,1048.0,582.0,16.0,1909.0,76.0,275.0,196.0,13.0,560.0,2469.0,56.2
11B1,Fulton,894.0,66.0,234.0,23.0,5.0,328.0,12.0,60.0,4.0,2.0,78.0,406.0,45.4
11C,Fulton,3149.0,129.0,1110.0,432.0,10.0,1681.0,33.0,233.0,122.0,1.0,389.0,2070.0,65.7
11E1,Fulton,1340.0,95.0,332.0,127.0,14.0,568.0,29.0,64.0,34.0,0.0,127.0,695.0,51.9
11E2,Fulton,1003.0,62.0,277.0,126.0,2.0,467.0,17.0,65.0,27.0,0.0,109.0,576.0,57.4
11E3,Fulton,3605.0,218.0,1138.0,278.0,10.0,1644.0,54.0,232.0,64.0,3.0,353.0,1997.0,55.4
11G,Fulton,2556.0,105.0,387.0,229.0,22.0,743.0,16.0,93.0,80.0,6.0,195.0,938.0,36.7
11H,Fulton,753.0,49.0,151.0,108.0,7.0,315.0,5.0,32.0,27.0,0.0,64.0,379.0,50.3
11J,Fulton,2092.0,137.0,417.0,236.0,14.0,804.0,47.0,101.0,74.0,8.0,230.0,1034.0,49.4
11K,Fulton,2045.0,114.0,519.0,294.0,9.0,936.0,34.0,104.0,79.0,5.0,222.0,1158.0,56.6
11M,Fulton,1380.0,93.0,487.0,277.0,4.0,861.0,12.0,79.0,70.0,1.0,162.0,1023.0,74.1
11M1,Fulton,2190.0,112.0,422.0,37.0,17.0,588.0,29.0,109.0,14.0,6.0,158.0,746.0,34.1
11N,Fulton,2431.0,160.0,651.0,315.0,0.0,1126.0,39.0,156.0,106.0,2.0,303.0,1429.0,58.8
11P,Fulton,2095.0,100.0,420.0,281.0,10.0,811.0,27.0,117.0,88.0,3.0,235.0,1046.0,49.9
11R,Fulton,2253.0,94.0,343.0,166.0,4.0,607.0,26.0,111.0,61.0,2.0,200.0,807.0,35.8
12A,Fulton,4971.0,244.0,1365.0,577.0,13.0,2199.0,60.0,282.0,148.0,5.0,495.0,2694.0,54.2
12A1,Fulton,690.0,35.0,263.0,20.0,5.0,323.0,12.0,43.0,3.0,3.0,61.0,384.0,55.7
12D,Fulton,1408.0,80.0,288.0,98.0,1.0,467.0,29.0,65.0,37.0,1.0,132.0,599.0,42.5
12E1,Fulton,1906.0,100.0,237.0,162.0,4.0,503.0,22.0,75.0,75.0,0.0,172.0,675.0,35.4
12F,Fulton,1229.0,96.0,238.0,70.0,1.0,405.0,20.0,60.0,19.0,1.0,100.0,505.0,41.1
12G,Fulton,885.0,44.0,152.0,135.0,1.0,332.0,13.0,33.0,41.0,0.0,87.0,419.0,47.3
12H1,Fulton,1170.0,92.0,145.0,56.0,10.0,303.0,12.0,33.0,21.0,2.0,68.0,371.0,31.7
12H2,Fulton,2998.0,220.0,559.0,293.0,6.0,1078.0,59.0,132.0,88.0,1.0,280.0,1358.0,45.3
12I,Fulton,1079.0,43.0,177.0,105.0,31.0,356.0,14.0,52.0,38.0,7.0,111.0,467.0,43.3
12J,Fulton,3154.0,214.0,569.0,249.0,26.0,1058.0,59.0,139.0,82.0,6.0,286.0,1344.0,42.6
12K,Fulton,3620.0,174.0,790.0,283.0,6.0,1253.0,37.0,182.0,78.0,3.0,300.0,1553.0,42.9
12L,Fulton,774.0,40.0,108.0,54.0,4.0,206.0,15.0,29.0,12.0,0.0,56.0,262.0,33.9
12M,Fulton,2990.0,297.0,519.0,225.0,17.0,1058.0,78.0,127.0,74.0,3.0,282.0,1340.0,44.8
12N,Fulton,1134.0,77.0,177.0,58.0,9.0,321.0,19.0,43.0,19.0,2.0,83.0,404.0,35.6
12S,Fulton,2079.0,138.0,464.0,175.0,11.0,788.0,31.0,107.0,55.0,4.0,197.0,985.0,47.4
Boulevard,DeKalb,4675.0,220.0,1650.0,998.0,1.0,2869.0,57.0,248.0,177.0,0.0,482.0,3351.0,71.7
Briar Vista Elem,DeKalb,2965.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,10.0,0.3
Burgess Elem,DeKalb,3493.0,164.0,1174.0,724.0,5.0,2067.0,45.0,197.0,146.0,0.0,388.0,2455.0,70.3
Coan Recreation Center,DeKalb,4230.0,173.0,1351.0,749.0,1.0,2274.0,47.0,249.0,173.0,1.0,470.0,2744.0,64.9
Candler Park,DeKalb,4018.0,112.0,1497.0,1112.0,1.0,2722.0,32.0,256.0,199.0,0.0,487.0,3209.0,79.9
Druid Hills High,DeKalb,2725.0,12.0,77.0,42.0,1.0,132.0,9.0,13.0,10.0,0.0,32.0,164.0,6.0
East Lake,DeKalb,4139.0,214.0,1385.0,760.0,3.0,2362.0,49.0,238.0,160.0,2.0,449.0,2811.0,67.9
Emory South,DeKalb,3241.0,1.0,7.0,2.0,0.0,10.0,1.0,4.0,2.0,0.0,7.0,17.0,0.5
Emory Road,DeKalb,2290.0,63.0,362.0,203.0,3.0,631.0,24.0,45.0,39.0,2.0,110.0,741.0,32.4
Johnson Estates,DeKalb,1600.0,57.0,477.0,478.0,0.0,1012.0,21.0,130.0,121.0,0.0,272.0,1284.0,80.2
Lin-Mary Lin Elem,DeKalb,3009.0,133.0,962.0,773.0,6.0,1874.0,37.0,175.0,171.0,0.0,383.0,2257.0,75.0
Metropolitan,DeKalb,3405.0,148.0,1217.0,632.0,5.0,2002.0,40.0,163.0,120.0,0.0,323.0,2325.0,68.3
Silver Lake,DeKalb,4979.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1
