Precinct,County,Registered Voters,Benjamin Brooks (Rep)_Election Day Votes,Benjamin Brooks (Rep)_Advanced Voting Votes,Benjamin Brooks (Rep)_Absentee by Mail Votes,Benjamin Brooks (Rep)_Provisional Votes,Benjamin Brooks (Rep)_Choice Total,Gail Davenport (I) (Dem)_Election Day Votes,Gail Davenport (I) (Dem)_Advanced Voting Votes,Gail Davenport (I) (Dem)_Absentee by Mail Votes,Gail Davenport (I) (Dem)_Provisional Votes,Gail Davenport (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Morrow 11,Clayton,2295.0,33.0,85.0,28.0,0.0,146.0,229.0,659.0,285.0,0.0,1173.0,1319.0,57.5,146.0,1173.0
Panhandle 1,Clayton,2895.0,38.0,99.0,61.0,0.0,198.0,236.0,1039.0,563.0,2.0,1840.0,2038.0,70.4,198.0,1840.0
Panhandle 2,Clayton,3382.0,95.0,260.0,107.0,1.0,463.0,264.0,1123.0,475.0,4.0,1866.0,2329.0,68.9,463.0,1866.0
Bouldercrest Road,DeKalb,2004.0,11.0,30.0,17.0,0.0,58.0,156.0,759.0,359.0,2.0,1276.0,1334.0,66.6,58.0,1276.0
Burgess Elem,DeKalb,3493.0,44.0,108.0,63.0,0.0,215.0,172.0,1309.0,878.0,6.0,2365.0,2580.0,73.9,215.0,2365.0
Cedar Grove Elem,DeKalb,4097.0,30.0,44.0,19.0,0.0,93.0,279.0,1471.0,771.0,5.0,2526.0,2619.0,63.9,93.0,2526.0
Clifton,DeKalb,1731.0,11.0,22.0,17.0,0.0,50.0,117.0,515.0,333.0,5.0,970.0,1020.0,58.9,50.0,970.0
Cedar Grove Middle,DeKalb,1896.0,17.0,12.0,11.0,0.0,40.0,121.0,497.0,259.0,0.0,877.0,917.0,48.4,40.0,877.0
Cedar Grove South,DeKalb,3962.0,17.0,49.0,31.0,2.0,99.0,262.0,1559.0,741.0,4.0,2566.0,2665.0,67.3,99.0,2566.0
East Lake,DeKalb,4139.0,1.0,8.0,3.0,0.0,12.0,17.0,165.0,79.0,0.0,261.0,273.0,6.6,12.0,261.0
Flat Shoals Elem,DeKalb,2409.0,11.0,21.0,9.0,0.0,41.0,204.0,629.0,415.0,3.0,1251.0,1292.0,53.6,41.0,1251.0
Flat Shoals,DeKalb,2649.0,16.0,20.0,7.0,0.0,43.0,184.0,642.0,457.0,4.0,1287.0,1330.0,50.2,43.0,1287.0
Gresham Road,DeKalb,3601.0,24.0,59.0,42.0,2.0,127.0,204.0,1146.0,767.0,12.0,2129.0,2256.0,62.6,127.0,2129.0
Kelley Lake Elem,DeKalb,3015.0,23.0,36.0,29.0,0.0,88.0,268.0,745.0,569.0,1.0,1583.0,1671.0,55.4,88.0,1583.0
McNair High,DeKalb,4160.0,48.0,76.0,53.0,0.0,177.0,258.0,1412.0,965.0,4.0,2639.0,2816.0,67.7,177.0,2639.0
McNair,DeKalb,2794.0,18.0,45.0,29.0,1.0,93.0,176.0,810.0,590.0,5.0,1581.0,1674.0,59.9,93.0,1581.0
Meadowview,DeKalb,3511.0,23.0,39.0,30.0,2.0,94.0,212.0,981.0,752.0,10.0,1955.0,2049.0,58.4,94.0,1955.0
McNair Academy,DeKalb,1900.0,19.0,28.0,8.0,0.0,55.0,130.0,612.0,453.0,2.0,1197.0,1252.0,65.9,55.0,1197.0
Piney Grove,DeKalb,2018.0,16.0,33.0,17.0,0.0,66.0,155.0,517.0,335.0,4.0,1011.0,1077.0,53.4,66.0,1011.0
Terry Mill,DeKalb,2808.0,17.0,63.0,20.0,1.0,101.0,221.0,939.0,595.0,1.0,1756.0,1857.0,66.1,101.0,1756.0
