Precinct,County,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Temple County,Carroll,4354.0,699.0,1358.0,317.0,3.0,2377.0,2377.0,54.6,2377.0
Temple City,Carroll,3700.0,649.0,1014.0,252.0,3.0,1918.0,1918.0,51.8,1918.0
Whitesburg,Carroll,2190.0,556.0,590.0,161.0,0.0,1307.0,1307.0,59.7,1307.0
Roopville,Carroll,3200.0,672.0,1083.0,262.0,4.0,2021.0,2021.0,63.2,2021.0
West Carrollton,Carroll,4380.0,309.0,976.0,295.0,2.0,1582.0,1582.0,36.1,1582.0
Lakeshore Rec Center,Carroll,1671.0,131.0,521.0,149.0,1.0,802.0,802.0,48.0,802.0
Bonner,Carroll,3736.0,290.0,1327.0,287.0,2.0,1906.0,1906.0,51.0,1906.0
University of W GA,Carroll,2164.0,221.0,641.0,165.0,2.0,1029.0,1029.0,47.6,1029.0
County Admin Bldg,Carroll,2620.0,215.0,944.0,236.0,1.0,1396.0,1396.0,53.3,1396.0
Tabernacle Church,Carroll,1628.0,140.0,561.0,203.0,0.0,904.0,904.0,55.5,904.0
Burson Center,Carroll,1466.0,151.0,525.0,130.0,0.0,806.0,806.0,55.0,806.0
Old Camp Church,Carroll,2297.0,397.0,850.0,212.0,2.0,1461.0,1461.0,63.6,1461.0
Oak Grove,Carroll,1668.0,314.0,544.0,121.0,0.0,979.0,979.0,58.7,979.0
Senoia,Coweta,5838.0,1107.0,1997.0,835.0,1.0,3940.0,3940.0,67.5,3940.0
Moreland,Coweta,2758.0,963.0,631.0,360.0,0.0,1954.0,1954.0,70.8,1954.0
Pine Road,Coweta,2095.0,571.0,540.0,281.0,0.0,1392.0,1392.0,66.4,1392.0
Dresden,Coweta,839.0,362.0,122.0,89.0,0.0,573.0,573.0,68.3,573.0
Newnan,Coweta,3478.0,499.0,576.0,412.0,0.0,1487.0,1487.0,42.8,1487.0
Sharpsburg,Coweta,4526.0,933.0,1629.0,506.0,1.0,3069.0,3069.0,67.8,3069.0
Fischer Road,Coweta,4328.0,776.0,1523.0,626.0,2.0,2927.0,2927.0,67.6,2927.0
Cedar Creek,Coweta,5330.0,1067.0,1780.0,852.0,0.0,3699.0,3699.0,69.4,3699.0
Grantville,Coweta,2572.0,803.0,429.0,258.0,1.0,1491.0,1491.0,58.0,1491.0
Haralson,Coweta,2339.0,825.0,534.0,257.0,0.0,1616.0,1616.0,69.1,1616.0
Welcome,Coweta,3212.0,1129.0,548.0,390.0,0.0,2067.0,2067.0,64.4,2067.0
Panther Creek,Coweta,3028.0,942.0,573.0,370.0,0.0,1885.0,1885.0,62.3,1885.0
Raymond,Coweta,2492.0,672.0,713.0,333.0,0.0,1718.0,1718.0,68.9,1718.0
Turin,Coweta,4477.0,1117.0,1490.0,581.0,0.0,3188.0,3188.0,71.2,3188.0
Smokey Road,Coweta,2559.0,530.0,474.0,304.0,1.0,1309.0,1309.0,51.2,1309.0
Central,Coweta,4395.0,523.0,691.0,395.0,3.0,1612.0,1612.0,36.7,1612.0
Newnan Centre,Coweta,20465.0,2742.0,5992.0,2773.0,1.0,11508.0,11508.0,56.2,11508.0
Greentop,Coweta,2846.0,594.0,595.0,462.0,0.0,1651.0,1651.0,58.0,1651.0
Expo Center,Coweta,1974.0,551.0,420.0,332.0,0.0,1303.0,1303.0,66.0,1303.0
White Oak,Coweta,4636.0,817.0,1486.0,563.0,1.0,2867.0,2867.0,61.8,2867.0
Madras,Coweta,4462.0,841.0,1382.0,677.0,2.0,2902.0,2902.0,65.0,2902.0
Cannongate,Coweta,3653.0,885.0,1167.0,496.0,0.0,2548.0,2548.0,69.8,2548.0
Westside,Coweta,838.0,180.0,93.0,87.0,0.0,360.0,360.0,43.0,360.0
Northside,Coweta,2285.0,642.0,432.0,344.0,0.0,1418.0,1418.0,62.1,1418.0
Thomas Crossroads,Coweta,4962.0,916.0,1830.0,583.0,0.0,3329.0,3329.0,67.1,3329.0
Coweta Central Library,Coweta,1723.0,316.0,668.0,207.0,0.0,1191.0,1191.0,69.1,1191.0
