Precinct,County,Registered Voters,Mike Dugan (I) (Rep)_Election Day Votes,Mike Dugan (I) (Rep)_Advanced Voting Votes,Mike Dugan (I) (Rep)_Absentee by Mail Votes,Mike Dugan (I) (Rep)_Provisional Votes,Mike Dugan (I) (Rep)_Choice Total,Montenia Edwards (Dem)_Election Day Votes,Montenia Edwards (Dem)_Advanced Voting Votes,Montenia Edwards (Dem)_Absentee by Mail Votes,Montenia Edwards (Dem)_Provisional Votes,Montenia Edwards (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Dobbins Middle School,Paulding,8081.0,407.0,2034.0,507.0,2.0,2950.0,351.0,1567.0,975.0,2.0,2895.0,5845.0,72.3,2950.0,2895.0
Kansas,Carroll,1165.0,439.0,261.0,88.0,1.0,789.0,16.0,20.0,21.0,0.0,57.0,846.0,72.6,789.0,57.0
Bowdon,Carroll,3289.0,630.0,667.0,224.0,1.0,1522.0,102.0,186.0,133.0,1.0,422.0,1944.0,59.1,1522.0,422.0
Sandhill,Carroll,4459.0,498.0,1338.0,263.0,2.0,2101.0,128.0,387.0,180.0,1.0,696.0,2797.0,62.7,2101.0,696.0
Center Point,Carroll,1775.0,451.0,597.0,148.0,1.0,1197.0,27.0,68.0,43.0,0.0,138.0,1335.0,75.2,1197.0,138.0
Mt Zion,Carroll,2641.0,625.0,668.0,177.0,0.0,1470.0,64.0,105.0,75.0,0.0,244.0,1714.0,64.9,1470.0,244.0
Burwell,Carroll,1564.0,389.0,384.0,126.0,2.0,901.0,48.0,72.0,55.0,0.0,175.0,1076.0,68.8,901.0,175.0
Clem,Carroll,3695.0,455.0,1419.0,293.0,2.0,2169.0,91.0,294.0,148.0,1.0,534.0,2703.0,73.2,2169.0,534.0
Bowdon Junction,Carroll,1547.0,240.0,408.0,96.0,0.0,744.0,45.0,91.0,60.0,0.0,196.0,940.0,60.8,744.0,196.0
Tyus,Carroll,1920.0,542.0,505.0,135.0,0.0,1182.0,41.0,64.0,57.0,1.0,163.0,1345.0,70.1,1182.0,163.0
Bethany,Carroll,4779.0,386.0,1026.0,203.0,1.0,1616.0,183.0,564.0,267.0,0.0,1014.0,2630.0,55.0,1616.0,1014.0
V R County South,Carroll,2942.0,280.0,989.0,227.0,1.0,1497.0,69.0,209.0,113.0,0.0,391.0,1888.0,64.2,1497.0,391.0
V R County North,Carroll,5472.0,531.0,1529.0,315.0,0.0,2375.0,160.0,515.0,320.0,0.0,995.0,3370.0,61.6,2375.0,995.0
Villa Rica City,Carroll,7250.0,420.0,1390.0,310.0,0.0,2120.0,343.0,1158.0,573.0,1.0,2075.0,4195.0,57.9,2120.0,2075.0
Temple County,Carroll,4354.0,641.0,1251.0,264.0,1.0,2157.0,102.0,231.0,143.0,2.0,478.0,2635.0,60.5,2157.0,478.0
Temple City,Carroll,3700.0,548.0,809.0,167.0,2.0,1526.0,170.0,389.0,193.0,1.0,753.0,2279.0,61.6,1526.0,753.0
Roopville,Carroll,3200.0,332.0,514.0,126.0,1.0,973.0,36.0,61.0,72.0,0.0,169.0,1142.0,35.7,973.0,169.0
West Carrollton,Carroll,4380.0,145.0,581.0,142.0,1.0,869.0,276.0,743.0,314.0,3.0,1336.0,2205.0,50.3,869.0,1336.0
Lakeshore Rec Center,Carroll,1671.0,101.0,408.0,105.0,1.0,615.0,52.0,249.0,104.0,0.0,405.0,1020.0,61.0,615.0,405.0
Bonner,Carroll,3736.0,214.0,1038.0,201.0,1.0,1454.0,130.0,568.0,202.0,1.0,901.0,2355.0,63.0,1454.0,901.0
University of W GA,Carroll,2164.0,128.0,522.0,111.0,0.0,761.0,149.0,235.0,121.0,1.0,506.0,1267.0,58.5,761.0,506.0
County Admin Bldg,Carroll,2620.0,161.0,744.0,170.0,1.0,1076.0,80.0,396.0,181.0,1.0,658.0,1734.0,66.2,1076.0,658.0
Tabernacle Church,Carroll,1628.0,110.0,488.0,178.0,1.0,777.0,62.0,181.0,94.0,0.0,337.0,1114.0,68.4,777.0,337.0
Burson Center,Carroll,1466.0,127.0,427.0,95.0,1.0,650.0,45.0,178.0,88.0,0.0,311.0,961.0,65.6,650.0,311.0
Old Camp Church,Carroll,2297.0,360.0,763.0,177.0,1.0,1301.0,62.0,189.0,99.0,0.0,350.0,1651.0,71.9,1301.0,350.0
Oak Grove,Carroll,1668.0,295.0,491.0,92.0,0.0,878.0,35.0,115.0,70.0,0.0,220.0,1098.0,65.8,878.0,220.0
