Precinct,County,Registered Voters,Matt Reeves (Rep)_Election Day Votes,Matt Reeves (Rep)_Advanced Voting Votes,Matt Reeves (Rep)_Absentee by Mail Votes,Matt Reeves (Rep)_Provisional Votes,Matt Reeves (Rep)_Choice Total,Michelle Au (Dem)_Election Day Votes,Michelle Au (Dem)_Advanced Voting Votes,Michelle Au (Dem)_Absentee by Mail Votes,Michelle Au (Dem)_Provisional Votes,Michelle Au (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
JC07,Fulton,4670.0,146.0,957.0,346.0,18.0,1467.0,99.0,1099.0,798.0,14.0,2010.0,3477.0,74.5,1467.0,2010.0
JC08,Fulton,2931.0,116.0,764.0,210.0,1.0,1091.0,62.0,689.0,398.0,4.0,1153.0,2244.0,76.6,1091.0,1153.0
JC09,Fulton,3250.0,130.0,641.0,217.0,4.0,992.0,120.0,789.0,447.0,2.0,1358.0,2350.0,72.3,992.0,1358.0
JC10,Fulton,2641.0,116.0,469.0,160.0,6.0,751.0,77.0,674.0,423.0,9.0,1183.0,1934.0,73.2,751.0,1183.0
JC11,Fulton,3497.0,179.0,965.0,309.0,0.0,1453.0,107.0,685.0,410.0,0.0,1202.0,2655.0,75.9,1453.0,1202.0
JC12,Fulton,2832.0,101.0,923.0,380.0,3.0,1407.0,32.0,421.0,354.0,2.0,809.0,2216.0,78.2,1407.0,809.0
JC13B,Fulton,282.0,7.0,125.0,37.0,1.0,170.0,1.0,32.0,25.0,0.0,58.0,228.0,80.9,170.0,58.0
DULUTH A,Gwinnett,5042.0,248.0,927.0,457.0,1.0,1633.0,205.0,994.0,912.0,1.0,2112.0,3745.0,74.3,1633.0,2112.0
PINCKNEYVILLE H,Gwinnett,4536.0,351.0,742.0,471.0,0.0,1564.0,219.0,863.0,771.0,2.0,1855.0,3419.0,75.4,1564.0,1855.0
DULUTH B,Gwinnett,3551.0,260.0,543.0,372.0,2.0,1177.0,189.0,517.0,535.0,1.0,1242.0,2419.0,68.1,1177.0,1242.0
DULUTH C,Gwinnett,2229.0,198.0,316.0,225.0,1.0,740.0,147.0,375.0,308.0,2.0,832.0,1572.0,70.5,740.0,832.0
DULUTH D,Gwinnett,5077.0,247.0,674.0,292.0,6.0,1219.0,293.0,1034.0,676.0,9.0,2012.0,3231.0,63.6,1219.0,2012.0
PINCKNEYVILLE M,Gwinnett,2673.0,339.0,650.0,432.0,0.0,1421.0,90.0,309.0,401.0,0.0,800.0,2221.0,83.1,1421.0,800.0
GOODWINS C,Gwinnett,5804.0,311.0,594.0,345.0,0.0,1250.0,397.0,1235.0,872.0,0.0,2504.0,3754.0,64.7,1250.0,2504.0
DULUTH E,Gwinnett,4814.0,226.0,546.0,265.0,1.0,1038.0,394.0,1139.0,724.0,3.0,2260.0,3298.0,68.5,1038.0,2260.0
LAWRENCEVILLE I,Gwinnett,3312.0,214.0,382.0,202.0,0.0,798.0,261.0,648.0,428.0,1.0,1338.0,2136.0,64.5,798.0,1338.0
DULUTH F,Gwinnett,6161.0,197.0,405.0,249.0,1.0,852.0,466.0,1387.0,923.0,10.0,2786.0,3638.0,59.0,852.0,2786.0
DULUTH G,Gwinnett,3067.0,301.0,558.0,357.0,1.0,1217.0,148.0,468.0,431.0,2.0,1049.0,2266.0,73.9,1217.0,1049.0
GOODWINS E,Gwinnett,5491.0,422.0,877.0,429.0,1.0,1729.0,318.0,1008.0,751.0,1.0,2078.0,3807.0,69.3,1729.0,2078.0
PINCKNEYVILLE T,Gwinnett,3201.0,198.0,319.0,265.0,0.0,782.0,232.0,588.0,414.0,1.0,1235.0,2017.0,63.0,782.0,1235.0
SUWANEE C,Gwinnett,5675.0,351.0,1092.0,505.0,3.0,1951.0,203.0,965.0,851.0,1.0,2020.0,3971.0,70.0,1951.0,2020.0
DULUTH H,Gwinnett,2813.0,174.0,457.0,305.0,1.0,937.0,142.0,463.0,499.0,2.0,1106.0,2043.0,72.6,937.0,1106.0
PINCKNEYVILLE X,Gwinnett,3412.0,239.0,575.0,389.0,5.0,1208.0,169.0,612.0,620.0,9.0,1410.0,2618.0,76.7,1208.0,1410.0
GOODWINS H,Gwinnett,2796.0,216.0,483.0,191.0,0.0,890.0,164.0,539.0,373.0,0.0,1076.0,1966.0,70.3,890.0,1076.0
DULUTH I,Gwinnett,5105.0,295.0,950.0,661.0,0.0,1906.0,190.0,727.0,877.0,1.0,1795.0,3701.0,72.5,1906.0,1795.0
DULUTH K,Gwinnett,2786.0,79.0,165.0,85.0,0.0,329.0,228.0,554.0,309.0,0.0,1091.0,1420.0,51.0,329.0,1091.0
SUWANEE G,Gwinnett,3904.0,306.0,745.0,282.0,0.0,1333.0,201.0,803.0,549.0,0.0,1553.0,2886.0,73.9,1333.0,1553.0
