Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
Mount Vernon West,DeKalb,2303.0,118.0,863.0,417.0,5.0,1403.0,38.0,205.0,79.0,3.0,325.0,1728.0,75.0
Metropolitan,DeKalb,3405.0,161.0,1261.0,675.0,8.0,2105.0,27.0,94.0,88.0,0.0,209.0,2314.0,68.0
Montgomery Elem,DeKalb,2446.0,166.0,770.0,534.0,3.0,1473.0,58.0,202.0,118.0,2.0,380.0,1853.0,75.8
Miller Grove Road,DeKalb,2151.0,178.0,674.0,422.0,5.0,1279.0,12.0,81.0,71.0,0.0,164.0,1443.0,67.1
Midvale Road,DeKalb,1832.0,153.0,605.0,315.0,2.0,1075.0,14.0,86.0,36.0,0.0,136.0,1211.0,66.1
Miller Grove High,DeKalb,3470.0,266.0,900.0,377.0,8.0,1551.0,24.0,92.0,64.0,0.0,180.0,1731.0,49.9
North Decatur,DeKalb,2166.0,126.0,585.0,455.0,11.0,1177.0,9.0,67.0,70.0,2.0,148.0,1325.0,61.2
North Hairston,DeKalb,2329.0,215.0,594.0,385.0,5.0,1199.0,28.0,76.0,39.0,4.0,147.0,1346.0,57.8
Northlake,DeKalb,1509.0,134.0,430.0,397.0,1.0,962.0,38.0,72.0,72.0,0.0,182.0,1144.0,75.8
North Peachtree,DeKalb,1916.0,166.0,517.0,281.0,3.0,967.0,25.0,84.0,42.0,2.0,153.0,1120.0,58.5
Oak Grove Elem,DeKalb,2253.0,172.0,655.0,577.0,0.0,1404.0,55.0,147.0,116.0,0.0,318.0,1722.0,76.4
Oakcliff Elem,DeKalb,2125.0,282.0,454.0,289.0,8.0,1033.0,44.0,67.0,49.0,0.0,160.0,1193.0,56.1
Oakhurst,DeKalb,2398.0,114.0,930.0,641.0,1.0,1686.0,21.0,124.0,92.0,0.0,237.0,1923.0,80.2
Oak View Elem,DeKalb,5011.0,326.0,1572.0,639.0,17.0,2554.0,32.0,164.0,89.0,2.0,287.0,2841.0,56.7
Peachcrest,DeKalb,2458.0,170.0,575.0,384.0,4.0,1133.0,18.0,68.0,72.0,1.0,159.0,1292.0,52.6
Peachtree Middle,DeKalb,3502.0,253.0,1132.0,559.0,5.0,1949.0,35.0,174.0,105.0,3.0,317.0,2266.0,64.7
Princeton Elem,DeKalb,2376.0,161.0,787.0,392.0,4.0,1344.0,19.0,87.0,60.0,1.0,167.0,1511.0,63.6
Pine Lake,DeKalb,632.0,224.0,117.0,62.0,0.0,403.0,19.0,12.0,8.0,0.0,39.0,442.0,69.9
Pleasantdale Road,DeKalb,4538.0,407.0,1112.0,548.0,6.0,2073.0,56.0,139.0,83.0,1.0,279.0,2352.0,51.8
Ponce de Leon,DeKalb,3766.0,110.0,826.0,766.0,12.0,1714.0,38.0,95.0,101.0,1.0,235.0,1949.0,51.8
Panola,DeKalb,1586.0,129.0,440.0,302.0,2.0,873.0,9.0,46.0,34.0,0.0,89.0,962.0,60.7
Panola Way Elem,DeKalb,2252.0,189.0,539.0,275.0,17.0,1020.0,21.0,53.0,36.0,4.0,114.0,1134.0,50.4
Piney Grove,DeKalb,2018.0,157.0,498.0,289.0,7.0,951.0,14.0,38.0,44.0,0.0,96.0,1047.0,51.9
Panola Road,DeKalb,2884.0,168.0,929.0,495.0,7.0,1599.0,27.0,92.0,66.0,2.0,187.0,1786.0,61.9
Rainbow Elem,DeKalb,3768.0,237.0,1095.0,711.0,7.0,2050.0,29.0,128.0,119.0,2.0,278.0,2328.0,61.8
Redan Elem,DeKalb,3020.0,200.0,1052.0,532.0,8.0,1792.0,18.0,108.0,62.0,0.0,188.0,1980.0,65.6
Rehoboth,DeKalb,1813.0,128.0,469.0,532.0,2.0,1131.0,30.0,87.0,94.0,0.0,211.0,1342.0,74.0
Rockbridge Elem,DeKalb,3595.0,305.0,900.0,451.0,17.0,1673.0,28.0,79.0,63.0,1.0,171.0,1844.0,51.3
Rock Chapel Elem,DeKalb,2910.0,197.0,1012.0,445.0,7.0,1661.0,22.0,118.0,57.0,0.0,197.0,1858.0,63.8
Rowland Elem,DeKalb,3765.0,266.0,866.0,507.0,9.0,1648.0,38.0,86.0,76.0,0.0,200.0,1848.0,49.1
Redan-Trotti Library,DeKalb,3990.0,251.0,1155.0,635.0,18.0,2059.0,23.0,127.0,92.0,1.0,243.0,2302.0,57.7
Rockbridge Road,DeKalb,3965.0,275.0,1344.0,853.0,8.0,2480.0,38.0,155.0,107.0,0.0,300.0,2780.0,70.1
Rowland Road,DeKalb,2080.0,172.0,534.0,369.0,7.0,1082.0,23.0,68.0,52.0,0.0,143.0,1225.0,58.9
Redan Road,DeKalb,2932.0,215.0,837.0,454.0,8.0,1514.0,24.0,76.0,61.0,0.0,161.0,1675.0,57.1
Rock Chapel Road,DeKalb,4178.0,246.0,1487.0,686.0,15.0,2434.0,21.0,167.0,88.0,3.0,279.0,2713.0,64.9
Redan Middle,DeKalb,2496.0,142.0,805.0,465.0,5.0,1417.0,17.0,86.0,56.0,0.0,159.0,1576.0,63.1
Sagamore Hills Elem,DeKalb,2925.0,212.0,901.0,849.0,0.0,1962.0,68.0,144.0,159.0,0.0,371.0,2333.0,79.8
Scott,DeKalb,2805.0,116.0,767.0,802.0,0.0,1685.0,32.0,108.0,128.0,0.0,268.0,1953.0,69.6
Shaw-Robert Shaw Elem,DeKalb,2892.0,244.0,789.0,501.0,3.0,1537.0,19.0,79.0,85.0,0.0,183.0,1720.0,59.5
Stone Mountain Elem,DeKalb,2338.0,154.0,503.0,588.0,3.0,1248.0,18.0,73.0,95.0,0.0,186.0,1434.0,61.3
Silver Lake,DeKalb,4979.0,246.0,1540.0,903.0,4.0,2693.0,61.0,371.0,174.0,2.0,608.0,3301.0,66.3
Skyland,DeKalb,2100.0,181.0,635.0,362.0,5.0,1183.0,52.0,160.0,73.0,1.0,286.0,1469.0,70.0
Snapfinger Elem,DeKalb,1894.0,152.0,554.0,405.0,1.0,1112.0,22.0,65.0,79.0,0.0,166.0,1278.0,67.5
Smoke Rise,DeKalb,2108.0,155.0,682.0,482.0,1.0,1320.0,52.0,136.0,122.0,0.0,310.0,1630.0,77.3
Stone Mtn Middle,DeKalb,3247.0,286.0,577.0,279.0,15.0,1157.0,27.0,57.0,59.0,2.0,145.0,1302.0,40.1
Stone Mill Elem,DeKalb,3714.0,321.0,623.0,407.0,11.0,1362.0,32.0,73.0,52.0,3.0,160.0,1522.0,41.0
Shadow Rock Elem,DeKalb,4347.0,273.0,1446.0,857.0,8.0,2584.0,31.0,130.0,158.0,3.0,322.0,2906.0,66.9
Stoneview Elem,DeKalb,1988.0,150.0,467.0,207.0,7.0,831.0,22.0,40.0,44.0,3.0,109.0,940.0,47.3
Salem Middle,DeKalb,3519.0,205.0,1281.0,712.0,6.0,2204.0,23.0,128.0,120.0,1.0,272.0,2476.0,70.4
Shamrock,DeKalb,1600.0,145.0,447.0,453.0,3.0,1048.0,36.0,66.0,67.0,0.0,169.0,1217.0,76.1
South Deshon,DeKalb,3470.0,233.0,1171.0,547.0,9.0,1960.0,35.0,102.0,77.0,4.0,218.0,2178.0,62.8
Stone Mtn Champion,DeKalb,3098.0,302.0,733.0,416.0,10.0,1461.0,31.0,68.0,61.0,0.0,160.0,1621.0,52.3
Stone Mtn,DeKalb,1711.0,174.0,357.0,272.0,3.0,806.0,29.0,56.0,46.0,0.0,131.0,937.0,54.8
Snapfinger Road N,DeKalb,2705.0,207.0,637.0,396.0,4.0,1244.0,33.0,65.0,61.0,1.0,160.0,1404.0,51.9
Snapfinger Road S,DeKalb,1960.0,153.0,668.0,381.0,3.0,1205.0,14.0,67.0,55.0,0.0,136.0,1341.0,68.4
Stephenson Middle,DeKalb,3822.0,283.0,1290.0,688.0,1.0,2262.0,39.0,124.0,103.0,1.0,267.0,2529.0,66.2
South Hairston,DeKalb,3814.0,340.0,990.0,523.0,12.0,1865.0,32.0,111.0,98.0,1.0,242.0,2107.0,55.2
Stephenson High,DeKalb,3555.0,251.0,1114.0,678.0,5.0,2048.0,18.0,104.0,122.0,2.0,246.0,2294.0,64.5
Stonecrest Library,DeKalb,3720.0,201.0,1398.0,463.0,12.0,2074.0,20.0,150.0,81.0,2.0,253.0,2327.0,62.6
Snapfinger Road,DeKalb,4872.0,202.0,1980.0,908.0,11.0,3101.0,18.0,242.0,160.0,0.0,420.0,3521.0,72.3
Terry Mill,DeKalb,2808.0,218.0,881.0,524.0,2.0,1625.0,13.0,96.0,63.0,2.0,174.0,1799.0,64.1
Toney Elem,DeKalb,1729.0,139.0,419.0,294.0,6.0,858.0,21.0,49.0,50.0,0.0,120.0,978.0,56.6
Tucker Library,DeKalb,3506.0,167.0,1236.0,730.0,3.0,2136.0,47.0,247.0,139.0,1.0,434.0,2570.0,73.3
Tilly Mill Road,DeKalb,1552.0,136.0,524.0,296.0,1.0,957.0,32.0,131.0,72.0,0.0,235.0,1192.0,76.8
Tucker,DeKalb,2932.0,136.0,961.0,573.0,3.0,1673.0,23.0,157.0,120.0,2.0,302.0,1975.0,67.4
Valley Brook,DeKalb,1037.0,129.0,275.0,230.0,5.0,639.0,20.0,45.0,38.0,1.0,104.0,743.0,71.6
Wadsworth,DeKalb,3159.0,250.0,776.0,563.0,10.0,1599.0,28.0,103.0,85.0,0.0,216.0,1815.0,57.5
Wesley Chapel Library,DeKalb,2922.0,188.0,1014.0,586.0,6.0,1794.0,17.0,113.0,108.0,1.0,239.0,2033.0,69.6
Woodrow Road,DeKalb,3493.0,237.0,1002.0,408.0,11.0,1658.0,24.0,112.0,80.0,1.0,217.0,1875.0,53.7
Winnona Park,DeKalb,2020.0,51.0,809.0,536.0,2.0,1398.0,13.0,88.0,67.0,0.0,168.0,1566.0,77.5
Woodridge Elem,DeKalb,3851.0,308.0,943.0,676.0,11.0,1938.0,29.0,114.0,92.0,0.0,235.0,2173.0,56.4
Warren Tech,DeKalb,1364.0,170.0,356.0,215.0,3.0,744.0,34.0,58.0,39.0,1.0,132.0,876.0,64.2
Woodward,DeKalb,3193.0,170.0,938.0,721.0,1.0,1830.0,21.0,157.0,148.0,0.0,326.0,2156.0,67.5
White Oak,DeKalb,2951.0,289.0,686.0,359.0,6.0,1340.0,32.0,50.0,60.0,1.0,143.0,1483.0,50.3
Winters Chapel,DeKalb,1434.0,135.0,455.0,307.0,2.0,899.0,32.0,102.0,62.0,0.0,196.0,1095.0,76.4
Wynbrooke Elem,DeKalb,3496.0,268.0,1204.0,690.0,12.0,2174.0,34.0,133.0,121.0,0.0,288.0,2462.0,70.4
Young Road,DeKalb,1951.0,97.0,690.0,366.0,8.0,1161.0,12.0,91.0,66.0,0.0,169.0,1330.0,68.2
