Precinct,County,Registered Voters,"P. K. Martin, IV (I) (Rep)_Election Day Votes","P. K. Martin, IV (I) (Rep)_Advanced Voting Votes","P. K. Martin, IV (I) (Rep)_Absentee by Mail Votes","P. K. Martin, IV (I) (Rep)_Provisional Votes","P. K. Martin, IV (I) (Rep)_Choice Total",Nikki Merritt (Dem)_Election Day Votes,Nikki Merritt (Dem)_Advanced Voting Votes,Nikki Merritt (Dem)_Absentee by Mail Votes,Nikki Merritt (Dem)_Provisional Votes,Nikki Merritt (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
LAWRENCEVILLE C,Gwinnett,3037.0,294.0,612.0,297.0,0.0,1203.0,133.0,484.0,312.0,0.0,929.0,2132.0,70.2,1203.0,929.0
CATES F,Gwinnett,1787.0,210.0,318.0,240.0,0.0,768.0,101.0,289.0,214.0,1.0,605.0,1373.0,76.8,768.0,605.0
CATES G,Gwinnett,2875.0,209.0,694.0,397.0,0.0,1300.0,110.0,503.0,393.0,0.0,1006.0,2306.0,80.2,1300.0,1006.0
LAWRENCEVILLE E,Gwinnett,2355.0,156.0,400.0,284.0,1.0,841.0,151.0,373.0,277.0,1.0,802.0,1643.0,69.8,841.0,802.0
CATES I,Gwinnett,3537.0,278.0,601.0,327.0,1.0,1207.0,171.0,803.0,532.0,1.0,1507.0,2714.0,76.7,1207.0,1507.0
CATES J,Gwinnett,3478.0,245.0,446.0,308.0,1.0,1000.0,180.0,796.0,522.0,1.0,1499.0,2499.0,71.9,1000.0,1499.0
BAYCREEK K,Gwinnett,3824.0,174.0,687.0,357.0,0.0,1218.0,146.0,945.0,520.0,0.0,1611.0,2829.0,74.0,1218.0,1611.0
CATES K,Gwinnett,2810.0,262.0,532.0,277.0,3.0,1074.0,147.0,530.0,349.0,0.0,1026.0,2100.0,74.7,1074.0,1026.0
BAYCREEK C,Gwinnett,6499.0,324.0,1060.0,384.0,3.0,1771.0,354.0,1742.0,870.0,0.0,2966.0,4737.0,72.9,1771.0,2966.0
CATES L,Gwinnett,4185.0,81.0,270.0,144.0,0.0,495.0,98.0,363.0,223.0,0.0,684.0,1179.0,28.2,495.0,684.0
LAWRENCEVILLE H,Gwinnett,4296.0,108.0,356.0,132.0,1.0,597.0,84.0,359.0,244.0,0.0,687.0,1284.0,29.9,597.0,687.0
BAYCREEK D,Gwinnett,4609.0,319.0,861.0,368.0,0.0,1548.0,187.0,1033.0,600.0,0.0,1820.0,3368.0,73.1,1548.0,1820.0
BERKSHIRE J,Gwinnett,2731.0,172.0,610.0,311.0,0.0,1093.0,104.0,526.0,395.0,2.0,1027.0,2120.0,77.6,1093.0,1027.0
CATES M,Gwinnett,3988.0,288.0,901.0,506.0,1.0,1696.0,153.0,783.0,548.0,1.0,1485.0,3181.0,79.8,1696.0,1485.0
CATES N,Gwinnett,2567.0,242.0,569.0,374.0,1.0,1186.0,121.0,372.0,277.0,0.0,770.0,1956.0,76.2,1186.0,770.0
CATES O,Gwinnett,1434.0,164.0,239.0,151.0,3.0,557.0,94.0,259.0,194.0,2.0,549.0,1106.0,77.1,557.0,549.0
BERKSHIRE M,Gwinnett,1864.0,178.0,347.0,207.0,2.0,734.0,100.0,318.0,247.0,1.0,666.0,1400.0,75.1,734.0,666.0
BERKSHIRE N,Gwinnett,3128.0,114.0,765.0,373.0,0.0,1252.0,87.0,614.0,475.0,0.0,1176.0,2428.0,77.6,1252.0,1176.0
BERKSHIRE O,Gwinnett,2589.0,183.0,516.0,313.0,0.0,1012.0,124.0,426.0,356.0,2.0,908.0,1920.0,74.2,1012.0,908.0
HARBINS B,Gwinnett,4845.0,340.0,1269.0,331.0,0.0,1940.0,191.0,865.0,414.0,2.0,1472.0,3412.0,70.4,1940.0,1472.0
LAWRENCEVILLE L,Gwinnett,4802.0,223.0,753.0,374.0,0.0,1350.0,276.0,1117.0,669.0,1.0,2063.0,3413.0,71.1,1350.0,2063.0
BAYCREEK H,Gwinnett,6811.0,370.0,1364.0,560.0,1.0,2295.0,322.0,1724.0,871.0,0.0,2917.0,5212.0,76.5,2295.0,2917.0
BAYCREEK I,Gwinnett,5899.0,263.0,790.0,367.0,3.0,1423.0,312.0,1487.0,762.0,1.0,2562.0,3985.0,67.6,1423.0,2562.0
BERKSHIRE Q,Gwinnett,1802.0,143.0,262.0,139.0,0.0,544.0,65.0,245.0,190.0,0.0,500.0,1044.0,57.9,544.0,500.0
HARBINS C,Gwinnett,2850.0,381.0,618.0,193.0,1.0,1193.0,163.0,598.0,256.0,1.0,1018.0,2211.0,77.6,1193.0,1018.0
ROCKYCREEK C,Gwinnett,4806.0,337.0,1207.0,373.0,0.0,1917.0,229.0,944.0,523.0,3.0,1699.0,3616.0,75.2,1917.0,1699.0
LAWRENCEVILLE N,Gwinnett,2573.0,173.0,281.0,160.0,0.0,614.0,205.0,468.0,279.0,7.0,959.0,1573.0,61.1,614.0,959.0
