Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
GARNERS C,Gwinnett,2030.0,184.0,581.0,300.0,2.0,1067.0,69.0,156.0,84.0,0.0,309.0,1376.0,67.8
PINCKNEYVILLE I,Gwinnett,2635.0,295.0,603.0,337.0,1.0,1236.0,64.0,142.0,72.0,0.0,278.0,1514.0,57.5
PINCKNEYVILLE J,Gwinnett,2613.0,288.0,613.0,259.0,2.0,1162.0,54.0,139.0,63.0,1.0,257.0,1419.0,54.3
BERKSHIRE G,Gwinnett,2419.0,195.0,789.0,401.0,1.0,1386.0,74.0,251.0,125.0,0.0,450.0,1836.0,75.9
CATES H,Gwinnett,3924.0,334.0,1040.0,495.0,2.0,1871.0,78.0,297.0,158.0,0.0,533.0,2404.0,61.3
SUGAR HILL C,Gwinnett,5085.0,598.0,1389.0,678.0,1.0,2666.0,227.0,590.0,248.0,0.0,1065.0,3731.0,73.4
SUGAR HILL D,Gwinnett,4624.0,377.0,1388.0,564.0,4.0,2333.0,130.0,522.0,170.0,3.0,825.0,3158.0,68.3
DULUTH C,Gwinnett,2229.0,248.0,519.0,379.0,3.0,1149.0,86.0,158.0,133.0,1.0,378.0,1527.0,68.5
DULUTH D,Gwinnett,5077.0,427.0,1278.0,736.0,12.0,2453.0,108.0,397.0,200.0,4.0,709.0,3162.0,62.3
PINCKNEYVILLE K,Gwinnett,3754.0,428.0,832.0,423.0,8.0,1691.0,85.0,191.0,111.0,2.0,389.0,2080.0,55.4
PINCKNEYVILLE N,Gwinnett,3819.0,499.0,948.0,422.0,5.0,1874.0,79.0,181.0,93.0,0.0,353.0,2227.0,58.3
LAWRENCEVILLE D,Gwinnett,5012.0,494.0,1109.0,533.0,8.0,2144.0,100.0,239.0,156.0,4.0,499.0,2643.0,52.7
LAWRENCEVILLE E,Gwinnett,2355.0,226.0,548.0,387.0,0.0,1161.0,87.0,225.0,131.0,2.0,445.0,1606.0,68.2
PINCKNEYVILLE L,Gwinnett,2330.0,272.0,510.0,663.0,0.0,1445.0,118.0,191.0,194.0,1.0,504.0,1949.0,83.6
PINCKNEYVILLE M,Gwinnett,2673.0,265.0,691.0,572.0,0.0,1528.0,158.0,265.0,210.0,0.0,633.0,2161.0,80.8
GARNERS D,Gwinnett,3490.0,272.0,924.0,563.0,0.0,1759.0,61.0,263.0,162.0,0.0,486.0,2245.0,64.3
BERKSHIRE H,Gwinnett,1987.0,216.0,406.0,266.0,3.0,891.0,46.0,106.0,105.0,0.0,257.0,1148.0,57.8
PINCKNEYVILLE O,Gwinnett,3359.0,340.0,843.0,340.0,5.0,1528.0,60.0,180.0,80.0,1.0,321.0,1849.0,55.0
PUCKETTS E,Gwinnett,5660.0,410.0,1607.0,780.0,3.0,2800.0,125.0,568.0,253.0,1.0,947.0,3747.0,66.2
CATES I,Gwinnett,3537.0,329.0,1079.0,653.0,0.0,2061.0,117.0,305.0,175.0,0.0,597.0,2658.0,75.1
CATES J,Gwinnett,3478.0,320.0,1014.0,617.0,3.0,1954.0,108.0,230.0,190.0,0.0,528.0,2482.0,71.4
GOODWINS B,Gwinnett,3960.0,363.0,1101.0,646.0,0.0,2110.0,150.0,410.0,213.0,1.0,774.0,2884.0,72.8
LAWRENCEVILLE F,Gwinnett,4061.0,360.0,1197.0,578.0,3.0,2138.0,111.0,279.0,126.0,0.0,516.0,2654.0,65.4
MARTINS E,Gwinnett,6193.0,635.0,1377.0,594.0,7.0,2613.0,111.0,252.0,121.0,0.0,484.0,3097.0,50.0
PINCKNEYVILLE P,Gwinnett,2185.0,271.0,492.0,436.0,2.0,1201.0,88.0,148.0,128.0,0.0,364.0,1565.0,71.6
PINCKNEYVILLE Q,Gwinnett,1915.0,294.0,410.0,205.0,2.0,911.0,60.0,87.0,40.0,1.0,188.0,1099.0,57.4
ROCKBRIDGE C,Gwinnett,5125.0,342.0,1659.0,872.0,6.0,2879.0,79.0,405.0,256.0,0.0,740.0,3619.0,70.6
ROCKBRIDGE D,Gwinnett,3642.0,227.0,1173.0,597.0,4.0,2001.0,47.0,343.0,203.0,3.0,596.0,2597.0,71.3
GOODWINS C,Gwinnett,5804.0,541.0,1425.0,906.0,1.0,2873.0,169.0,384.0,247.0,0.0,800.0,3673.0,63.3
