Precinct,County,Registered Voters,Gerald E. Greene (I) (Rep)_Election Day Votes,Gerald E. Greene (I) (Rep)_Advanced Voting Votes,Gerald E. Greene (I) (Rep)_Absentee by Mail Votes,Gerald E. Greene (I) (Rep)_Provisional Votes,Gerald E. Greene (I) (Rep)_Choice Total,Joyce Barlow (Dem)_Election Day Votes,Joyce Barlow (Dem)_Advanced Voting Votes,Joyce Barlow (Dem)_Absentee by Mail Votes,Joyce Barlow (Dem)_Provisional Votes,Joyce Barlow (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Arlington,Calhoun,684.0,42.0,76.0,43.0,0.0,161.0,98.0,99.0,106.0,0.0,303.0,464.0,67.8,161.0,303.0
Darton College,Dougherty,4289.0,81.0,180.0,80.0,0.0,341.0,185.0,413.0,282.0,0.0,880.0,1221.0,28.5,341.0,880.0
Christ Church,Dougherty,1879.0,444.0,303.0,191.0,0.0,938.0,100.0,251.0,202.0,0.0,553.0,1491.0,79.4,938.0,553.0
Coleman,Randolph,229.0,30.0,55.0,17.0,0.0,102.0,27.0,27.0,14.0,1.0,69.0,171.0,74.7,102.0,69.0
Shellman,Randolph,929.0,152.0,167.0,64.0,0.0,383.0,128.0,80.0,92.0,1.0,301.0,684.0,73.6,383.0,301.0
Benevolence,Randolph,354.0,56.0,110.0,21.0,0.0,187.0,32.0,22.0,13.0,0.0,67.0,254.0,71.8,187.0,67.0
Cuthbert-Courthouse,Randolph,2253.0,85.0,582.0,141.0,0.0,808.0,113.0,381.0,207.0,0.0,701.0,1509.0,67.0,808.0,701.0
Cuthbert,Randolph,323.0,2.0,30.0,9.0,0.0,41.0,52.0,108.0,37.0,1.0,198.0,239.0,74.0,41.0,198.0
Springvale,Randolph,253.0,27.0,37.0,22.0,0.0,86.0,22.0,52.0,27.0,0.0,101.0,187.0,73.9,86.0,101.0
Bluffton,Clay,383.0,40.0,104.0,41.0,0.0,185.0,17.0,39.0,26.0,0.0,82.0,267.0,69.7,185.0,82.0
Zetto,Clay,366.0,18.0,65.0,27.0,0.0,110.0,38.0,66.0,40.0,0.0,144.0,254.0,69.4,110.0,144.0
Court House,Clay,390.0,18.0,53.0,26.0,0.0,97.0,46.0,66.0,43.0,0.0,155.0,252.0,64.6,97.0,155.0
Old Head Start,Clay,453.0,25.0,100.0,39.0,0.0,164.0,32.0,49.0,60.0,0.0,141.0,305.0,67.3,164.0,141.0
Days Cross Road,Clay,461.0,36.0,130.0,44.0,0.0,210.0,25.0,52.0,53.0,0.0,130.0,340.0,73.8,210.0,130.0
Dawson,Terrell,3043.0,104.0,312.0,118.0,0.0,534.0,288.0,571.0,482.0,0.0,1341.0,1875.0,61.6,534.0,1341.0
Sasser,Terrell,1355.0,182.0,406.0,75.0,0.0,663.0,73.0,125.0,84.0,0.0,282.0,945.0,69.7,663.0,282.0
Bronwood,Terrell,885.0,122.0,158.0,51.0,0.0,331.0,67.0,95.0,100.0,0.0,262.0,593.0,67.0,331.0,262.0
Parrott,Terrell,412.0,117.0,68.0,18.0,0.0,203.0,53.0,25.0,35.0,0.0,113.0,316.0,76.7,203.0,113.0
Graves,Terrell,598.0,114.0,140.0,50.0,0.0,304.0,26.0,49.0,55.0,0.0,130.0,434.0,72.6,304.0,130.0
Herod-Dover,Terrell,301.0,57.0,50.0,16.0,0.0,123.0,30.0,27.0,31.0,0.0,88.0,211.0,70.1,123.0,88.0
