Precinct,County,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total,
3-03C Savannah High School,Chatham,1185,22,34,27,0,83,187,198,125,5,515,598,
3-04C First African Baptist Church1558,Chatham,36,21,24,0,81,306,236,232,0,774,855,,
3-05C Aldersgate Youth Center 2107,Chatham,128,131,74,0,333,253,319,265,2,839,1172,,
3-08C Jenkins High School,Chatham,1210,94,103,67,0,264,117,227,170,0,514,778,
3-09C Cokesbury Methodist,Chatham,664,177,93,72,2,344,50,58,67,0,175,519,
3-10C Bible Baptist Church,Chatham,2640,115,90,74,0,279,375,495,424,2,1296,1575,
3-11C Southside Baptist Church1481,Chatham,58,71,54,1,184,236,255,192,2,685,869,,
3-12C Thunderbolt Muni Complex1678,Chatham,278,199,118,0,595,160,179,210,1,550,1145,,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,174,259,173,0,606,194,335,214,1,744,1350,
3-14C Oglethorpe Charter Academy2381,Chatham,88,172,117,0,377,245,462,425,1,1133,1510,,
3-15C Eli Whitney Complex,Chatham,816,60,144,127,0,331,62,112,133,0,307,638,
4-02C Frank Murray Comm Center2472,Chatham,348,567,242,0,1157,89,202,220,0,511,1668,,
4-04C Lighthouse Baptist Church2470,Chatham,495,558,343,4,1400,83,152,183,0,418,1818,,
4-05C St Francis Episcopal Church2244,Chatham,507,500,295,1,1303,96,163,161,0,420,1723,,
4-06C First Baptist of the Island2252,Chatham,500,606,308,3,1417,70,125,163,0,358,1775,,
4-07C Wilmington Island UMC,Chatham,3370,571,795,476,4,1846,102,224,275,0,601,2447,
4-08C Wilmington Island Pres Church2678,Chatham,561,724,475,1,1761,79,150,191,1,421,2182,,
4-10C Guard House Comm Ctr,Chatham,1469,394,247,196,2,839,92,107,102,1,302,1141,
4-11C Tybee Island School Cafe1640,Chatham,537,196,213,1,947,128,85,94,0,307,1254,,
4-12C St Peters Episcopal,Chatham,2294,615,512,520,3,1650,54,90,162,0,306,1956,
4-13C Skidaway Island Pres Church2469,Chatham,533,560,652,2,1747,45,124,194,0,363,2110,,
4-14C Skidaway Island Baptist 1744,Chatham,377,364,450,3,1194,40,86,167,0,293,1487,,
4-15C Skidaway Island State Park0,Chatham,320,373,585,4,1282,30,90,168,0,288,1570,,
5-01C Bartlett Middle School,Chatham,1063,71,50,47,0,168,137,176,124,0,437,605,
5-02C Senior Citizens Center,Chatham,783,28,14,9,0,51,107,115,125,1,348,399,
5-03C Butler Presbyterian Church1078,Chatham,10,13,9,0,32,191,157,179,6,533,565,,
5-05C Liberty City Comm Ctr,Chatham,2574,23,28,25,1,77,419,553,573,2,1547,1624,
5-06C Seed Church,Chatham,2598,82,82,47,2,213,262,429,335,7,1033,1246,
5-07C Station 1,Chatham,1856,105,96,82,1,284,214,326,217,5,762,1046,
5-08C Savannah Primitive BC,Chatham,1848,96,136,94,0,326,191,317,275,3,786,1112,
5-10C Tatumville Community Center3507,Chatham,31,45,42,0,118,541,673,656,5,1875,1993,,
5-11C Largo-Tibet Elementary,Chatham,3019,88,152,210,2,452,316,589,358,7,1270,1722,
6-01C White Bluff Presbyterian1919,Chatham,160,158,127,3,448,177,321,202,3,703,1151,,
6-02C Windsor Forest Baptist,Chatham,2290,413,457,296,0,1166,133,237,230,1,601,1767,
6-03C Crusader Comm Center,Chatham,2736,281,372,214,1,868,228,432,393,1,1054,1922,
6-05C Windsor Hall,Chatham,1993,148,187,145,0,480,206,316,230,0,752,1232,
6-06C The Light Church,Chatham,1543,145,216,128,0,489,138,174,113,0,425,914,
6-08C Christ Memorial Baptist Church2194,Chatham,96,167,111,0,374,231,373,246,2,852,1226,,
6-09C Trinity Lutheran Church 3319,Chatham,326,478,338,1,1143,262,495,332,7,1096,2239,,
6-10C Station 3,Chatham,4184,402,738,385,2,1527,250,596,540,5,1391,2918,
6-11C Bamboo Farms,Chatham,5149,332,478,222,4,1036,437,960,625,6,2028,3064,
7-01C Garden City Senior Ctr,Chatham,1542,199,196,120,0,515,105,133,132,0,370,885,
7-03C PB Edwards Gym,Chatham,1290,311,138,86,0,535,95,54,73,0,222,757,
7-04C Lake Shore Comm Ctr,Chatham,3067,199,192,67,0,458,397,709,347,1,1454,1912,
7-05C Woodlawn Baptist Church 1305,Chatham,134,139,47,0,320,140,173,106,0,419,739,,
7-06C Pooler City Hall,Chatham,3555,255,617,216,1,1089,174,501,350,1,1026,2115,
7-07C Rothwell Baptist Church 3932,Chatham,279,960,439,3,1681,124,424,359,5,912,2593,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,508,654,235,0,1397,87,126,119,1,333,1730,
7-09C Savannah Holy C of G,Chatham,2823,240,323,190,2,755,214,371,331,2,918,1673,
7-10C Progressive Rec Center,Chatham,4288,278,471,211,2,962,329,755,497,6,1587,2549,
7-11C Seventh Day Adv Church,Chatham,6469,480,770,307,7,1564,441,1190,755,6,2392,3956,
7-12C Pooler Church,Chatham,3334,182,577,250,4,1013,174,671,441,0,1286,2299,
7-13C Southside Fire Trng Ctr 2513,Chatham,240,749,460,1,1450,63,238,302,0,603,2053,,
7-14C Coastal Cathedral,Chatham,7572,414,828,558,1,1801,560,1488,1112,9,3169,4970,
7-15C Rice Creek School,Chatham,2564,269,216,85,3,573,259,432,255,2,948,1521,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,232,887,462,6,1587,119,529,409,7,1064,2651,,
8-01C Civic Center,Chatham,850,21,43,26,0,90,61,88,78,3,230,320,
8-02C Hellenic Center,Chatham,1709,83,90,70,0,243,187,339,218,1,745,988,
8-03C Silk Hope Baptist Church831,Chatham,161,108,52,0,321,55,43,49,0,147,468,,
8-05C W Broad St YMCA,Chatham,1543,22,8,9,0,39,268,208,160,1,637,676,
8-06C Tompkins Rec Center,Chatham,1055,15,9,7,0,31,190,147,157,4,498,529,
8-07C Woodville-Tompkins TI,Chatham,630,12,7,7,0,26,121,100,82,1,304,330,
8-08C Resur of Our Lord Church1704,Chatham,13,11,17,0,41,315,253,267,4,839,880,,
8-09C Moses Jackson Center,Chatham,1362,14,9,7,1,31,259,192,200,7,658,689,
8-10C Carver Heights Comm Ctr 1784,Chatham,14,8,6,0,28,348,262,355,0,965,993,,
8-11C Butler Elementary,Chatham,1386,12,6,9,0,27,253,311,355,0,919,946,
8-12C Beach High School,Chatham,1310,46,59,28,1,134,156,207,140,1,504,638,
8-13C Savannah Christian,Chatham,1022,114,98,57,1,270,41,44,45,1,131,401,
8-15C Garden City Rec Center,Chatham,1622,23,30,23,0,76,208,285,233,3,729,805,
8-16C Royal Cinemas and IMAX,Chatham,3087,211,594,291,1,1097,142,487,413,2,1044,2141,
