Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
4-06C First Baptist of the Island2252,Chatham,449,553,221,3,1226,111,175,245,0,531,15,8,5,0,28,1785,,
4-07C Wilmington Island UMC,Chatham,3370,532,730,302,4,1568,142,301,464,0,907,16,7,5,0,28,2503,
4-08C Wilmington Island Pres Church2678,Chatham,518,656,322,1,1497,112,218,338,1,669,16,8,11,0,35,2201,,
4-10C Guard House Comm Ctr,Chatham,1469,343,212,118,1,674,141,146,183,1,471,10,2,4,1,17,1162,
4-11C Tybee Island School Cafe1640,Chatham,481,169,121,1,772,187,113,188,1,489,4,0,6,0,10,1271,,
4-12C St Peters Episcopal,Chatham,2294,549,446,355,3,1353,117,163,338,0,618,10,2,4,0,16,1987,
4-13C Skidaway Island Pres Church2469,Chatham,470,469,434,2,1375,92,224,422,1,739,13,1,5,0,19,2133,,
4-14C Skidaway Island Baptist 1744,Chatham,360,311,275,2,948,61,146,346,1,554,1,4,4,0,9,1511,,
4-15C Skidaway Island State Park0,Chatham,289,313,386,4,992,57,150,365,0,572,4,2,5,0,11,1575,,
5-01C Bartlett Middle School,Chatham,1063,69,49,37,0,155,137,182,137,0,456,7,2,1,0,10,621,
5-02C Senior Citizens Center,Chatham,783,27,12,11,1,51,108,114,128,0,350,4,4,2,0,10,411,
5-03C Butler Presbyterian Church1078,Chatham,10,7,5,0,22,191,166,187,6,550,3,1,1,0,5,577,,
5-05C Liberty City Comm Ctr,Chatham,2574,24,15,15,0,54,426,575,590,2,1593,5,2,1,1,9,1656,
5-06C Seed Church,Chatham,2598,82,70,43,2,197,262,439,346,7,1054,7,8,8,0,23,1274,
5-07C Station 1,Chatham,1856,102,95,64,0,261,218,333,236,4,791,6,1,7,2,16,1068,
5-08C Savannah Primitive BC,Chatham,1848,100,132,72,0,304,187,329,298,3,817,10,2,4,0,16,1137,
5-10C Tatumville Community Center3507,Chatham,38,41,23,0,102,543,679,683,5,1910,8,11,7,0,26,2038,,
5-11C Largo-Tibet Elementary,Chatham,3019,83,144,169,2,398,316,605,404,7,1332,7,5,10,0,22,1752,
6-01C White Bluff Presbyterian1919,Chatham,157,148,94,3,402,171,338,243,2,754,15,6,2,1,24,1180,,
6-02C Windsor Forest Baptist,Chatham,2290,391,400,205,0,996,151,293,326,1,771,12,9,11,0,32,1799,
6-03C Crusader Comm Center,Chatham,2736,270,340,161,1,772,231,474,463,2,1170,13,9,3,0,25,1967,
6-05C Windsor Hall,Chatham,1993,145,179,112,0,436,210,321,259,0,790,13,6,13,0,32,1258,
6-06C The Light Church,Chatham,1543,140,209,93,0,442,139,183,152,0,474,10,4,4,0,18,934,
6-08C Christ Memorial Baptist Church2194,Chatham,103,147,84,0,334,226,400,284,2,912,7,5,4,0,16,1262,,
6-09C Trinity Lutheran Church 3319,Chatham,308,428,240,1,977,272,553,429,7,1261,15,9,11,0,35,2273,,
6-10C Station 3,Chatham,4184,387,682,296,2,1367,264,655,635,3,1557,19,17,23,1,60,2984,
6-11C Bamboo Farms,Chatham,5149,343,465,182,4,994,429,990,666,6,2091,22,8,20,0,50,3135,
7-01C Garden City Senior Ctr,Chatham,1542,194,193,109,0,496,120,144,144,0,408,6,2,2,0,10,914,
7-03C PB Edwards Gym,Chatham,1290,304,130,76,0,510,99,62,83,0,244,9,3,2,0,14,768,
7-04C Lake Shore Comm Ctr,Chatham,3067,197,185,59,0,441,388,719,356,1,1464,14,5,3,0,22,1927,
7-05C Woodlawn Baptist Church 1305,Chatham,140,134,37,0,311,139,180,114,0,433,3,3,3,0,9,753,,
7-06C Pooler City Hall,Chatham,3555,241,607,181,1,1030,186,508,392,1,1087,15,15,8,0,38,2155,
7-07C Rothwell Baptist Church 3932,Chatham,275,930,373,3,1581,133,464,435,4,1036,11,16,8,1,36,2653,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,519,651,217,0,1387,86,134,145,1,366,13,5,1,0,19,1772,
7-09C Savannah Holy C of G,Chatham,2823,236,319,147,3,705,219,373,385,2,979,8,12,6,0,26,1710,
7-10C Progressive Rec Center,Chatham,4288,280,450,168,2,900,329,780,537,6,1652,23,18,17,0,58,2610,
7-11C Seventh Day Adv Church,Chatham,6469,472,740,246,6,1464,451,1219,831,7,2508,34,31,18,1,84,4056,
7-12C Pooler Church,Chatham,3334,180,548,202,3,933,176,696,497,0,1369,16,18,14,1,49,2351,
7-13C Southside Fire Trng Ctr 2513,Chatham,225,705,358,1,1289,74,286,415,0,775,11,10,6,0,27,2091,,
7-14C Coastal Cathedral,Chatham,7572,398,777,453,1,1629,584,1547,1236,7,3374,27,25,17,1,70,5073,
7-15C Rice Creek School,Chatham,2564,261,211,71,3,546,260,442,270,2,974,22,3,5,0,30,1550,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,231,818,381,7,1437,126,600,499,6,1231,5,17,16,0,38,2706,,
8-01C Civic Center,Chatham,850,22,26,16,0,64,66,109,88,4,267,2,2,2,0,6,337,
8-02C Hellenic Center,Chatham,1709,71,66,35,0,172,201,365,260,1,827,10,6,3,0,19,1018,
8-03C Silk Hope Baptist Church831,Chatham,162,103,39,0,304,54,48,62,0,164,4,1,0,0,5,473,,
8-05C W Broad St YMCA,Chatham,1543,24,6,6,0,36,258,215,165,1,639,9,1,2,0,12,687,
8-06C Tompkins Rec Center,Chatham,1055,17,5,3,1,26,193,153,161,2,509,5,1,0,1,7,542,
8-07C Woodville-Tompkins TI,Chatham,630,8,6,3,0,17,125,104,90,1,320,1,0,0,0,1,338,
8-08C Resur of Our Lord Church1704,Chatham,15,11,10,0,36,319,266,278,4,867,5,1,1,0,7,910,,
8-09C Moses Jackson Center,Chatham,1362,11,5,7,0,23,261,199,204,8,672,8,1,2,0,11,706,
8-10C Carver Heights Comm Ctr 1784,Chatham,10,4,0,0,14,354,275,360,0,989,2,1,4,0,7,1010,,
8-11C Butler Elementary,Chatham,1386,9,4,4,0,17,256,317,365,0,938,6,0,0,0,6,961,
8-12C Beach High School,Chatham,1310,42,54,17,1,114,158,212,155,1,526,4,4,4,0,12,652,
8-13C Savannah Christian,Chatham,1022,109,103,55,1,268,44,41,54,1,140,6,3,0,0,9,417,
8-15C Garden City Rec Center,Chatham,1622,27,31,19,1,78,210,293,240,2,745,0,0,0,0,0,823,
8-16C Royal Cinemas and IMAX,Chatham,3087,197,571,231,1,1000,150,516,483,2,1151,10,19,7,0,36,2187,
