Precinct,County,Registered Voters,John T. Wilcher (I) (Rep)_Election Day Votes,John T. Wilcher (I) (Rep)_Advanced Voting Votes,John T. Wilcher (I) (Rep)_Absentee by Mail Votes,John T. Wilcher (I) (Rep)_Provisional Votes,John T. Wilcher (I) (Rep)_Choice Total,Total,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,291,447,269,0,1007,1007,
3-14C Oglethorpe Charter Academy2381,Chatham,238,451,373,1,1063,1063,,
3-15C Eli Whitney Complex,Chatham,816,100,203,179,0,482,482,
4-02C Frank Murray Comm Center2472,Chatham,394,636,325,0,1355,1355,,
4-04C Lighthouse Baptist Church2470,Chatham,533,632,396,4,1565,1565,,
4-05C St Francis Episcopal Church2244,Chatham,541,571,335,1,1448,1448,,
4-06C First Baptist of the Island2252,Chatham,526,644,361,3,1534,1534,,
4-07C Wilmington Island UMC,Chatham,3370,617,886,541,4,2048,2048,
4-08C Wilmington Island Pres Church2678,Chatham,598,784,511,1,1894,1894,,
4-10C Guard House Comm Ctr,Chatham,1469,439,280,194,1,914,914,
4-11C Tybee Island School Cafe1640,Chatham,555,215,213,0,983,983,,
4-12C St Peters Episcopal,Chatham,2294,633,531,530,3,1697,1697,
4-13C Skidaway Island Pres Church2469,Chatham,530,590,652,2,1774,1774,,
4-14C Skidaway Island Baptist 1744,Chatham,393,371,439,3,1206,1206,,
4-15C Skidaway Island State Park0,Chatham,325,396,573,3,1297,1297,,
5-01C Bartlett Middle School,Chatham,1063,146,141,117,0,404,404,
5-02C Senior Citizens Center,Chatham,783,90,75,70,1,236,236,
5-03C Butler Presbyterian Church1078,Chatham,114,96,113,4,327,327,,
5-05C Liberty City Comm Ctr,Chatham,2574,248,346,351,1,946,946,
5-06C Seed Church,Chatham,2598,241,328,227,4,800,800,
5-07C Station 1,Chatham,1856,256,298,199,6,759,759,
5-08C Savannah Primitive BC,Chatham,1848,217,316,259,1,793,793,
5-10C Tatumville Community Center3507,Chatham,344,424,421,1,1190,1190,,
5-11C Largo-Tibet Elementary,Chatham,3019,274,491,387,2,1154,1154,
6-01C White Bluff Presbyterian1919,Chatham,270,356,219,3,848,848,,
6-02C Windsor Forest Baptist,Chatham,2290,479,557,382,0,1418,1418,
6-03C Crusader Comm Center,Chatham,2736,406,610,409,1,1426,1426,
6-05C Windsor Hall,Chatham,1993,268,379,267,0,914,914,
6-06C The Light Church,Chatham,1543,227,327,185,0,739,739,
6-08C Christ Memorial Baptist Church2194,Chatham,231,377,242,2,852,852,,
6-09C Trinity Lutheran Church 3319,Chatham,478,775,494,4,1751,1751,,
6-10C Station 3,Chatham,4184,547,1039,635,4,2225,2225,
6-11C Bamboo Farms,Chatham,5149,594,961,515,7,2077,2077,
7-01C Garden City Senior Ctr,Chatham,1542,269,261,191,0,721,721,
7-03C PB Edwards Gym,Chatham,1290,365,161,115,0,641,641,
7-04C Lake Shore Comm Ctr,Chatham,3067,436,565,235,1,1237,1237,
7-05C Woodlawn Baptist Church 1305,Chatham,223,235,112,0,570,570,,
7-06C Pooler City Hall,Chatham,3555,363,874,380,1,1618,1618,
7-07C Rothwell Baptist Church 3932,Chatham,356,1157,597,4,2114,2114,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,559,708,276,1,1544,1544,
7-09C Savannah Holy C of G,Chatham,2823,369,515,349,2,1235,1235,
7-10C Progressive Rec Center,Chatham,4288,477,913,483,5,1878,1878,
7-11C Seventh Day Adv Church,Chatham,6469,770,1367,682,10,2829,2829,
7-12C Pooler Church,Chatham,3334,297,918,479,4,1698,1698,
7-13C Southside Fire Trng Ctr 2513,Chatham,269,834,547,1,1651,1651,,
7-14C Coastal Cathedral,Chatham,7572,756,1655,1135,7,3553,3553,
7-15C Rice Creek School,Chatham,2564,429,443,208,5,1085,1085,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,312,1148,634,9,2103,2103,,
8-01C Civic Center,Chatham,850,53,106,71,3,233,233,
8-02C Hellenic Center,Chatham,1709,189,268,157,0,614,614,
8-03C Silk Hope Baptist Church831,Chatham,198,128,78,0,404,404,,
8-05C W Broad St YMCA,Chatham,1543,175,123,92,1,391,391,
8-06C Tompkins Rec Center,Chatham,1055,124,96,87,0,307,307,
8-07C Woodville-Tompkins TI,Chatham,630,83,60,54,1,198,198,
8-08C Resur of Our Lord Church1704,Chatham,186,148,157,1,492,492,,
8-09C Moses Jackson Center,Chatham,1362,146,103,116,3,368,368,
8-10C Carver Heights Comm Ctr 1784,Chatham,236,160,205,0,601,601,,
8-11C Butler Elementary,Chatham,1386,149,192,200,0,541,541,
8-12C Beach High School,Chatham,1310,145,178,109,2,434,434,
8-13C Savannah Christian,Chatham,1022,136,130,84,2,352,352,
8-15C Garden City Rec Center,Chatham,1622,158,178,166,2,504,504,
8-16C Royal Cinemas and IMAX,Chatham,3087,294,855,497,2,1648,1648,
