Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
09A,Fulton,3856,165,1380,504,6,2055,54,379,133,3,569,2624,
09B,Fulton,464,24,57,50,0,131,4,22,14,0,40,171,
09C,Fulton,3353,200,686,356,24,1266,69,175,87,3,334,1600,
09D,Fulton,2299,183,339,219,5,746,42,96,70,2,210,956,
09E,Fulton,3261,224,773,243,1,1241,57,191,75,1,324,1565,
09F,Fulton,3917,161,1399,635,5,2200,48,404,148,1,601,2801,
09G,Fulton,3943,239,1355,585,8,2187,52,324,120,2,498,2685,
09H,Fulton,1185,66,348,118,1,533,22,83,49,0,154,687,
09I,Fulton,1397,105,214,134,2,455,38,51,35,0,124,579,
09K,Fulton,4002,211,685,358,8,1262,63,180,99,2,344,1606,
09K1,Fulton,1518,84,239,41,1,365,27,81,2,0,110,475,
09M,Fulton,2578,97,1059,320,0,1476,28,276,68,0,372,1848,
10A,Fulton,3186,199,756,420,9,1384,37,186,92,4,319,1703,
10B,Fulton,3965,193,1232,704,8,2137,43,249,158,2,452,2589,
10C,Fulton,2598,108,551,246,12,917,30,125,66,3,224,1141,
10D,Fulton,4968,258,892,410,117,1677,61,234,125,29,449,2126,
10E,Fulton,1084,78,245,143,2,468,17,63,39,2,121,589,
10F,Fulton,1208,91,256,145,13,505,25,54,49,1,129,634,
10G,Fulton,1332,73,400,190,2,665,29,106,44,1,180,845,
10H1,Fulton,439,23,122,60,13,218,7,30,20,1,58,276,
10H2,Fulton,2623,139,422,274,6,841,34,124,55,3,216,1057,
10I,Fulton,331,14,119,77,0,210,2,35,11,0,48,258,
10J,Fulton,1238,115,158,102,12,387,37,34,24,3,98,485,
10K,Fulton,1614,83,471,241,4,799,30,99,62,1,192,991,
10M,Fulton,2880,199,695,352,7,1253,51,173,89,4,317,1570,
10P,Fulton,1607,120,262,177,1,560,31,73,47,2,153,713,
10R,Fulton,928,81,162,64,10,317,18,37,15,4,74,391,
11B,Fulton,4395,274,1058,647,24,2003,66,265,153,11,495,2498,
11B1,Fulton,894,60,236,19,5,320,18,53,7,0,78,398,
11C,Fulton,3149,131,1101,464,9,1705,33,249,102,4,388,2093,
11E1,Fulton,1340,103,332,126,14,575,22,64,39,0,125,700,
11E2,Fulton,1003,69,280,127,4,480,10,62,30,0,102,582,
11E3,Fulton,3605,229,1133,283,13,1658,45,232,61,4,342,2000,
11G,Fulton,2556,104,388,246,26,764,16,93,63,4,176,940,
11H,Fulton,753,45,145,110,6,306,10,40,27,1,78,384,
11J,Fulton,2092,154,408,256,21,839,32,104,65,3,204,1043,
11K,Fulton,2045,108,502,301,12,923,38,118,78,3,237,1160,
11M,Fulton,1380,89,485,281,6,861,18,80,69,1,168,1029,
11M1,Fulton,2190,114,443,42,20,619,29,95,10,5,139,758,
11N,Fulton,2431,167,665,344,1,1177,31,145,80,1,257,1434,
11P,Fulton,2095,105,428,312,12,857,25,105,71,1,202,1059,
11R,Fulton,2253,95,364,179,6,644,24,87,48,0,159,803,
12A,Fulton,4971,250,1333,606,15,2204,58,324,136,4,522,2726,
12A1,Fulton,690,37,250,22,7,316,10,53,2,1,66,382,
12D,Fulton,1408,89,285,105,2,481,21,69,33,0,123,604,
12E1,Fulton,1906,93,249,170,3,515,25,63,68,1,157,672,
12F,Fulton,1229,88,251,69,1,409,27,44,20,1,92,501,
12G,Fulton,885,42,139,133,0,314,13,43,45,1,102,416,
12H1,Fulton,1170,89,135,65,10,299,14,40,13,3,70,369,
12H2,Fulton,2998,222,560,293,7,1082,52,129,90,1,272,1354,
12I,Fulton,1079,44,185,111,26,366,15,45,35,15,110,476,
12J,Fulton,3154,220,577,259,26,1082,50,121,70,6,247,1329,
12K,Fulton,3620,168,775,282,9,1234,41,203,74,1,319,1553,
12L,Fulton,774,41,107,52,3,203,13,32,13,1,59,262,
12M,Fulton,2990,301,523,230,17,1071,73,121,70,2,266,1337,
12N,Fulton,1134,78,172,63,9,322,17,47,17,3,84,406,
12S,Fulton,2079,135,455,183,9,782,29,117,51,6,203,985,
AP01A,Fulton,5236,187,1747,830,5,2769,94,646,302,0,1042,3811,
AP01B,Fulton,1281,68,396,184,6,654,26,116,47,3,192,846,
AP01C,Fulton,2409,102,858,379,9,1348,31,319,103,2,455,1803,
AP01D,Fulton,1015,47,313,157,0,517,16,79,46,0,141,658,
AP021,Fulton,3408,198,1172,420,4,1794,60,433,124,1,618,2412,
AP022,Fulton,2507,129,722,382,0,1233,46,235,164,0,445,1678,
AP02B,Fulton,677,21,152,146,4,323,11,58,42,4,115,438,
AP03,Fulton,775,78,184,56,6,324,21,51,14,0,86,410,
AP04A,Fulton,1760,82,617,294,4,997,42,202,134,5,383,1380,
AP04B,Fulton,473,35,181,59,4,279,11,65,17,2,95,374,
AP05,Fulton,4776,247,1610,776,10,2643,103,543,272,2,920,3563,
