Precinct,County,Registered Voters,Charles M. Pugh (Rep)_Election Day Votes,Charles M. Pugh (Rep)_Advanced Voting Votes,Charles M. Pugh (Rep)_Absentee by Mail Votes,Charles M. Pugh (Rep)_Provisional Votes,Charles M. Pugh (Rep)_Choice Total,David Campbell (Dem)_Election Day Votes,David Campbell (Dem)_Advanced Voting Votes,David Campbell (Dem)_Absentee by Mail Votes,David Campbell (Dem)_Provisional Votes,David Campbell (Dem)_Choice Total,Total,
5-03C Butler Presbyterian Church1078,Chatham,13,10,18,0,41,188,161,173,6,528,569,,
5-05C Liberty City Comm Ctr,Chatham,2574,26,38,11,1,76,424,548,583,2,1557,1633,
5-06C Seed Church,Chatham,2598,81,84,50,1,216,264,424,331,7,1026,1242,
5-07C Station 1,Chatham,1856,108,103,72,1,284,214,321,228,5,768,1052,
5-08C Savannah Primitive BC,Chatham,1848,99,136,88,0,323,191,318,275,2,786,1109,
5-10C Tatumville Community Center3507,Chatham,43,55,35,0,133,534,664,660,5,1863,1996,,
5-11C Largo-Tibet Elementary,Chatham,3019,85,152,193,2,432,315,588,364,7,1274,1706,
6-01C White Bluff Presbyterian1919,Chatham,148,150,111,4,413,184,328,215,2,729,1142,,
6-02C Windsor Forest Baptist,Chatham,2290,405,440,270,0,1115,140,252,251,1,644,1759,
6-03C Crusader Comm Center,Chatham,2736,286,365,190,1,842,219,440,410,1,1070,1912,
6-05C Windsor Hall,Chatham,1993,148,183,130,0,461,206,321,242,0,769,1230,
6-06C The Light Church,Chatham,1543,144,211,114,0,469,137,179,124,0,440,909,
6-08C Christ Memorial Baptist Church2194,Chatham,100,151,91,0,342,226,388,267,2,883,1225,,
6-09C Trinity Lutheran Church 3319,Chatham,325,456,295,1,1077,265,515,363,7,1150,2227,,
6-10C Station 3,Chatham,4184,382,694,336,2,1414,274,644,578,4,1500,2914,
6-11C Bamboo Farms,Chatham,5149,321,473,205,3,1002,446,964,637,6,2053,3055,
7-01C Garden City Senior Ctr,Chatham,1542,195,192,111,0,498,114,134,140,0,388,886,
7-03C PB Edwards Gym,Chatham,1290,296,130,77,0,503,113,58,80,0,251,754,
7-04C Lake Shore Comm Ctr,Chatham,3067,188,188,64,0,440,404,710,341,1,1456,1896,
7-05C Woodlawn Baptist Church 1305,Chatham,130,124,48,0,302,142,181,102,0,425,727,,
7-06C Pooler City Hall,Chatham,3555,246,601,201,0,1048,185,511,358,1,1055,2103,
7-07C Rothwell Baptist Church 3932,Chatham,271,945,408,5,1629,137,433,373,3,946,2575,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,503,647,210,0,1360,91,131,135,1,358,1718,
7-09C Savannah Holy C of G,Chatham,2823,233,325,162,1,721,226,371,352,3,952,1673,
7-10C Progressive Rec Center,Chatham,4288,271,463,198,2,934,335,758,503,6,1602,2536,
7-11C Seventh Day Adv Church,Chatham,6469,458,772,296,7,1533,454,1188,754,6,2402,3935,
7-12C Pooler Church,Chatham,3334,183,565,235,4,987,173,673,457,0,1303,2290,
7-13C Southside Fire Trng Ctr 2513,Chatham,232,729,398,1,1360,67,258,347,0,672,2032,,
7-14C Coastal Cathedral,Chatham,7572,401,817,518,2,1738,572,1481,1127,8,3188,4926,
7-15C Rice Creek School,Chatham,2564,259,218,84,3,564,268,431,253,2,954,1518,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,220,885,420,6,1531,125,526,435,7,1093,2624,,
8-01C Civic Center,Chatham,850,19,35,27,0,81,63,97,76,3,239,320,
8-02C Hellenic Center,Chatham,1709,90,99,61,0,250,180,322,221,1,724,974,
8-03C Silk Hope Baptist Church831,Chatham,162,103,47,0,312,51,48,48,0,147,459,,
8-05C W Broad St YMCA,Chatham,1543,18,8,5,0,31,272,210,163,1,646,677,
8-06C Tompkins Rec Center,Chatham,1055,18,5,7,1,31,189,152,156,3,500,531,
8-07C Woodville-Tompkins TI,Chatham,630,11,7,3,0,21,124,103,89,1,317,338,
8-08C Resur of Our Lord Church1704,Chatham,20,11,14,0,45,310,256,268,4,838,883,,
8-09C Moses Jackson Center,Chatham,1362,11,6,4,0,21,262,195,204,8,669,690,
8-10C Carver Heights Comm Ctr 1784,Chatham,15,16,20,0,51,346,260,335,0,941,992,,
8-11C Butler Elementary,Chatham,1386,19,12,14,0,45,250,306,349,0,905,950,
8-12C Beach High School,Chatham,1310,44,64,25,1,134,159,201,143,1,504,638,
8-13C Savannah Christian,Chatham,1022,110,104,49,1,264,39,39,52,1,131,395,
8-15C Garden City Rec Center,Chatham,1622,22,31,19,0,72,212,291,240,3,746,818,
8-16C Royal Cinemas and IMAX,Chatham,3087,202,579,267,1,1049,149,508,425,2,1084,2133,
