




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Blackrock                     2699                          2111                          78.21%
Brooks                        2567                          2159                          84.11%
Europe                        3310                          2572                          77.70%
Fayetteville East             2147                          1516                          70.61%
Fayetteville West             2362                          1748                          74.01%
Flint                         1732                          1331                          76.85%
Hopeful                       2309                          1727                          74.79%
Morning Creek                 3059                          2378                          77.74%
Rareover                      3045                          2423                          79.57%
Sandy Creek                   4848                          3657                          75.43%
Shakerag East                 1689                          1273                          75.37%
Shakerag West                 1236                          1081                          87.46%
Starrsmill                    3572                          2586                          72.40%
Whitewater                    3564                          2951                          82.80%
Woolsey                       2542                          2092                          82.30%
McIntosh                      3323                          2664                          80.17%
Oak Grove                     1344                          1072                          79.76%
Kedron                        4862                          3803                          78.22%
Aberdeen                      1805                          1401                          77.62%
Windgate                      1011                          816                           80.71%
Flat Creek                    2117                          1544                          72.93%
Braelinn                      1876                          1534                          81.77%
Kenwood                       1014                          795                           78.40%
Banks                         1624                          1229                          75.68%
Harps Crossing                1646                          1301                          79.04%
Willow Pond                   3100                          2396                          77.29%
Dogwood                       3092                          2549                          82.44%
Oak Ridge                     2225                          1708                          76.76%
Jeff Davis                    2876                          1988                          69.12%
Murphy                        3224                          2531                          78.50%
Fielding Ridge                3497                          2849                          81.47%
Willowbend                    2007                          1556                          77.53%
Camp Creek                    1895                          1539                          81.21%
Rising Star                   3833                          3464                          90.37%
Spring Hill                   3299                          2569                          77.87%
Antioch                       1956                          1508                          77.10%
Total:                        92307                         72421                         78.46%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Whitewater                    3564                          303                           1309                          415                           5                             2032                          79                            473                           284                           6                             842                           2874                          
McIntosh                      3323                          211                           1199                          334                           1                             1745                          51                            471                           313                           1                             836                           2581                          
Oak Grove                     1344                          125                           452                           108                           0                             685                           50                            185                           104                           2                             341                           1026                          
Kedron                        4862                          146                           470                           110                           0                             726                           63                            206                           128                           0                             397                           1123                          
Aberdeen                      1805                          135                           625                           176                           0                             936                           45                            262                           114                           0                             421                           1357                          
Windgate                      1011                          122                           338                           64                            2                             526                           28                            151                           84                            0                             263                           789                           
Flat Creek                    2117                          170                           545                           222                           3                             940                           95                            303                           153                           1                             552                           1492                          
Braelinn                      1876                          187                           791                           209                           2                             1189                          34                            160                           110                           0                             304                           1493                          
Willow Pond                   3100                          114                           364                           134                           2                             614                           51                            218                           160                           2                             431                           1045                          
Fielding Ridge                3497                          202                           873                           200                           0                             1275                          44                            308                           230                           0                             582                           1857                          
Willowbend                    2007                          149                           710                           177                           0                             1036                          53                            271                           147                           0                             471                           1507                          
Camp Creek                    1895                          165                           711                           185                           1                             1062                          30                            244                           142                           1                             417                           1479                          
Rising Star                   3833                          364                           1718                          379                           1                             2462                          85                            528                           285                           2                             900                           3362                          
Totals:                       43298                         3576                          13228                         3689                          21                            20514                         904                           4546                          2875                          17                            8342                          28856                         

                                                                                                                                                             State House District 73
                                                            Karen Mathiak (I) (Rep)                                                                                                                               William Harris (Dem)                                                                                                                                  
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Woolsey                       2542                          328                           941                           364                           0                             1633                          43                            174                           186                           0                             403                           2036                          
Harps Crossing                1646                          151                           492                           200                           2                             845                           54                            226                           142                           1                             423                           1268                          
Murphy                        3224                          161                           761                           343                           2                             1267                          107                           695                           409                           1                             1212                          2479                          
Antioch                       1956                          253                           460                           180                           1                             894                           102                           274                           191                           0                             567                           1461                          
Totals:                       9368                          893                           2654                          1087                          5                             4639                          306                           1369                          928                           2                             2605                          7244                          

                                                                                            Probate Judge
                                                            Ann S. Jackson (I) (Rep)                                                                                                                              
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Blackrock                     2699                          164                           697                           362                           9                             1232                          1232                          
Brooks                        2567                          551                           1039                          373                           0                             1963                          1963                          
Europe                        3310                          159                           748                           393                           9                             1309                          1309                          
Fayetteville East             2147                          147                           605                           281                           2                             1035                          1035                          
Fayetteville West             2362                          176                           716                           336                           0                             1228                          1228                          
Flint                         1732                          179                           467                           200                           0                             846                           846                           
Hopeful                       2309                          248                           626                           255                           0                             1129                          1129                          
Morning Creek                 3059                          195                           911                           515                           1                             1622                          1622                          
Rareover                      3045                          179                           1503                          282                           2                             1966                          1966                          
Sandy Creek                   4848                          240                           1620                          463                           3                             2326                          2326                          
Shakerag East                 1689                          227                           591                           187                           2                             1007                          1007                          
Shakerag West                 1236                          63                            569                           184                           1                             817                           817                           
Starrsmill                    3572                          443                           1275                          479                           0                             2197                          2197                          
Whitewater                    3564                          351                           1532                          539                           8                             2430                          2430                          
Woolsey                       2542                          348                           1057                          433                           0                             1838                          1838                          
McIntosh                      3323                          241                           1408                          468                           2                             2119                          2119                          
Oak Grove                     1344                          154                           551                           154                           1                             860                           860                           
Kedron                        4862                          435                           1842                          599                           2                             2878                          2878                          
Aberdeen                      1805                          161                           761                           212                           0                             1134                          1134                          
Windgate                      1011                          141                           417                           105                           2                             665                           665                           
Flat Creek                    2117                          228                           704                           275                           3                             1210                          1210                          
Braelinn                      1876                          208                           863                           266                           1                             1338                          1338                          
Kenwood                       1014                          100                           222                           119                           0                             441                           441                           
Banks                         1624                          189                           414                           255                           0                             858                           858                           
Harps Crossing                1646                          181                           614                           254                           2                             1051                          1051                          
Willow Pond                   3100                          286                           1029                          442                           8                             1765                          1765                          
Dogwood                       3092                          285                           1290                          435                           3                             2013                          2013                          
Oak Ridge                     2225                          209                           609                           341                           3                             1162                          1162                          
Jeff Davis                    2876                          152                           760                           358                           5                             1275                          1275                          
Murphy                        3224                          218                           1099                          506                           4                             1827                          1827                          
Fielding Ridge                3497                          325                           1530                          414                           0                             2269                          2269                          
Willowbend                    2007                          175                           864                           235                           0                             1274                          1274                          
Camp Creek                    1895                          182                           824                           243                           2                             1251                          1251                          
Rising Star                   3833                          420                           1944                          479                           2                             2845                          2845                          
Spring Hill                   3299                          187                           1116                          422                           1                             1726                          1726                          
Antioch                       1956                          317                           605                           260                           1                             1183                          1183                          
Totals:                       92307                         8464                          33422                         12124                         79                            54089                         54089                         

                                                                                  Clerk of Superior Court
                                                            Sheila Studdard (I) (Rep)                                                                                                                             
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Blackrock                     2699                          165                           710                           370                           8                             1253                          1253                          
Brooks                        2567                          554                           1036                          371                           1                             1962                          1962                          
Europe                        3310                          163                           768                           398                           9                             1338                          1338                          
Fayetteville East             2147                          150                           606                           282                           3                             1041                          1041                          
Fayetteville West             2362                          179                           723                           333                           0                             1235                          1235                          
Flint                         1732                          179                           462                           199                           0                             840                           840                           
Hopeful                       2309                          248                           638                           249                           0                             1135                          1135                          
Morning Creek                 3059                          195                           914                           516                           1                             1626                          1626                          
Rareover                      3045                          181                           1507                          278                           3                             1969                          1969                          
Sandy Creek                   4848                          245                           1638                          461                           4                             2348                          2348                          
Shakerag East                 1689                          228                           598                           188                           2                             1016                          1016                          
Shakerag West                 1236                          64                            572                           183                           1                             820                           820                           
Starrsmill                    3572                          448                           1272                          480                           0                             2200                          2200                          
Whitewater                    3564                          350                           1533                          528                           9                             2420                          2420                          
Woolsey                       2542                          353                           1049                          430                           0                             1832                          1832                          
McIntosh                      3323                          237                           1398                          464                           2                             2101                          2101                          
Oak Grove                     1344                          152                           553                           151                           1                             857                           857                           
Kedron                        4862                          440                           1843                          598                           2                             2883                          2883                          
Aberdeen                      1805                          158                           759                           212                           0                             1129                          1129                          
Windgate                      1011                          142                           416                           110                           2                             670                           670                           
Flat Creek                    2117                          228                           701                           275                           3                             1207                          1207                          
Braelinn                      1876                          209                           867                           266                           2                             1344                          1344                          
Kenwood                       1014                          100                           226                           121                           0                             447                           447                           
Banks                         1624                          185                           424                           260                           0                             869                           869                           
Harps Crossing                1646                          180                           611                           252                           2                             1045                          1045                          
Willow Pond                   3100                          283                           1031                          441                           8                             1763                          1763                          
Dogwood                       3092                          283                           1293                          430                           3                             2009                          2009                          
Oak Ridge                     2225                          208                           610                           352                           3                             1173                          1173                          
Jeff Davis                    2876                          152                           758                           344                           5                             1259                          1259                          
Murphy                        3224                          218                           1103                          503                           4                             1828                          1828                          
Fielding Ridge                3497                          327                           1539                          416                           0                             2282                          2282                          
Willowbend                    2007                          176                           863                           227                           0                             1266                          1266                          
Camp Creek                    1895                          180                           824                           247                           2                             1253                          1253                          
Rising Star                   3833                          412                           1952                          481                           2                             2847                          2847                          
Spring Hill                   3299                          187                           1112                          421                           1                             1721                          1721                          
Antioch                       1956                          315                           608                           259                           1                             1183                          1183                          
Totals:                       92307                         8474                          33517                         12096                         84                            54171                         54171                         

                                                                                                                                                                             Sheriff
                                                            Barry H. Babb (I) (Rep)                                                                                                                               Chris Pigors (Dem)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Blackrock                     2699                          99                            381                           257                           6                             743                           126                           756                           416                           3                             1301                          2044                          
Brooks                        2567                          545                           995                           335                           2                             1877                          30                            102                           111                           0                             243                           2120                          
Europe                        3310                          65                            277                           165                           2                             509                           185                           1113                          687                           13                            1998                          2507                          
Fayetteville East             2147                          89                            383                           205                           4                             681                           93                            461                           239                           3                             796                           1477                          
Fayetteville West             2362                          132                           505                           211                           0                             848                           83                            498                           269                           1                             851                           1699                          
Flint                         1732                          137                           281                           152                           0                             570                           83                            448                           198                           0                             729                           1299                          
Hopeful                       2309                          163                           430                           155                           0                             748                           142                           487                           314                           1                             944                           1692                          
Morning Creek                 3059                          125                           589                           370                           1                             1085                          139                           680                           418                           1                             1238                          2323                          
Rareover                      3045                          163                           1281                          227                           2                             1673                          46                            453                           152                           0                             651                           2324                          
Sandy Creek                   4848                          153                           1045                          280                           2                             1480                          168                           1354                          511                           4                             2037                          3517                          
Shakerag East                 1689                          196                           500                           143                           2                             841                           60                            210                           125                           0                             395                           1236                          
Shakerag West                 1236                          53                            517                           152                           1                             723                           20                            174                           124                           1                             319                           1042                          
Starrsmill                    3572                          401                           1209                          440                           0                             2050                          78                            213                           178                           0                             469                           2519                          
Whitewater                    3564                          310                           1352                          451                           6                             2119                          73                            443                           246                           5                             767                           2886                          
Woolsey                       2542                          345                           983                           408                           0                             1736                          34                            143                           141                           0                             318                           2054                          
McIntosh                      3323                          206                           1226                          364                           1                             1797                          56                            443                           283                           1                             783                           2580                          
Oak Grove                     1344                          131                           466                           119                           0                             716                           50                            173                           93                            1                             317                           1033                          
Kedron                        4862                          349                           1457                          423                           1                             2230                          165                           826                           447                           3                             1441                          3671                          
Aberdeen                      1805                          136                           659                           189                           0                             984                           45                            228                           99                            0                             372                           1356                          
Windgate                      1011                          125                           363                           82                            2                             572                           29                            122                           70                            0                             221                           793                           
Flat Creek                    2117                          176                           567                           238                           3                             984                           89                            282                           141                           1                             513                           1497                          
Braelinn                      1876                          195                           814                           223                           2                             1234                          25                            138                           97                            0                             260                           1494                          
Kenwood                       1014                          64                            125                           65                            0                             254                           79                            258                           181                           2                             520                           774                           
Banks                         1624                          143                           291                           197                           0                             631                           90                            277                           189                           0                             556                           1187                          
Harps Crossing                1646                          161                           529                           222                           2                             914                           49                            194                           121                           1                             365                           1279                          
Willow Pond                   3100                          221                           817                           301                           7                             1346                          105                           524                           340                           2                             971                           2317                          
Dogwood                       3092                          240                           1092                          360                           3                             1695                          71                            473                           250                           0                             794                           2489                          
Oak Ridge                     2225                          150                           389                           230                           2                             771                           98                            450                           338                           4                             890                           1661                          
Jeff Davis                    2876                          95                            472                           238                           3                             808                           104                           665                           341                           3                             1113                          1921                          
Murphy                        3224                          167                           826                           418                           4                             1415                          100                           626                           331                           0                             1057                          2472                          
Fielding Ridge                3497                          278                           1317                          299                           0                             1894                          86                            466                           301                           0                             853                           2747                          
Willowbend                    2007                          158                           739                           187                           0                             1084                          45                            246                           131                           0                             422                           1506                          
Camp Creek                    1895                          167                           739                           212                           2                             1120                          29                            213                           125                           0                             367                           1487                          
Rising Star                   3833                          380                           1787                          397                           1                             2565                          70                            462                           262                           1                             795                           3360                          
Spring Hill                   3299                          145                           808                           310                           0                             1263                          82                            737                           420                           1                             1240                          2503                          
Antioch                       1956                          275                           519                           213                           1                             1008                          82                            220                           161                           0                             463                           1471                          
Totals:                       92307                         6938                          26730                         9238                          62                            42968                         2909                          15558                         8850                          52                            27369                         70337                         

                                                                                         Tax Commissioner
                                                            Kristie King (I) (Rep)                                                                                                                                
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Blackrock                     2699                          162                           705                           385                           9                             1261                          1261                          
Brooks                        2567                          557                           1035                          387                           1                             1980                          1980                          
Europe                        3310                          168                           804                           424                           9                             1405                          1405                          
Fayetteville East             2147                          152                           622                           289                           4                             1067                          1067                          
Fayetteville West             2362                          180                           741                           341                           0                             1262                          1262                          
Flint                         1732                          180                           479                           211                           0                             870                           870                           
Hopeful                       2309                          247                           649                           261                           0                             1157                          1157                          
