,Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,calc_participation
960,Coopers,Baldwin,1574.0,257.0,405.0,70.0,0.0,732.0,59.0,136.0,100.0,0.0,295.0,12.0,16.0,3.0,0.0,31.0,1058.0,67.2
2160,Columbia,Banks,363.0,62.0,163.0,30.0,0.0,255.0,4.0,7.0,5.0,1.0,17.0,1.0,1.0,1.0,0.0,3.0,275.0,75.8
2165,Homer,Banks,1544.0,169.0,636.0,115.0,1.0,921.0,15.0,44.0,30.0,0.0,89.0,8.0,16.0,4.0,0.0,28.0,1038.0,67.2
2164,Hollingsworth,Banks,667.0,82.0,274.0,48.0,1.0,405.0,5.0,19.0,28.0,0.0,52.0,0.0,8.0,2.0,0.0,10.0,467.0,70.0
2163,Grove River,Banks,600.0,86.0,224.0,65.0,0.0,375.0,9.0,15.0,7.0,0.0,31.0,5.0,2.0,0.0,0.0,7.0,413.0,68.8
2162,Golden Hill,Banks,1008.0,122.0,319.0,63.0,0.0,504.0,12.0,28.0,31.0,2.0,73.0,5.0,9.0,4.0,0.0,18.0,595.0,59.0
2156,Anderson,Banks,1533.0,208.0,550.0,103.0,1.0,862.0,9.0,42.0,42.0,0.0,93.0,6.0,21.0,2.0,0.0,29.0,984.0,64.2
2166,Poplar Springs,Banks,1775.0,209.0,692.0,155.0,1.0,1057.0,18.0,49.0,41.0,0.0,108.0,8.0,17.0,8.0,0.0,33.0,1198.0,67.5
2157,Baldwin,Banks,876.0,75.0,295.0,118.0,0.0,488.0,19.0,39.0,40.0,0.0,98.0,6.0,15.0,1.0,0.0,22.0,608.0,69.4
2158,Berlin,Banks,415.0,43.0,191.0,25.0,1.0,260.0,0.0,11.0,5.0,0.0,16.0,3.0,1.0,2.0,0.0,6.0,282.0,68.0
2159,Bushville,Banks,816.0,110.0,282.0,43.0,1.0,436.0,7.0,18.0,11.0,0.0,36.0,7.0,13.0,4.0,0.0,24.0,496.0,60.8
2161,Davids,Banks,1977.0,232.0,706.0,130.0,4.0,1072.0,24.0,76.0,42.0,0.0,142.0,8.0,17.0,5.0,0.0,30.0,1244.0,62.9
2168,Wilmonts,Banks,620.0,71.0,254.0,47.0,0.0,372.0,3.0,18.0,13.0,0.0,34.0,2.0,3.0,1.0,0.0,6.0,412.0,66.5
2167,Washington,Banks,704.0,79.0,282.0,52.0,1.0,414.0,9.0,26.0,16.0,0.0,51.0,1.0,10.0,0.0,0.0,11.0,476.0,67.6
1137,04 Covenant Life Sanctuary,Barrow,4012.0,420.0,1129.0,281.0,0.0,1830.0,95.0,250.0,188.0,0.0,533.0,35.0,58.0,12.0,0.0,105.0,2468.0,61.5
1141,16 The Church at Winder,Barrow,10348.0,919.0,2675.0,626.0,2.0,4222.0,350.0,1154.0,749.0,2.0,2255.0,94.0,166.0,58.0,0.0,318.0,6795.0,65.7
1140,13 Winder Community Center,Barrow,9393.0,644.0,2303.0,588.0,0.0,3535.0,311.0,988.0,553.0,0.0,1852.0,64.0,115.0,44.0,0.0,223.0,5610.0,59.7
1139,08 First Baptist Church Winder,Barrow,7009.0,672.0,2422.0,523.0,0.0,3617.0,151.0,503.0,339.0,0.0,993.0,60.0,105.0,42.0,0.0,207.0,4817.0,68.7
1138,05 Fire Station 1 (Statham),Barrow,8336.0,892.0,2571.0,611.0,0.0,4074.0,236.0,749.0,564.0,0.0,1549.0,66.0,109.0,47.0,0.0,222.0,5845.0,70.1
1136,03 Hmong New Hope Alliance Church,Barrow,6364.0,833.0,1650.0,473.0,1.0,2957.0,164.0,366.0,317.0,0.0,847.0,62.0,85.0,30.0,0.0,177.0,3981.0,62.6
1135,02 Bethlehem Church - 211,Barrow,6784.0,707.0,2495.0,675.0,0.0,3877.0,112.0,368.0,344.0,1.0,825.0,66.0,76.0,45.0,0.0,187.0,4889.0,72.1
1134,01 Bethlehem Community Center,Barrow,3359.0,460.0,963.0,228.0,0.0,1651.0,92.0,245.0,163.0,0.0,500.0,44.0,38.0,16.0,0.0,98.0,2249.0,67.0
2116,Kingston,Bartow,2674.0,606.0,657.0,231.0,0.0,1494.0,85.0,93.0,87.0,0.0,265.0,31.0,21.0,2.0,0.0,54.0,1813.0,67.8
2120,White,Bartow,2723.0,629.0,733.0,232.0,1.0,1595.0,64.0,88.0,85.0,0.0,237.0,30.0,25.0,15.0,0.0,70.0,1902.0,69.8
2121,Zena Drive,Bartow,6431.0,474.0,1362.0,448.0,4.0,2288.0,248.0,585.0,393.0,2.0,1228.0,40.0,58.0,19.0,1.0,118.0,3634.0,56.5
2122,Woodland,Bartow,1865.0,294.0,470.0,150.0,1.0,915.0,44.0,125.0,111.0,0.0,280.0,20.0,20.0,12.0,0.0,52.0,1247.0,66.9
2118,Pine Log,Bartow,2132.0,609.0,493.0,194.0,1.0,1297.0,52.0,58.0,56.0,0.0,166.0,33.0,17.0,13.0,0.0,63.0,1526.0,71.6
2115,Hamilton Crossing,Bartow,6598.0,690.0,2091.0,345.0,0.0,3126.0,153.0,462.0,221.0,1.0,837.0,32.0,65.0,23.0,0.0,120.0,4083.0,61.9
2119,Taylorsville,Bartow,2829.0,764.0,781.0,242.0,0.0,1787.0,48.0,62.0,61.0,0.0,171.0,27.0,17.0,17.0,0.0,61.0,2019.0,71.4
2117,Mission Road,Bartow,4012.0,413.0,1230.0,312.0,3.0,1958.0,91.0,329.0,256.0,0.0,676.0,24.0,41.0,15.0,1.0,81.0,2715.0,67.7
2113,Euharlee,Bartow,5322.0,816.0,1596.0,328.0,1.0,2741.0,159.0,340.0,296.0,0.0,795.0,39.0,72.0,22.0,0.0,133.0,3669.0,68.9
2112,Emerson,Bartow,3122.0,556.0,715.0,246.0,1.0,1518.0,88.0,133.0,159.0,0.0,380.0,34.0,29.0,11.0,0.0,74.0,1972.0,63.2
2111,Center,Bartow,4007.0,640.0,1208.0,380.0,2.0,2230.0,94.0,232.0,190.0,0.0,516.0,42.0,40.0,25.0,0.0,107.0,2853.0,71.2
2110,Cassville,Bartow,4588.0,388.0,1210.0,554.0,2.0,2154.0,128.0,374.0,449.0,2.0,953.0,40.0,52.0,35.0,1.0,128.0,3235.0,70.5
2109,Cartersville West,Bartow,8129.0,549.0,2696.0,744.0,0.0,3989.0,196.0,755.0,548.0,1.0,1500.0,45.0,116.0,50.0,0.0,211.0,5700.0,70.1
2108,Cartersville East,Bartow,6805.0,510.0,1670.0,531.0,1.0,2712.0,263.0,620.0,524.0,0.0,1407.0,50.0,79.0,27.0,0.0,156.0,4275.0,62.8
2107,Allatoona,Bartow,4729.0,509.0,1100.0,245.0,0.0,1854.0,117.0,264.0,258.0,0.0,639.0,51.0,53.0,23.0,0.0,127.0,2620.0,55.4
2106,Adairsville,Bartow,6995.0,772.0,2374.0,505.0,1.0,3652.0,127.0,397.0,295.0,1.0,820.0,52.0,86.0,37.0,0.0,175.0,4647.0,66.4
2114,Folsom,Bartow,1448.0,392.0,351.0,114.0,0.0,857.0,26.0,42.0,36.0,0.0,104.0,15.0,9.0,4.0,0.0,28.0,989.0,68.3
1536,West,Ben Hill,5898.0,268.0,2123.0,358.0,0.0,2749.0,166.0,617.0,320.0,0.0,1103.0,24.0,63.0,22.0,0.0,109.0,3961.0,67.2
1535,East,Ben Hill,3956.0,148.0,894.0,152.0,0.0,1194.0,137.0,623.0,341.0,0.0,1101.0,19.0,27.0,9.0,0.0,55.0,2350.0,59.4
702,Alapaha,Berrien,1140.0,280.0,252.0,66.0,1.0,599.0,78.0,71.0,37.0,0.0,186.0,4.0,6.0,1.0,0.0,11.0,796.0,69.8
701,Enigma,Berrien,1111.0,303.0,225.0,69.0,4.0,601.0,34.0,22.0,22.0,0.0,78.0,9.0,3.0,2.0,0.0,14.0,693.0,62.4
700,Nashville,Berrien,6079.0,528.0,2350.0,384.0,2.0,3264.0,105.0,319.0,179.0,0.0,603.0,16.0,47.0,10.0,0.0,73.0,3940.0,64.8
699,Ray City,Berrien,1946.0,314.0,571.0,123.0,1.0,1009.0,65.0,69.0,59.0,0.0,193.0,20.0,15.0,9.0,0.0,44.0,1246.0,64.0
698,West Berrien,Berrien,999.0,319.0,260.0,83.0,1.0,663.0,22.0,24.0,19.0,0.0,65.0,5.0,7.0,4.0,0.0,16.0,744.0,74.5
1154,Godfrey 2,Bibb,2158.0,28.0,39.0,15.0,0.0,82.0,197.0,318.0,246.0,1.0,762.0,6.0,10.0,7.0,0.0,23.0,867.0,40.2
1152,East Macon 5,Bibb,2552.0,109.0,155.0,90.0,0.0,354.0,238.0,549.0,432.0,2.0,1221.0,10.0,13.0,8.0,0.0,31.0,1606.0,62.9
1151,East Macon 4,Bibb,2280.0,34.0,34.0,20.0,1.0,89.0,332.0,478.0,456.0,5.0,1271.0,5.0,6.0,1.0,0.0,12.0,1372.0,60.2
1149,East Macon 2,Bibb,3932.0,46.0,63.0,46.0,0.0,155.0,417.0,944.0,727.0,7.0,2095.0,13.0,15.0,5.0,0.0,33.0,2283.0,58.1
1148,East Macon 1,Bibb,2108.0,12.0,11.0,14.0,1.0,38.0,220.0,354.0,313.0,4.0,891.0,10.0,8.0,5.0,1.0,24.0,953.0,45.2
1153,Godfrey 1,Bibb,6283.0,96.0,187.0,49.0,1.0,333.0,508.0,1329.0,959.0,5.0,2801.0,26.0,37.0,21.0,1.0,85.0,3219.0,51.2
1150,East Macon 3,Bibb,3494.0,117.0,295.0,143.0,1.0,556.0,279.0,670.0,502.0,6.0,1457.0,21.0,32.0,11.0,0.0,64.0,2077.0,59.4
1166,Howard 5,Bibb,2272.0,170.0,252.0,99.0,1.0,522.0,201.0,439.0,197.0,3.0,840.0,27.0,22.0,7.0,0.0,56.0,1418.0,62.4
1169,Rutland 1,Bibb,5704.0,883.0,1095.0,484.0,1.0,2463.0,259.0,929.0,509.0,3.0,1700.0,35.0,28.0,13.0,0.0,76.0,4239.0,74.3
1156,Godfrey 4,Bibb,2231.0,41.0,63.0,28.0,0.0,132.0,226.0,306.0,244.0,2.0,778.0,7.0,4.0,8.0,0.0,19.0,929.0,41.6
1155,Godfrey 3,Bibb,3292.0,48.0,82.0,38.0,0.0,168.0,351.0,674.0,431.0,6.0,1462.0,16.0,16.0,6.0,0.0,38.0,1668.0,50.7
1168,Howard 7,Bibb,2897.0,373.0,775.0,297.0,1.0,1446.0,107.0,318.0,305.0,2.0,732.0,21.0,35.0,14.0,0.0,70.0,2248.0,77.6
1159,Hazzard 2,Bibb,4173.0,473.0,498.0,210.0,3.0,1184.0,358.0,765.0,394.0,3.0,1520.0,36.0,24.0,16.0,1.0,77.0,2781.0,66.6
1167,Howard 6,Bibb,2213.0,196.0,500.0,197.0,4.0,897.0,114.0,338.0,196.0,7.0,655.0,14.0,25.0,11.0,0.0,50.0,1602.0,72.4
1170,Rutland 2,Bibb,3409.0,657.0,619.0,227.0,1.0,1504.0,172.0,427.0,232.0,4.0,835.0,22.0,17.0,14.0,0.0,53.0,2392.0,70.2
1171,Vineville 1,Bibb,3572.0,178.0,345.0,155.0,3.0,681.0,241.0,640.0,471.0,2.0,1354.0,29.0,41.0,23.0,0.0,93.0,2128.0,59.6
1172,Vineville 2,Bibb,2067.0,104.0,149.0,56.0,1.0,310.0,186.0,343.0,341.0,0.0,870.0,10.0,10.0,6.0,0.0,26.0,1206.0,58.3
1173,Vineville 3,Bibb,3127.0,24.0,67.0,45.0,1.0,137.0,305.0,724.0,512.0,5.0,1546.0,11.0,12.0,4.0,0.0,27.0,1710.0,54.7
1157,Godfrey 5,Bibb,4761.0,88.0,111.0,91.0,0.0,290.0,574.0,1052.0,611.0,4.0,2241.0,32.0,18.0,15.0,0.0,65.0,2596.0,54.5
1174,Vineville 4,Bibb,4097.0,81.0,149.0,51.0,0.0,281.0,482.0,856.0,595.0,8.0,1941.0,16.0,23.0,10.0,0.0,49.0,2271.0,55.4
1176,Vineville 6,Bibb,3021.0,285.0,465.0,239.0,2.0,991.0,166.0,461.0,365.0,4.0,996.0,38.0,24.0,14.0,0.0,76.0,2063.0,68.3
1177,Warrior 1,Bibb,2617.0,598.0,475.0,177.0,2.0,1252.0,114.0,282.0,231.0,2.0,629.0,18.0,15.0,3.0,0.0,36.0,1917.0,73.3
1178,Warrior 2,Bibb,3232.0,563.0,762.0,181.0,3.0,1509.0,97.0,441.0,305.0,3.0,846.0,14.0,24.0,11.0,0.0,49.0,2404.0,74.4
1160,Hazzard 3,Bibb,7068.0,248.0,634.0,241.0,5.0,1128.0,526.0,1637.0,981.0,10.0,3154.0,36.0,49.0,22.0,2.0,109.0,4391.0,62.1
1161,Hazzard 4,Bibb,4745.0,545.0,1150.0,404.0,2.0,2101.0,248.0,740.0,506.0,3.0,1497.0,34.0,38.0,18.0,0.0,90.0,3688.0,77.7
1162,Howard 1,Bibb,3436.0,358.0,924.0,483.0,1.0,1766.0,124.0,380.0,317.0,3.0,824.0,22.0,24.0,17.0,0.0,63.0,2653.0,77.2
1163,Howard 2,Bibb,3394.0,409.0,910.0,424.0,1.0,1744.0,113.0,407.0,306.0,3.0,829.0,18.0,21.0,15.0,1.0,55.0,2628.0,77.4
1164,Howard 3,Bibb,6397.0,552.0,1332.0,550.0,1.0,2435.0,325.0,1015.0,657.0,3.0,2000.0,36.0,56.0,35.0,0.0,127.0,4562.0,71.3
1165,Howard 4,Bibb,1711.0,125.0,326.0,118.0,0.0,569.0,100.0,297.0,187.0,1.0,585.0,19.0,18.0,8.0,0.0,45.0,1199.0,70.1
1175,Vineville 5,Bibb,2359.0,207.0,508.0,222.0,0.0,937.0,126.0,355.0,230.0,2.0,713.0,18.0,30.0,10.0,0.0,58.0,1708.0,72.4
1158,Hazzard 1,Bibb,3377.0,49.0,93.0,73.0,1.0,216.0,427.0,703.0,471.0,4.0,1605.0,13.0,17.0,9.0,0.0,39.0,1860.0,55.1
1946,Fairground,Bleckley,0.0,913.0,2687.0,593.0,1.0,4194.0,273.0,540.0,392.0,0.0,1205.0,31.0,66.0,16.0,0.0,113.0,5512.0,
935,Waynesville,Brantley,4286.0,726.0,1183.0,171.0,3.0,2083.0,67.0,101.0,86.0,0.0,254.0,22.0,33.0,15.0,0.0,70.0,2407.0,56.2
933,Hoboken,Brantley,3394.0,592.0,1245.0,228.0,0.0,2065.0,36.0,67.0,44.0,0.0,147.0,20.0,14.0,6.0,0.0,40.0,2252.0,66.4
934,Nahunta,Brantley,4208.0,483.0,1573.0,229.0,5.0,2290.0,44.0,146.0,57.0,0.0,247.0,19.0,44.0,11.0,0.0,74.0,2611.0,62.0
1247,Quitman,Brooks,4117.0,176.0,572.0,128.0,1.0,877.0,193.0,584.0,513.0,1.0,1291.0,10.0,21.0,6.0,0.0,37.0,2205.0,53.6
1248,Barwick,Brooks,350.0,95.0,50.0,22.0,1.0,168.0,12.0,27.0,26.0,0.0,65.0,0.0,1.0,0.0,0.0,1.0,234.0,66.9
1249,Dixie,Brooks,1066.0,117.0,184.0,36.0,0.0,337.0,70.0,139.0,167.0,1.0,377.0,3.0,6.0,2.0,0.0,11.0,725.0,68.0
1250,Briggs,Brooks,2317.0,350.0,608.0,130.0,0.0,1088.0,66.0,115.0,115.0,0.0,296.0,14.0,15.0,3.0,0.0,32.0,1416.0,61.1
1251,Nankin,Brooks,735.0,154.0,194.0,31.0,0.0,379.0,20.0,30.0,31.0,0.0,81.0,4.0,8.0,2.0,0.0,14.0,474.0,64.5
1252,Morven,Brooks,1962.0,281.0,485.0,114.0,0.0,880.0,86.0,135.0,150.0,0.0,371.0,14.0,13.0,5.0,0.0,32.0,1283.0,65.4
1253,Pavo,Brooks,607.0,145.0,113.0,38.0,0.0,296.0,47.0,25.0,40.0,0.0,112.0,2.0,2.0,4.0,0.0,8.0,416.0,68.5
1502,RH Rec Complex,Bryan,3264.0,204.0,781.0,127.0,1.0,1113.0,102.0,444.0,258.0,0.0,804.0,20.0,45.0,19.0,0.0,84.0,2001.0,61.3
1504,Keller,Bryan,4270.0,302.0,1689.0,217.0,0.0,2208.0,79.0,505.0,290.0,0.0,874.0,23.0,71.0,27.0,0.0,121.0,3203.0,75.0
1505,Hwy 144 East,Bryan,5365.0,315.0,1850.0,339.0,0.0,2504.0,89.0,770.0,349.0,1.0,1209.0,32.0,81.0,35.0,0.0,148.0,3861.0,72.0
1506,Public Safety Complex,Bryan,2570.0,193.0,613.0,96.0,0.0,902.0,88.0,336.0,173.0,1.0,598.0,23.0,40.0,5.0,0.0,68.0,1568.0,61.0
1501,Ways Station,Bryan,1974.0,171.0,449.0,73.0,1.0,694.0,56.0,248.0,176.0,1.0,481.0,13.0,25.0,12.0,0.0,50.0,1225.0,62.1
1500,Black Creek,Bryan,2995.0,328.0,880.0,154.0,1.0,1363.0,77.0,180.0,95.0,0.0,352.0,23.0,20.0,13.0,0.0,56.0,1771.0,59.1
1499,Ellabell,Bryan,2341.0,356.0,768.0,125.0,1.0,1250.0,62.0,126.0,79.0,0.0,267.0,13.0,17.0,10.0,0.0,40.0,1557.0,66.5
1498,Danielsiding,Bryan,2291.0,229.0,800.0,155.0,0.0,1184.0,40.0,191.0,148.0,0.0,379.0,20.0,40.0,12.0,0.0,72.0,1635.0,71.4
1497,Pembroke,Bryan,2653.0,226.0,709.0,115.0,0.0,1050.0,101.0,298.0,102.0,0.0,501.0,17.0,16.0,10.0,0.0,43.0,1594.0,60.1
1503,JF Gregory Park,Bryan,2885.0,151.0,1281.0,213.0,0.0,1645.0,27.0,268.0,162.0,0.0,457.0,14.0,54.0,10.0,0.0,78.0,2180.0,75.6
1754,Hagin,Bulloch,2403.0,424.0,468.0,153.0,3.0,1048.0,126.0,207.0,197.0,1.0,531.0,24.0,12.0,6.0,0.0,42.0,1621.0,67.5
1755,Brooklet,Bulloch,3351.0,654.0,941.0,248.0,2.0,1845.0,101.0,244.0,149.0,2.0,496.0,32.0,30.0,7.0,0.0,69.0,2410.0,71.9
1756,Stilson,Bulloch,2137.0,597.0,420.0,133.0,1.0,1151.0,58.0,78.0,78.0,0.0,214.0,8.0,7.0,9.0,0.0,24.0,1389.0,65.0
1750,Church,Bulloch,5793.0,380.0,1000.0,371.0,0.0,1751.0,339.0,807.0,645.0,6.0,1797.0,36.0,54.0,25.0,1.0,116.0,3664.0,63.2
1758,Nevils,Bulloch,1299.0,365.0,256.0,104.0,1.0,726.0,45.0,52.0,44.0,0.0,141.0,9.0,4.0,4.0,0.0,17.0,884.0,68.1
1759,Sinkhole,Bulloch,488.0,186.0,66.0,46.0,0.0,298.0,20.0,12.0,20.0,0.0,52.0,2.0,1.0,1.0,0.0,4.0,354.0,72.5
1760,Register,Bulloch,969.0,203.0,140.0,55.0,2.0,400.0,72.0,72.0,62.0,0.0,206.0,9.0,5.0,3.0,0.0,17.0,623.0,64.3
1757,Bay,Bulloch,1610.0,503.0,327.0,102.0,0.0,932.0,56.0,64.0,67.0,0.0,187.0,21.0,12.0,6.0,0.0,39.0,1158.0,71.9
1753,Blitch,Bulloch,1947.0,434.0,502.0,169.0,2.0,1107.0,56.0,157.0,139.0,1.0,353.0,11.0,18.0,7.0,0.0,36.0,1496.0,76.8
1749,Fair,Bulloch,6335.0,482.0,1650.0,463.0,6.0,2601.0,225.0,797.0,469.0,5.0,1496.0,40.0,64.0,25.0,0.0,129.0,4226.0,66.7
1746,Emit,Bulloch,3360.0,526.0,825.0,237.0,1.0,1589.0,131.0,330.0,217.0,1.0,679.0,32.0,40.0,18.0,0.0,90.0,2358.0,70.2
1745,Lockhart,Bulloch,720.0,226.0,106.0,29.0,1.0,362.0,45.0,48.0,51.0,0.0,144.0,4.0,1.0,3.0,0.0,8.0,514.0,71.4
1751,Pittman Park,Bulloch,5279.0,301.0,548.0,174.0,0.0,1023.0,391.0,837.0,319.0,3.0,1550.0,60.0,69.0,13.0,0.0,142.0,2715.0,51.4
1752,Leefield,Bulloch,1000.0,337.0,197.0,66.0,1.0,601.0,33.0,34.0,28.0,1.0,96.0,13.0,8.0,6.0,0.0,27.0,724.0,72.4
1747,Statesboro,Bulloch,6312.0,391.0,1142.0,362.0,3.0,1898.0,366.0,893.0,582.0,10.0,1851.0,40.0,47.0,30.0,0.0,117.0,3866.0,61.2
1748,Portal,Bulloch,1735.0,410.0,280.0,116.0,0.0,806.0,95.0,92.0,108.0,0.0,295.0,10.0,6.0,2.0,0.0,18.0,1119.0,64.5
2077,Gough,Burke,434.0,37.0,60.0,17.0,0.0,114.0,47.0,38.0,96.0,0.0,181.0,3.0,0.0,0.0,0.0,3.0,298.0,68.7
2076,Girard,Burke,733.0,97.0,73.0,38.0,0.0,208.0,92.0,55.0,80.0,0.0,227.0,4.0,4.0,0.0,0.0,8.0,443.0,60.4
