,Precinct,County,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,calc_participation
149,Mt View,Haralson,330.0,131.0,64.0,26.0,0.0,221.0,11.0,6.0,3.0,0.0,20.0,241.0,73.0
150,Seventh,Haralson,1932.0,375.0,559.0,138.0,2.0,1074.0,27.0,78.0,66.0,0.0,171.0,1245.0,64.4
151,Berea-Steadman,Haralson,665.0,213.0,153.0,50.0,0.0,416.0,8.0,23.0,6.0,0.0,37.0,453.0,68.1
146,Twentieth,Haralson,738.0,219.0,191.0,68.0,0.0,478.0,11.0,13.0,22.0,0.0,46.0,524.0,71.0
153,Waco,Haralson,1183.0,315.0,294.0,78.0,0.0,687.0,28.0,23.0,24.0,0.0,75.0,762.0,64.4
152,Tallapoosa,Haralson,3072.0,557.0,810.0,282.0,1.0,1650.0,75.0,119.0,108.0,0.0,302.0,1952.0,63.5
116,North,Murray,2123.0,539.0,648.0,121.0,0.0,1308.0,49.0,64.0,60.0,0.0,173.0,1481.0,69.8
115,Carters-Doolittle,Murray,2045.0,454.0,591.0,138.0,0.0,1183.0,41.0,74.0,40.0,0.0,155.0,1338.0,65.4
114,Town,Murray,5766.0,647.0,2244.0,419.0,0.0,3310.0,104.0,364.0,205.0,0.0,673.0,3983.0,69.1
113,Spring Place,Murray,3671.0,505.0,1295.0,189.0,0.0,1989.0,106.0,218.0,148.0,0.0,472.0,2461.0,67.0
112,Southwest,Murray,3215.0,667.0,825.0,190.0,0.0,1682.0,73.0,92.0,62.0,0.0,227.0,1909.0,59.4
111,Shuck Pen,Murray,2940.0,612.0,900.0,142.0,0.0,1654.0,102.0,147.0,62.0,0.0,311.0,1965.0,66.8
110,McDonald,Murray,2524.0,319.0,941.0,140.0,0.0,1400.0,56.0,117.0,63.0,0.0,236.0,1636.0,64.8
97,Dobbins Middle School,Paulding,8081.0,413.0,2025.0,505.0,2.0,2945.0,343.0,1563.0,969.0,2.0,2877.0,5822.0,72.0
96,Taylor Farm Park,Paulding,2761.0,172.0,769.0,290.0,0.0,1231.0,98.0,407.0,200.0,0.0,705.0,1936.0,70.1
95,Picketts Mill Baptist Church,Paulding,2748.0,303.0,966.0,273.0,0.0,1542.0,63.0,279.0,255.0,1.0,598.0,2140.0,77.9
94,Paulding County Airport,Paulding,4132.0,529.0,1330.0,322.0,2.0,2183.0,121.0,320.0,239.0,2.0,682.0,2865.0,69.3
93,Beulahland Baptist Church,Paulding,2547.0,367.0,892.0,186.0,3.0,1448.0,57.0,198.0,137.0,0.0,392.0,1840.0,72.2
79,Burnt Hickory Park,Paulding,6242.0,626.0,2782.0,609.0,4.0,4021.0,107.0,476.0,276.0,2.0,861.0,4882.0,78.2
91,White Oak Park,Paulding,5833.0,500.0,1653.0,416.0,6.0,2575.0,215.0,725.0,474.0,3.0,1417.0,3992.0,68.4
80,Crossroads Library,Paulding,3662.0,314.0,1485.0,423.0,1.0,2223.0,92.0,409.0,324.0,1.0,826.0,3049.0,83.3
81,Shelton Elementary,Paulding,5095.0,473.0,1635.0,431.0,3.0,2542.0,162.0,762.0,450.0,0.0,1374.0,3916.0,76.9
82,Russom Elementary,Paulding,8243.0,707.0,2767.0,998.0,5.0,4477.0,204.0,1003.0,880.0,2.0,2089.0,6566.0,79.7
83,Paulding Sr Center,Paulding,5972.0,507.0,1817.0,424.0,6.0,2754.0,204.0,857.0,528.0,3.0,1592.0,4346.0,72.8
84,Legacy Bapt Church,Paulding,4443.0,319.0,1087.0,441.0,2.0,1849.0,144.0,590.0,437.0,3.0,1174.0,3023.0,68.0
85,Watson Govt Cmplx,Paulding,10774.0,662.0,2726.0,818.0,8.0,4214.0,375.0,1562.0,980.0,3.0,2920.0,7134.0,66.2
86,West Ridge Church,Paulding,11546.0,1032.0,3643.0,1180.0,3.0,5858.0,322.0,1265.0,953.0,1.0,2541.0,8399.0,72.7
92,Mulberry Rock Park,Paulding,5911.0,705.0,2315.0,572.0,4.0,3596.0,108.0,377.0,265.0,1.0,751.0,4347.0,73.5
90,Nebo Elem School,Paulding,10070.0,1090.0,3274.0,782.0,4.0,5150.0,285.0,921.0,669.0,6.0,1881.0,7031.0,69.8
87,Events Place,Paulding,4923.0,240.0,770.0,305.0,3.0,1318.0,238.0,1125.0,747.0,3.0,2113.0,3431.0,69.7
88,Poplar Sprgs Bapt Church,Paulding,4825.0,273.0,937.0,288.0,0.0,1498.0,238.0,990.0,569.0,1.0,1798.0,3296.0,68.3
89,D Wright Innovation Ctr,Paulding,7137.0,508.0,2212.0,382.0,2.0,3104.0,241.0,1056.0,604.0,1.0,1902.0,5006.0,70.1
141,Tate,Pickens,2651.0,445.0,558.0,130.0,0.0,1133.0,39.0,59.0,50.0,0.0,148.0,1281.0,48.3
140,Jasper,Pickens,2517.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139,Talking Rock,Pickens,1781.0,459.0,466.0,130.0,3.0,1058.0,22.0,61.0,41.0,0.0,124.0,1182.0,66.4
138,Ludville,Pickens,721.0,303.0,90.0,30.0,0.0,423.0,20.0,13.0,11.0,0.0,44.0,467.0,64.8
137,Jerusalem,Pickens,1145.0,488.0,194.0,60.0,0.0,742.0,30.0,24.0,36.0,0.0,90.0,832.0,72.7
136,Hinton,Pickens,825.0,300.0,144.0,29.0,0.0,473.0,28.0,19.0,12.0,0.0,59.0,532.0,64.5
135,Hill,Pickens,2042.0,523.0,573.0,160.0,2.0,1258.0,57.0,93.0,82.0,0.0,232.0,1490.0,73.0
132,Lake Creek,Polk,2828.0,387.0,1281.0,171.0,0.0,1839.0,48.0,172.0,71.0,0.0,291.0,2130.0,75.3
130,Cedartown,Polk,6205.0,468.0,1716.0,489.0,4.0,2677.0,198.0,635.0,402.0,3.0,1238.0,3915.0,63.1
131,Fish Creek,Polk,2566.0,375.0,1005.0,170.0,2.0,1552.0,52.0,140.0,91.0,0.0,283.0,1835.0,71.5
133,Rockmart,Polk,5746.0,488.0,2313.0,324.0,1.0,3126.0,148.0,547.0,249.0,3.0,947.0,4073.0,70.9
129,Blooming Grove,Polk,1659.0,279.0,557.0,104.0,1.0,941.0,38.0,99.0,49.0,2.0,188.0,1129.0,68.1
134,Youngs Grove,Polk,1961.0,316.0,762.0,161.0,1.0,1240.0,35.0,83.0,49.0,0.0,167.0,1407.0,71.7
128,Aragon,Polk,3224.0,483.0,1187.0,206.0,3.0,1879.0,67.0,207.0,103.0,0.0,377.0,2256.0,70.0
126,Fairyland,Walker,1265.0,150.0,387.0,81.0,0.0,618.0,37.0,175.0,64.0,0.0,276.0,894.0,70.7
127,Fairview,Walker,3101.0,380.0,810.0,237.0,2.0,1429.0,79.0,175.0,138.0,0.0,392.0,1821.0,58.7
125,Chickamauga,Walker,6890.0,621.0,2761.0,593.0,1.0,3976.0,98.0,398.0,305.0,0.0,801.0,4777.0,69.3
124,Rossville,Walker,6255.0,492.0,1696.0,464.0,0.0,2652.0,185.0,392.0,330.0,1.0,908.0,3560.0,56.9
123,Kensington,Walker,1347.0,347.0,315.0,86.0,1.0,749.0,47.0,72.0,60.0,1.0,180.0,929.0,69.0
122,Chattanooga Valley,Walker,6325.0,791.0,2028.0,569.0,2.0,3390.0,184.0,405.0,397.0,0.0,986.0,4376.0,69.2
121,Mountain,Walker,1254.0,382.0,221.0,106.0,1.0,710.0,46.0,46.0,68.0,0.0,160.0,870.0,69.4
120,Armuchee Valley,Walker,1453.0,548.0,234.0,80.0,0.0,862.0,57.0,43.0,59.0,0.0,159.0,1021.0,70.3
119,Rock Spring,Walker,6275.0,657.0,2548.0,544.0,0.0,3749.0,92.0,350.0,239.0,0.0,681.0,4430.0,70.6
118,Walnut Grove,Walker,2212.0,427.0,756.0,165.0,0.0,1348.0,36.0,79.0,62.0,0.0,177.0,1525.0,68.9
117,La Fayette,Walker,6547.0,706.0,1998.0,526.0,1.0,3231.0,128.0,390.0,310.0,0.0,828.0,4059.0,62.0
49,1A,Whitfield,2533.0,175.0,306.0,158.0,3.0,642.0,169.0,315.0,157.0,0.0,641.0,1283.0,50.7
50,2A,Whitfield,3090.0,310.0,840.0,235.0,5.0,1390.0,146.0,344.0,168.0,1.0,659.0,2049.0,66.3
51,3A,Whitfield,2221.0,222.0,550.0,171.0,0.0,943.0,101.0,267.0,138.0,0.0,506.0,1449.0,65.2
52,4A,Whitfield,2586.0,245.0,666.0,182.0,0.0,1093.0,147.0,344.0,182.0,1.0,674.0,1767.0,68.3
53,5A,Whitfield,2238.0,121.0,143.0,56.0,2.0,322.0,220.0,335.0,150.0,3.0,708.0,1030.0,46.0
54,6A,Whitfield,1690.0,100.0,111.0,42.0,1.0,254.0,183.0,235.0,89.0,1.0,508.0,762.0,45.1
55,AN,Whitfield,2474.0,227.0,359.0,91.0,4.0,681.0,151.0,291.0,123.0,1.0,566.0,1247.0,50.4
56,CA,Whitfield,1953.0,463.0,379.0,99.0,1.0,942.0,84.0,100.0,54.0,2.0,240.0,1182.0,60.5
57,CO,Whitfield,1431.0,433.0,298.0,81.0,7.0,819.0,57.0,61.0,53.0,0.0,171.0,990.0,69.2
58,DG,Whitfield,3295.0,480.0,751.0,229.0,4.0,1464.0,203.0,313.0,179.0,0.0,695.0,2159.0,65.5
63,MC,Whitfield,1659.0,460.0,470.0,93.0,1.0,1024.0,50.0,64.0,46.0,0.0,160.0,1184.0,71.4
64,NI,Whitfield,2456.0,586.0,627.0,165.0,2.0,1380.0,88.0,105.0,77.0,0.0,270.0,1650.0,67.2
71,WS,Whitfield,2647.0,470.0,759.0,215.0,3.0,1447.0,81.0,212.0,113.0,1.0,407.0,1854.0,70.0
62,LT,Whitfield,1148.0,276.0,394.0,69.0,1.0,740.0,24.0,59.0,26.0,1.0,110.0,850.0,74.0
61,GL,Whitfield,2510.0,334.0,497.0,139.0,1.0,971.0,191.0,255.0,136.0,1.0,583.0,1554.0,61.9
60,FI,Whitfield,2146.0,381.0,452.0,108.0,2.0,943.0,110.0,192.0,77.0,0.0,379.0,1322.0,61.6
59,ES,Whitfield,1702.0,228.0,292.0,81.0,0.0,601.0,97.0,137.0,84.0,0.0,318.0,919.0,54.0
68,TR,Whitfield,1335.0,327.0,425.0,114.0,0.0,866.0,42.0,56.0,49.0,0.0,147.0,1013.0,75.9
69,UT,Whitfield,1053.0,346.0,243.0,70.0,0.0,659.0,42.0,28.0,35.0,0.0,105.0,764.0,72.6
70,VA,Whitfield,5250.0,906.0,1528.0,371.0,2.0,2807.0,177.0,411.0,229.0,0.0,817.0,3624.0,69.0
67,TI,Whitfield,775.0,261.0,127.0,30.0,0.0,418.0,36.0,24.0,21.0,1.0,82.0,500.0,64.5
65,PG,Whitfield,4721.0,583.0,1337.0,362.0,4.0,2286.0,224.0,396.0,244.0,4.0,868.0,3154.0,66.8
66,TH,Whitfield,3836.0,686.0,1073.0,262.0,2.0,2023.0,116.0,246.0,168.0,0.0,530.0,2553.0,66.6
