,Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,calc_participation
204,District 4,Crawford,1805.0,340.0,582.0,137.0,0.0,1059.0,47.0,91.0,70.0,0.0,208.0,1267.0,70.2
203,District 3,Crawford,1738.0,184.0,684.0,118.0,0.0,986.0,46.0,122.0,60.0,0.0,228.0,1214.0,69.9
202,District 2,Crawford,1659.0,114.0,440.0,90.0,0.0,644.0,67.0,296.0,191.0,1.0,555.0,1199.0,72.3
201,District 1B,Crawford,1025.0,38.0,199.0,31.0,1.0,269.0,59.0,251.0,122.0,0.0,432.0,701.0,68.4
200,District 1A,Crawford,516.0,63.0,97.0,22.0,0.0,182.0,42.0,53.0,44.0,0.0,139.0,321.0,62.2
133,Listonia,Crisp,817.0,191.0,298.0,76.0,0.0,565.0,6.0,14.0,19.0,0.0,39.0,604.0,73.9
130,Coney,Crisp,859.0,124.0,404.0,77.0,0.0,605.0,18.0,49.0,39.0,0.0,106.0,711.0,82.8
131,Cordele,Crisp,8897.0,256.0,1703.0,422.0,4.0,2385.0,530.0,1426.0,788.0,0.0,2744.0,5129.0,57.6
132,Jamestown,Crisp,1196.0,198.0,479.0,129.0,0.0,806.0,26.0,63.0,45.0,1.0,135.0,941.0,78.7
129,Arabi,Crisp,785.0,147.0,245.0,38.0,0.0,430.0,47.0,55.0,31.0,0.0,133.0,563.0,71.7
53,Attapulgus,Decatur,1812.0,109.0,243.0,75.0,1.0,428.0,176.0,356.0,278.0,1.0,811.0,1239.0,68.4
52,BDGE-Fairgrounds,Decatur,3308.0,147.0,672.0,96.0,0.0,915.0,162.0,681.0,323.0,2.0,1168.0,2083.0,63.0
45,Mt Pleasant,Decatur,564.0,120.0,210.0,36.0,0.0,366.0,17.0,33.0,21.0,0.0,71.0,437.0,77.5
50,West Bainbridge,Decatur,2238.0,99.0,531.0,86.0,0.0,716.0,122.0,424.0,204.0,1.0,751.0,1467.0,65.5
49,Brinson,Decatur,836.0,142.0,268.0,45.0,0.0,455.0,44.0,61.0,43.0,0.0,148.0,603.0,72.1
48,Climax,Decatur,975.0,185.0,305.0,40.0,2.0,532.0,53.0,91.0,75.0,0.0,219.0,751.0,77.0
47,Kendrick,Decatur,566.0,119.0,150.0,13.0,0.0,282.0,30.0,44.0,45.0,1.0,120.0,402.0,71.0
46,Recovery,Decatur,678.0,161.0,140.0,67.0,1.0,369.0,26.0,38.0,66.0,1.0,131.0,500.0,73.7
51,Bainbridge-Coliseum,Decatur,5641.0,259.0,1639.0,292.0,0.0,2190.0,260.0,969.0,477.0,3.0,1709.0,3899.0,69.1
192,Lilly,Dooly,536.0,52.0,91.0,17.0,0.0,160.0,62.0,77.0,42.0,0.0,181.0,341.0,63.6
196,Pinehurst,Dooly,474.0,82.0,148.0,37.0,0.0,267.0,39.0,46.0,26.0,0.0,111.0,378.0,79.7
193,Byromville,Dooly,609.0,93.0,91.0,26.0,1.0,211.0,79.0,86.0,61.0,1.0,227.0,438.0,71.9
194,Unadilla,Dooly,1634.0,124.0,295.0,76.0,2.0,497.0,169.0,253.0,134.0,0.0,556.0,1053.0,64.4
195,Vienna,Dooly,2696.0,77.0,693.0,83.0,0.0,853.0,149.0,541.0,229.0,0.0,919.0,1772.0,65.7
160,International Studies,Dougherty,1042.0,77.0,54.0,34.0,0.0,165.0,113.0,193.0,187.0,1.0,494.0,659.0,63.2
167,Lovett Hall,Dougherty,1174.0,11.0,5.0,0.0,0.0,16.0,187.0,163.0,33.0,1.0,384.0,400.0,34.1
161,Phoebe East,Dougherty,2965.0,67.0,44.0,44.0,1.0,156.0,478.0,389.0,368.0,3.0,1238.0,1394.0,47.0
159,Putney 1st Baptist Church,Dougherty,2819.0,443.0,211.0,121.0,0.0,775.0,315.0,343.0,315.0,1.0,974.0,1749.0,62.0
163,Albany Middle School,Dougherty,1963.0,18.0,18.0,13.0,0.0,49.0,348.0,271.0,255.0,4.0,878.0,927.0,47.2
158,Radium Middle School,Dougherty,693.0,54.0,22.0,26.0,0.0,102.0,104.0,121.0,80.0,0.0,305.0,407.0,58.7
157,Bill Miller Center,Dougherty,2404.0,42.0,32.0,22.0,1.0,97.0,337.0,381.0,292.0,4.0,1014.0,1111.0,46.2
156,Jackson Heights Elementary,Dougherty,2549.0,9.0,4.0,5.0,0.0,18.0,403.0,328.0,376.0,0.0,1107.0,1125.0,44.1
155,Turner Elementary,Dougherty,1205.0,10.0,2.0,3.0,0.0,15.0,107.0,77.0,68.0,6.0,258.0,273.0,22.7
162,Pine Bluff Baptist Church,Dougherty,2221.0,192.0,121.0,98.0,0.0,411.0,285.0,315.0,317.0,0.0,917.0,1328.0,59.8
154,Phoebe Healthworks,Dougherty,1574.0,60.0,33.0,22.0,0.0,115.0,179.0,151.0,186.0,0.0,516.0,631.0,40.1
153,Litman Cathedral,Dougherty,1486.0,14.0,12.0,2.0,0.0,28.0,237.0,187.0,212.0,23.0,659.0,687.0,46.2
149,Mt Zion Center,Dougherty,3638.0,14.0,6.0,7.0,0.0,27.0,566.0,572.0,644.0,2.0,1784.0,1811.0,49.8
151,Carver Teen Center,Dougherty,1667.0,4.0,1.0,4.0,0.0,9.0,234.0,156.0,239.0,3.0,632.0,641.0,38.5
150,Alice Coachman Elementary,Dougherty,750.0,3.0,1.0,3.0,0.0,7.0,130.0,167.0,209.0,0.0,506.0,513.0,68.4
148,2nd Mt Zion Church,Dougherty,1465.0,231.0,154.0,99.0,1.0,485.0,162.0,155.0,178.0,2.0,497.0,982.0,67.0
147,Westtown Elementary,Dougherty,3265.0,32.0,26.0,25.0,0.0,83.0,509.0,634.0,676.0,1.0,1820.0,1903.0,58.3
146,Darton College,Dougherty,4289.0,110.0,240.0,102.0,1.0,453.0,495.0,941.0,638.0,7.0,2081.0,2534.0,59.1
145,Merry Acres Middle,Dougherty,2432.0,284.0,310.0,156.0,2.0,752.0,251.0,325.0,260.0,9.0,845.0,1597.0,65.7
144,Westover High School,Dougherty,3394.0,281.0,406.0,239.0,0.0,926.0,364.0,714.0,445.0,0.0,1523.0,2449.0,72.2
143,Greenbriar Church,Dougherty,3885.0,365.0,644.0,312.0,4.0,1325.0,291.0,696.0,589.0,5.0,1581.0,2906.0,74.8
142,Covenant Church,Dougherty,2334.0,292.0,193.0,124.0,0.0,609.0,278.0,303.0,222.0,2.0,805.0,1414.0,60.6
141,Sherwood Elementary,Dougherty,3205.0,231.0,252.0,159.0,0.0,642.0,411.0,538.0,330.0,1.0,1280.0,1922.0,60.0
140,Palmyra Methodist,Dougherty,2761.0,273.0,279.0,168.0,3.0,723.0,267.0,311.0,261.0,9.0,848.0,1571.0,56.9
165,Lamar Reese Elementary,Dougherty,1098.0,17.0,8.0,2.0,0.0,27.0,170.0,201.0,266.0,6.0,643.0,670.0,61.0
166,1st Christian Church,Dougherty,1505.0,196.0,220.0,146.0,0.0,562.0,183.0,200.0,138.0,1.0,522.0,1084.0,72.0
152,Shiloh Baptist Church,Dougherty,1510.0,9.0,16.0,5.0,0.0,30.0,264.0,170.0,228.0,0.0,662.0,692.0,45.8
164,Christ Church,Dougherty,1879.0,391.0,281.0,171.0,0.0,843.0,155.0,273.0,226.0,1.0,655.0,1498.0,79.7
0,Arlington,Early,911.0,101.0,119.0,35.0,0.0,255.0,124.0,125.0,156.0,0.0,405.0,660.0,72.4
1,Blakely,Early,3445.0,100.0,504.0,132.0,3.0,739.0,433.0,738.0,335.0,0.0,1506.0,2245.0,65.2
2,Cedar Springs,Early,1114.0,244.0,266.0,83.0,0.0,593.0,43.0,88.0,91.0,0.0,222.0,815.0,73.2
3,Cuba,Early,1180.0,157.0,278.0,41.0,0.0,476.0,76.0,158.0,120.0,0.0,354.0,830.0,70.3
4,Urquhart,Early,670.0,101.0,210.0,60.0,0.0,371.0,31.0,79.0,46.0,0.0,156.0,527.0,78.7
128,Woodland,Grady,2309.0,282.0,848.0,182.0,0.0,1312.0,64.0,184.0,111.0,0.0,359.0,1671.0,72.4
127,Whigham,Grady,1226.0,206.0,297.0,82.0,0.0,585.0,55.0,112.0,62.0,0.0,229.0,814.0,66.4
126,Spring Hill,Grady,561.0,107.0,194.0,46.0,0.0,347.0,20.0,28.0,28.0,0.0,76.0,423.0,75.4
125,Spence,Grady,758.0,194.0,174.0,64.0,0.0,432.0,33.0,33.0,30.0,0.0,96.0,528.0,69.7
124,Ragan,Grady,475.0,94.0,99.0,42.0,0.0,235.0,20.0,54.0,45.0,0.0,119.0,354.0,74.5
123,Pine Park,Grady,1003.0,144.0,225.0,57.0,2.0,428.0,71.0,117.0,52.0,0.0,240.0,668.0,66.6
122,Midway,Grady,1412.0,190.0,417.0,132.0,2.0,741.0,43.0,117.0,81.0,0.0,241.0,982.0,69.5
121,Limesink,Grady,320.0,59.0,108.0,23.0,0.0,190.0,6.0,23.0,22.0,0.0,51.0,241.0,75.3
120,Higdon,Grady,854.0,165.0,154.0,72.0,0.0,391.0,70.0,65.0,87.0,0.0,222.0,613.0,71.8
119,Duncanville,Grady,470.0,76.0,126.0,35.0,0.0,237.0,13.0,53.0,54.0,0.0,120.0,357.0,76.0
118,Cairo 5th District,Grady,2606.0,148.0,608.0,171.0,1.0,928.0,127.0,435.0,208.0,3.0,773.0,1701.0,65.3
117,Cairo 4th District,Grady,2532.0,38.0,171.0,69.0,0.0,278.0,204.0,701.0,365.0,3.0,1273.0,1551.0,61.3
116,Blowing Cave,Grady,916.0,165.0,274.0,42.0,2.0,483.0,32.0,66.0,26.0,4.0,128.0,611.0,66.7
23,Leesburg,Lee,3313.0,351.0,970.0,125.0,1.0,1447.0,154.0,449.0,163.0,0.0,766.0,2213.0,66.8
25,First Baptist,Lee,3921.0,489.0,1331.0,237.0,0.0,2057.0,174.0,571.0,279.0,1.0,1025.0,3082.0,78.6
26,SDA Church,Lee,1576.0,259.0,534.0,87.0,0.0,880.0,73.0,179.0,94.0,0.0,346.0,1226.0,77.8
27,Flint Reformed Baptist,Lee,2621.0,299.0,816.0,102.0,0.0,1217.0,118.0,300.0,114.0,0.0,532.0,1749.0,66.7
28,Century Fire Station,Lee,3162.0,287.0,948.0,181.0,1.0,1417.0,172.0,481.0,200.0,0.0,853.0,2270.0,71.8
22,CJC,Lee,614.0,116.0,254.0,28.0,0.0,398.0,20.0,46.0,20.0,0.0,86.0,484.0,78.8
21,Smithville,Lee,998.0,104.0,240.0,37.0,0.0,381.0,117.0,101.0,70.0,0.0,288.0,669.0,67.0
24,Friendship Baptist,Lee,1376.0,201.0,504.0,70.0,0.0,775.0,49.0,121.0,39.0,0.0,209.0,984.0,71.5
20,Redbone,Lee,4841.0,644.0,1680.0,258.0,1.0,2583.0,190.0,443.0,225.0,2.0,860.0,3443.0,71.1
19,Chokee,Lee,475.0,82.0,79.0,19.0,0.0,180.0,45.0,45.0,79.0,0.0,169.0,349.0,73.5
40,Ideal,Macon,1399.0,116.0,337.0,30.0,0.0,483.0,102.0,247.0,86.0,0.0,435.0,918.0,65.6
41,Oglethorpe,Macon,1294.0,50.0,251.0,14.0,0.0,315.0,85.0,324.0,110.0,0.0,519.0,834.0,64.5
42,Marshallville,Macon,1344.0,84.0,212.0,30.0,0.0,326.0,223.0,208.0,126.0,0.0,557.0,883.0,65.7
44,Montezuma #5,Macon,1357.0,16.0,145.0,16.0,0.0,177.0,158.0,330.0,188.0,0.0,676.0,853.0,62.9
43,Montezuma #4,Macon,1597.0,44.0,241.0,28.0,0.0,313.0,135.0,386.0,208.0,0.0,729.0,1042.0,65.2
111,Pineknot,Marion,971.0,282.0,213.0,60.0,0.0,555.0,30.0,46.0,30.0,0.0,106.0,661.0,68.1
112,Buena Vista,Marion,2343.0,82.0,474.0,119.0,0.0,675.0,182.0,548.0,369.0,0.0,1099.0,1774.0,75.7
113,Tazewell,Marion,320.0,91.0,83.0,9.0,0.0,183.0,26.0,21.0,23.0,0.0,70.0,253.0,79.1
114,Brantley,Marion,396.0,65.0,150.0,30.0,0.0,245.0,12.0,22.0,25.0,0.0,59.0,304.0,76.8
115,Fort Perry,Marion,883.0,161.0,209.0,64.0,0.0,434.0,41.0,57.0,44.0,0.0,142.0,576.0,65.2
134,Colquitt-Miller,Miller,3912.0,478.0,1152.0,236.0,2.0,1868.0,208.0,422.0,241.0,0.0,871.0,2739.0,70.0
12,Cotton,Mitchell,399.0,164.0,62.0,25.0,0.0,251.0,29.0,16.0,16.0,0.0,61.0,312.0,78.2
18,Sale City,Mitchell,384.0,124.0,42.0,22.0,0.0,188.0,38.0,27.0,19.0,0.0,84.0,272.0,70.8
17,Pelham,Mitchell,3489.0,188.0,625.0,145.0,0.0,958.0,280.0,444.0,444.0,1.0,1169.0,2127.0,61.0
16,Pebble City,Mitchell,162.0,57.0,23.0,15.0,0.0,95.0,17.0,10.0,5.0,0.0,32.0,127.0,78.4
15,Lester,Mitchell,1357.0,248.0,301.0,75.0,0.0,624.0,60.0,67.0,102.0,1.0,230.0,854.0,62.9
8,Baconton,Mitchell,1129.0,141.0,197.0,36.0,0.0,374.0,117.0,132.0,109.0,0.0,358.0,732.0,64.8
9,Branchville,Mitchell,599.0,158.0,169.0,23.0,0.0,350.0,22.0,59.0,32.0,0.0,113.0,463.0,77.3
10,Camilla North,Mitchell,1996.0,37.0,167.0,19.0,0.0,223.0,203.0,423.0,393.0,0.0,1019.0,1242.0,62.2
14,Hinsonton,Mitchell,134.0,68.0,16.0,3.0,0.0,87.0,10.0,5.0,8.0,0.0,23.0,110.0,82.1
13,Hopeful,Mitchell,350.0,80.0,76.0,19.0,0.0,175.0,27.0,25.0,18.0,2.0,72.0,247.0,70.6
11,Camilla South,Mitchell,3475.0,102.0,785.0,188.0,0.0,1075.0,182.0,640.0,443.0,3.0,1268.0,2343.0,67.4
92,Marianna Gallops,Muscogee,3095.0,96.0,179.0,73.0,1.0,349.0,203.0,488.0,333.0,5.0,1029.0,1378.0,44.5
86,Gentian/Reese,Muscogee,5612.0,367.0,839.0,334.0,0.0,1540.0,299.0,1012.0,652.0,0.0,1963.0,3503.0,62.4
93,Edgewood Baptist,Muscogee,3235.0,164.0,296.0,119.0,3.0,582.0,174.0,775.0,450.0,2.0,1401.0,1983.0,61.3
94,Psalmond/Mathews,Muscogee,7331.0,403.0,1739.0,575.0,0.0,2717.0,236.0,1531.0,1023.0,1.0,2791.0,5508.0,75.1
90,First African,Muscogee,1955.0,51.0,116.0,61.0,2.0,230.0,101.0,299.0,265.0,4.0,669.0,899.0,46.0
89,Salvation Army,Muscogee,3192.0,241.0,508.0,189.0,0.0,938.0,184.0,625.0,368.0,0.0,1177.0,2115.0,66.3
88,St Andrews/Midland,Muscogee,7959.0,631.0,1643.0,602.0,0.0,2876.0,350.0,1353.0,1003.0,0.0,2706.0,5582.0,70.1
87,St Paul/Clubview,Muscogee,5677.0,243.0,998.0,322.0,0.0,1563.0,173.0,700.0,459.0,0.0,1332.0,2895.0,51.0
85,Holsey/Buena Vista,Muscogee,7613.0,69.0,272.0,151.0,0.0,492.0,458.0,2220.0,1269.0,0.0,3947.0,4439.0,58.3
84,Canaan,Muscogee,7078.0,123.0,331.0,173.0,0.0,627.0,402.0,1758.0,1140.0,0.0,3300.0,3927.0,55.5
82,Mt Pilgrim,Muscogee,6022.0,45.0,99.0,36.0,0.0,180.0,440.0,1866.0,1187.0,1.0,3494.0,3674.0,61.0
81,Our Lady of Lourdes,Muscogee,10204.0,221.0,355.0,217.0,2.0,795.0,611.0,1632.0,1322.0,4.0,3569.0,4364.0,42.8
80,Cusseta Rd,Muscogee,6169.0,45.0,68.0,45.0,0.0,158.0,534.0,1198.0,869.0,3.0,2604.0,2762.0,44.8
79,Columbus Tech,Muscogee,4464.0,259.0,593.0,158.0,0.0,1010.0,239.0,467.0,368.0,0.0,1074.0,2084.0,46.7
78,St John/Belvedere,Muscogee,5341.0,28.0,95.0,74.0,0.0,197.0,278.0,1696.0,1147.0,2.0,3123.0,3320.0,62.2
77,Carver/Mack,Muscogee,4374.0,18.0,43.0,36.0,0.0,97.0,252.0,1141.0,847.0,0.0,2240.0,2337.0,53.4
76,Wynnton/Britt,Muscogee,5289.0,109.0,398.0,141.0,0.0,648.0,349.0,1110.0,802.0,0.0,2261.0,2909.0,55.0
91,Epworth UMC,Muscogee,4512.0,9.0,12.0,9.0,1.0,31.0,24.0,38.0,26.0,0.0,88.0,119.0,2.6
83,Faith Tabernacle,Muscogee,4461.0,49.0,100.0,58.0,0.0,207.0,339.0,1382.0,860.0,0.0,2581.0,2788.0,62.5
207,Byron 2,Peach,5028.0,230.0,1680.0,291.0,4.0,2205.0,139.0,867.0,413.0,1.0,1420.0,3625.0,72.1
208,Claude,Peach,908.0,168.0,296.0,51.0,1.0,516.0,41.0,78.0,36.0,0.0,155.0,671.0,73.9
209,Fort Valley 1,Peach,2669.0,90.0,447.0,92.0,1.0,630.0,172.0,612.0,312.0,0.0,1096.0,1726.0,64.7
210,Fort Valley 2,Peach,2670.0,87.0,363.0,67.0,1.0,518.0,168.0,605.0,287.0,0.0,1060.0,1578.0,59.1
206,Byron 1,Peach,2636.0,150.0,1073.0,131.0,2.0,1356.0,80.0,396.0,151.0,0.0,627.0,1983.0,75.2
212,Powersville,Peach,1365.0,144.0,472.0,79.0,4.0,699.0,37.0,171.0,98.0,1.0,307.0,1006.0,73.7
211,Fort Valley 3,Peach,2720.0,26.0,179.0,41.0,0.0,246.0,210.0,724.0,458.0,2.0,1394.0,1640.0,60.3
7,Morris,Quitman,93.0,15.0,7.0,8.0,0.0,30.0,23.0,7.0,7.0,0.0,37.0,67.0,72.0
6,Georgetown,Quitman,1454.0,114.0,309.0,69.0,0.0,492.0,163.0,205.0,138.0,1.0,507.0,999.0,68.7
173,Coleman,Randolph,229.0,27.0,44.0,15.0,0.0,86.0,30.0,38.0,16.0,1.0,85.0,171.0,74.7
174,Shellman,Randolph,929.0,105.0,137.0,31.0,0.0,273.0,172.0,110.0,123.0,1.0,406.0,679.0,73.1
175,Benevolence,Randolph,354.0,45.0,85.0,13.0,0.0,143.0,43.0,43.0,21.0,0.0,107.0,250.0,70.6
176,Cuthbert-Courthouse,Randolph,2253.0,55.0,449.0,90.0,0.0,594.0,142.0,505.0,263.0,0.0,910.0,1504.0,66.8
177,Cuthbert,Randolph,323.0,3.0,6.0,1.0,0.0,10.0,50.0,132.0,46.0,1.0,229.0,239.0,74.0
178,Springvale,Randolph,253.0,18.0,26.0,11.0,0.0,55.0,27.0,61.0,38.0,0.0,126.0,181.0,71.5
190,Precinct One,Schley,2882.0,274.0,1260.0,140.0,1.0,1675.0,92.0,290.0,171.0,0.0,553.0,2228.0,77.3
168,Precinct 1,Seminole,1292.0,201.0,349.0,66.0,0.0,616.0,60.0,129.0,53.0,0.0,242.0,858.0,66.4
169,Precinct 2,Seminole,1122.0,97.0,311.0,51.0,0.0,459.0,47.0,171.0,59.0,0.0,277.0,736.0,65.6
170,Precinct 3,Seminole,1174.0,29.0,48.0,4.0,0.0,81.0,136.0,292.0,101.0,0.0,529.0,610.0,52.0
171,Precinct 4,Seminole,1121.0,218.0,301.0,52.0,0.0,571.0,68.0,84.0,30.0,0.0,182.0,753.0,67.2
172,Precinct 5,Seminole,1227.0,316.0,305.0,72.0,0.0,693.0,36.0,51.0,44.0,0.0,131.0,824.0,67.2
110,Omaha,Stewart,217.0,37.0,17.0,7.0,0.0,61.0,56.0,16.0,16.0,2.0,90.0,151.0,69.6
109,Lumpkin,Stewart,1134.0,40.0,185.0,22.0,2.0,249.0,73.0,300.0,134.0,1.0,508.0,757.0,66.8
107,Richland,Stewart,1256.0,79.0,192.0,44.0,0.0,315.0,127.0,178.0,210.0,6.0,521.0,836.0,66.6
108,Louvale,Stewart,286.0,32.0,23.0,15.0,1.0,71.0,59.0,35.0,34.0,0.0,128.0,199.0,69.6
29,Agri-Center,Sumter,2059.0,129.0,578.0,83.0,0.0,790.0,93.0,332.0,215.0,1.0,641.0,1431.0,69.5
30,Airport,Sumter,1767.0,116.0,437.0,97.0,0.0,650.0,97.0,394.0,203.0,0.0,694.0,1344.0,76.1
31,Andersonville,Sumter,434.0,145.0,77.0,19.0,1.0,242.0,46.0,35.0,31.0,0.0,112.0,354.0,81.6
32,Browns Mill,Sumter,929.0,131.0,255.0,45.0,1.0,432.0,48.0,120.0,78.0,0.0,246.0,678.0,73.0
33,Concord,Sumter,376.0,141.0,72.0,20.0,7.0,240.0,15.0,29.0,13.0,1.0,58.0,298.0,79.3
34,GSW Conf Center,Sumter,3044.0,115.0,683.0,185.0,0.0,983.0,156.0,610.0,322.0,2.0,1090.0,2073.0,68.1
35,Leslie,Sumter,1687.0,272.0,381.0,80.0,0.0,733.0,116.0,180.0,139.0,2.0,437.0,1170.0,69.4
36,Plains,Sumter,1061.0,130.0,177.0,43.0,1.0,351.0,137.0,158.0,126.0,0.0,421.0,772.0,72.8
37,Rec Dept,Sumter,2667.0,42.0,157.0,50.0,0.0,249.0,262.0,723.0,489.0,1.0,1475.0,1724.0,64.6
39,Thompson,Sumter,712.0,92.0,81.0,29.0,0.0,202.0,73.0,96.0,65.0,1.0,235.0,437.0,61.4
38,Reese Park,Sumter,3064.0,49.0,201.0,83.0,0.0,333.0,251.0,696.0,434.0,0.0,1381.0,1714.0,55.9
106,Flint Hill,Talbot,1048.0,78.0,177.0,44.0,0.0,299.0,151.0,168.0,199.0,0.0,518.0,817.0,78.0
101,Valley,Talbot,688.0,80.0,133.0,46.0,0.0,259.0,88.0,82.0,122.0,0.0,292.0,551.0,80.1
102,Junction City,Talbot,437.0,36.0,48.0,23.0,0.0,107.0,52.0,39.0,118.0,0.0,209.0,316.0,72.3
