,Precinct,County,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,calc_participation
21,Sterling Church of God,Glynn,3925.0,179.0,540.0,143.0,1.0,863.0,313.0,935.0,311.0,3.0,1562.0,2425.0,61.8
17,Hampton River,Glynn,2823.0,112.0,635.0,218.0,2.0,967.0,129.0,802.0,380.0,0.0,1311.0,2278.0,80.7
22,SE Baptist Bldg,Glynn,2109.0,92.0,263.0,73.0,1.0,429.0,189.0,471.0,156.0,1.0,817.0,1246.0,59.1
24,C B Greer School,Glynn,3288.0,153.0,487.0,134.0,0.0,774.0,234.0,771.0,377.0,3.0,1385.0,2159.0,65.7
23,Career Academy,Glynn,2960.0,117.0,393.0,157.0,1.0,668.0,273.0,713.0,277.0,2.0,1265.0,1933.0,65.3
39,Ocmulgee 1,Jeff Davis,1399.0,142.0,406.0,86.0,0.0,634.0,69.0,173.0,37.0,0.0,279.0,913.0,65.3
32,Hazlehurst,Jeff Davis,1406.0,93.0,173.0,47.0,0.0,313.0,105.0,188.0,73.0,0.0,366.0,679.0,48.3
33,Altamaha 1,Jeff Davis,703.0,77.0,224.0,34.0,0.0,335.0,24.0,118.0,24.0,0.0,166.0,501.0,71.3
40,Ocmulgee 2,Jeff Davis,499.0,89.0,92.0,32.0,0.0,213.0,27.0,49.0,21.0,0.0,97.0,310.0,62.1
35,Blackburn 1,Jeff Davis,870.0,78.0,184.0,45.0,0.0,307.0,44.0,81.0,29.0,0.0,154.0,461.0,53.0
36,Blackburn 2,Jeff Davis,722.0,133.0,186.0,49.0,0.0,368.0,47.0,74.0,16.0,0.0,137.0,505.0,69.9
37,Whitehead 1,Jeff Davis,988.0,82.0,256.0,60.0,0.0,398.0,40.0,125.0,37.0,0.0,202.0,600.0,60.7
38,Whitehead 2,Jeff Davis,642.0,158.0,161.0,43.0,0.0,362.0,35.0,48.0,13.0,0.0,96.0,458.0,71.3
34,Altamaha 2,Jeff Davis,1249.0,219.0,316.0,61.0,0.0,596.0,122.0,172.0,25.0,0.0,319.0,915.0,73.3
4,Empire,Wayne,1106.0,125.0,323.0,74.0,0.0,522.0,72.0,227.0,37.0,0.0,336.0,858.0,77.6
1,Madray Springs,Wayne,1176.0,119.0,365.0,100.0,0.0,584.0,67.0,192.0,47.0,0.0,306.0,890.0,75.7
2,Oglethorpe,Wayne,1741.0,154.0,493.0,111.0,0.0,758.0,99.0,297.0,82.0,0.0,478.0,1236.0,71.0
3,Screven,Wayne,1849.0,297.0,380.0,100.0,2.0,779.0,193.0,277.0,67.0,0.0,537.0,1316.0,71.2
5,Red Hill,Wayne,1036.0,89.0,214.0,66.0,0.0,369.0,60.0,194.0,48.0,0.0,302.0,671.0,64.8
11,Rec Center,Wayne,1766.0,143.0,400.0,110.0,0.0,653.0,97.0,364.0,85.0,0.0,546.0,1199.0,67.9
7,Gardi,Wayne,1123.0,174.0,215.0,80.0,1.0,470.0,130.0,138.0,51.0,1.0,320.0,790.0,70.3
8,VFW,Wayne,1145.0,16.0,81.0,33.0,0.0,130.0,81.0,260.0,114.0,1.0,456.0,586.0,51.2
9,Pine Street,Wayne,1140.0,46.0,183.0,53.0,0.0,282.0,75.0,249.0,78.0,0.0,402.0,684.0,60.0
10,Unity,Wayne,1905.0,124.0,420.0,140.0,0.0,684.0,111.0,360.0,123.0,0.0,594.0,1278.0,67.1
6,Altamaha,Wayne,2857.0,154.0,593.0,139.0,3.0,889.0,136.0,564.0,127.0,0.0,827.0,1716.0,60.1
0,Odum,Wayne,1260.0,177.0,302.0,57.0,0.0,536.0,135.0,230.0,53.0,0.0,418.0,954.0,75.7
