,Precinct,County,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total,calc_participation
153,PUCKETTS D,Gwinnett,3622.0,255.0,967.0,366.0,4.0,1592.0,141.0,559.0,365.0,1.0,1066.0,2658.0,73.4
138,MARTINS K,Gwinnett,5352.0,209.0,402.0,292.0,0.0,903.0,478.0,1345.0,759.0,4.0,2586.0,3489.0,65.2
137,DULUTH I,Gwinnett,5105.0,301.0,946.0,696.0,0.0,1943.0,178.0,724.0,836.0,1.0,1739.0,3682.0,72.1
136,ROCKYCREEK B,Gwinnett,5061.0,371.0,1263.0,402.0,1.0,2037.0,225.0,932.0,470.0,2.0,1629.0,3666.0,72.4
135,HOG MOUNTAIN C,Gwinnett,4292.0,351.0,930.0,360.0,0.0,1641.0,190.0,684.0,467.0,2.0,1343.0,2984.0,69.5
119,BERKSHIRE P,Gwinnett,1476.0,101.0,152.0,80.0,1.0,334.0,122.0,239.0,181.0,1.0,543.0,877.0,59.4
120,PINCKNEYVILLE X,Gwinnett,3412.0,234.0,591.0,433.0,8.0,1266.0,174.0,584.0,573.0,9.0,1340.0,2606.0,76.4
121,ROCKBRIDGE G,Gwinnett,5799.0,141.0,416.0,232.0,2.0,791.0,382.0,1832.0,910.0,14.0,3138.0,3929.0,67.8
122,PINCKNEYVILLE Y,Gwinnett,3272.0,105.0,171.0,99.0,2.0,377.0,348.0,648.0,329.0,0.0,1325.0,1702.0,52.0
123,GOODWINS G,Gwinnett,2661.0,144.0,279.0,108.0,3.0,534.0,256.0,580.0,345.0,1.0,1182.0,1716.0,64.5
124,PINCKNEYVILLE Z,Gwinnett,1898.0,310.0,380.0,349.0,0.0,1039.0,79.0,195.0,283.0,0.0,557.0,1596.0,84.1
125,PINCKNEYVILLE A1,Gwinnett,2694.0,315.0,602.0,522.0,0.0,1439.0,90.0,330.0,407.0,0.0,827.0,2266.0,84.1
117,GARNERS F,Gwinnett,1796.0,122.0,354.0,180.0,1.0,657.0,93.0,337.0,231.0,2.0,663.0,1320.0,73.5
126,LAWRENCEVILLE J,Gwinnett,2249.0,149.0,227.0,107.0,0.0,483.0,187.0,538.0,285.0,3.0,1013.0,1496.0,66.5
128,DUNCANS B,Gwinnett,5387.0,565.0,1682.0,512.0,4.0,2763.0,213.0,742.0,468.0,2.0,1425.0,4188.0,77.7
129,SUWANEE D,Gwinnett,4732.0,438.0,1317.0,560.0,1.0,2316.0,158.0,694.0,561.0,2.0,1415.0,3731.0,78.8
130,SUWANEE E,Gwinnett,4256.0,369.0,1131.0,500.0,1.0,2001.0,118.0,722.0,512.0,1.0,1353.0,3354.0,78.8
131,LAWRENCEVILLE K,Gwinnett,3282.0,269.0,614.0,337.0,0.0,1220.0,175.0,616.0,438.0,0.0,1229.0,2449.0,74.6
132,HARBINS B,Gwinnett,4845.0,340.0,1271.0,351.0,1.0,1963.0,192.0,869.0,408.0,3.0,1472.0,3435.0,70.9
133,BAYCREEK F,Gwinnett,4608.0,238.0,582.0,267.0,6.0,1093.0,281.0,1325.0,627.0,6.0,2239.0,3332.0,72.3
134,PUCKETTS C,Gwinnett,3367.0,264.0,901.0,256.0,1.0,1422.0,122.0,505.0,314.0,0.0,941.0,2363.0,70.2
127,GOODWINS H,Gwinnett,2796.0,216.0,496.0,205.0,0.0,917.0,164.0,526.0,366.0,2.0,1058.0,1975.0,70.6
78,CATES K,Gwinnett,2810.0,259.0,525.0,291.0,3.0,1078.0,146.0,536.0,329.0,0.0,1011.0,2089.0,74.3
77,BAYCREEK K,Gwinnett,3824.0,165.0,707.0,385.0,0.0,1257.0,150.0,936.0,498.0,1.0,1585.0,2842.0,74.3
76,GOODWINS C,Gwinnett,5804.0,316.0,642.0,377.0,0.0,1335.0,400.0,1188.0,852.0,1.0,2441.0,3776.0,65.1
21,PINCKNEYVILLE C,Gwinnett,2082.0,263.0,296.0,299.0,0.0,858.0,110.0,327.0,322.0,4.0,763.0,1621.0,77.9
22,PINCKNEYVILLE D,Gwinnett,2264.0,87.0,146.0,86.0,2.0,321.0,251.0,429.0,211.0,3.0,894.0,1215.0,53.7
23,SUGAR HILL A,Gwinnett,4654.0,413.0,866.0,352.0,4.0,1635.0,238.0,644.0,453.0,1.0,1336.0,2971.0,63.8
24,SUGAR HILL B,Gwinnett,5596.0,516.0,1190.0,435.0,12.0,2153.0,277.0,908.0,568.0,4.0,1757.0,3910.0,69.9
25,HOG MOUNTAIN A,Gwinnett,5011.0,316.0,761.0,342.0,1.0,1420.0,317.0,1053.0,610.0,1.0,1981.0,3401.0,67.9
26,HOG MOUNTAIN B,Gwinnett,4583.0,389.0,1084.0,482.0,3.0,1958.0,175.0,734.0,593.0,2.0,1504.0,3462.0,75.5
27,ROCKYCREEK A,Gwinnett,5939.0,480.0,1507.0,447.0,0.0,2434.0,266.0,1101.0,602.0,3.0,1972.0,4406.0,74.2
28,CATES B,Gwinnett,1587.0,146.0,341.0,203.0,1.0,691.0,83.0,226.0,172.0,1.0,482.0,1173.0,73.9
29,CATES C,Gwinnett,2903.0,177.0,307.0,211.0,1.0,696.0,177.0,768.0,404.0,2.0,1351.0,2047.0,70.5
30,HOG MOUNTAIN D,Gwinnett,3179.0,283.0,688.0,276.0,1.0,1248.0,144.0,476.0,377.0,1.0,998.0,2246.0,70.7
31,BERKSHIRE D,Gwinnett,2945.0,150.0,527.0,357.0,1.0,1035.0,112.0,575.0,464.0,3.0,1154.0,2189.0,74.3
32,BERKSHIRE E,Gwinnett,1997.0,171.0,468.0,233.0,0.0,872.0,67.0,342.0,261.0,1.0,671.0,1543.0,77.3
33,BERKSHIRE F,Gwinnett,2254.0,171.0,224.0,178.0,0.0,573.0,185.0,362.0,293.0,1.0,841.0,1414.0,62.7
34,CATES D,Gwinnett,3755.0,234.0,646.0,363.0,0.0,1243.0,180.0,798.0,538.0,2.0,1518.0,2761.0,73.5
35,CATES E,Gwinnett,2942.0,227.0,584.0,359.0,1.0,1171.0,138.0,574.0,430.0,1.0,1143.0,2314.0,78.7
20,PINCKNEYVILLE B,Gwinnett,3485.0,121.0,248.0,144.0,2.0,515.0,287.0,731.0,371.0,5.0,1394.0,1909.0,54.8
19,PINCKNEYVILLE A,Gwinnett,2791.0,124.0,156.0,84.0,2.0,366.0,316.0,591.0,335.0,5.0,1247.0,1613.0,57.8
18,MARTINS C,Gwinnett,2549.0,172.0,327.0,218.0,1.0,718.0,223.0,494.0,319.0,5.0,1041.0,1759.0,69.0
17,MARTINS B,Gwinnett,3001.0,124.0,355.0,196.0,0.0,675.0,269.0,623.0,345.0,2.0,1239.0,1914.0,63.8
1,ROCKBRIDGE A,Gwinnett,3987.0,109.0,289.0,192.0,0.0,590.0,254.0,1269.0,617.0,1.0,2141.0,2731.0,68.5
2,DACULA,Gwinnett,4777.0,237.0,938.0,269.0,1.0,1445.0,247.0,1083.0,585.0,1.0,1916.0,3361.0,70.4
3,SUWANEE A,Gwinnett,1737.0,118.0,320.0,152.0,0.0,590.0,98.0,358.0,183.0,1.0,640.0,1230.0,70.8
4,BAYCREEK A,Gwinnett,2720.0,252.0,560.0,333.0,0.0,1145.0,127.0,487.0,342.0,0.0,956.0,2101.0,77.2
5,GOODWINS A,Gwinnett,3921.0,296.0,582.0,257.0,1.0,1136.0,251.0,764.0,518.0,1.0,1534.0,2670.0,68.1
6,DULUTH A,Gwinnett,5042.0,243.0,925.0,490.0,2.0,1660.0,206.0,986.0,884.0,0.0,2076.0,3736.0,74.1
7,DUNCANS A,Gwinnett,4729.0,371.0,1581.0,518.0,2.0,2472.0,111.0,696.0,449.0,0.0,1256.0,3728.0,78.8
36,PINCKNEYVILLE E,Gwinnett,2184.0,119.0,118.0,68.0,3.0,308.0,225.0,474.0,267.0,6.0,972.0,1280.0,58.6
8,PUCKETTS A,Gwinnett,5692.0,324.0,2012.0,693.0,1.0,3030.0,140.0,785.0,458.0,0.0,1383.0,4413.0,77.5
10,BERKSHIRE A,Gwinnett,2555.0,184.0,240.0,129.0,0.0,553.0,248.0,415.0,317.0,2.0,982.0,1535.0,60.1
11,BERKSHIRE B,Gwinnett,5338.0,128.0,558.0,378.0,3.0,1067.0,283.0,1347.0,812.0,5.0,2447.0,3514.0,65.8
12,DUNCANS C,Gwinnett,3040.0,342.0,1048.0,329.0,1.0,1720.0,82.0,399.0,249.0,0.0,730.0,2450.0,80.6
13,GARNERS A,Gwinnett,3520.0,210.0,816.0,479.0,1.0,1506.0,127.0,676.0,412.0,2.0,1217.0,2723.0,77.4
14,LAWRENCEVILLE A,Gwinnett,3635.0,169.0,511.0,294.0,1.0,975.0,234.0,600.0,366.0,3.0,1203.0,2178.0,59.9
15,LAWRENCEVILLE B,Gwinnett,5097.0,138.0,652.0,320.0,2.0,1112.0,214.0,1446.0,677.0,1.0,2338.0,3450.0,67.7
16,MARTINS A,Gwinnett,3303.0,143.0,237.0,130.0,2.0,512.0,310.0,747.0,400.0,4.0,1461.0,1973.0,59.7
9,CATES A,Gwinnett,2387.0,188.0,482.0,317.0,0.0,987.0,100.0,344.0,277.0,1.0,722.0,1709.0,71.6
37,PINCKNEYVILLE F,Gwinnett,2546.0,109.0,237.0,127.0,1.0,474.0,237.0,463.0,314.0,2.0,1016.0,1490.0,58.5
