,Precinct,County,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total,calc_participation
53,5-11C Largo-Tibet Elementary,Chatham,3019.0,88.0,152.0,210.0,2.0,452.0,316.0,589.0,358.0,7.0,1270.0,1722.0,57.0
52,5-10C Tatumville Community Center,Chatham,3507.0,31.0,45.0,42.0,0.0,118.0,541.0,673.0,656.0,5.0,1875.0,1993.0,56.8
51,5-08C Savannah Primitive BC,Chatham,1848.0,96.0,136.0,94.0,0.0,326.0,191.0,317.0,275.0,3.0,786.0,1112.0,60.2
50,5-07C Station 1,Chatham,1856.0,105.0,96.0,82.0,1.0,284.0,214.0,326.0,217.0,5.0,762.0,1046.0,56.4
49,5-06C Seed Church,Chatham,2598.0,82.0,82.0,47.0,2.0,213.0,262.0,429.0,335.0,7.0,1033.0,1246.0,48.0
48,5-05C Liberty City Comm Ctr,Chatham,2574.0,23.0,28.0,25.0,1.0,77.0,419.0,553.0,573.0,2.0,1547.0,1624.0,63.1
67,7-06C Pooler City Hall,Chatham,3555.0,255.0,617.0,216.0,1.0,1089.0,174.0,501.0,350.0,1.0,1026.0,2115.0,59.5
47,5-03C Butler Presbyterian Church,Chatham,1078.0,10.0,13.0,9.0,0.0,32.0,191.0,157.0,179.0,6.0,533.0,565.0,52.4
68,7-07C Rothwell Baptist Church,Chatham,3932.0,279.0,960.0,439.0,3.0,1681.0,124.0,424.0,359.0,5.0,912.0,2593.0,65.9
70,7-09C Savannah Holy C of G,Chatham,2823.0,240.0,323.0,190.0,2.0,755.0,214.0,371.0,331.0,2.0,918.0,1673.0,59.3
89,8-13C Savannah Christian,Chatham,1022.0,114.0,98.0,57.0,1.0,270.0,41.0,44.0,45.0,1.0,131.0,401.0,39.2
88,8-12C Beach High School,Chatham,1310.0,46.0,59.0,28.0,1.0,134.0,156.0,207.0,140.0,1.0,504.0,638.0,48.7
87,8-11C Butler Elementary,Chatham,1386.0,12.0,6.0,9.0,0.0,27.0,253.0,311.0,355.0,0.0,919.0,946.0,68.3
86,8-10C Carver Heights Comm Ctr,Chatham,1784.0,14.0,8.0,6.0,0.0,28.0,348.0,262.0,355.0,0.0,965.0,993.0,55.7
85,8-09C Moses Jackson Center,Chatham,1362.0,14.0,9.0,7.0,1.0,31.0,259.0,192.0,200.0,7.0,658.0,689.0,50.6
84,8-08C Resur of Our Lord Church,Chatham,1704.0,13.0,11.0,17.0,0.0,41.0,315.0,253.0,267.0,4.0,839.0,880.0,51.6
83,8-07C Woodville-Tompkins TI,Chatham,630.0,12.0,7.0,7.0,0.0,26.0,121.0,100.0,82.0,1.0,304.0,330.0,52.4
82,8-06C Tompkins Rec Center,Chatham,1055.0,15.0,9.0,7.0,0.0,31.0,190.0,147.0,157.0,4.0,498.0,529.0,50.1
81,8-05C W Broad St YMCA,Chatham,1543.0,22.0,8.0,9.0,0.0,39.0,268.0,208.0,160.0,1.0,637.0,676.0,43.8
80,8-03C Silk Hope Baptist Church,Chatham,831.0,161.0,108.0,52.0,0.0,321.0,55.0,43.0,49.0,0.0,147.0,468.0,56.3
79,8-02C Hellenic Center,Chatham,1709.0,83.0,90.0,70.0,0.0,243.0,187.0,339.0,218.0,1.0,745.0,988.0,57.8
78,8-01C Civic Center,Chatham,850.0,21.0,43.0,26.0,0.0,90.0,61.0,88.0,78.0,3.0,230.0,320.0,37.6
77,7-16C Pooler Recreation Center Gymnasium,Chatham,3701.0,232.0,887.0,462.0,6.0,1587.0,119.0,529.0,409.0,7.0,1064.0,2651.0,71.6
76,7-15C Rice Creek School,Chatham,2564.0,269.0,216.0,85.0,3.0,573.0,259.0,432.0,255.0,2.0,948.0,1521.0,59.3
75,7-14C Coastal Cathedral,Chatham,7572.0,414.0,828.0,558.0,1.0,1801.0,560.0,1488.0,1112.0,9.0,3169.0,4970.0,65.6
74,7-13C Southside Fire Trng Ctr,Chatham,2513.0,240.0,749.0,460.0,1.0,1450.0,63.0,238.0,302.0,0.0,603.0,2053.0,81.7
73,7-12C Pooler Church,Chatham,3334.0,182.0,577.0,250.0,4.0,1013.0,174.0,671.0,441.0,0.0,1286.0,2299.0,69.0
72,7-11C Seventh Day Adv Church,Chatham,6469.0,480.0,770.0,307.0,7.0,1564.0,441.0,1190.0,755.0,6.0,2392.0,3956.0,61.2
71,7-10C Progressive Rec Center,Chatham,4288.0,278.0,471.0,211.0,2.0,962.0,329.0,755.0,497.0,6.0,1587.0,2549.0,59.4
69,7-08C Bloomingdale Comm Ctr,Chatham,2733.0,508.0,654.0,235.0,0.0,1397.0,87.0,126.0,119.0,1.0,333.0,1730.0,63.3
46,5-02C Senior Citizens Center,Chatham,783.0,28.0,14.0,9.0,0.0,51.0,107.0,115.0,125.0,1.0,348.0,399.0,51.0
45,5-01C Bartlett Middle School,Chatham,1063.0,71.0,50.0,47.0,0.0,168.0,137.0,176.0,124.0,0.0,437.0,605.0,56.9
44,4-15C Skidaway Island State Park,Chatham,0.0,320.0,373.0,585.0,4.0,1282.0,30.0,90.0,168.0,0.0,288.0,1570.0,
19,2-12C Williams Court Apts,Chatham,1683.0,67.0,80.0,40.0,0.0,187.0,167.0,312.0,265.0,4.0,748.0,935.0,55.6
18,2-11C Stillwell Towers,Chatham,1900.0,55.0,72.0,54.0,0.0,181.0,302.0,248.0,244.0,3.0,797.0,978.0,51.5
17,2-09C Salvation Army,Chatham,3342.0,117.0,130.0,107.0,0.0,354.0,368.0,682.0,567.0,4.0,1621.0,1975.0,59.1
16,2-07C Christ Community Church,Chatham,2808.0,112.0,128.0,97.0,0.0,337.0,327.0,522.0,378.0,2.0,1229.0,1566.0,55.8
15,2-06C Eli Whitney Complex,Chatham,759.0,27.0,38.0,12.0,0.0,77.0,120.0,105.0,87.0,3.0,315.0,392.0,51.6
14,2-05C Holy Spirit Lutheran Church,Chatham,2079.0,59.0,99.0,66.0,1.0,225.0,274.0,440.0,315.0,3.0,1032.0,1257.0,60.5
13,2-04C Fellowship of Love Church,Chatham,3178.0,67.0,57.0,52.0,0.0,176.0,417.0,581.0,574.0,1.0,1573.0,1749.0,55.0
12,2-03C W W Law Center,Chatham,1609.0,65.0,73.0,57.0,1.0,196.0,186.0,224.0,209.0,1.0,620.0,816.0,50.7
11,2-02C Blackshear Community Center,Chatham,1714.0,58.0,98.0,75.0,1.0,232.0,201.0,232.0,189.0,8.0,630.0,862.0,50.3
10,1-17C Islands Christian Church,Chatham,3136.0,498.0,893.0,554.0,0.0,1945.0,75.0,180.0,317.0,1.0,573.0,2518.0,80.3
9,1-16C Ferguson Ave Baptist,Chatham,2905.0,610.0,674.0,351.0,4.0,1639.0,123.0,179.0,148.0,1.0,451.0,2090.0,71.9
8,1-14C Compassion Christian Church,Chatham,1718.0,244.0,373.0,273.0,1.0,891.0,73.0,150.0,152.0,0.0,375.0,1266.0,73.7
7,1-13C The Sanctuary,Chatham,1396.0,257.0,253.0,137.0,1.0,648.0,80.0,125.0,147.0,0.0,352.0,1000.0,71.6
6,1-12C Isle of Hope Baptist,Chatham,1909.0,546.0,443.0,358.0,1.0,1348.0,57.0,110.0,103.0,0.0,270.0,1618.0,84.8
5,1-10C St Thomas Episcopal Church,Chatham,1101.0,357.0,212.0,205.0,2.0,776.0,34.0,61.0,61.0,0.0,156.0,932.0,84.7
4,1-09C Immanuel Baptist Church,Chatham,739.0,91.0,61.0,43.0,2.0,197.0,62.0,90.0,90.0,1.0,243.0,440.0,59.5
3,1-08C Grace United Methodist Church,Chatham,1667.0,310.0,250.0,207.0,0.0,767.0,102.0,194.0,132.0,1.0,429.0,1196.0,71.7
2,1-06C Central Church of Christ,Chatham,2035.0,363.0,354.0,341.0,1.0,1059.0,89.0,196.0,197.0,1.0,483.0,1542.0,75.8
1,1-05C JEA Building,Chatham,2106.0,243.0,309.0,251.0,1.0,804.0,128.0,338.0,269.0,1.0,736.0,1540.0,73.1
20,3-01C Old Courthouse,Chatham,458.0,52.0,55.0,62.0,0.0,169.0,19.0,57.0,53.0,1.0,130.0,299.0,65.3
21,3-02C Temple Mickve Israel,Chatham,1598.0,146.0,260.0,183.0,2.0,591.0,60.0,230.0,220.0,0.0,510.0,1101.0,68.9
22,3-03C Savannah High School,Chatham,1185.0,22.0,34.0,27.0,0.0,83.0,187.0,198.0,125.0,5.0,515.0,598.0,50.5
23,3-04C First African Baptist Church,Chatham,1558.0,36.0,21.0,24.0,0.0,81.0,306.0,236.0,232.0,0.0,774.0,855.0,54.9
43,4-14C Skidaway Island Baptist,Chatham,1744.0,377.0,364.0,450.0,3.0,1194.0,40.0,86.0,167.0,0.0,293.0,1487.0,85.3
42,4-13C Skidaway Island Pres Church,Chatham,2469.0,533.0,560.0,652.0,2.0,1747.0,45.0,124.0,194.0,0.0,363.0,2110.0,85.5
41,4-12C St Peters Episcopal,Chatham,2294.0,615.0,512.0,520.0,3.0,1650.0,54.0,90.0,162.0,0.0,306.0,1956.0,85.3
40,4-11C Tybee Island School Cafe,Chatham,1640.0,537.0,196.0,213.0,1.0,947.0,128.0,85.0,94.0,0.0,307.0,1254.0,76.5
39,4-10C Guard House Comm Ctr,Chatham,1469.0,394.0,247.0,196.0,2.0,839.0,92.0,107.0,102.0,1.0,302.0,1141.0,77.7
38,4-08C Wilmington Island Pres Church,Chatham,2678.0,561.0,724.0,475.0,1.0,1761.0,79.0,150.0,191.0,1.0,421.0,2182.0,81.5
37,4-07C Wilmington Island UMC,Chatham,3370.0,571.0,795.0,476.0,4.0,1846.0,102.0,224.0,275.0,0.0,601.0,2447.0,72.6
36,4-06C First Baptist of the Island,Chatham,2252.0,500.0,606.0,308.0,3.0,1417.0,70.0,125.0,163.0,0.0,358.0,1775.0,78.8
35,4-05C St Francis Episcopal Church,Chatham,2244.0,507.0,500.0,295.0,1.0,1303.0,96.0,163.0,161.0,0.0,420.0,1723.0,76.8
90,8-15C Garden City Rec Center,Chatham,1622.0,23.0,30.0,23.0,0.0,76.0,208.0,285.0,233.0,3.0,729.0,805.0,49.6
34,4-04C Lighthouse Baptist Church,Chatham,2470.0,495.0,558.0,343.0,4.0,1400.0,83.0,152.0,183.0,0.0,418.0,1818.0,73.6
32,3-15C Eli Whitney Complex,Chatham,816.0,60.0,144.0,127.0,0.0,331.0,62.0,112.0,133.0,0.0,307.0,638.0,78.2
31,3-14C Oglethorpe Charter Academy,Chatham,2381.0,88.0,172.0,117.0,0.0,377.0,245.0,462.0,425.0,1.0,1133.0,1510.0,63.4
30,3-13C New Cov 7 Day Adv Ch,Chatham,2303.0,174.0,259.0,173.0,0.0,606.0,194.0,335.0,214.0,1.0,744.0,1350.0,58.6
29,3-12C Thunderbolt Muni Complex,Chatham,1678.0,278.0,199.0,118.0,0.0,595.0,160.0,179.0,210.0,1.0,550.0,1145.0,68.2
28,3-11C Southside Baptist Church,Chatham,1481.0,58.0,71.0,54.0,1.0,184.0,236.0,255.0,192.0,2.0,685.0,869.0,58.7
27,3-10C Bible Baptist Church,Chatham,2640.0,115.0,90.0,74.0,0.0,279.0,375.0,495.0,424.0,2.0,1296.0,1575.0,59.7
26,3-09C Cokesbury Methodist,Chatham,664.0,177.0,93.0,72.0,2.0,344.0,50.0,58.0,67.0,0.0,175.0,519.0,78.2
25,3-08C Jenkins High School,Chatham,1210.0,94.0,103.0,67.0,0.0,264.0,117.0,227.0,170.0,0.0,514.0,778.0,64.3
24,3-05C Aldersgate Youth Center,Chatham,2107.0,128.0,131.0,74.0,0.0,333.0,253.0,319.0,265.0,2.0,839.0,1172.0,55.6
33,4-02C Frank Murray Comm Center,Chatham,2472.0,348.0,567.0,242.0,0.0,1157.0,89.0,202.0,220.0,0.0,511.0,1668.0,67.5
91,8-16C Royal Cinemas and IMAX,Chatham,3087.0,211.0,594.0,291.0,1.0,1097.0,142.0,487.0,413.0,2.0,1044.0,2141.0,69.4
