,Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,calc_participation
170,Gibson,Glascock,677.0,101.0,259.0,61.0,0.0,421.0,15.0,15.0,17.0,0.0,47.0,468.0,69.1
171,Mill,Glascock,778.0,142.0,327.0,68.0,0.0,537.0,8.0,16.0,15.0,0.0,39.0,576.0,74.0
172,Mitchell,Glascock,448.0,99.0,133.0,57.0,0.0,289.0,14.0,16.0,18.0,0.0,48.0,337.0,75.2
156,Siloam,Greene,991.0,63.0,222.0,54.0,0.0,339.0,101.0,133.0,118.0,0.0,352.0,691.0,69.7
154,Greensboro,Greene,3999.0,163.0,946.0,222.0,1.0,1332.0,191.0,745.0,491.0,5.0,1432.0,2764.0,69.1
157,White Plains,Greene,347.0,30.0,89.0,25.0,0.0,144.0,33.0,57.0,29.0,0.0,119.0,263.0,75.8
158,Old Salem,Greene,6961.0,474.0,3474.0,998.0,2.0,4948.0,67.0,567.0,501.0,2.0,1137.0,6085.0,87.4
155,Union Point,Greene,1873.0,140.0,368.0,108.0,0.0,616.0,149.0,276.0,212.0,0.0,637.0,1253.0,66.9
0,HARBINS A,Gwinnett,7182.0,367.0,1549.0,513.0,0.0,2429.0,330.0,1538.0,859.0,0.0,2727.0,5156.0,71.8
3,DUNCANS C,Gwinnett,3040.0,333.0,1025.0,306.0,0.0,1664.0,87.0,424.0,276.0,0.0,787.0,2451.0,80.6
