,Precinct,County,Registered Voters,Kylon J. Fort (I) (Rep)_Election Day Votes,Kylon J. Fort (I) (Rep)_Advanced Voting Votes,Kylon J. Fort (I) (Rep)_Absentee by Mail Votes,Kylon J. Fort (I) (Rep)_Provisional Votes,Kylon J. Fort (I) (Rep)_Choice Total,Total,Vincent L. Kearse_Election Day Votes,Vincent L. Kearse_Advanced Voting Votes,Vincent L. Kearse_Absentee by Mail Votes,Vincent L. Kearse_Provisional Votes,Vincent L. Kearse_Choice Total,Mary L. Baker (I) (Dem)_Election Day Votes,Mary L. Baker (I) (Dem)_Advanced Voting Votes,Mary L. Baker (I) (Dem)_Absentee by Mail Votes,Mary L. Baker (I) (Dem)_Provisional Votes,Mary L. Baker (I) (Dem)_Choice Total,Rickey Bailey (I) (Rep)_Election Day Votes,Rickey Bailey (I) (Rep)_Advanced Voting Votes,Rickey Bailey (I) (Rep)_Absentee by Mail Votes,Rickey Bailey (I) (Rep)_Provisional Votes,Rickey Bailey (I) (Rep)_Choice Total,John Jessup (I) (Rep)_Election Day Votes,John Jessup (I) (Rep)_Advanced Voting Votes,John Jessup (I) (Rep)_Absentee by Mail Votes,John Jessup (I) (Rep)_Provisional Votes,John Jessup (I) (Rep)_Choice Total,Dan Cecil Stewart (I) (Rep)_Election Day Votes,Dan Cecil Stewart (I) (Rep)_Advanced Voting Votes,Dan Cecil Stewart (I) (Rep)_Absentee by Mail Votes,Dan Cecil Stewart (I) (Rep)_Provisional Votes,Dan Cecil Stewart (I) (Rep)_Choice Total,Lajoy R. Boney (I) (Dem)_Election Day Votes,Lajoy R. Boney (I) (Dem)_Advanced Voting Votes,Lajoy R. Boney (I) (Dem)_Absentee by Mail Votes,Lajoy R. Boney (I) (Dem)_Provisional Votes,Lajoy R. Boney (I) (Dem)_Choice Total,Chris Culver (I) (Rep)_Election Day Votes,Chris Culver (I) (Rep)_Advanced Voting Votes,Chris Culver (I) (Rep)_Absentee by Mail Votes,Chris Culver (I) (Rep)_Provisional Votes,Chris Culver (I) (Rep)_Choice Total,calc_participation
12,Jonesboro 17,Clayton,3359.0,,,,,,1308.0,,,,,,265.0,668.0,375.0,0.0,1308.0,,,,,,,,,,,,,,,,,,,,,,,,,,38.9
13,Jonesboro 19,Clayton,3299.0,,,,,,54.0,,,,,,7.0,22.0,25.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
14,Lovejoy 1,Clayton,4061.0,,,,,,2386.0,,,,,,342.0,1413.0,629.0,2.0,2386.0,,,,,,,,,,,,,,,,,,,,,,,,,,58.8
30,Rockmart,Polk,5746.0,,,,,,2243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0,1580.0,295.0,1.0,2243.0,39.0
2,GSW Conf Center,Sumter,3044.0,,,,,,310.0,49.0,202.0,58.0,1.0,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
3,Rec Dept,Sumter,2667.0,,,,,,278.0,48.0,154.0,76.0,0.0,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
4,Reese Park,Sumter,3064.0,,,,,,475.0,101.0,227.0,147.0,0.0,475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
27,Jacksonville,Telfair,628.0,,,,,,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,103.0,65.0,1.0,318.0,,,,,,50.6
28,Lumber-City,Telfair,963.0,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,38.0,12.0,0.0,67.0,,,,,,7.0
29,Milan,Telfair,802.0,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,48.0,15.0,0.0,108.0,,,,,,13.5
22,Fire Station #2,Thomas,1404.0,,,,,,653.0,,,,,,,,,,,,,,,,,,,,,101.0,429.0,123.0,0.0,653.0,,,,,,,,,,,46.5
23,Meigs,Thomas,864.0,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,7.0,27.0,3.0,0.0,37.0,,,,,,,,,,,4.3
24,Metcalfe,Thomas,299.0,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,55.0,46.0,10.0,0.0,111.0,,,,,,,,,,,37.1
25,New Covenant,Thomas,2155.0,,,,,,419.0,,,,,,,,,,,,,,,,,,,,,62.0,309.0,48.0,0.0,419.0,,,,,,,,,,,19.4
26,Ochlocknee,Thomas,1175.0,,,,,,486.0,,,,,,,,,,,,,,,,,,,,,144.0,301.0,41.0,0.0,486.0,,,,,,,,,,,41.4
18,Bold Springs,Walton,4653.0,,,,,,1612.0,,,,,,,,,,,,,,,,385.0,944.0,281.0,2.0,1612.0,,,,,,,,,,,,,,,,34.6
19,Between,Walton,4925.0,,,,,,626.0,,,,,,,,,,,,,,,,79.0,409.0,138.0,0.0,626.0,,,,,,,,,,,,,,,,12.7
20,Loganville North,Walton,5225.0,,,,,,2224.0,,,,,,,,,,,,,,,,443.0,1307.0,473.0,1.0,2224.0,,,,,,,,,,,,,,,,42.6
21,Bay Creek,Walton,3401.0,,,,,,1850.0,,,,,,,,,,,,,,,,328.0,1198.0,324.0,0.0,1850.0,,,,,,,,,,,,,,,,54.4
