,Precinct,County,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total,calc_participation
271,RW04,Fulton,1861.0,61.0,671.0,371.0,1.0,1104.0,1104.0,59.3
270,RW03,Fulton,5041.0,342.0,1468.0,758.0,9.0,2577.0,2577.0,51.1
269,RW02,Fulton,4061.0,219.0,1322.0,764.0,11.0,2316.0,2316.0,57.0
268,RW01,Fulton,5010.0,177.0,1583.0,1007.0,11.0,2778.0,2778.0,55.4
267,PA01,Fulton,3006.0,204.0,941.0,369.0,15.0,1529.0,1529.0,50.9
266,MP01,Fulton,472.0,148.0,46.0,62.0,5.0,261.0,261.0,55.3
275,RW07B,Fulton,449.0,57.0,99.0,64.0,14.0,234.0,234.0,52.1
286,RW19,Fulton,2147.0,111.0,729.0,343.0,1.0,1184.0,1184.0,55.1
240,JC06,Fulton,2840.0,191.0,770.0,454.0,4.0,1419.0,1419.0,50.0
238,JC04C,Fulton,1251.0,44.0,478.0,248.0,0.0,770.0,770.0,61.6
213,EP02A,Fulton,2407.0,160.0,545.0,308.0,19.0,1032.0,1032.0,42.9
212,EP01B,Fulton,3473.0,216.0,949.0,447.0,9.0,1621.0,1621.0,46.7
211,EP01A,Fulton,2978.0,191.0,974.0,341.0,14.0,1520.0,1520.0,51.0
210,CP08A,Fulton,756.0,61.0,86.0,26.0,0.0,173.0,173.0,22.9
209,CP084,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,CP083,Fulton,240.0,12.0,19.0,3.0,0.0,34.0,34.0,14.2
207,CP081,Fulton,373.0,34.0,51.0,15.0,2.0,102.0,102.0,27.3
206,CP07F,Fulton,266.0,22.0,35.0,6.0,0.0,63.0,63.0,23.7
205,CP07E,Fulton,127.0,19.0,19.0,3.0,0.0,41.0,41.0,32.3
214,EP02B,Fulton,1679.0,92.0,643.0,293.0,1.0,1029.0,1029.0,61.3
204,CP07D,Fulton,790.0,64.0,130.0,36.0,0.0,230.0,230.0,29.1
202,CP07B,Fulton,7.0,2.0,2.0,0.0,0.0,4.0,4.0,57.1
201,CP06A,Fulton,732.0,51.0,127.0,38.0,1.0,217.0,217.0,29.6
200,CP05B,Fulton,153.0,20.0,39.0,9.0,4.0,72.0,72.0,47.1
199,CP051,Fulton,1756.0,148.0,534.0,250.0,0.0,932.0,932.0,53.1
198,CP04B,Fulton,38.0,2.0,6.0,9.0,0.0,17.0,17.0,44.7
197,CP04A,Fulton,13.0,0.0,3.0,0.0,0.0,3.0,3.0,23.1
196,CP02,Fulton,1208.0,77.0,360.0,161.0,1.0,599.0,599.0,49.6
195,CP01B,Fulton,422.0,20.0,146.0,49.0,0.0,215.0,215.0,50.9
194,CP012,Fulton,1469.0,85.0,531.0,208.0,6.0,830.0,830.0,56.5
203,CP07C,Fulton,323.0,18.0,46.0,10.0,0.0,74.0,74.0,22.9
239,JC05,Fulton,2350.0,123.0,863.0,356.0,4.0,1346.0,1346.0,57.3
215,EP02C,Fulton,522.0,17.0,194.0,64.0,0.0,275.0,275.0,52.7
217,EP02E,Fulton,1668.0,105.0,440.0,157.0,0.0,702.0,702.0,42.1
237,JC04B,Fulton,334.0,9.0,112.0,52.0,0.0,173.0,173.0,51.8
236,JC04A,Fulton,3177.0,96.0,1242.0,595.0,13.0,1946.0,1946.0,61.3
235,JC03B,Fulton,1616.0,113.0,571.0,281.0,0.0,965.0,965.0,59.7
234,JC03A,Fulton,594.0,25.0,255.0,74.0,0.0,354.0,354.0,59.6
233,JC02,Fulton,3001.0,162.0,888.0,588.0,6.0,1644.0,1644.0,54.8
232,JC01A,Fulton,1738.0,133.0,552.0,123.0,5.0,813.0,813.0,46.8
231,JC01,Fulton,4128.0,226.0,1449.0,1041.0,7.0,2723.0,2723.0,66.0
230,HP01,Fulton,3824.0,336.0,1007.0,468.0,5.0,1816.0,1816.0,47.5
229,FC03,Fulton,17.0,1.0,8.0,0.0,7.0,16.0,16.0,94.1
216,EP02D,Fulton,420.0,31.0,159.0,48.0,0.0,238.0,238.0,56.7
228,FC02,Fulton,585.0,13.0,28.0,8.0,2.0,51.0,51.0,8.7
226,FA01D,Fulton,321.0,19.0,123.0,8.0,13.0,163.0,163.0,50.8
225,FA01C,Fulton,769.0,63.0,290.0,104.0,1.0,458.0,458.0,59.6
224,FA01B,Fulton,5860.0,28.0,2307.0,854.0,8.0,3197.0,3197.0,54.6
223,FA01A,Fulton,4032.0,239.0,1457.0,608.0,15.0,2319.0,2319.0,57.5
222,EP04C,Fulton,1318.0,0.0,398.0,38.0,3.0,439.0,439.0,33.3
221,EP04B,Fulton,2624.0,148.0,1064.0,274.0,7.0,1493.0,1493.0,56.9
220,EP04A,Fulton,5020.0,530.0,1328.0,659.0,32.0,2549.0,2549.0,50.8
219,EP03B,Fulton,1547.0,79.0,598.0,339.0,6.0,1022.0,1022.0,66.1
218,EP03A,Fulton,4925.0,319.0,1563.0,802.0,6.0,2690.0,2690.0,54.6
227,FC01,Fulton,325.0,21.0,130.0,25.0,2.0,178.0,178.0,54.8
193,CP011,Fulton,1353.0,93.0,417.0,159.0,7.0,676.0,676.0,50.0
287,RW20,Fulton,2701.0,84.0,1010.0,419.0,6.0,1519.0,1519.0,56.2
289,RW22A,Fulton,4788.0,275.0,1657.0,583.0,11.0,2526.0,2526.0,52.8
357,SS11D,Fulton,397.0,16.0,144.0,85.0,0.0,245.0,245.0,61.7
356,SS11C,Fulton,361.0,30.0,117.0,28.0,1.0,176.0,176.0,48.8
355,SS11B,Fulton,1412.0,102.0,446.0,206.0,1.0,755.0,755.0,53.5
354,SS11A,Fulton,4026.0,284.0,1294.0,596.0,10.0,2184.0,2184.0,54.2
353,SS09B,Fulton,3611.0,114.0,1281.0,749.0,2.0,2146.0,2146.0,59.4
352,SS09A,Fulton,3193.0,144.0,940.0,686.0,0.0,1770.0,1770.0,55.4
351,SS08D,Fulton,1555.0,82.0,510.0,243.0,0.0,835.0,835.0,53.7
350,SS08C,Fulton,716.0,34.0,239.0,141.0,0.0,414.0,414.0,57.8
349,SS08B,Fulton,696.0,25.0,242.0,147.0,0.0,414.0,414.0,59.5
358,SS12,Fulton,2897.0,137.0,967.0,555.0,9.0,1668.0,1668.0,57.6
348,SS08A,Fulton,1891.0,140.0,666.0,244.0,11.0,1061.0,1061.0,56.1
346,SS07B,Fulton,793.0,45.0,265.0,141.0,1.0,452.0,452.0,57.0
345,SS07A,Fulton,1254.0,37.0,405.0,246.0,0.0,688.0,688.0,54.9
344,SS06,Fulton,1667.0,60.0,575.0,317.0,47.0,999.0,999.0,59.9
343,SS05,Fulton,1853.0,89.0,664.0,372.0,3.0,1128.0,1128.0,60.9
342,SS04,Fulton,3763.0,217.0,1298.0,638.0,16.0,2169.0,2169.0,57.6
341,SS03,Fulton,1577.0,91.0,581.0,269.0,2.0,943.0,943.0,59.8
340,SS02B,Fulton,1318.0,64.0,473.0,210.0,5.0,752.0,752.0,57.1
339,SS02A,Fulton,1206.0,48.0,417.0,236.0,5.0,706.0,706.0,58.5
338,SS01,Fulton,4846.0,159.0,1436.0,911.0,5.0,2511.0,2511.0,51.8
347,SS07C,Fulton,809.0,24.0,170.0,166.0,13.0,373.0,373.0,46.1
337,SC30B,Fulton,1110.0,60.0,364.0,146.0,0.0,570.0,570.0,51.4
359,SS13A,Fulton,2103.0,120.0,706.0,319.0,3.0,1148.0,1148.0,54.6
361,SS14,Fulton,1412.0,64.0,511.0,258.0,1.0,834.0,834.0,59.1
381,UC02C,Fulton,3614.0,149.0,1232.0,129.0,15.0,1525.0,1525.0,42.2
380,UC02B,Fulton,32.0,2.0,12.0,3.0,0.0,17.0,17.0,53.1
379,UC02A,Fulton,5609.0,329.0,2187.0,1134.0,18.0,3668.0,3668.0,65.4
378,UC01E,Fulton,512.0,42.0,269.0,72.0,0.0,383.0,383.0,74.8
377,UC01D,Fulton,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,UC01B,Fulton,428.0,39.0,145.0,31.0,5.0,220.0,220.0,51.4
375,UC01A,Fulton,4234.0,330.0,1225.0,335.0,12.0,1902.0,1902.0,44.9
374,SS31,Fulton,1703.0,72.0,582.0,312.0,0.0,966.0,966.0,56.7
373,SS29A,Fulton,2842.0,156.0,970.0,484.0,6.0,1616.0,1616.0,56.9
360,SS13B,Fulton,1278.0,82.0,487.0,158.0,1.0,728.0,728.0,57.0
372,SS26,Fulton,3824.0,250.0,1289.0,391.0,16.0,1946.0,1946.0,50.9
370,SS20,Fulton,2404.0,163.0,712.0,356.0,9.0,1240.0,1240.0,51.6
369,SS19B,Fulton,2342.0,118.0,870.0,328.0,85.0,1401.0,1401.0,59.8
368,SS19A,Fulton,3299.0,180.0,1120.0,410.0,9.0,1719.0,1719.0,52.1
367,SS18B,Fulton,241.0,7.0,76.0,48.0,0.0,131.0,131.0,54.4
366,SS18A,Fulton,657.0,28.0,229.0,127.0,0.0,384.0,384.0,58.4
365,SS17,Fulton,3686.0,227.0,1131.0,591.0,15.0,1964.0,1964.0,53.3
364,SS16,Fulton,2116.0,85.0,701.0,483.0,2.0,1271.0,1271.0,60.1
363,SS15B,Fulton,1730.0,172.0,543.0,203.0,2.0,920.0,920.0,53.2
362,SS15A,Fulton,2756.0,251.0,833.0,276.0,5.0,1365.0,1365.0,49.5
371,SS22,Fulton,2834.0,161.0,700.0,450.0,3.0,1314.0,1314.0,46.4
288,RW21,Fulton,3362.0,122.0,1113.0,514.0,14.0,1763.0,1763.0,52.4
336,SC30A,Fulton,157.0,5.0,45.0,57.0,5.0,112.0,112.0,71.3
334,SC27,Fulton,2361.0,152.0,733.0,461.0,0.0,1346.0,1346.0,57.0
309,SC09A,Fulton,1865.0,177.0,540.0,233.0,11.0,961.0,961.0,51.5
308,SC08H,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,SC08G,Fulton,14.0,0.0,3.0,0.0,0.0,3.0,3.0,21.4
306,SC08F,Fulton,793.0,43.0,284.0,97.0,1.0,425.0,425.0,53.6
305,SC08E,Fulton,724.0,57.0,305.0,63.0,4.0,429.0,429.0,59.3
304,SC08D,Fulton,605.0,40.0,231.0,78.0,0.0,349.0,349.0,57.7
303,SC08C,Fulton,91.0,6.0,45.0,17.0,0.0,68.0,68.0,74.7
302,SC08B,Fulton,4096.0,278.0,1534.0,644.0,13.0,2469.0,2469.0,60.3
301,SC07D,Fulton,2038.0,136.0,861.0,85.0,4.0,1086.0,1086.0,53.3
310,SC09B,Fulton,1920.0,127.0,717.0,356.0,2.0,1202.0,1202.0,62.6
300,SC07C,Fulton,41.0,1.0,9.0,3.0,0.0,13.0,13.0,31.7
298,SC05E,Fulton,688.0,44.0,257.0,130.0,3.0,434.0,434.0,63.1
297,SC05D,Fulton,2808.0,186.0,1302.0,354.0,2.0,1844.0,1844.0,65.7
296,SC05B,Fulton,3646.0,183.0,1764.0,498.0,7.0,2452.0,2452.0,67.3
295,SC05A,Fulton,721.0,56.0,317.0,85.0,4.0,462.0,462.0,64.1
294,SC04,Fulton,1080.0,82.0,349.0,158.0,5.0,594.0,594.0,55.0
293,SC02,Fulton,1426.0,42.0,705.0,254.0,3.0,1004.0,1004.0,70.4
292,SC01C,Fulton,2249.0,84.0,1049.0,452.0,10.0,1595.0,1595.0,70.9
291,SC01B,Fulton,2088.0,124.0,1127.0,297.0,16.0,1564.0,1564.0,74.9
290,SC01A,Fulton,41.0,2.0,38.0,7.0,0.0,47.0,47.0,114.6
299,SC07A,Fulton,4506.0,250.0,1881.0,1007.0,10.0,3148.0,3148.0,69.9
335,SC29A,Fulton,3154.0,276.0,945.0,540.0,8.0,1769.0,1769.0,56.1
311,SC09C,Fulton,1852.0,182.0,536.0,293.0,2.0,1013.0,1013.0,54.7
313,SC11A,Fulton,1656.0,147.0,537.0,264.0,24.0,972.0,972.0,58.7
333,SC23C,Fulton,2606.0,213.0,891.0,395.0,2.0,1501.0,1501.0,57.6
332,SC23B,Fulton,557.0,56.0,169.0,110.0,1.0,336.0,336.0,60.3
331,SC23A,Fulton,3854.0,342.0,1130.0,643.0,10.0,2125.0,2125.0,55.1
330,SC212,Fulton,4244.0,265.0,1736.0,604.0,10.0,2615.0,2615.0,61.6
329,SC211,Fulton,1828.0,102.0,832.0,292.0,0.0,1226.0,1226.0,67.1
328,SC20,Fulton,2562.0,105.0,1468.0,359.0,26.0,1958.0,1958.0,76.4
327,SC19B,Fulton,1628.0,137.0,428.0,213.0,10.0,788.0,788.0,48.4
326,SC19A,Fulton,213.0,6.0,86.0,45.0,1.0,138.0,138.0,64.8
325,SC18C,Fulton,2100.0,82.0,1010.0,401.0,0.0,1493.0,1493.0,71.1
312,SC10,Fulton,1912.0,157.0,428.0,187.0,8.0,780.0,780.0,40.8
324,SC18B,Fulton,915.0,39.0,459.0,156.0,0.0,654.0,654.0,71.5
322,SC17C,Fulton,1293.0,76.0,498.0,182.0,0.0,756.0,756.0,58.5
321,SC17B,Fulton,10.0,0.0,1.0,0.0,3.0,4.0,4.0,40.0
320,SC17A,Fulton,60.0,1.0,32.0,10.0,0.0,43.0,43.0,71.7
319,SC16A,Fulton,5175.0,288.0,2460.0,846.0,0.0,3594.0,3594.0,69.4
318,SC15A,Fulton,2482.0,135.0,1304.0,103.0,0.0,1542.0,1542.0,62.1
317,SC15,Fulton,4522.0,277.0,2010.0,821.0,6.0,3114.0,3114.0,68.9
316,SC14A,Fulton,1030.0,64.0,327.0,98.0,0.0,489.0,489.0,47.5
315,SC13,Fulton,2895.0,168.0,1341.0,413.0,6.0,1928.0,1928.0,66.6
314,SC11B,Fulton,1691.0,116.0,553.0,307.0,6.0,982.0,982.0,58.1
323,SC18A,Fulton,570.0,41.0,221.0,120.0,0.0,382.0,382.0,67.0
192,CH05,Fulton,429.0,30.0,85.0,47.0,0.0,162.0,162.0,37.8
191,CH04A,Fulton,825.0,38.0,285.0,104.0,0.0,427.0,427.0,51.8
190,CH03,Fulton,410.0,29.0,94.0,34.0,0.0,157.0,157.0,38.3
68,05F,Fulton,248.0,22.0,86.0,24.0,0.0,132.0,132.0,53.2
67,05D,Fulton,541.0,18.0,58.0,9.0,2.0,87.0,87.0,16.1
66,05C,Fulton,135.0,6.0,27.0,7.0,0.0,40.0,40.0,29.6
65,05B,Fulton,2171.0,174.0,620.0,261.0,3.0,1058.0,1058.0,48.7
64,05A2,Fulton,3343.0,145.0,1451.0,599.0,11.0,2206.0,2206.0,66.0
63,05A1,Fulton,2936.0,135.0,1276.0,598.0,1.0,2010.0,2010.0,68.5
62,04X2,Fulton,846.0,61.0,236.0,95.0,0.0,392.0,392.0,46.3
61,04X1,Fulton,2283.0,166.0,610.0,262.0,2.0,1040.0,1040.0,45.6
60,04W,Fulton,3365.0,57.0,131.0,27.0,7.0,222.0,222.0,6.6
69,05J,Fulton,684.0,38.0,273.0,123.0,1.0,435.0,435.0,63.6
59,04V,Fulton,3573.0,370.0,705.0,230.0,3.0,1308.0,1308.0,36.6
57,04S,Fulton,2541.0,263.0,611.0,300.0,7.0,1181.0,1181.0,46.5
56,04M,Fulton,979.0,102.0,149.0,68.0,5.0,324.0,324.0,33.1
55,04L,Fulton,2014.0,168.0,560.0,188.0,6.0,922.0,922.0,45.8
54,04K,Fulton,2736.0,191.0,710.0,354.0,13.0,1268.0,1268.0,46.3
53,04J,Fulton,1617.0,45.0,110.0,16.0,11.0,182.0,182.0,11.3
52,04I,Fulton,4604.0,76.0,457.0,173.0,7.0,713.0,713.0,15.5
51,04G,Fulton,1025.0,116.0,192.0,82.0,1.0,391.0,391.0,38.1
50,04F,Fulton,2786.0,189.0,779.0,205.0,11.0,1184.0,1184.0,42.5
49,04D,Fulton,1736.0,155.0,454.0,187.0,5.0,801.0,801.0,46.1
58,04T,Fulton,1297.0,132.0,338.0,159.0,20.0,649.0,649.0,50.0
48,04C,Fulton,150.0,11.0,27.0,12.0,1.0,51.0,51.0,34.0
70,05K,Fulton,2826.0,151.0,716.0,271.0,5.0,1143.0,1143.0,40.4
72,06D,Fulton,6160.0,330.0,2209.0,1969.0,12.0,4520.0,4520.0,73.4
92,07J,Fulton,3041.0,180.0,1094.0,514.0,10.0,1798.0,1798.0,59.1
91,07H,Fulton,2060.0,94.0,725.0,425.0,0.0,1244.0,1244.0,60.4
90,07F,Fulton,3790.0,207.0,1348.0,642.0,20.0,2217.0,2217.0,58.5
89,07E,Fulton,2247.0,68.0,763.0,544.0,5.0,1380.0,1380.0,61.4
88,07D,Fulton,4879.0,281.0,1631.0,640.0,20.0,2572.0,2572.0,52.7
87,07C,Fulton,4512.0,214.0,1234.0,945.0,11.0,2404.0,2404.0,53.3
86,07B,Fulton,2952.0,154.0,1000.0,579.0,1.0,1734.0,1734.0,58.7
85,07A,Fulton,7691.0,492.0,2423.0,1227.0,17.0,4159.0,4159.0,54.1
84,06R,Fulton,2015.0,63.0,707.0,368.0,3.0,1141.0,1141.0,56.6
71,06B,Fulton,1889.0,94.0,790.0,379.0,7.0,1270.0,1270.0,67.2
83,06Q,Fulton,571.0,48.0,212.0,62.0,5.0,327.0,327.0,57.3
81,06L2,Fulton,726.0,26.0,278.0,141.0,1.0,446.0,446.0,61.4
80,06L1,Fulton,991.0,40.0,382.0,227.0,2.0,651.0,651.0,65.7
79,06J,Fulton,2770.0,98.0,1066.0,711.0,1.0,1876.0,1876.0,67.7
78,06I,Fulton,4072.0,299.0,1439.0,544.0,22.0,2304.0,2304.0,56.6
77,06G,Fulton,588.0,19.0,225.0,125.0,1.0,370.0,370.0,62.9
76,06F,Fulton,2841.0,118.0,1171.0,501.0,5.0,1795.0,1795.0,63.2
75,06E,Fulton,2344.0,114.0,871.0,386.0,2.0,1373.0,1373.0,58.6
74,06D2,Fulton,850.0,23.0,333.0,50.0,1.0,407.0,407.0,47.9
73,06D1,Fulton,2539.0,72.0,1000.0,157.0,5.0,1234.0,1234.0,48.6
82,06N,Fulton,1770.0,79.0,537.0,298.0,10.0,924.0,924.0,52.2
93,07M,Fulton,2401.0,152.0,679.0,382.0,0.0,1213.0,1213.0,50.5
47,04B,Fulton,2948.0,127.0,406.0,210.0,0.0,743.0,743.0,25.2
45,03T,Fulton,1742.0,146.0,499.0,128.0,5.0,778.0,778.0,44.7
20,02F1,Fulton,3221.0,115.0,1294.0,692.0,6.0,2107.0,2107.0,65.4
19,02E,Fulton,2009.0,102.0,901.0,444.0,0.0,1447.0,1447.0,72.0
18,02D,Fulton,5539.0,277.0,1976.0,1053.0,30.0,3336.0,3336.0,60.2
17,02C,Fulton,2034.0,84.0,712.0,383.0,30.0,1209.0,1209.0,59.4
16,02B,Fulton,4020.0,177.0,806.0,285.0,28.0,1296.0,1296.0,32.2
15,02A1,Fulton,733.0,29.0,309.0,50.0,2.0,390.0,390.0,53.2
14,02A,Fulton,4884.0,181.0,1898.0,1051.0,20.0,3150.0,3150.0,64.5
13,01T,Fulton,1799.0,178.0,468.0,184.0,4.0,834.0,834.0,46.4
12,01S,Fulton,2118.0,237.0,471.0,204.0,8.0,920.0,920.0,43.4
21,02F2,Fulton,851.0,48.0,268.0,134.0,4.0,454.0,454.0,53.3
11,01R,Fulton,1550.0,207.0,145.0,122.0,12.0,486.0,486.0,31.4
9,01J,Fulton,2848.0,229.0,728.0,326.0,17.0,1300.0,1300.0,45.6
8,01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0
7,01H,Fulton,896.0,66.0,209.0,119.0,6.0,400.0,400.0,44.6
6,01G,Fulton,2312.0,141.0,748.0,280.0,4.0,1173.0,1173.0,50.7
5,01F,Fulton,1593.0,119.0,255.0,102.0,7.0,483.0,483.0,30.3
4,01E,Fulton,3720.0,119.0,1581.0,747.0,1.0,2448.0,2448.0,65.8
3,01D,Fulton,754.0,26.0,281.0,114.0,7.0,428.0,428.0,56.8
2,01C,Fulton,1908.0,194.0,375.0,160.0,0.0,729.0,729.0,38.2
1,01B,Fulton,4327.0,262.0,1864.0,857.0,5.0,2988.0,2988.0,69.1
10,01P,Fulton,1444.0,208.0,222.0,168.0,4.0,602.0,602.0,41.7
46,04A,Fulton,1554.0,98.0,317.0,157.0,0.0,572.0,572.0,36.8
22,02G,Fulton,3895.0,207.0,1644.0,726.0,6.0,2583.0,2583.0,66.3
24,02K,Fulton,1461.0,47.0,608.0,279.0,0.0,934.0,934.0,63.9
44,03S,Fulton,908.0,97.0,203.0,103.0,0.0,403.0,403.0,44.4
43,03P2,Fulton,23.0,0.0,7.0,0.0,0.0,7.0,7.0,30.4
42,03P1A,Fulton,4404.0,272.0,1395.0,510.0,13.0,2190.0,2190.0,49.7
41,03N,Fulton,2804.0,225.0,471.0,154.0,23.0,873.0,873.0,31.1
40,03M,Fulton,965.0,161.0,242.0,83.0,2.0,488.0,488.0,50.6
39,03L,Fulton,748.0,65.0,94.0,43.0,0.0,202.0,202.0,27.0
38,03I,Fulton,1607.0,104.0,336.0,109.0,19.0,568.0,568.0,35.3
37,03H,Fulton,1091.0,87.0,221.0,95.0,0.0,403.0,403.0,36.9
36,03G,Fulton,1033.0,78.0,150.0,41.0,3.0,272.0,272.0,26.3
23,02J,Fulton,2273.0,102.0,899.0,417.0,9.0,1427.0,1427.0,62.8
35,03F,Fulton,2328.0,139.0,821.0,335.0,4.0,1299.0,1299.0,55.8
33,03D,Fulton,1235.0,88.0,218.0,105.0,22.0,433.0,433.0,35.1
32,03C,Fulton,1879.0,140.0,348.0,228.0,7.0,723.0,723.0,38.5
31,03B,Fulton,777.0,55.0,99.0,61.0,0.0,215.0,215.0,27.7
30,03A,Fulton,2230.0,144.0,386.0,219.0,18.0,767.0,767.0,34.4
29,02W,Fulton,978.0,60.0,400.0,123.0,0.0,583.0,583.0,59.6
28,02S,Fulton,790.0,46.0,282.0,133.0,0.0,461.0,461.0,58.4
27,02L2,Fulton,2249.0,130.0,861.0,357.0,5.0,1353.0,1353.0,60.2
26,02L1A,Fulton,1477.0,82.0,561.0,79.0,6.0,728.0,728.0,49.3
25,02L1,Fulton,5546.0,210.0,2150.0,1251.0,11.0,3622.0,3622.0,65.3
34,03E,Fulton,2894.0,298.0,480.0,207.0,44.0,1029.0,1029.0,35.6
94,07N,Fulton,2139.0,135.0,653.0,355.0,9.0,1152.0,1152.0,53.9
95,08A,Fulton,3084.0,191.0,1080.0,471.0,7.0,1749.0,1749.0,56.7
96,08B,Fulton,3498.0,154.0,1311.0,564.0,1.0,2030.0,2030.0,58.0
165,12N,Fulton,1134.0,92.0,220.0,82.0,11.0,405.0,405.0,35.7
164,12M,Fulton,2990.0,361.0,640.0,308.0,20.0,1329.0,1329.0,44.4
163,12L,Fulton,774.0,55.0,138.0,69.0,3.0,265.0,265.0,34.2
162,12K,Fulton,3620.0,203.0,942.0,355.0,10.0,1510.0,1510.0,41.7
161,12J,Fulton,3154.0,257.0,706.0,332.0,29.0,1324.0,1324.0,42.0
160,12I,Fulton,1079.0,55.0,229.0,148.0,41.0,473.0,473.0,43.8
159,12H2,Fulton,2998.0,275.0,696.0,383.0,6.0,1360.0,1360.0,45.4
158,12H1,Fulton,1170.0,99.0,172.0,73.0,12.0,356.0,356.0,30.4
157,12G,Fulton,885.0,56.0,181.0,183.0,1.0,421.0,421.0,47.6
166,12S,Fulton,2079.0,166.0,566.0,244.0,14.0,990.0,990.0,47.6
156,12F,Fulton,1229.0,115.0,297.0,91.0,1.0,504.0,504.0,41.0
154,12D,Fulton,1408.0,105.0,354.0,137.0,2.0,598.0,598.0,42.5
153,12A1,Fulton,690.0,42.0,305.0,20.0,8.0,375.0,375.0,54.3
152,12A,Fulton,4971.0,287.0,1628.0,744.0,20.0,2679.0,2679.0,53.9
151,11R,Fulton,2253.0,120.0,456.0,232.0,6.0,814.0,814.0,36.1
