,Precinct,County,Registered Voters,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_Choice Total,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_Choice Total,Total,calc_participation
5,Cherry Log,Gilmer,926.0,241.0,209.0,95.0,0.0,545.0,46.0,63.0,63.0,0.0,172.0,717.0,77.4
6,Boardtown,Gilmer,1391.0,290.0,478.0,170.0,3.0,941.0,24.0,64.0,107.0,1.0,196.0,1137.0,81.7
7,Mountaintown,Gilmer,1139.0,266.0,342.0,115.0,1.0,724.0,22.0,59.0,41.0,0.0,122.0,846.0,74.3
8,East Ellijay,Gilmer,1655.0,227.0,592.0,192.0,0.0,1011.0,30.0,99.0,67.0,0.0,196.0,1207.0,72.9
9,Ellijay North,Gilmer,1810.0,280.0,558.0,180.0,1.0,1019.0,23.0,104.0,69.0,0.0,196.0,1215.0,67.1
10,Yukon,Gilmer,1288.0,347.0,337.0,111.0,0.0,795.0,25.0,43.0,52.0,0.0,120.0,915.0,71.0
11,Big Creek,Gilmer,1479.0,361.0,389.0,151.0,0.0,901.0,31.0,61.0,103.0,0.0,195.0,1096.0,74.1
0,Ellijay South,Gilmer,3172.0,358.0,1066.0,316.0,2.0,1742.0,55.0,194.0,218.0,0.0,467.0,2209.0,69.6
13,Dahlonega,Lumpkin,22407.0,2037.0,8060.0,2126.0,1.0,12224.0,298.0,1463.0,1102.0,0.0,2863.0,15087.0,67.3
43,Refuge,Pickens,2490.0,552.0,753.0,186.0,0.0,1491.0,49.0,103.0,72.0,0.0,224.0,1715.0,68.9
44,Nelson,Pickens,1474.0,412.0,358.0,86.0,0.0,856.0,42.0,55.0,55.0,0.0,152.0,1008.0,68.4
42,Appalachian,Pickens,1933.0,390.0,587.0,158.0,0.0,1135.0,51.0,93.0,74.0,0.0,218.0,1353.0,70.0
41,Sharptop,Pickens,2616.0,586.0,676.0,332.0,1.0,1595.0,81.0,141.0,206.0,0.0,428.0,2023.0,77.3
40,Yellow Creek,Pickens,3571.0,777.0,967.0,335.0,0.0,2079.0,98.0,188.0,226.0,0.0,512.0,2591.0,72.6
45,Jasper,Pickens,2517.0,444.0,625.0,161.0,0.0,1230.0,86.0,125.0,105.0,0.0,316.0,1546.0,61.4
27,Pat Colwell,Union,2230.0,289.0,862.0,253.0,1.0,1405.0,49.0,193.0,156.0,1.0,399.0,1804.0,80.9
25,Dooley,Union,1531.0,308.0,434.0,157.0,2.0,901.0,52.0,111.0,114.0,0.0,277.0,1178.0,76.9
23,Suches,Union,611.0,223.0,83.0,66.0,0.0,372.0,28.0,19.0,40.0,0.0,87.0,459.0,75.1
22,Ivy Log,Union,2008.0,346.0,710.0,257.0,0.0,1313.0,37.0,141.0,119.0,0.0,297.0,1610.0,80.2
21,Owltown,Union,1517.0,237.0,521.0,184.0,0.0,942.0,25.0,110.0,126.0,0.0,261.0,1203.0,79.3
20,Jones Creek,Union,1945.0,385.0,688.0,225.0,2.0,1300.0,37.0,121.0,119.0,0.0,277.0,1577.0,81.1
19,Choestoe,Union,1377.0,260.0,480.0,137.0,0.0,877.0,31.0,93.0,84.0,0.0,208.0,1085.0,78.8
18,Coosa,Union,2294.0,378.0,915.0,244.0,0.0,1537.0,29.0,129.0,100.0,0.0,258.0,1795.0,78.2
17,Blairsville,Union,2435.0,248.0,883.0,313.0,3.0,1447.0,32.0,165.0,180.0,0.0,377.0,1824.0,74.9
24,Trackrock,Union,1110.0,192.0,381.0,122.0,0.0,695.0,20.0,77.0,80.0,0.0,177.0,872.0,78.6
26,Gumlog,Union,2143.0,363.0,744.0,244.0,1.0,1352.0,38.0,126.0,141.0,0.0,305.0,1657.0,77.3
29,Blue Creek,White,2352.0,412.0,773.0,243.0,0.0,1428.0,31.0,151.0,160.0,0.0,342.0,1770.0,75.3
38,Town Creek,White,1593.0,299.0,491.0,139.0,1.0,930.0,28.0,75.0,73.0,0.0,176.0,1106.0,69.4
37,Tesnatee,White,1231.0,191.0,410.0,147.0,0.0,748.0,26.0,77.0,45.0,0.0,148.0,896.0,72.8
35,Robertstown,White,407.0,103.0,100.0,39.0,0.0,242.0,17.0,33.0,19.0,0.0,69.0,311.0,76.4
34,Nacoochee,White,1552.0,207.0,468.0,203.0,1.0,879.0,56.0,135.0,145.0,0.0,336.0,1215.0,78.3
33,Mt Yonah,White,4468.0,541.0,1530.0,467.0,2.0,2540.0,60.0,274.0,193.0,0.0,527.0,3067.0,68.6
32,Mossy Creek,White,3164.0,617.0,1052.0,311.0,0.0,1980.0,45.0,103.0,79.0,0.0,227.0,2207.0,69.8
31,Helen,White,609.0,110.0,133.0,51.0,0.0,294.0,25.0,49.0,36.0,0.0,110.0,404.0,66.3
30,Blue Ridge,White,929.0,172.0,263.0,121.0,1.0,557.0,16.0,34.0,33.0,0.0,83.0,640.0,68.9
39,White Creek,White,1779.0,357.0,601.0,187.0,0.0,1145.0,25.0,47.0,43.0,0.0,115.0,1260.0,70.8
36,Shoal Creek,White,2538.0,451.0,774.0,227.0,0.0,1452.0,39.0,70.0,72.0,0.0,181.0,1633.0,64.3
