,Precinct,County,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total,calc_participation
104,BAYCREEK G,Gwinnett,6241.0,266.0,797.0,300.0,0.0,1363.0,324.0,1936.0,896.0,1.0,3157.0,4520.0,72.4
103,LAWRENCEVILLE M,Gwinnett,7255.0,233.0,560.0,279.0,2.0,1074.0,530.0,2036.0,1044.0,5.0,3615.0,4689.0,64.6
102,LAWRENCEVILLE L,Gwinnett,4802.0,223.0,735.0,343.0,0.0,1301.0,280.0,1140.0,710.0,2.0,2132.0,3433.0,71.5
101,SUWANEE F,Gwinnett,3966.0,308.0,797.0,346.0,2.0,1453.0,165.0,737.0,548.0,1.0,1451.0,2904.0,73.2
100,SUGAR HILL G,Gwinnett,2814.0,294.0,791.0,270.0,0.0,1355.0,74.0,395.0,366.0,1.0,836.0,2191.0,77.9
99,SUWANEE H,Gwinnett,3785.0,332.0,1163.0,493.0,0.0,1988.0,110.0,556.0,424.0,1.0,1091.0,3079.0,81.3
98,MARTINS K,Gwinnett,5352.0,214.0,400.0,268.0,0.0,882.0,473.0,1354.0,792.0,2.0,2621.0,3503.0,65.5
97,DULUTH I,Gwinnett,5105.0,299.0,955.0,654.0,0.0,1908.0,188.0,740.0,899.0,1.0,1828.0,3736.0,73.2
96,ROCKYCREEK B,Gwinnett,5061.0,372.0,1246.0,375.0,0.0,1993.0,224.0,950.0,500.0,2.0,1676.0,3669.0,72.5
95,HOG MOUNTAIN C,Gwinnett,4292.0,355.0,929.0,330.0,0.0,1614.0,189.0,696.0,501.0,2.0,1388.0,3002.0,69.9
64,DULUTH G,Gwinnett,3067.0,292.0,529.0,340.0,1.0,1162.0,159.0,490.0,453.0,2.0,1104.0,2266.0,73.9
93,BAYCREEK F,Gwinnett,4608.0,232.0,549.0,234.0,4.0,1019.0,280.0,1346.0,660.0,6.0,2292.0,3311.0,71.9
92,LAWRENCEVILLE K,Gwinnett,3282.0,269.0,591.0,310.0,0.0,1170.0,170.0,634.0,464.0,0.0,1268.0,2438.0,74.3
91,SUWANEE E,Gwinnett,4256.0,362.0,1107.0,466.0,2.0,1937.0,127.0,755.0,556.0,1.0,1439.0,3376.0,79.3
88,LAWRENCEVILLE J,Gwinnett,2249.0,144.0,218.0,96.0,0.0,458.0,189.0,550.0,301.0,3.0,1043.0,1501.0,66.7
94,PUCKETTS C,Gwinnett,3367.0,259.0,882.0,240.0,1.0,1382.0,124.0,529.0,334.0,0.0,987.0,2369.0,70.4
0,SUWANEE A,Gwinnett,1737.0,122.0,295.0,151.0,1.0,569.0,93.0,376.0,190.0,0.0,659.0,1228.0,70.7
61,CATES M,Gwinnett,3988.0,281.0,891.0,479.0,0.0,1651.0,160.0,798.0,581.0,2.0,1541.0,3192.0,80.0
28,CATES F,Gwinnett,1787.0,212.0,319.0,224.0,0.0,755.0,103.0,296.0,233.0,1.0,633.0,1388.0,77.7
27,MARTINS D,Gwinnett,2402.0,92.0,125.0,92.0,2.0,311.0,266.0,451.0,296.0,1.0,1014.0,1325.0,55.2
26,LAWRENCEVILLE C,Gwinnett,3037.0,289.0,626.0,276.0,0.0,1191.0,137.0,477.0,337.0,1.0,952.0,2143.0,70.6
25,PINCKNEYVILLE H,Gwinnett,4536.0,346.0,735.0,455.0,0.0,1536.0,226.0,881.0,795.0,3.0,1905.0,3441.0,75.9
24,PINCKNEYVILLE F,Gwinnett,2546.0,119.0,229.0,114.0,1.0,463.0,231.0,470.0,329.0,2.0,1032.0,1495.0,58.7
23,PINCKNEYVILLE E,Gwinnett,2184.0,111.0,111.0,69.0,2.0,293.0,231.0,485.0,268.0,4.0,988.0,1281.0,58.7
22,CATES D,Gwinnett,3755.0,33.0,91.0,67.0,0.0,191.0,32.0,159.0,100.0,1.0,292.0,483.0,12.9
21,BERKSHIRE F,Gwinnett,2254.0,174.0,215.0,175.0,0.0,564.0,182.0,369.0,294.0,1.0,846.0,1410.0,62.6
20,HOG MOUNTAIN D,Gwinnett,3179.0,283.0,690.0,259.0,1.0,1233.0,144.0,478.0,388.0,1.0,1011.0,2244.0,70.6
19,CATES B,Gwinnett,1587.0,148.0,334.0,181.0,1.0,664.0,81.0,229.0,191.0,1.0,502.0,1166.0,73.5
18,HOG MOUNTAIN B,Gwinnett,4583.0,385.0,1046.0,430.0,1.0,1862.0,183.0,773.0,645.0,1.0,1602.0,3464.0,75.6
17,HOG MOUNTAIN A,Gwinnett,5011.0,311.0,736.0,320.0,1.0,1368.0,325.0,1075.0,639.0,1.0,2040.0,3408.0,68.0
16,SUGAR HILL B,Gwinnett,5596.0,514.0,1189.0,425.0,13.0,2141.0,279.0,923.0,581.0,4.0,1787.0,3928.0,70.2
29,CATES G,Gwinnett,2875.0,206.0,690.0,379.0,0.0,1275.0,115.0,521.0,423.0,0.0,1059.0,2334.0,81.2
15,SUGAR HILL A,Gwinnett,4654.0,412.0,860.0,339.0,3.0,1614.0,239.0,649.0,467.0,1.0,1356.0,2970.0,63.8
13,PINCKNEYVILLE C,Gwinnett,2082.0,261.0,280.0,265.0,1.0,807.0,113.0,338.0,364.0,4.0,819.0,1626.0,78.1
12,PINCKNEYVILLE A,Gwinnett,2791.0,114.0,144.0,88.0,3.0,349.0,331.0,603.0,337.0,5.0,1276.0,1625.0,58.2
11,MARTINS C,Gwinnett,2549.0,168.0,320.0,192.0,0.0,680.0,226.0,502.0,348.0,4.0,1080.0,1760.0,69.0
10,MARTINS B,Gwinnett,3001.0,116.0,346.0,185.0,0.0,647.0,274.0,629.0,358.0,2.0,1263.0,1910.0,63.6
9,MARTINS A,Gwinnett,3303.0,136.0,216.0,122.0,2.0,476.0,313.0,762.0,408.0,4.0,1487.0,1963.0,59.4
8,LAWRENCEVILLE B,Gwinnett,5097.0,144.0,633.0,286.0,0.0,1063.0,205.0,1459.0,716.0,3.0,2383.0,3446.0,67.6
7,LAWRENCEVILLE A,Gwinnett,3635.0,166.0,497.0,281.0,0.0,944.0,237.0,613.0,398.0,3.0,1251.0,2195.0,60.4
6,BERKSHIRE A,Gwinnett,2555.0,172.0,227.0,121.0,0.0,520.0,254.0,425.0,325.0,1.0,1005.0,1525.0,59.7
5,CATES A,Gwinnett,2387.0,171.0,475.0,307.0,0.0,953.0,113.0,347.0,287.0,1.0,748.0,1701.0,71.3
4,PUCKETTS A,Gwinnett,5692.0,317.0,1981.0,662.0,1.0,2961.0,151.0,815.0,484.0,0.0,1450.0,4411.0,77.5
3,DULUTH A,Gwinnett,5042.0,241.0,894.0,448.0,1.0,1584.0,217.0,1030.0,931.0,1.0,2179.0,3763.0,74.6
2,GOODWINS A,Gwinnett,3921.0,294.0,568.0,245.0,2.0,1109.0,257.0,777.0,540.0,0.0,1574.0,2683.0,68.4
1,BAYCREEK A,Gwinnett,2720.0,253.0,554.0,310.0,0.0,1117.0,128.0,495.0,370.0,0.0,993.0,2110.0,77.6
14,PINCKNEYVILLE D,Gwinnett,2264.0,80.0,136.0,75.0,1.0,292.0,256.0,435.0,220.0,3.0,914.0,1206.0,53.3
62,CATES N,Gwinnett,2567.0,243.0,567.0,361.0,1.0,1172.0,124.0,377.0,292.0,0.0,793.0,1965.0,76.5
30,DULUTH B,Gwinnett,3551.0,263.0,552.0,365.0,3.0,1183.0,185.0,511.0,554.0,1.0,1251.0,2434.0,68.5
32,SUGAR HILL C,Gwinnett,5085.0,595.0,1255.0,471.0,1.0,2322.0,233.0,766.0,512.0,0.0,1511.0,3833.0,75.4
60,BAYCREEK D,Gwinnett,4609.0,312.0,861.0,356.0,0.0,1529.0,199.0,1040.0,611.0,0.0,1850.0,3379.0,73.3
59,LAWRENCEVILLE I,Gwinnett,3312.0,212.0,375.0,203.0,0.0,790.0,266.0,651.0,425.0,2.0,1344.0,2134.0,64.4
58,SUGAR HILL E,Gwinnett,3589.0,339.0,773.0,307.0,4.0,1423.0,144.0,649.0,396.0,3.0,1192.0,2615.0,72.9
57,PINCKNEYVILLE S,Gwinnett,3374.0,182.0,345.0,238.0,4.0,769.0,335.0,593.0,425.0,3.0,1356.0,2125.0,63.0
56,MARTINS F,Gwinnett,2570.0,132.0,154.0,102.0,2.0,390.0,238.0,478.0,344.0,4.0,1064.0,1454.0,56.6
55,LAWRENCEVILLE H,Gwinnett,4296.0,302.0,791.0,373.0,2.0,1468.0,224.0,818.0,580.0,2.0,1624.0,3092.0,72.0
54,LAWRENCEVILLE G,Gwinnett,3046.0,115.0,303.0,134.0,1.0,553.0,246.0,749.0,427.0,1.0,1423.0,1976.0,64.9
53,GOODWINS D,Gwinnett,4406.0,403.0,660.0,313.0,1.0,1377.0,324.0,727.0,569.0,1.0,1621.0,2998.0,68.0
52,DULUTH E,Gwinnett,4814.0,215.0,531.0,246.0,1.0,993.0,407.0,1149.0,746.0,6.0,2308.0,3301.0,68.6
51,CATES K,Gwinnett,2810.0,259.0,504.0,253.0,3.0,1019.0,146.0,555.0,374.0,0.0,1075.0,2094.0,74.5
50,BAYCREEK K,Gwinnett,3824.0,162.0,677.0,347.0,0.0,1186.0,155.0,964.0,533.0,0.0,1652.0,2838.0,74.2
49,GOODWINS C,Gwinnett,5804.0,307.0,609.0,340.0,0.0,1256.0,405.0,1225.0,893.0,0.0,2523.0,3779.0,65.1
48,PINCKNEYVILLE Q,Gwinnett,1915.0,73.0,70.0,39.0,1.0,183.0,279.0,430.0,222.0,2.0,933.0,1116.0,58.3
31,PINCKNEYVILLE I,Gwinnett,2635.0,108.0,206.0,126.0,0.0,440.0,251.0,554.0,316.0,2.0,1123.0,1563.0,59.3
47,PINCKNEYVILLE P,Gwinnett,2185.0,176.0,271.0,238.0,0.0,685.0,184.0,380.0,371.0,2.0,937.0,1622.0,74.2
45,LAWRENCEVILLE F,Gwinnett,4061.0,171.0,338.0,164.0,0.0,673.0,301.0,1143.0,603.0,3.0,2050.0,2723.0,67.1
44,GOODWINS B,Gwinnett,3960.0,326.0,891.0,336.0,1.0,1554.0,193.0,637.0,541.0,0.0,1371.0,2925.0,73.9
43,CATES I,Gwinnett,3537.0,270.0,600.0,312.0,1.0,1183.0,179.0,812.0,550.0,1.0,1542.0,2725.0,77.0
42,PUCKETTS E,Gwinnett,5660.0,304.0,1070.0,430.0,0.0,1804.0,233.0,1129.0,668.0,3.0,2033.0,3837.0,67.8
41,PINCKNEYVILLE M,Gwinnett,2673.0,350.0,641.0,417.0,0.0,1408.0,80.0,325.0,416.0,0.0,821.0,2229.0,83.4
40,PINCKNEYVILLE L,Gwinnett,2330.0,308.0,435.0,451.0,0.0,1194.0,96.0,276.0,442.0,0.0,814.0,2008.0,86.2
39,LAWRENCEVILLE E,Gwinnett,2355.0,158.0,391.0,260.0,1.0,810.0,148.0,390.0,302.0,1.0,841.0,1651.0,70.1
38,LAWRENCEVILLE D,Gwinnett,5012.0,166.0,270.0,208.0,3.0,647.0,427.0,1079.0,527.0,8.0,2041.0,2688.0,53.6
37,PINCKNEYVILLE N,Gwinnett,3819.0,137.0,201.0,67.0,1.0,406.0,449.0,949.0,493.0,4.0,1895.0,2301.0,60.3
36,PINCKNEYVILLE K,Gwinnett,3754.0,141.0,210.0,128.0,0.0,479.0,376.0,825.0,452.0,7.0,1660.0,2139.0,57.0
35,DULUTH D,Gwinnett,5077.0,233.0,681.0,293.0,5.0,1212.0,308.0,1027.0,681.0,13.0,2029.0,3241.0,63.8
34,DULUTH C,Gwinnett,2229.0,188.0,314.0,207.0,2.0,711.0,155.0,378.0,328.0,2.0,863.0,1574.0,70.6
33,SUGAR HILL D,Gwinnett,4624.0,319.0,1166.0,336.0,6.0,1827.0,189.0,762.0,450.0,2.0,1403.0,3230.0,69.9
46,MARTINS E,Gwinnett,6193.0,142.0,223.0,98.0,0.0,463.0,600.0,1420.0,699.0,5.0,2724.0,3187.0,51.5
63,DULUTH F,Gwinnett,6161.0,197.0,391.0,274.0,6.0,868.0,469.0,1409.0,916.0,14.0,2808.0,3676.0,59.7
