,Precinct,County,Registered Voters,"Michael """"Mike"""" Thurmond (I) (Dem)_Election Day Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Advanced Voting Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Absentee by Mail Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Provisional Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Choice Total",Total,calc_participation
7,Avondale High,DeKalb,3151.0,132.0,1149.0,904.0,4.0,2189.0,2189.0,69.5
8,Boulevard,DeKalb,4675.0,257.0,1877.0,1191.0,3.0,3328.0,3328.0,71.2
9,Briar Vista Elem,DeKalb,2965.0,198.0,858.0,827.0,0.0,1883.0,1883.0,63.5
22,Columbia Elem,DeKalb,1794.0,147.0,329.0,243.0,9.0,728.0,728.0,40.6
10,Briarlake Elem,DeKalb,1752.0,137.0,534.0,449.0,1.0,1121.0,1121.0,64.0
12,Brockett Elem,DeKalb,2752.0,178.0,853.0,585.0,5.0,1621.0,1621.0,58.9
13,Briarcliff,DeKalb,3122.0,167.0,790.0,794.0,6.0,1757.0,1757.0,56.3
14,Brockett,DeKalb,2681.0,238.0,779.0,535.0,7.0,1559.0,1559.0,58.1
15,Brookhaven,DeKalb,3444.0,271.0,1202.0,659.0,2.0,2134.0,2134.0,62.0
16,Browns Mill Elem,DeKalb,3829.0,318.0,1469.0,880.0,5.0,2672.0,2672.0,69.8
17,Bouldercrest Road,DeKalb,2004.0,160.0,774.0,356.0,2.0,1292.0,1292.0,64.5
18,Bethune Middle,DeKalb,4838.0,338.0,1374.0,981.0,19.0,2712.0,2712.0,56.1
19,Burgess Elem,DeKalb,3493.0,194.0,1349.0,855.0,7.0,2405.0,2405.0,68.9
20,Columbia Drive,DeKalb,2526.0,221.0,584.0,477.0,8.0,1290.0,1290.0,51.1
11,Briarwood,DeKalb,2428.0,169.0,796.0,458.0,2.0,1425.0,1425.0,58.7
94,Lin-Mary Lin Elem,DeKalb,3009.0,139.0,1089.0,893.0,8.0,2129.0,2129.0,70.8
46,Doraville North,DeKalb,3065.0,312.0,769.0,461.0,7.0,1549.0,1549.0,50.5
48,Dresden Elem,DeKalb,5141.0,391.0,1411.0,948.0,6.0,2756.0,2756.0,53.6
73,Glenwood Road,DeKalb,2293.0,205.0,555.0,397.0,4.0,1161.0,1161.0,50.6
74,Hambrick Elem,DeKalb,3776.0,314.0,1094.0,647.0,10.0,2065.0,2065.0,54.7
75,Hawthorne Elem,DeKalb,3884.0,302.0,1219.0,681.0,7.0,2209.0,2209.0,56.9
76,Henderson Mill,DeKalb,3104.0,186.0,986.0,708.0,2.0,1882.0,1882.0,60.6
77,Huntley Hills Elem,DeKalb,3508.0,327.0,1184.0,535.0,5.0,2051.0,2051.0,58.5
78,Hugh Howell,DeKalb,1773.0,164.0,577.0,356.0,1.0,1098.0,1098.0,61.9
79,Harris-Narvie J Harris Elem,DeKalb,4031.0,179.0,1614.0,779.0,10.0,2582.0,2582.0,64.1
80,Harris-Margaret Harris ED,DeKalb,1462.0,129.0,493.0,306.0,4.0,932.0,932.0,63.7
81,Idlewood Elem,DeKalb,2472.0,225.0,753.0,433.0,8.0,1419.0,1419.0,57.4
72,Georgetown Sq,DeKalb,4155.0,256.0,1389.0,646.0,6.0,2297.0,2297.0,55.3
82,Indian Creek,DeKalb,2318.0,176.0,522.0,366.0,12.0,1076.0,1076.0,46.4
84,Jolly Elem,DeKalb,3679.0,270.0,917.0,633.0,13.0,1833.0,1833.0,49.8
85,Kelley Lake Elem,DeKalb,3015.0,280.0,769.0,585.0,3.0,1637.0,1637.0,54.3
86,Kingsley Elem,DeKalb,2490.0,168.0,715.0,575.0,9.0,1467.0,1467.0,58.9
87,Kelley Chapel Road,DeKalb,1337.0,127.0,459.0,317.0,1.0,904.0,904.0,67.6
88,Knollwood,DeKalb,2546.0,267.0,673.0,468.0,11.0,1419.0,1419.0,55.7
89,Kittredge Elem,DeKalb,2161.0,127.0,741.0,487.0,3.0,1358.0,1358.0,62.8
90,Lakeside High,DeKalb,3216.0,215.0,1058.0,721.0,0.0,1994.0,1994.0,62.0
91,Lavista Road,DeKalb,2223.0,142.0,585.0,626.0,3.0,1356.0,1356.0,61.0
92,Lavista,DeKalb,3223.0,209.0,884.0,640.0,9.0,1742.0,1742.0,54.0
83,Johnson Estates,DeKalb,1600.0,50.0,523.0,538.0,0.0,1111.0,1111.0,69.4
47,Doraville South,DeKalb,1255.0,123.0,332.0,211.0,2.0,668.0,668.0,53.2
71,Gresham Road,DeKalb,3601.0,219.0,1164.0,778.0,16.0,2177.0,2177.0,60.5
69,Glennwood,DeKalb,2715.0,86.0,885.0,816.0,6.0,1793.0,1793.0,66.0
49,Decatur,DeKalb,1937.0,84.0,879.0,477.0,1.0,1441.0,1441.0,74.4
50,Dunaire Elem,DeKalb,2268.0,193.0,637.0,432.0,7.0,1269.0,1269.0,56.0
51,Dunwoody,DeKalb,3003.0,169.0,974.0,562.0,7.0,1712.0,1712.0,57.0
52,Dunwoody 2,DeKalb,2044.0,103.0,694.0,389.0,3.0,1189.0,1189.0,58.2
53,Druid Hills High,DeKalb,2725.0,136.0,662.0,647.0,2.0,1447.0,1447.0,53.1
54,Dunwoody Library,DeKalb,2570.0,92.0,934.0,501.0,2.0,1529.0,1529.0,59.5
55,East Lake,DeKalb,4139.0,234.0,1566.0,922.0,7.0,2729.0,2729.0,65.9
56,Embry Hills,DeKalb,1721.0,107.0,521.0,428.0,0.0,1056.0,1056.0,61.4
57,Evansdale Elem,DeKalb,3441.0,261.0,1069.0,732.0,3.0,2065.0,2065.0,60.0
70,Glenhaven,DeKalb,1880.0,225.0,489.0,325.0,4.0,1043.0,1043.0,55.5
58,Emory South,DeKalb,3241.0,191.0,1047.0,888.0,7.0,2133.0,2133.0,65.8
60,Fairington Elem,DeKalb,5455.0,447.0,1586.0,660.0,19.0,2712.0,2712.0,49.7
61,Fernbank Elem,DeKalb,2125.0,126.0,701.0,726.0,1.0,1554.0,1554.0,73.1
62,Flat Shoals Elem,DeKalb,2409.0,200.0,635.0,422.0,9.0,1266.0,1266.0,52.6
63,Flat Shoals Parkway,DeKalb,3449.0,204.0,1317.0,753.0,4.0,2278.0,2278.0,66.0
64,Flat Rock Elem,DeKalb,3142.0,258.0,1339.0,540.0,6.0,2143.0,2143.0,68.2
65,Flat Shoals,DeKalb,2649.0,188.0,652.0,457.0,7.0,1304.0,1304.0,49.2
66,Flakes Mill Fire Station,DeKalb,2103.0,119.0,756.0,428.0,7.0,1310.0,1310.0,62.3
67,Flat Shoals Library,DeKalb,2788.0,243.0,735.0,427.0,3.0,1408.0,1408.0,50.5
68,Freedom Middle,DeKalb,3227.0,295.0,873.0,552.0,10.0,1730.0,1730.0,53.6
59,Emory Road,DeKalb,2290.0,125.0,640.0,430.0,7.0,1202.0,1202.0,52.5
190,Young Road,DeKalb,1951.0,107.0,769.0,426.0,8.0,1310.0,1310.0,67.1
