,Precinct,County,Registered Voters,Donald Ayres (I)_Election Day Votes,Donald Ayres (I)_Advanced Voting Votes,Donald Ayres (I)_Absentee by Mail Votes,Donald Ayres (I)_Provisional Votes,Donald Ayres (I)_Choice Total,"Robert L. Hosack, Jr. (I)_Election Day Votes","Robert L. Hosack, Jr. (I)_Advanced Voting Votes","Robert L. Hosack, Jr. (I)_Absentee by Mail Votes","Robert L. Hosack, Jr. (I)_Provisional Votes","Robert L. Hosack, Jr. (I)_Choice Total",Total,calc_participation
40,Fair Oaks 04,Cobb,5322.0,523.0,617.0,583.0,3.0,1726.0,511.0,597.0,591.0,4.0,1703.0,3429.0,64.4
41,Fullers Park 01,Cobb,3452.0,412.0,865.0,905.0,0.0,2182.0,393.0,837.0,874.0,0.0,2104.0,4286.0,124.2
42,Ford 01,Cobb,3161.0,353.0,1089.0,606.0,0.0,2048.0,331.0,1035.0,570.0,1.0,1937.0,3985.0,126.1
43,Frey 01,Cobb,2582.0,200.0,944.0,475.0,0.0,1619.0,196.0,882.0,453.0,0.0,1531.0,3150.0,122.0
44,Garrison Mill 01,Cobb,2872.0,392.0,766.0,634.0,1.0,1793.0,361.0,733.0,608.0,1.0,1703.0,3496.0,121.7
45,Gritters 01,Cobb,4033.0,555.0,864.0,821.0,0.0,2240.0,521.0,853.0,782.0,2.0,2158.0,4398.0,109.1
46,Harmony-Leland 01,Cobb,6394.0,340.0,1632.0,1102.0,3.0,3077.0,346.0,1621.0,1084.0,3.0,3054.0,6131.0,95.9
47,Harrison 01,Cobb,3122.0,384.0,1015.0,643.0,0.0,2042.0,356.0,951.0,610.0,0.0,1917.0,3959.0,126.8
48,Hightower 01,Cobb,4262.0,430.0,1012.0,1343.0,0.0,2785.0,410.0,975.0,1301.0,0.0,2686.0,5471.0,128.4
49,Hayes 01,Cobb,4111.0,420.0,1258.0,882.0,0.0,2560.0,391.0,1175.0,832.0,1.0,2399.0,4959.0,120.6
50,Kennesaw 1A,Cobb,2499.0,342.0,604.0,334.0,11.0,1291.0,330.0,569.0,316.0,10.0,1225.0,2516.0,100.7
51,Kennesaw 2A,Cobb,3944.0,412.0,1005.0,609.0,3.0,2029.0,381.0,946.0,586.0,4.0,1917.0,3946.0,100.1
71,Murdock 01,Cobb,4059.0,521.0,940.0,1165.0,0.0,2626.0,496.0,903.0,1125.0,0.0,2524.0,5150.0,126.9
144,Willeo 01,Cobb,2836.0,416.0,708.0,754.0,1.0,1879.0,380.0,696.0,718.0,1.0,1795.0,3674.0,129.5
